Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_19,Generated_Var_22,Generated_Var_23,Generated_Var_24,effort_D
-57.74479,-16.393803,-37.208954,56.991283,37.633244,-30.881393,34.99425,-63.970116,-64.19777,112.96582,-70.38903,-93.15939,-45.818848,-49.112595,-21.381645,-27.235113,1651
-50.675606,-14.3505335,-32.685997,49.866413,32.90548,-27.083416,30.571617,-55.705345,-55.976974,98.47904,-61.18889,-81.06255,-39.91366,-42.994617,-18.799519,-24.043009,1450
-60.737514,-17.140705,-39.2133,59.41364,39.198845,-32.425335,36.34371,-66.218025,-66.46081,116.890945,-72.597084,-96.07559,-47.312126,-51.41738,-22.471266,-29.209755,1745
-63.809776,-18.071157,-41.33094,63.452194,41.97405,-34.211807,39.037254,-72.036644,-71.87641,126.83514,-79.09234,-104.46698,-51.92654,-54.39107,-23.897234,-29.33176,1798
-103.348885,-29.129446,-66.96047,101.98911,67.30047,-55.8185,62.477207,-113.866844,-114.67456,201.55962,-125.26484,-165.80286,-81.799706,-87.87507,-38.34597,-48.805023,2957
-34.283287,-9.790752,-22.057306,34.00449,22.456839,-18.181787,20.950647,-38.651653,-38.555862,68.013054,-42.3603,-56.04667,-27.785097,-29.087326,-12.9227085,-15.7798395,963
-42.630547,-11.9472475,-27.520132,41.329754,27.245966,-22.599743,25.236639,-45.85401,-45.94245,80.757645,-50.09182,-66.2204,-32.570904,-35.939167,-15.663648,-20.894442,1233
-116.07703,-33.233578,-75.54,117.15967,76.608086,-63.101376,71.565704,-133.12512,-131.31502,234.05334,-145.62828,-191.51373,-96.848404,-99.8798,-44.717026,-52.682465,3240
-349.8482,-98.41323,-227.06822,346.28372,228.63748,-189.55981,212.50114,-388.57593,-390.1642,686.4996,-428.1365,-565.23706,-279.11942,-298.53687,-129.30382,-164.38615,10000
-237.63469,-66.82249,-154.11337,234.6029,154.83594,-128.46005,143.99187,-262.65887,-263.84494,464.35513,-289.4229,-382.1574,-188.55472,-202.51703,-87.81433,-112.22949,6800
-134.42004,-37.797634,-87.17216,132.57333,87.468094,-72.62055,81.26918,-148.07898,-148.90884,261.88184,-162.90688,-215.3825,-106.26462,-114.35839,-49.746746,-63.631035,3850
-488.7434,-137.0088,-317.49484,482.118,318.09152,-264.81348,295.83698,-539.1767,-541.82135,953.2017,-593.84955,-783.8756,-386.88608,-416.2956,-180.54146,-231.30533,14000
-199.20291,-55.019886,-129.80759,193.11568,127.237915,-107.30498,117.73782,-213.74646,-214.34264,376.40625,-233.64308,-307.77908,-151.95837,-168.31915,-72.84244,-98.00984,5787
-337.33905,-94.19278,-219.30573,331.2287,218.45052,-182.47717,202.90544,-369.43698,-371.0163,652.4059,-406.1134,-535.72754,-264.4233,-286.74747,-124.23557,-161.35812,9700
-39.303555,-11.329713,-25.304129,39.350693,25.799606,-21.022646,24.12368,-44.656067,-44.34088,78.52578,-48.814747,-64.51354,-32.250835,-33.52094,-15.006839,-18.008945,1100
-191.51326,-52.752544,-124.4688,185.4106,121.8362,-103.10386,113.09883,-205.24663,-205.33418,360.93307,-224.04993,-294.56042,-145.62042,-161.75316,-69.85956,-94.76838,5578
-36.68601,-10.336398,-23.603102,35.5062,23.404692,-19.35401,21.689148,-39.433872,-39.508312,69.429146,-43.0544,-56.978287,-27.968113,-30.860426,-13.523844,-18.000616,1060
-181.83896,-50.34314,-118.33306,176.34784,116.22777,-97.71057,107.59134,-195.49847,-195.77724,344.12128,-213.83069,-281.59485,-138.99362,-153.77467,-66.45442,-89.40145,5279
-279.2599,-77.07,-182.01479,270.67493,178.34018,-150.42076,165.10802,-299.79898,-300.35498,527.67755,-327.83112,-431.5082,-213.04054,-236.10367,-101.95989,-137.50842,8117
-302.9103,-84.636665,-196.82841,297.39664,196.16486,-163.65753,182.2311,-331.88315,-333.09528,585.9593,-364.88007,-481.26544,-237.52802,-257.53314,-111.52415,-144.90851,8710
-27.752394,-7.890023,-17.740242,26.979574,17.797674,-14.543881,16.519447,-30.104586,-30.193882,53.041374,-32.875965,-43.63718,-21.353996,-23.34772,-10.29167,-13.44143,796
-377.9195,-103.751465,-245.53494,365.747,239.87465,-203.91699,223.1986,-404.89423,-404.53568,711.42175,-441.5508,-579.6581,-286.9741,-319.12332,-137.74965,-187.53836,11023
-61.100464,-17.208662,-39.51604,59.90198,39.514965,-32.751537,36.597977,-66.654785,-67.008446,117.77173,-73.08923,-96.74939,-47.711918,-51.790443,-22.589857,-29.287231,1755
-212.41211,-60.46548,-138.57265,214.15607,140.18094,-115.99928,130.95049,-243.00015,-240.57033,427.74524,-266.0026,-349.97208,-176.7554,-182.48936,-81.64418,-96.32668,5931
-155.23108,-43.513096,-100.73765,152.68103,100.72274,-83.79026,93.5645,-170.42308,-171.19672,301.12088,-187.39539,-247.47552,-122.10535,-131.99051,-57.27938,-73.94107,4456
-125.615265,-35.321545,-81.41458,123.83175,81.713326,-67.77017,75.93891,-138.38321,-139.0837,244.67665,-152.31985,-201.28342,-99.26785,-106.91022,-46.41044,-59.521595,3600
-158.69469,-44.49031,-102.974045,156.02075,102.91867,-85.63015,95.587296,-174.14877,-174.87659,307.61105,-191.44995,-252.78682,-124.74213,-134.92482,-58.54351,-75.670166,4557
-300.1012,-82.40632,-194.96071,290.41043,190.5173,-161.79079,177.2542,-321.56897,-321.2337,564.98706,-350.77335,-460.4606,-227.91092,-253.45699,-109.328255,-148.89574,8752
-118.13579,-32.654922,-76.67557,114.41382,75.2001,-63.426235,69.76366,-126.624275,-126.64228,222.66359,-138.11572,-181.81393,-89.845184,-99.73798,-43.153305,-58.435307,3440
-69.14927,-19.558516,-44.64751,67.97653,44.863216,-37.015663,41.65204,-75.939224,-76.23726,134.17068,-83.42827,-110.423676,-54.387886,-58.70461,-25.607336,-32.93284,1981
-469.08713,-128.42827,-304.54465,453.80936,297.17078,-253.4085,277.0468,-502.34305,-501.55844,882.22253,-547.5541,-717.9411,-355.74243,-396.0511,-170.76237,-233.26208,13700
-245.16185,-67.92805,-159.64336,238.47801,157.16508,-132.14815,145.60631,-264.56775,-265.23132,466.09247,-289.59964,-381.59033,-188.3754,-207.52025,-89.780045,-119.80173,7105
-236.04141,-65.64423,-153.53922,230.4618,151.94589,-127.305984,140.91386,-256.30405,-257.08978,451.9773,-281.0729,-370.53427,-182.9015,-200.14377,-86.64744,-114.338295,6816
-158.75162,-43.837097,-103.21012,153.72006,101.15755,-85.31432,93.75284,-170.19453,-170.35097,299.42526,-185.89429,-244.6512,-120.83052,-134.1035,-57.95025,-78.4307,4620
-257.6972,-71.54192,-167.69942,251.15712,165.5752,-138.9037,153.50288,-279.12933,-279.82816,491.96426,-305.9134,-403.0893,-199.00034,-218.36894,-94.48039,-125.314514,7451
-1366.3451,-378.88107,-890.1689,1334.0824,879.4228,-738.8421,816.0974,-1484.1509,-1488.3843,2616.5825,-1628.3601,-2144.3835,-1058.87,-1159.2067,-500.91092,-662.0005,39479
