AFP,Input,Output,Enquiry,File,Interface,Added,Duration,N_effort,Effort
136.0,42.0,64.0,0.0,21.0,0.0,0.0,2.0,687.0,570
96.0,13.0,56.0,0.0,10.0,40.0,119.0,8.0,4530.0,1223
78.0,24.0,24.0,9.0,21.0,0.0,78.0,4.0,1084.0,976
51.0,42.0,0.0,14.0,0.0,0.0,20.0,12.0,466.0,387
1092.0,356.0,84.0,170.0,669.0,21.0,1300.0,13.0,5320.0,4416
134.0,42.0,11.0,32.0,35.0,14.0,134.0,8.0,345.0,286
75.0,24.0,9.0,0.0,36.0,0.0,0.0,5.0,367.0,305
88.0,18.0,20.0,0.0,43.0,0.0,36.0,7.0,155.0,129
3088.0,1061.0,1009.0,772.0,241.0,5.0,544.0,8.0,4266.0,4266
82.0,25.0,46.0,0.0,14.0,15.0,100.0,3.0,440.0,440
110.0,30.0,66.0,0.0,7.0,0.0,18.0,2.0,1362.0,1362
308.0,153.0,83.0,0.0,112.0,10.0,236.0,6.0,2533.0,2533
143.0,75.0,32.0,3.0,62.0,0.0,172.0,10.0,225.0,225
826.0,292.0,326.0,155.0,32.0,0.0,396.0,13.0,11045.0,11045
3460.0,484.0,1831.0,318.0,208.0,142.0,2756.0,24.0,32760.0,32760
73.0,15.0,32.0,0.0,28.0,5.0,80.0,8.0,2475.0,2054
64.0,4.0,56.0,0.0,7.0,0.0,11.0,7.0,252.0,252
497.0,122.0,28.0,113.0,273.0,10.0,454.0,8.0,2362.0,2362
288.0,201.0,0.0,36.0,76.0,0.0,99.0,5.0,2963.0,2459
494.0,134.0,62.0,140.0,91.0,67.0,494.0,21.0,8706.0,8706
130.0,60.0,65.0,0.0,0.0,0.0,14.0,6.0,770.0,770
204.0,47.0,43.0,6.0,29.0,104.0,229.0,36.0,8111.0,8111
17.0,12.0,5.0,0.0,0.0,0.0,17.0,11.0,762.0,762
60.0,10.0,25.0,0.0,31.0,5.0,71.0,1.0,164.0,136
73.0,0.0,20.0,36.0,10.0,0.0,56.0,1.0,431.0,358
169.0,32.0,14.0,25.0,28.0,70.0,169.0,6.0,580.0,481
1351.0,379.0,449.0,271.0,219.0,20.0,1173.0,8.0,3842.0,3189
2087.0,862.0,444.0,303.0,437.0,0.0,2046.0,9.0,22500.0,22500
253.0,72.0,0.0,107.0,29.0,44.0,252.0,13.0,12601.0,11719
102.0,37.0,26.0,10.0,29.0,0.0,102.0,5.0,244.0,183
115.0,49.0,39.0,0.0,15.0,0.0,53.0,5.0,1786.0,1482
288.0,18.0,186.0,21.0,15.0,60.0,300.0,11.0,1251.0,1251
199.0,104.0,7.0,77.0,0.0,0.0,0.0,8.0,1136.0,943
163.0,49.0,14.0,33.0,49.0,10.0,155.0,11.0,3234.0,2684
97.0,21.0,41.0,0.0,49.0,15.0,16.0,9.0,729.0,729
439.0,82.0,222.0,19.0,85.0,10.0,105.0,7.0,3630.0,3630
3113.0,2019.0,609.0,248.0,157.0,80.0,3113.0,24.0,42080.0,34085
153.0,35.0,7.0,57.0,24.0,20.0,143.0,3.0,3283.0,2856
670.0,346.0,97.0,122.0,79.0,0.0,146.0,6.0,6936.0,5757
129.0,19.0,93.0,3.0,10.0,30.0,0.0,15.0,631.0,631
329.0,324.0,68.0,14.0,0.0,0.0,206.0,8.0,2184.0,2184
5684.0,2221.0,454.0,820.0,1137.0,311.0,4943.0,37.0,21014.0,21014
61.0,27.0,4.0,24.0,17.0,0.0,72.0,4.0,502.0,417
267.0,27.0,133.0,51.0,34.0,89.0,70.0,9.0,2683.0,2683
218.0,78.0,16.0,56.0,77.0,0.0,227.0,4.0,6665.0,5532
919.0,458.0,236.0,56.0,58.0,76.0,884.0,6.0,5801.0,4815
66.0,27.0,12.0,6.0,14.0,0.0,28.0,2.0,296.0,246
54.0,36.0,0.0,16.0,0.0,0.0,0.0,1.0,827.0,686
245.0,88.0,105.0,27.0,79.0,0.0,299.0,13.0,870.0,470
54.0,24.0,28.0,0.0,0.0,0.0,0.0,2.0,476.0,395
151.0,40.0,54.0,15.0,21.0,0.0,111.0,3.0,1241.0,1080
103.0,45.0,4.0,27.0,29.0,0.0,105.0,7.0,1396.0,1396
300.0,95.0,82.0,27.0,76.0,0.0,138.0,10.0,2933.0,2933
249.0,126.0,4.0,98.0,21.0,0.0,58.0,9.0,4551.0,4551
224.0,156.0,21.0,0.0,29.0,10.0,6.0,4.0,3613.0,2999
1984.0,255.0,1008.0,192.0,158.0,0.0,1613.0,11.0,2540.0,2540
58.0,15.0,37.0,0.0,0.0,5.0,0.0,2.0,31.0,26
56.0,50.0,0.0,3.0,0.0,0.0,0.0,2.0,540.0,448
244.0,91.0,12.0,44.0,60.0,50.0,257.0,3.0,1092.0,906
12.0,0.0,0.0,6.0,7.0,0.0,10.0,13.0,211.0,211
1416.0,402.0,432.0,0.0,252.0,65.0,376.0,12.0,1724.0,1724
67.0,3.0,26.0,0.0,7.0,35.0,71.0,5.0,1821.0,1584
95.0,36.0,0.0,32.0,24.0,0.0,0.0,7.0,178.0,148
2376.0,638.0,233.0,639.0,580.0,131.0,2221.0,24.0,30701.0,25482
442.0,225.0,102.0,57.0,91.0,0.0,82.0,5.0,683.0,683
68.0,21.0,12.0,19.0,15.0,0.0,11.0,4.0,3037.0,2521
268.0,76.0,96.0,45.0,41.0,10.0,248.0,9.0,2933.0,2933
90.0,96.0,0.0,0.0,0.0,0.0,96.0,2.0,595.0,494
72.0,23.0,25.0,7.0,17.0,0.0,55.0,7.0,486.0,486
505.0,111.0,127.0,18.0,216.0,0.0,472.0,30.0,4955.0,4955
450.0,112.0,145.0,59.0,105.0,0.0,356.0,7.0,6138.0,6138
230.0,129.0,38.0,46.0,57.0,0.0,230.0,10.0,1748.0,1451
242.0,97.0,78.0,4.0,43.0,0.0,0.0,2.0,375.0,311
106.0,21.0,76.0,6.0,0.0,0.0,7.0,2.0,2946.0,2445
31.0,10.0,14.0,0.0,7.0,0.0,4.0,6.0,237.0,237
1186.0,422.0,306.0,109.0,168.0,230.0,1235.0,9.0,3711.0,3711
256.0,69.0,198.0,0.0,0.0,5.0,272.0,19.0,2941.0,2941
191.0,44.0,60.0,15.0,49.0,25.0,159.0,11.0,2430.0,2430
213.0,102.0,63.0,6.0,28.0,0.0,186.0,10.0,3051.0,2532
4562.0,1098.0,1278.0,498.0,1059.0,0.0,3933.0,15.0,26408.0,26408
141.0,44.0,33.0,44.0,17.0,0.0,5.0,2.0,1499.0,1244
187.0,23.0,65.0,17.0,91.0,5.0,201.0,6.0,677.0,562
128.0,45.0,0.0,68.0,0.0,15.0,128.0,10.0,7180.0,3303
194.0,70.0,16.0,0.0,45.0,47.0,46.0,12.0,703.0,499
869.0,288.0,300.0,116.0,230.0,0.0,934.0,6.0,2078.0,2078
125.0,51.0,9.0,33.0,22.0,0.0,20.0,3.0,2802.0,2326
477.0,235.0,117.0,89.0,46.0,10.0,172.0,6.0,2741.0,2741
717.0,716.0,13.0,10.0,24.0,0.0,51.0,5.0,4272.0,3546
25.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,140.0,140
73.0,9.0,61.0,3.0,0.0,0.0,73.0,8.0,1404.0,1404
100.0,61.0,0.0,0.0,0.0,42.0,28.0,12.0,1119.0,929
273.0,103.0,183.0,15.0,17.0,0.0,318.0,5.0,528.0,528
587.0,108.0,119.0,94.0,203.0,0.0,524.0,15.0,3748.0,3748
1437.0,920.0,154.0,41.0,203.0,0.0,1318.0,18.0,4900.0,4900
97.0,3.0,101.0,3.0,0.0,7.0,108.0,12.0,1853.0,1853
224.0,110.0,25.0,6.0,49.0,5.0,195.0,13.0,3322.0,2890
321.0,168.0,46.0,9.0,77.0,15.0,315.0,11.0,1076.0,1076
99.0,6.0,4.0,19.0,59.0,10.0,98.0,4.0,2876.0,2387
416.0,179.0,40.0,54.0,109.0,7.0,318.0,6.0,1911.0,1586
71.0,21.0,21.0,4.0,14.0,5.0,25.0,4.0,1201.0,997
120.0,60.0,48.0,12.0,0.0,0.0,12.0,5.0,212.0,212
213.0,72.0,43.0,3.0,84.0,30.0,132.0,12.0,1278.0,1278
1634.0,625.0,387.0,223.0,399.0,0.0,1634.0,12.0,7060.0,7060
275.0,184.0,11.0,48.0,7.0,0.0,7.0,9.0,702.0,702
458.0,202.0,66.0,75.0,115.0,0.0,458.0,16.0,903.0,903
218.0,28.0,118.0,44.0,0.0,10.0,91.0,8.0,8151.0,6765
498.0,107.0,132.0,7.0,77.0,122.0,445.0,19.0,8227.0,8227
143.0,54.0,65.0,0.0,14.0,0.0,11.0,4.0,402.0,334
722.0,163.0,0.0,202.0,237.0,20.0,622.0,9.0,4164.0,4164
236.0,27.0,192.0,12.0,37.0,0.0,268.0,15.0,6844.0,6844
239.0,39.0,70.0,18.0,62.0,55.0,244.0,10.0,1661.0,1661
1882.0,711.0,589.0,218.0,442.0,0.0,1960.0,10.0,6068.0,6068
291.0,188.0,29.0,0.0,69.0,37.0,323.0,14.0,6519.0,6063
328.0,124.0,71.0,61.0,66.0,0.0,322.0,13.0,665.0,665
264.0,126.0,7.0,50.0,84.0,0.0,267.0,6.0,544.0,544
270.0,54.0,42.0,53.0,91.0,30.0,270.0,6.0,893.0,893
32.0,0.0,7.0,12.0,0.0,10.0,29.0,2.5,352.0,352
1382.0,353.0,245.0,7.0,581.0,253.0,1439.0,8.0,3344.0,3344
98.0,45.0,5.0,19.0,28.0,0.0,94.0,1.0,487.0,404
289.0,3.0,100.0,0.0,66.0,145.0,314.0,8.0,5732.0,5732
1059.0,299.0,234.0,144.0,217.0,60.0,954.0,17.0,26345.0,22920
724.0,331.0,12.0,189.0,164.0,0.0,530.0,9.0,11336.0,9409
40.0,10.0,22.0,0.0,17.0,0.0,49.0,4.0,285.0,285
128.0,72.0,18.0,24.0,7.0,0.0,4.0,3.0,1558.0,1293
1248.0,249.0,262.0,146.0,423.0,15.0,1095.0,12.0,15165.0,15165
387.0,109.0,118.0,67.0,90.0,7.0,391.0,17.0,3960.0,3287
73.0,0.0,65.0,0.0,0.0,5.0,19.0,3.0,920.0,764
151.0,22.0,0.0,68.0,47.0,0.0,32.0,3.0,2643.0,2194
465.0,48.0,162.0,0.0,196.0,37.0,443.0,4.0,2427.0,2014
63.0,29.0,0.0,9.0,24.0,0.0,62.0,4.0,996.0,827
226.0,88.0,70.0,19.0,28.0,0.0,92.0,10.0,2508.0,2508
115.0,76.0,11.0,28.0,0.0,0.0,10.0,1.5,201.0,201
189.0,39.0,112.0,3.0,28.0,0.0,0.0,15.0,563.0,563
55.0,52.0,0.0,6.0,0.0,0.0,58.0,11.0,643.0,534
85.0,12.0,44.0,0.0,24.0,0.0,12.0,4.0,1252.0,1039
2143.0,219.0,657.0,3.0,485.0,437.0,1801.0,7.0,52172.0,43303
520.0,181.0,160.0,9.0,55.0,25.0,430.0,8.0,3133.0,3133
113.0,25.0,34.0,16.0,27.0,0.0,38.0,3.0,2070.0,1801
264.0,85.0,17.0,26.0,133.0,0.0,157.0,6.0,3180.0,2639
349.0,162.0,24.0,18.0,112.0,30.0,342.0,4.0,2360.0,2360
229.0,88.0,5.0,0.0,17.0,131.0,241.0,5.0,2897.0,2520
172.0,88.0,40.0,4.0,30.0,7.0,169.0,5.0,1788.0,1788
323.0,108.0,57.0,53.0,74.0,31.0,323.0,13.0,1238.0,1238
89.0,15.0,28.0,17.0,7.0,30.0,24.0,4.0,442.0,442
878.0,113.0,404.0,161.0,133.0,17.0,828.0,5.0,3742.0,3368
220.0,81.0,50.0,51.0,42.0,0.0,224.0,3.0,281.0,281
150.0,125.0,4.0,20.0,0.0,0.0,6.0,3.0,828.0,687
161.0,60.0,38.0,30.0,41.0,0.0,169.0,2.0,220.0,220
804.0,345.0,334.0,0.0,236.0,42.0,957.0,12.0,13720.0,11388
272.0,63.0,20.0,61.0,71.0,30.0,245.0,14.0,11172.0,9720
33.0,8.0,7.0,0.0,10.0,15.0,32.0,2.0,145.0,145
64.0,20.0,28.0,10.0,7.0,0.0,65.0,3.0,140.0,140
277.0,48.0,110.0,47.0,49.0,0.0,84.0,19.0,1265.0,1265
322.0,78.0,100.0,67.0,54.0,0.0,179.0,13.0,6316.0,5242
164.0,52.0,56.0,18.0,7.0,20.0,110.0,11.0,2791.0,2791
145.0,48.0,10.0,72.0,14.0,0.0,144.0,3.0,894.0,742
73.0,36.0,24.0,12.0,0.0,0.0,0.0,5.0,704.0,584
245.0,42.0,179.0,24.0,42.0,15.0,302.0,7.0,893.0,893
406.0,209.0,36.0,125.0,20.0,0.0,102.0,7.0,6794.0,5639
98.0,35.0,0.0,41.0,20.0,0.0,28.0,5.0,6666.0,5533
83.0,44.0,10.0,3.0,25.0,0.0,15.0,3.0,494.0,410
182.0,30.0,59.0,39.0,29.0,0.0,0.0,5.0,1206.0,1001
820.0,460.0,98.0,199.0,175.0,0.0,685.0,11.0,2552.0,2552
545.0,116.0,226.0,131.0,72.0,0.0,79.0,11.0,8740.0,8740
105.0,96.0,9.0,0.0,0.0,0.0,21.0,8.0,198.0,198
55.0,12.0,10.0,14.0,15.0,0.0,9.0,1.0,2828.0,2347
62.0,27.0,4.0,0.0,31.0,7.0,69.0,8.0,984.0,817
109.0,0.0,105.0,0.0,0.0,0.0,0.0,1.0,300.0,249
436.0,27.0,334.0,15.0,0.0,60.0,436.0,15.0,7762.0,7762
179.0,60.0,44.0,6.0,38.0,40.0,188.0,4.0,935.0,776
1710.0,932.0,521.0,233.0,214.0,0.0,1900.0,21.0,13130.0,13130
128.0,49.0,15.0,25.0,31.0,0.0,120.0,2.0,1890.0,1644
174.0,21.0,7.0,30.0,50.0,32.0,140.0,8.0,13528.0,13528
70.0,28.0,4.0,15.0,21.0,0.0,39.0,5.0,743.0,617
379.0,159.0,29.0,57.0,119.0,15.0,379.0,7.0,2391.0,2391
258.0,12.0,16.0,230.0,0.0,0.0,26.0,5.0,605.0,605
129.0,33.0,0.0,39.0,24.0,25.0,121.0,4.0,2372.0,2064
856.0,349.0,194.0,74.0,84.0,155.0,856.0,12.0,2551.0,2551
127.0,56.0,14.0,10.0,39.0,0.0,25.0,7.0,2010.0,1668
381.0,119.0,107.0,9.0,28.0,65.0,137.0,19.0,1817.0,1817
234.0,117.0,19.0,93.0,0.0,5.0,231.0,10.0,5103.0,5103
215.0,58.0,62.0,46.0,51.0,0.0,82.0,8.0,3417.0,2836
1406.0,541.0,70.0,290.0,335.0,90.0,1326.0,1.0,14698.0,14938
85.0,21.0,67.0,3.0,0.0,15.0,22.0,13.0,1049.0,1049
59.0,10.0,32.0,3.0,21.0,5.0,71.0,10.0,1278.0,1061
358.0,139.0,0.0,89.0,70.0,40.0,338.0,9.0,16770.0,13919
73.0,40.0,0.0,12.0,10.0,0.0,0.0,7.0,4428.0,3675
597.0,189.0,96.0,78.0,239.0,7.0,609.0,6.0,2542.0,2542
276.0,90.0,120.0,34.0,14.0,0.0,101.0,2.0,2244.0,2244
728.0,181.0,165.0,15.0,84.0,167.0,330.0,4.0,9694.0,8046
59.0,0.0,55.0,0.0,0.0,0.0,11.0,6.0,5958.0,4945
98.0,36.0,32.0,9.0,17.0,0.0,45.0,11.0,1582.0,1313
756.0,452.0,66.0,127.0,84.0,5.0,302.0,7.0,3214.0,3214
155.0,120.0,34.0,0.0,0.0,0.0,47.0,10.0,582.0,483
544.0,125.0,104.0,107.0,133.0,0.0,107.0,4.0,2778.0,2306
813.0,27.0,677.0,34.0,0.0,100.0,18.0,9.0,1634.0,1634
75.0,23.0,0.0,30.0,27.0,14.0,94.0,6.0,720.0,720
112.0,85.0,4.0,16.0,14.0,0.0,119.0,13.0,1073.0,1073
211.0,73.0,32.0,79.0,22.0,5.0,111.0,13.0,3566.0,3566
895.0,222.0,271.0,222.0,63.0,0.0,778.0,7.0,780.0,780
74.0,18.0,7.0,37.0,7.0,5.0,74.0,14.0,3995.0,3995
3331.0,1049.0,519.0,399.0,595.0,360.0,2922.0,42.0,49034.0,49034
64.0,15.0,18.0,9.0,15.0,5.0,12.0,6.0,472.0,392
1402.0,328.0,804.0,187.0,49.0,63.0,1431.0,23.0,17219.0,17607
337.0,128.0,21.0,86.0,77.0,25.0,337.0,8.0,657.0,591
73.0,0.0,0.0,67.0,0.0,10.0,39.0,6.0,978.0,812
64.0,12.0,28.0,17.0,7.0,0.0,47.0,12.0,680.0,564
1703.0,186.0,463.0,0.0,516.0,316.0,1481.0,8.0,8549.0,8549
151.0,41.0,21.0,29.0,41.0,19.0,151.0,3.0,434.0,391
66.0,27.0,14.0,6.0,17.0,0.0,42.0,2.0,2189.0,1817
70.0,24.0,0.0,3.0,42.0,5.0,74.0,3.0,659.0,540
754.0,301.0,130.0,204.0,90.0,0.0,213.0,8.0,8967.0,7443
325.0,106.0,49.0,31.0,80.0,12.0,136.0,6.0,10437.0,8663
168.0,84.0,7.0,45.0,40.0,22.0,198.0,12.0,4622.0,4622
226.0,99.0,50.0,43.0,63.0,5.0,260.0,7.0,915.0,915
335.0,83.0,71.0,71.0,111.0,17.0,353.0,12.0,25401.0,25401
76.0,21.0,51.0,3.0,0.0,0.0,63.0,5.0,686.0,569
221.0,31.0,133.0,0.0,45.0,5.0,53.0,4.0,1822.0,1512
1010.0,213.0,224.0,111.0,212.0,75.0,758.0,11.0,5053.0,5053
116.0,46.0,12.0,22.0,35.0,15.0,130.0,10.0,1939.0,1939
39.0,25.0,0.0,3.0,14.0,0.0,11.0,1.0,114.0,114
170.0,75.0,12.0,23.0,39.0,0.0,108.0,8.0,1532.0,1532
179.0,85.0,0.0,49.0,59.0,0.0,193.0,4.0,5690.0,4723
166.0,126.0,0.0,38.0,0.0,0.0,0.0,13.0,3580.0,2971
354.0,48.0,34.0,174.0,73.0,25.0,354.0,10.0,5841.0,5841
615.0,546.0,0.0,74.0,7.0,0.0,627.0,8.0,941.0,941
126.0,46.0,7.0,18.0,49.0,15.0,135.0,8.0,1035.0,1035
1390.0,379.0,377.0,133.0,182.0,170.0,1241.0,13.0,5597.0,5597
129.0,30.0,59.0,10.0,39.0,0.0,94.0,8.0,3600.0,2988
203.0,35.0,48.0,6.0,14.0,100.0,203.0,5.0,3219.0,3219
758.0,116.0,312.0,132.0,30.0,58.0,648.0,15.0,4630.0,4630
558.0,92.0,116.0,57.0,196.0,0.0,461.0,6.0,4112.0,4112
25.0,14.0,0.0,4.0,7.0,0.0,22.0,6.0,580.0,580
850.0,94.0,348.0,205.0,45.0,74.0,320.0,5.0,13183.0,10942
235.0,78.0,10.0,123.0,68.0,0.0,13.0,9.0,1129.0,937
58.0,15.0,0.0,19.0,22.0,0.0,26.0,8.0,3030.0,2515
316.0,14.0,118.0,14.0,155.0,0.0,139.0,8.0,2600.0,2600
7633.0,1240.0,2455.0,135.0,1732.0,1572.0,1376.0,19.0,25217.0,25217
119.0,0.0,118.0,0.0,0.0,0.0,95.0,2.0,212.0,176
55.0,12.0,17.0,6.0,14.0,10.0,59.0,3.0,411.0,341
1644.0,240.0,858.0,177.0,91.0,115.0,1481.0,38.0,16357.0,16357
1193.0,196.0,667.0,149.0,115.0,54.0,516.0,12.0,3622.0,3006
605.0,155.0,231.0,91.0,105.0,0.0,582.0,8.0,2041.0,1694
389.0,120.0,94.0,77.0,63.0,10.0,198.0,6.0,1134.0,1134
132.0,56.0,0.0,27.0,38.0,7.0,128.0,8.0,1429.0,1186
132.0,30.0,50.0,22.0,24.0,0.0,39.0,9.0,1666.0,1383
286.0,94.0,36.0,44.0,38.0,55.0,267.0,6.0,1727.0,1727
305.0,73.0,87.0,39.0,63.0,10.0,272.0,7.0,4504.0,4504
268.0,73.0,105.0,0.0,70.0,0.0,248.0,8.0,5517.0,4800
110.0,36.0,15.0,0.0,49.0,10.0,110.0,24.0,2553.0,2553
3963.0,1184.0,616.0,952.0,1091.0,42.0,3885.0,11.0,16921.0,16921
397.0,83.0,252.0,16.0,58.0,0.0,409.0,7.0,8987.0,7459
254.0,90.0,39.0,3.0,117.0,0.0,119.0,11.0,3877.0,3877
134.0,73.0,0.0,22.0,14.0,0.0,33.0,8.0,2516.0,2088
266.0,101.0,70.0,26.0,56.0,5.0,258.0,8.0,5657.0,4695
237.0,114.0,11.0,44.0,42.0,0.0,181.0,9.0,3857.0,3201
1243.0,555.0,15.0,245.0,394.0,10.0,1219.0,9.0,13843.0,11490
666.0,138.0,233.0,124.0,105.0,5.0,605.0,13.0,752.0,752
1810.0,349.0,423.0,377.0,457.0,10.0,1616.0,35.0,29399.0,29399
88.0,56.0,7.0,15.0,7.0,0.0,9.0,6.0,2770.0,2299
62.0,19.0,8.0,9.0,15.0,0.0,51.0,5.0,949.0,883
305.0,59.0,102.0,19.0,60.0,21.0,138.0,10.0,10484.0,8702
349.0,107.0,93.0,97.0,52.0,0.0,286.0,8.0,3703.0,3703
156.0,0.0,133.0,0.0,10.0,0.0,143.0,4.0,849.0,705
100.0,24.0,76.0,3.0,7.0,0.0,40.0,15.0,1434.0,1434
222.0,20.0,5.0,93.0,73.0,0.0,47.0,4.0,2952.0,2450
506.0,54.0,161.0,43.0,173.0,80.0,511.0,9.0,3500.0,3500
123.0,28.0,0.0,47.0,15.0,25.0,115.0,3.0,2179.0,1896
252.0,0.0,109.0,143.0,0.0,0.0,109.0,11.0,6821.0,6821
258.0,186.0,40.0,19.0,10.0,0.0,0.0,4.0,1678.0,1393
166.0,67.0,88.0,6.0,0.0,0.0,37.0,7.0,3137.0,2604
181.0,45.0,39.0,38.0,42.0,5.0,169.0,10.0,4088.0,3638
284.0,99.0,112.0,26.0,28.0,0.0,220.0,4.0,3234.0,3234
52.0,0.0,60.0,0.0,0.0,0.0,0.0,3.0,304.0,252
102.0,72.0,0.0,18.0,0.0,7.0,0.0,3.0,1239.0,1028
58.0,26.0,29.0,3.0,0.0,0.0,22.0,5.0,833.0,691
1196.0,626.0,108.0,56.0,413.0,5.0,1208.0,15.0,7824.0,7824
38.0,30.0,0.0,8.0,0.0,0.0,32.0,4.0,247.0,247
84.0,33.0,0.0,21.0,27.0,0.0,61.0,10.0,3299.0,2738
73.0,18.0,14.0,8.0,44.0,0.0,40.0,6.0,1351.0,1121
449.0,352.0,12.0,12.0,52.0,0.0,0.0,8.0,19328.0,16042
551.0,188.0,116.0,52.0,114.0,5.0,223.0,13.0,2934.0,2435
194.0,48.0,47.0,28.0,27.0,35.0,185.0,8.0,1440.0,1440
185.0,36.0,14.0,50.0,32.0,10.0,142.0,16.0,6416.0,6416
