Generated_Var_1,Generated_Var_3,Generated_Var_5,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_13,Generated_Var_14,Generated_Var_15,Effort
-184.15334,-163.62083,78.28717,59.490128,-113.91426,-298.53577,105.82852,-111.00536,-221.84364,10577
-68.16179,-59.029503,30.710619,22.520222,-46.688324,-106.6712,36.011566,-38.76482,-82.88185,3983
-54.215767,-44.866673,25.433268,18.01627,-38.500454,-83.31741,26.240759,-30.765461,-65.13431,3164
-59.87896,-51.418427,27.786858,20.252104,-42.478905,-92.99636,30.648806,-33.85696,-73.442444,3542
-73.689255,-59.628372,34.79648,24.929346,-51.781086,-113.321434,34.070526,-42.54663,-87.306076,4277
-123.0165,-112.810295,52.413124,40.69344,-81.18239,-199.10428,71.86577,-73.400314,-152.87215,7252
-69.026245,-54.502525,33.08798,22.656076,-46.933804,-106.07219,31.156473,-39.72785,-80.11672,3948
-67.657845,-59.776405,29.43692,21.720205,-45.02238,-106.96517,37.669674,-38.90969,-82.43982,3927
-16.249504,-6.086919,7.4941177,1.8708977,-9.319852,-21.032034,4.2171116,-10.610457,-13.856171,710
-45.39601,-32.731625,21.71868,12.482292,-26.99691,-69.31936,20.199268,-25.268688,-49.292694,2429
-112.01421,-98.295906,48.07519,35.69476,-69.942375,-179.53099,62.708534,-65.8807,-134.0476,6405
-14.386856,-4.924518,6.838834,1.7138169,-8.219823,-18.260221,3.7765536,-9.47516,-13.0349655,651
-154.88258,-144.02513,65.06389,50.86587,-100.07152,-253.23546,93.183136,-93.23962,-193.49155,9135
-30.964132,-13.954647,16.217981,5.110131,-18.293829,-42.368004,7.150173,-19.791632,-26.342266,1435
-105.73438,-87.82581,46.48995,33.083366,-65.80069,-166.59756,54.438454,-61.768612,-122.16623,5922
-19.060165,-7.7487373,8.775629,2.5442955,-11.45659,-24.783152,4.6525927,-12.384681,-16.36043,847
-141.5482,-121.32611,62.21216,45.622257,-87.14335,-225.89029,76.24351,-82.822334,-167.23819,8050
-90.24262,-61.585632,41.92143,24.689991,-49.41019,-138.79732,38.123993,-53.437946,-91.87553,4620
-52.31406,-21.373402,28.620764,6.8093886,-33.716885,-70.22858,9.053537,-37.42379,-38.31536,2352
-38.98572,-32.56086,16.901922,11.095176,-25.26906,-60.19539,21.013556,-21.550812,-45.67277,2174
-334.92926,-314.58847,140.39203,112.3751,-216.0548,-552.4915,203.79134,-205.23631,-421.09357,19894
-116.16781,-102.81988,50.000824,37.50193,-73.80132,-186.4158,65.283775,-68.43241,-140.30272,6699
-250.89598,-235.86928,105.55376,84.961624,-167.22646,-411.19925,150.5198,-153.15567,-316.73434,14987
-74.97795,-57.958817,33.05235,21.437778,-42.96489,-117.09641,37.54365,-43.743572,-82.21763,4004
-214.32841,-203.30336,90.057594,72.02659,-140.0571,-353.56076,131.8477,-130.27583,-272.29355,12824
-43.220573,-34.667343,18.308132,11.768341,-27.043344,-66.46422,22.215742,-24.62469,-48.46664,2331
-99.30486,-90.75208,42.09214,32.19992,-64.70697,-160.44052,58.395916,-58.79477,-122.90795,5817
-53.83399,-44.462856,23.406162,15.864335,-34.12188,-83.74359,28.125154,-30.683004,-62.17405,2989
-55.32894,-47.913383,23.865627,16.83736,-34.786274,-87.24615,30.96552,-31.26726,-65.98988,3136
-244.57664,-228.43565,102.01343,80.94741,-156.59174,-402.61902,148.91235,-149.70697,-305.7659,14434
-45.5078,-38.83979,19.66813,13.714087,-30.696968,-70.41764,24.446678,-25.606283,-54.12332,2583
-65.4772,-55.004345,27.922667,19.675411,-41.939243,-102.14663,34.477913,-37.89069,-75.897285,3647
-135.73189,-126.96749,58.751526,47.33501,-96.81602,-218.8148,78.52565,-81.45442,-173.30814,8232
-56.78795,-50.32347,24.116045,17.778267,-38.63906,-89.100494,31.710598,-32.65041,-68.99408,3276
-49.93649,-40.261,21.630651,14.074334,-31.099617,-77.24571,25.576109,-28.38948,-56.534023,2723
-61.64169,-51.393253,27.07198,18.899937,-40.449726,-95.7865,31.81548,-35.350777,-72.05075,3472
-28.965405,-23.654354,12.197143,7.4632096,-18.91232,-43.92216,15.578968,-15.783713,-33.30439,1575
-52.66579,-42.32033,23.62976,15.569538,-34.026062,-81.29756,26.186039,-29.827215,-60.41999,2926
-35.208973,-26.791595,15.493221,9.143082,-22.027842,-53.379192,17.161118,-19.62873,-38.776653,1876
-44.959248,-37.320965,19.552557,13.277113,-30.152187,-69.17596,23.289787,-25.412188,-52.46452,2520
-29.602816,-22.597155,13.162568,7.915043,-19.880762,-44.349186,14.210381,-16.452024,-33.142864,1603
-65.883125,-51.94229,29.991488,19.481812,-40.37039,-102.49183,32.266514,-37.50552,-74.47697,3626
-119.09403,-103.608986,51.255642,37.89017,-74.37927,-190.2765,65.56576,-70.047195,-141.60953,6783
-196.61073,-174.9491,84.29913,64.29481,-123.91493,-317.73535,110.92725,-117.705376,-237.66034,11361
-23.363974,-18.364527,10.456463,5.7108393,-15.068912,-35.076706,12.247229,-12.069674,-26.83617,1267
-45.50319,-38.7013,19.528452,13.27097,-28.865856,-70.95999,25.086893,-25.44694,-53.669636,2548
-23.148214,-14.3205385,10.66358,5.4826474,-14.602026,-33.70526,9.056573,-13.215864,-23.124273,1155
-13.121599,-4.728024,5.135535,1.1661404,-8.2970705,-15.966171,3.3464947,-8.738874,-11.015811,546
-42.453075,-31.961061,19.108862,11.534451,-26.734867,-64.54505,19.787313,-24.000055,-46.583088,2275
-163.71274,-132.85286,72.9967,51.524117,-100.07346,-258.2225,81.14927,-96.72277,-186.16661,9100
-15.195688,-3.1888692,5.99025,0.5267037,-11.868632,-16.466362,1.0014639,-12.915579,-9.569563,595
-69.4748,-58.210384,30.829815,21.793604,-45.32033,-108.60142,35.869087,-39.965588,-81.68228,3941
-242.36139,-211.79161,104.39624,78.90787,-149.75612,-390.87054,134.40434,-145.63199,-288.7852,13860
-28.349407,-12.64272,14.916418,5.354379,-19.0098,-37.17904,5.4449983,-18.688637,-26.26379,1400
-53.09428,-37.68401,25.052397,14.512369,-30.805725,-81.337326,23.103516,-30.188046,-56.364647,2800
-168.36916,-142.80699,73.87494,54.362522,-103.593925,-267.92007,88.70037,-99.07484,-196.77798,9520
-109.916885,-79.96134,51.86334,32.1508,-64.177765,-170.10092,47.57201,-64.01926,-117.71053,5880
-420.71295,-365.44498,180.54613,137.25504,-257.08835,-679.74963,232.39697,-255.66246,-497.6078,23940
