Generated_Var_1,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_9,Generated_Var_10,Generated_Var_12,actual
23.194967,13.950133,11.816403,33.06716,-19.951565,2.8318825,-19.78662,387.0
4.9923286,2.842568,2.616556,6.951469,-4.3556867,0.7625189,-4.1738157,88.0
5.586434,3.2141483,2.894596,7.794169,-4.8773885,0.8607912,-4.730028,98.0
1.1456587,0.92307067,-0.37093788,1.2622206,-0.5122569,-0.07122819,-1.1795669,7.3
1.1251067,0.9181227,-0.40868565,1.2326245,-0.47585335,-0.07972996,-1.173339,5.9
65.55312,39.273243,32.911964,93.80702,-56.02734,7.622532,-56.217564,1063.0
49.37174,38.634277,11.351065,71.63252,-39.13343,3.759031,-48.447174,702.0
36.946995,22.05654,18.622112,52.638546,-31.535946,4.322773,-31.470793,605.0
13.684254,8.105515,7.0013847,19.362753,-11.748964,1.7020451,-11.53979,230.0
4.631714,2.6377423,2.3279557,6.4051304,-4.05225,0.7537942,-3.9531288,82.0
3.4002924,2.1590247,1.1148078,4.561837,-2.7439766,0.4448706,-2.992434,55.0
7.8774137,7.1059237,-2.6811895,10.361749,-4.453615,-0.9575828,-9.453803,47.0
2.5089943,2.1457953,-0.98004913,3.0493858,-1.2891631,-0.27153808,-2.929293,12.0
1.5277718,1.2542477,-0.55733097,1.7654463,-0.7237915,-0.12847613,-1.6829165,8.0
1.2321763,0.9858829,-0.3906853,1.3761865,-0.5733581,-0.06799254,-1.2693594,8.0
1.4037659,1.162219,-0.5777055,1.596688,-0.62138706,-0.14533332,-1.5780127,6.0
5.979925,5.273971,-1.5106262,8.02345,-3.6838155,-0.4903929,-6.950595,45.0
5.2478275,3.478206,1.6530755,7.1821656,-4.2430024,0.6693172,-4.7071857,83.0
5.5121126,3.6655188,1.7260926,7.553339,-4.4518933,0.7016704,-4.9501514,87.0
6.5357966,4.2365093,2.3386981,9.031962,-5.4014497,0.8992572,-5.8156424,106.0
9.549035,7.490097,1.4337873,13.492123,-7.2735643,0.57436264,-9.451853,126.0
3.3837798,2.6811495,-0.15318438,4.433619,-2.294081,0.05648295,-3.495356,36.0
78.93988,54.42138,29.193901,113.80423,-64.8197,8.9873295,-72.759254,1272.0
11.73714,9.233484,1.8773577,16.69843,-8.9978,0.7161772,-11.644451,156.0
10.314335,6.1259146,5.305371,14.630508,-8.9335165,1.3777865,-8.794726,176.0
7.127979,4.1346836,3.6889367,9.975124,-6.124622,0.9640652,-5.9164815,122.0
2.5274854,1.5384386,0.8115363,3.2786758,-1.9890618,0.33506966,-2.1693442,41.0
1.5079379,1.1629142,-0.26319116,1.7640507,-0.8384664,-0.011758808,-1.4640591,14.0
1.4739212,1.0359424,0.078435786,1.7714696,-0.9502781,0.0875227,-1.2985172,20.0
1.5769027,1.1825888,-0.054454908,1.8890713,-0.975447,0.030354975,-1.4807293,18.0
60.4881,36.373096,29.870983,86.52921,-51.656715,6.9828367,-52.30441,958.0
14.223144,8.369456,7.21328,20.03401,-12.098257,1.7435709,-11.8597145,237.0
7.502016,4.4593496,3.672416,10.5423565,-6.4784827,1.1002764,-6.4680624,130.0
4.404261,2.9053783,1.3393061,5.9814053,-3.5431266,0.55305356,-3.9416118,70.0
3.2034395,1.7562411,1.5643629,4.3102803,-2.7653418,0.5444971,-2.644211,57.0
4.014166,3.12044,0.2803929,5.4187756,-2.9121237,0.18833143,-3.9798112,50.0
2.4218426,1.5487615,0.6366832,3.1342082,-1.8482163,0.29574612,-2.1206598,38.0
1.9477477,1.5630802,-0.46083263,2.3354318,-1.1047444,-0.082755,-2.0544093,15.0
