size_D,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t08,MI_size_D_t03,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_ifc_TextUI,MI_size_D_t01,MI_size_D_t04,MI_size_D_t06,MI_size_D_t13,effort_D
65,585,260,195,260,195,260,130,260,195,260,65,260,195,130,260,796
390,10140,1560,1560,1950,1170,1950,1170,1560,1560,1560,390,1950,1170,1170,1170,11023
193,2509,386,579,579,386,386,386,579,772,579,193,772,579,579,386,1755
1526,42728,4578,6104,6104,6104,4578,3052,4578,4578,6104,1526,6104,4578,4578,6104,5931
575,7475,2300,2300,2300,1150,1150,1725,1725,1725,2300,575,1150,1725,1725,1150,4456
509,6617,1527,1018,2036,509,2036,1527,1527,1527,2036,509,1018,2036,1527,2036,3600
583,6996,1166,1166,1166,1749,1749,2332,1166,1749,2332,583,583,1166,1749,2915,4557
315,4410,1260,945,1260,630,1575,1575,945,945,1260,315,1260,945,945,945,8752
138,1656,414,276,552,276,414,690,552,414,552,138,414,414,414,552,3440
257,2313,771,1028,1028,771,1028,771,1028,771,1028,257,771,771,771,1028,1981
423,12690,1692,1269,1692,423,2115,1269,1269,1269,1692,423,846,846,846,1692,13700
495,9900,1485,1485,2475,1485,1485,1980,1485,1980,1980,495,1980,1485,1485,1485,7105
622,9952,1866,2488,2488,2488,2488,1866,1866,1866,1866,622,1244,2488,1866,1244,6816
204,2448,816,1020,1020,408,1020,612,1020,612,816,204,612,612,816,612,4620
616,9240,1848,3080,3080,2464,3080,1232,2464,2464,3080,616,1232,1848,1232,616,7451
3634,119922,14536,18170,18170,10902,10902,10902,18170,14536,14536,3634,7268,10902,10902,14536,39479
