size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
387,6,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1798
430,28,7604.24431908543,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2957
204,6,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,963
71,6,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1233
840,6,6631.783821770126,8921.955507527928,8166.353524604348,7440.194954033694,7753.386808366473,3,7691.6219375767205,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3240
1648,11,9189.701177496165,8921.955507527928,8166.353524604348,7440.194954033694,7753.386808366473,4,7691.6219375767205,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10000
1035,8,9189.701177496165,8921.955507527928,8166.353524604348,7440.194954033694,7753.386808366473,4,7691.6219375767205,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6800
548,22,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3850
2054,31,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,8645.141647591041,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,14000
302,26,7604.24431908543,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5787
1172,22,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,8645.141647591041,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9700
253,7,6631.783821770126,7279.228710685109,8166.353524604348,7440.194954033694,8339.546154152467,1,7691.6219375767205,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1100
227,14,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5578
59,6,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1060
299,6,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5279
422,15,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8117
1058,9,9189.701177496165,7279.228710685109,8166.353524604348,8418.923669008951,7753.386808366473,3,7691.6219375767205,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8710
65,9,6631.783821770126,7279.228710685109,7157.986192251201,8418.923669008951,8339.546154152467,3,7691.6219375767205,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,796
390,26,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11023
193,13,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1755
1526,28,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,5931
575,13,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,2,8645.141647591041,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4456
509,13,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3600
583,12,7604.24431908543,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4557
315,14,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8752
138,12,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3440
257,9,9189.701177496165,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1981
423,30,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13700
495,20,7604.24431908543,7279.228710685109,8166.353524604348,8418.923669008951,7753.386808366473,3,7691.6219375767205,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7105
622,16,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6816
204,12,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,8645.141647591041,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4620
616,15,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7451
3634,33,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39479
