size_D,duration_D,nlan,t01,t02,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_TransPro,har_Multi,har_Network,har_PC,dba_Other,ifc_GUI,ifc_TextUI,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_app_InfServ,MI_size_D_t02,MI_size_D_t08,MI_size_D_har_Mainfrm,MI_size_D_t03,MI_size_D_t14,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_app_ProdCont,MI_size_D_telonuse_Yes,MI_duration_D_t07,effort_D
467,13,3,4,3,4,3,3,4,4,3,3,2,3,3,0,0,1,0,0,0,0,0,1,6071,1401,1401,1868,1401,0,1401,1401,467,1868,1401,1868,1401,1401,0,467,39,5100
3368,45,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,1,0,0,0,0,0,1,151560,13472,13472,13472,10104,0,10104,16840,3368,10104,6736,13472,13472,13472,0,0,180,63694
253,4,2,3,3,3,2,4,4,3,2,4,4,2,4,1,0,0,0,0,0,0,0,1,1012,506,506,1012,506,0,759,1012,253,759,506,759,1012,1012,0,253,8,1651
196,10,3,1,4,2,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,0,1,1960,392,392,392,588,0,784,588,0,392,784,588,588,784,196,196,20,1450
185,12,4,3,4,2,3,5,3,3,3,4,4,5,3,0,1,0,0,0,0,0,0,1,2220,555,555,555,740,185,740,925,185,370,925,555,555,740,0,0,36,1745
387,6,2,2,4,3,3,4,5,4,4,4,3,3,4,1,0,0,0,0,0,0,0,1,2322,1161,1548,1935,774,0,1548,1548,387,1161,1161,1548,1548,1548,0,0,18,1798
430,28,2,1,3,3,4,5,3,2,3,3,3,4,3,0,0,0,0,0,0,0,0,1,12040,1720,1290,1290,860,0,1290,2150,430,1290,1720,860,1290,1290,0,0,112,2957
204,6,2,3,4,2,3,4,3,4,2,4,3,3,3,0,0,1,0,0,0,0,0,1,1224,612,408,612,408,0,816,816,204,408,612,816,612,816,0,0,18,963
71,6,1,3,3,3,2,3,4,2,3,4,2,4,3,0,0,1,0,0,0,0,0,1,426,142,213,284,71,0,213,213,71,213,284,142,213,284,0,0,12,1233
840,6,3,4,2,4,4,5,5,4,3,5,4,4,5,0,1,0,1,0,0,0,1,0,5040,3360,2520,4200,2520,840,1680,4200,0,3360,3360,3360,4200,4200,0,0,24,3240
1648,11,4,4,2,4,5,3,5,5,4,5,3,4,5,0,0,1,1,0,0,0,1,0,18128,8240,6592,8240,6592,0,3296,4944,0,6592,6592,8240,8240,8240,0,0,55,10000
1035,8,4,4,2,4,5,3,5,5,4,5,3,4,5,0,0,1,1,0,0,0,1,0,8280,5175,4140,5175,4140,0,2070,3105,0,4140,4140,5175,5175,5175,0,0,40,6800
548,22,1,3,3,4,3,4,3,3,3,4,4,3,3,1,0,0,0,0,0,0,0,1,12056,1644,1644,1644,548,0,1644,2192,548,2192,1644,1644,1644,2192,0,0,66,3850
2054,31,3,4,3,4,3,4,4,4,5,5,4,3,4,1,0,0,1,0,0,0,0,1,63674,6162,10270,8216,6162,0,6162,8216,0,8216,6162,8216,8216,10270,0,2054,93,14000
302,26,2,2,3,2,3,4,3,3,3,3,2,4,3,0,0,0,0,0,0,0,0,1,7852,906,906,906,604,0,906,1208,302,604,1208,906,906,906,0,0,78,5787
1172,22,3,4,2,2,4,2,4,2,4,3,4,3,4,1,0,0,1,0,0,0,0,1,25784,4688,4688,4688,3516,0,2344,2344,0,2344,3516,2344,4688,3516,0,1172,88,9700
253,7,1,3,3,3,3,3,4,3,3,4,4,4,3,0,1,0,0,1,0,0,1,0,1771,759,759,1012,253,253,759,759,0,759,1012,759,759,1012,0,0,21,1100
227,14,2,3,4,2,3,3,5,5,3,3,2,3,3,0,0,1,0,0,0,0,0,1,3178,681,681,1135,454,0,908,681,227,454,681,1135,681,681,0,0,42,5578
59,6,3,4,3,3,2,3,4,3,3,4,3,3,3,0,0,1,0,0,0,0,0,1,354,118,177,236,177,0,177,177,59,177,177,177,177,236,0,0,12,1060
299,6,4,3,3,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,0,0,0,1,1794,897,1495,1196,1196,299,897,1196,299,1196,598,897,897,1196,0,299,18,5279
422,15,1,3,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,0,0,0,1,6330,1266,1688,2110,422,0,1266,1266,422,1266,844,1266,1688,1688,0,0,45,8117
1058,9,3,4,4,3,5,3,4,4,3,5,2,4,4,0,0,1,0,1,0,0,0,1,9522,5290,3174,4232,3174,0,4232,3174,0,3174,4232,4232,4232,5290,0,0,45,8710
65,9,3,4,2,2,4,4,4,4,3,4,4,5,3,0,1,0,0,1,0,1,0,1,585,260,195,260,195,65,130,260,0,130,325,260,195,260,0,0,36,796
390,26,3,5,5,3,4,5,5,4,4,4,3,4,4,1,0,0,1,0,0,0,0,1,10140,1560,1560,1950,1170,0,1950,1950,0,1170,1560,1560,1560,1560,0,0,104,11023
193,13,2,4,4,2,2,2,3,3,3,3,2,4,4,0,0,1,0,0,0,0,0,1,2509,386,579,579,386,0,772,386,193,386,772,579,772,579,0,0,26,1755
1526,28,4,4,3,2,3,3,4,3,4,4,4,3,3,0,1,0,0,0,0,0,0,1,42728,4578,6104,6104,6104,1526,4578,4578,1526,3052,4578,4578,4578,6104,0,1526,84,5931
575,13,2,2,3,3,4,2,4,3,4,4,2,3,3,1,0,0,1,0,0,0,0,1,7475,2300,2300,2300,1150,0,1725,1150,0,1725,1725,1725,1725,2300,0,575,52,4456
509,13,1,2,3,3,3,4,4,3,2,4,4,2,3,0,0,1,0,0,0,0,0,1,6617,1527,1018,2036,509,0,1527,2036,509,1527,1018,1527,1527,2036,0,0,39,3600
583,12,3,1,4,4,2,3,2,2,2,4,5,3,3,0,0,0,0,0,0,0,0,1,6996,1166,1166,1166,1749,0,2332,1749,583,2332,1749,1166,1749,2332,0,0,24,4557
315,14,2,4,3,5,4,5,4,3,3,4,3,3,3,1,0,0,0,0,0,0,0,1,4410,1260,945,1260,630,0,945,1575,315,1575,945,945,945,1260,0,0,56,8752
138,12,2,3,4,5,3,3,4,4,2,4,4,3,3,1,0,0,0,0,0,0,0,1,1656,414,276,552,276,0,552,414,138,690,414,552,414,552,0,0,36,3440
257,9,3,3,4,3,3,4,4,4,4,4,4,4,3,0,0,1,1,0,0,0,0,1,2313,771,1028,1028,771,0,1028,1028,0,771,1028,1028,771,1028,0,0,27,1981
423,30,1,2,3,3,4,5,4,3,3,4,4,2,3,0,0,1,0,0,0,0,0,1,12690,1692,1269,1692,423,0,1269,2115,423,1269,846,1269,1269,1692,0,0,120,13700
495,20,3,4,2,4,3,3,5,3,3,4,3,4,4,0,0,0,0,1,0,0,0,1,9900,1485,1485,2475,1485,0,990,1485,0,1980,1980,1485,1980,1980,0,0,60,7105
622,16,4,2,3,3,3,4,4,3,4,3,2,4,3,1,0,0,1,0,0,0,0,1,9952,1866,2488,2488,2488,0,1866,2488,0,1866,2488,1866,1866,1866,0,622,48,6816
204,12,2,3,3,3,4,5,5,5,5,4,3,2,3,0,1,0,0,0,0,0,0,1,2448,816,1020,1020,408,204,612,1020,204,612,408,1020,612,816,0,204,48,4620
616,15,4,2,3,2,3,5,5,4,5,5,1,5,4,1,0,0,1,0,0,0,0,1,9240,1848,3080,3080,2464,0,1848,3080,0,1232,3080,2464,2464,3080,0,616,45,7451
3634,33,3,2,4,3,4,3,5,5,5,4,4,5,4,1,0,0,1,0,0,0,0,1,119922,14536,18170,18170,10902,0,14536,10902,0,10902,18170,18170,14536,14536,0,0,132,39479
