AFP,Input,Output,Enquiry,File,Interface,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_4,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
355.0,278.0,0.0,73.0,0.0,0.0,0.0,2.6,2.6,3.1,3.1,4.0,1095.0,0.0,21.63743,-17.930487,12.788936,-3.968486,-75.310745,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,2.9,3.4,3.5,4.1,6.0,10957.0,0.0,149.62958,-138.72401,105.932526,-34.052536,-539.94836,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,7.5,6.5,7.5,6.5,6.0,344.0,0.0,5.1821012,-3.990821,3.1806817,-0.9138537,-17.59896,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,5.3,5.6,5.3,5.6,3.0,296.0,1.0,3.7705348,-2.7039058,2.3428464,-0.6374195,-12.544345,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,33.0,36.9,39.8,44.4,13.0,4220.0,0.0,54.634834,-48.720207,28.614258,-12.019365,-184.7823,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,3.5,3.3,4.2,3.9,1.0,296.0,0.0,4.596478,-3.494727,2.838737,-0.8051438,-15.5450735,246
306.0,51.0,105.0,0.0,105.0,45.0,306.0,6.8,6.8,6.8,6.8,24.0,2082.0,0.0,23.873373,-19.8246,14.0945,-4.3835497,-83.15259,2082
244.0,68.0,78.0,22.0,62.0,14.0,244.0,0.8,0.8,0.8,0.8,7.0,191.0,1.0,5.6160426,2.3358133,4.9931293,6.4925156,-10.633908,191
98.0,21.0,46.0,3.0,44.0,0.0,114.0,30.3,26.1,36.6,31.4,15.0,3583.0,0.0,44.658142,-40.076435,23.014969,-10.038141,-150.16872,2974
331.0,100.0,44.0,61.0,107.0,0.0,312.0,1.0,1.1,1.2,1.3,2.0,395.0,0.0,7.126467,6.4113007,1.1991831,1.222398,-13.530482,328
101.0,16.0,5.0,39.0,52.0,0.0,112.0,4.0,3.6,4.0,3.6,8.0,406.0,0.0,4.156491,-2.8058832,2.5363054,-0.67130417,-13.61382,406
192.0,9.0,102.0,0.0,10.0,77.0,198.0,9.3,9.0,11.2,10.9,8.0,2151.0,0.0,26.645908,-22.767555,15.000086,-5.300203,-91.61674,1785
60.0,39.0,4.0,0.0,14.0,10.0,39.0,7.9,7.0,7.9,7.0,8.0,471.0,0.0,6.7315574,-5.303399,4.0854087,-1.201482,-23.033182,471
180.0,74.0,18.0,33.0,57.0,0.0,153.0,3.9,3.8,3.9,3.8,5.0,700.0,0.0,8.06611,-5.90779,4.788482,-1.3629162,-27.07412,700
118.0,43.0,71.0,7.0,0.0,0.0,38.0,4.9,4.8,5.9,5.8,2.0,698.0,0.0,11.168968,-9.062426,6.6764083,-2.0252066,-38.59598,579
73.0,43.0,10.0,4.0,15.0,0.0,6.0,16.6,16.8,20.0,20.3,3.0,1459.0,0.0,20.147701,-16.845379,11.706784,-3.8115876,-69.71108,1211
143.0,63.0,0.0,27.0,45.0,0.0,14.0,8.0,8.4,9.6,10.2,4.0,1372.0,0.0,19.44707,-16.074984,11.509984,-3.561886,-67.62875,1139
2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,6.6,8.0,7.6,9.1,19.0,16690.0,0.0,185.55551,-156.78902,108.50059,-34.3969,-650.2008,14520
9.0,0.0,10.0,0.0,0.0,0.0,5.0,26.6,23.9,26.6,23.9,2.0,239.0,0.0,3.8236344,-4.081165,2.6332455,-0.99183995,-13.530326,239
203.0,21.0,167.0,3.0,10.0,0.0,201.0,6.2,6.3,7.5,7.6,5.0,1520.0,0.0,18.267735,-15.075943,10.821373,-3.3429644,-63.49262,1262
162.0,64.0,36.0,9.0,28.0,20.0,157.0,10.8,11.2,10.8,11.2,8.0,1754.0,0.0,21.481821,-17.798666,12.698074,-3.9396007,-74.765,1754
183.0,60.0,21.0,29.0,71.0,0.0,181.0,8.3,8.4,10.0,10.1,6.0,1824.0,0.0,20.265406,-16.937496,11.784626,-3.8282988,-70.13999,1514
59.0,36.0,21.0,0.0,0.0,0.0,6.0,11.3,11.7,13.6,14.1,8.0,804.0,0.0,11.934362,-9.710808,7.123322,-2.167288,-41.28035,667
412.0,198.0,14.0,99.0,91.0,10.0,412.0,14.2,14.2,14.2,14.2,20.0,5864.0,0.0,70.399315,-59.237732,41.260967,-13.020245,-246.32742,5864
348.0,198.0,14.0,33.0,77.0,0.0,10.0,2.8,3.0,3.4,3.6,3.0,1172.0,0.0,20.623438,-17.071512,12.196863,-3.780257,-71.754486,973
2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,2.1,2.6,2.1,2.6,13.0,5333.0,0.0,46.541603,-23.379465,23.183203,-5.8722873,-144.69229,5333
250.0,28.0,92.0,57.0,0.0,30.0,164.0,7.1,8.6,7.1,8.6,8.0,1775.0,0.0,23.450151,-19.46608,13.847382,-4.304986,-81.668274,1775
206.0,0.0,199.0,0.0,0.0,5.0,100.0,1.0,1.0,1.2,1.2,5.0,246.0,0.0,5.084413,-5.9904475,3.3435168,0.6440607,-20.97615,204
617.0,184.0,136.0,103.0,133.0,0.0,377.0,5.1,5.7,6.1,6.8,7.0,3793.0,0.0,45.890568,-38.47584,26.950327,-8.470639,-160.37085,3148
173.0,0.0,78.0,10.0,17.0,72.0,177.0,50.4,49.2,60.7,59.3,12.0,10501.0,0.0,133.98854,-122.445465,64.91088,-31.752811,-445.32153,8716
286.0,45.0,156.0,27.0,37.0,0.0,265.0,5.1,5.5,5.1,5.5,6.0,1464.0,0.0,17.0451,-14.040224,10.107477,-3.1160033,-59.204617,1464
52.0,13.0,17.0,6.0,10.0,5.0,20.0,26.1,26.6,31.5,32.1,2.0,1636.0,0.0,21.950254,-19.104195,11.873596,-4.642528,-74.43351,1358
45.0,6.0,28.0,0.0,0.0,25.0,59.0,6.2,4.8,6.2,4.8,7.0,281.0,0.0,4.294236,-3.1132743,2.6436625,-0.72902864,-14.339585,281
104.0,30.0,7.0,48.0,15.0,0.0,0.0,22.3,23.2,26.9,28.0,5.0,2796.0,0.0,38.057743,-33.075703,20.893902,-7.8521867,-130.27988,2321
465.0,234.0,44.0,104.0,118.0,0.0,431.0,8.7,8.1,10.5,9.8,13.0,4884.0,0.0,55.76845,-46.843613,32.71802,-10.304293,-195.01437,4054
2145.0,862.0,63.0,491.0,518.0,300.0,2234.0,1.1,1.1,1.1,1.1,84.0,2400.0,1.0,50.27775,42.10805,3.1533446,16.278429,-105.78492,2400
283.0,20.0,125.0,39.0,91.0,17.0,292.0,20.0,19.3,20.0,19.3,13.0,5650.0,0.0,70.45576,-59.285545,41.293922,-13.030718,-246.52536,5650
109.0,0.0,84.0,0.0,17.0,5.0,47.0,14.0,14.4,16.9,17.3,2.0,1837.0,0.0,24.926697,-20.988058,14.384065,-4.7625003,-86.27203,1525
160.0,0.0,21.0,72.0,25.0,40.0,74.0,3.0,3.0,3.6,3.6,2.0,575.0,0.0,9.023025,-7.24455,5.423394,-1.6268506,-31.06977,477
65.0,0.0,64.0,0.0,0.0,0.0,54.0,7.7,7.9,9.3,9.5,2.0,606.0,0.0,8.352458,-6.676499,5.031851,-1.5023727,-28.717972,503
366.0,160.0,27.0,96.0,72.0,0.0,260.0,23.1,23.9,27.9,28.7,10.0,10205.0,0.0,126.44167,-113.216995,66.0949,-27.837936,-428.5496,8470
63.0,18.0,10.0,3.0,28.0,0.0,16.0,12.3,13.2,14.9,15.9,3.0,937.0,0.0,12.915814,-10.590684,7.6382203,-2.3822596,-44.619755,778
309.0,126.0,13.0,59.0,153.0,30.0,381.0,8.4,6.8,8.4,6.8,7.5,2597.0,1.0,28.69007,-23.904926,16.906965,-5.277681,-100.04561,2597
610.0,137.0,174.0,117.0,147.0,0.0,575.0,1.6,1.7,1.6,1.7,3.0,950.0,0.0,12.482533,6.9902797,3.6054258,1.9463062,-28.736235,950
562.0,165.0,125.0,93.0,119.0,0.0,502.0,10.2,11.4,10.2,11.4,13.0,5727.0,0.0,67.55381,-56.827244,39.599472,-12.492025,-236.34772,5727
156.0,21.0,38.0,39.0,7.0,41.0,146.0,13.1,14.0,15.8,16.8,4.0,2458.0,0.0,30.477474,-26.720692,16.377157,-6.4919143,-103.48154,2040
75.0,30.0,5.0,19.0,21.0,0.0,40.0,49.0,49.0,59.1,59.1,8.0,4430.0,0.0,57.552395,-51.90345,29.44211,-13.031509,-193.43945,3677
136.0,42.0,64.0,0.0,21.0,0.0,0.0,4.2,4.5,5.1,5.4,2.0,687.0,0.0,12.179793,-9.918718,7.2666287,-2.212848,-42.141125,570
96.0,13.0,56.0,0.0,10.0,40.0,119.0,12.7,10.3,47.2,38.1,8.0,4530.0,0.0,-59.94726,-68.47105,-111.75376,48.89496,28.208202,1223
78.0,24.0,24.0,9.0,21.0,0.0,78.0,12.5,12.5,13.9,13.9,4.0,1084.0,0.0,13.51398,-11.048936,8.045659,-2.4605162,-46.820354,976
51.0,42.0,0.0,14.0,0.0,0.0,20.0,7.6,6.9,9.1,8.3,12.0,466.0,0.0,7.2368884,-5.7314754,4.3804703,-1.2952874,-24.805468,387
1092.0,356.0,84.0,170.0,669.0,21.0,1300.0,4.0,3.4,4.9,4.1,13.0,5320.0,0.0,44.512943,-37.8935,27.02011,-8.538782,-156.2619,4416
134.0,42.0,11.0,32.0,35.0,14.0,134.0,2.1,2.1,2.6,2.6,8.0,345.0,0.0,4.210028,-1.4373604,2.2210822,-0.48330325,-12.087955,286
75.0,24.0,9.0,0.0,36.0,0.0,0.0,4.1,4.4,4.9,5.3,5.0,367.0,0.0,6.3487806,-4.9791403,3.8619046,-1.1304264,-21.690714,305
88.0,18.0,20.0,0.0,43.0,0.0,36.0,1.5,1.6,1.8,1.9,7.0,155.0,0.0,3.5193756,-2.007453,3.460053,0.58946794,-11.24325,129
3088.0,1061.0,1009.0,772.0,241.0,5.0,544.0,1.4,1.4,1.4,1.4,8.0,4266.0,0.0,147.60867,-71.39388,88.1875,15.11224,-443.04398,4266
82.0,25.0,46.0,0.0,14.0,15.0,100.0,5.4,4.4,5.4,4.4,3.0,440.0,0.0,6.1500373,-4.089499,3.6425686,-0.9737721,-20.098885,440
110.0,30.0,66.0,0.0,7.0,0.0,18.0,12.4,13.2,12.4,13.2,2.0,1362.0,0.0,20.529095,-16.99159,12.141779,-3.7627447,-71.423615,1362
308.0,153.0,83.0,0.0,112.0,10.0,236.0,8.2,7.1,8.2,7.1,6.0,2533.0,0.0,32.938,-27.503445,19.38733,-6.066234,-114.94388,2533
143.0,75.0,32.0,3.0,62.0,0.0,172.0,1.6,1.3,1.6,1.3,10.0,225.0,0.0,5.6256623,1.5160156,7.0249906,1.0358479,-13.888273,225
826.0,292.0,326.0,155.0,32.0,0.0,396.0,13.4,13.7,13.4,13.7,13.0,11045.0,0.0,146.2356,-123.48027,85.5417,-27.097866,-512.2988,11045
3460.0,484.0,1831.0,318.0,208.0,142.0,2756.0,9.5,11.0,9.5,11.0,24.0,32760.0,1.0,405.40268,-343.02637,236.86923,-75.20754,-1421.2443,32760
73.0,15.0,32.0,0.0,28.0,5.0,80.0,28.1,25.7,33.9,30.9,8.0,2475.0,0.0,31.446589,-28.001488,16.376287,-6.985502,-105.80786,2054
64.0,4.0,56.0,0.0,7.0,0.0,11.0,3.9,3.8,3.9,3.8,7.0,252.0,0.0,5.6017256,-4.3462944,3.4256997,-0.9917492,-19.07066,252
497.0,122.0,28.0,113.0,273.0,10.0,454.0,4.8,4.3,4.8,4.3,8.0,2362.0,0.0,25.260954,-21.00005,14.904707,-4.641129,-88.01909,2362
288.0,201.0,0.0,36.0,76.0,0.0,99.0,8.5,7.9,10.3,9.5,5.0,2963.0,0.0,40.07526,-33.549564,23.554775,-7.3911357,-139.97551,2459
494.0,134.0,62.0,140.0,91.0,67.0,494.0,17.6,17.6,17.6,17.6,21.0,8706.0,0.0,107.52233,-90.68544,62.937057,-19.91146,-376.5245,8706
130.0,60.0,65.0,0.0,0.0,0.0,14.0,5.9,6.2,5.9,6.2,6.0,770.0,0.0,13.549028,-11.078626,8.066124,-2.4670227,-46.94327,770
204.0,47.0,43.0,6.0,29.0,104.0,229.0,39.8,35.4,39.8,35.4,36.0,8111.0,0.0,104.73501,-88.324234,61.30955,-19.394043,-366.74887,8111
17.0,12.0,5.0,0.0,0.0,0.0,17.0,44.8,44.8,44.8,44.8,11.0,762.0,0.0,11.650092,-9.491363,7.291004,-2.0285606,-39.79927,762
60.0,10.0,25.0,0.0,31.0,5.0,71.0,2.3,1.9,2.7,2.3,1.0,164.0,0.0,2.678366,-1.4054149,4.379576,0.41839916,-9.186324,136
73.0,0.0,20.0,36.0,10.0,0.0,56.0,4.9,5.4,5.9,6.5,1.0,431.0,0.0,5.779847,-4.4971843,3.5297046,-1.0248141,-19.695362,358
169.0,32.0,14.0,25.0,28.0,70.0,169.0,2.8,2.8,3.4,3.4,6.0,580.0,0.0,6.5749254,-5.097773,3.9830074,-1.1609352,-22.401302,481
1351.0,379.0,449.0,271.0,219.0,20.0,1173.0,2.4,2.4,2.8,2.9,8.0,3842.0,0.0,37.736633,-31.56847,22.18925,-6.9570117,-131.77353,3189
2087.0,862.0,444.0,303.0,437.0,0.0,2046.0,10.8,11.0,10.8,11.0,9.0,22500.0,1.0,262.99454,-222.38931,153.71715,-48.77206,-921.79346,22500
253.0,72.0,0.0,107.0,29.0,44.0,252.0,46.3,46.3,49.8,49.8,13.0,12601.0,0.0,158.92714,-137.26082,89.31633,-31.502888,-550.3895,11719
102.0,37.0,26.0,10.0,29.0,0.0,102.0,1.8,1.8,2.4,2.4,5.0,244.0,0.0,3.805113,-1.5282009,5.715098,0.295479,-12.178052,183
115.0,49.0,39.0,0.0,15.0,0.0,53.0,12.9,14.4,15.5,17.3,5.0,1786.0,0.0,23.632975,-19.815002,13.721223,-4.4701796,-81.89817,1482
288.0,18.0,186.0,21.0,15.0,60.0,300.0,4.3,4.2,4.3,4.2,11.0,1251.0,0.0,15.741023,-12.935513,9.346029,-2.8739264,-54.630993,1251
199.0,104.0,7.0,77.0,0.0,0.0,0.0,4.7,5.0,5.7,6.0,8.0,1136.0,0.0,19.22727,-15.888786,11.381646,-3.5210855,-66.85788,943
163.0,49.0,14.0,33.0,49.0,10.0,155.0,16.5,17.3,19.8,20.9,11.0,3234.0,0.0,39.266895,-34.821712,20.710087,-8.569036,-132.83493,2684
97.0,21.0,41.0,0.0,49.0,15.0,16.0,7.5,5.8,7.5,5.8,9.0,729.0,0.0,12.639182,-10.307877,7.534866,-2.2981255,-43.75228,729
439.0,82.0,222.0,19.0,85.0,10.0,105.0,8.3,8.7,8.3,8.7,7.0,3630.0,0.0,54.23613,-45.54554,31.82329,-10.019844,-189.64023,3630
3113.0,2019.0,609.0,248.0,157.0,80.0,3113.0,10.9,10.9,13.5,13.5,24.0,42080.0,0.0,483.3118,-421.2994,267.62732,-97.97277,-1668.4681,34085
153.0,35.0,7.0,57.0,24.0,20.0,143.0,18.7,20.0,21.5,23.0,3.0,3283.0,0.0,40.681328,-35.40273,22.299707,-8.410031,-139.25552,2856
670.0,346.0,97.0,122.0,79.0,0.0,146.0,8.6,8.9,10.4,10.8,6.0,6936.0,0.0,95.37102,-80.3918,55.841927,-17.655788,-333.90768,5757
129.0,19.0,93.0,3.0,10.0,30.0,0.0,4.9,4.1,4.9,4.1,15.0,631.0,0.0,13.91138,-11.385581,8.2777,-2.5342863,-48.214104,631
329.0,324.0,68.0,14.0,0.0,0.0,206.0,6.6,5.4,6.6,5.4,8.0,2184.0,0.0,30.50684,-25.044525,17.907845,-5.552115,-105.96533,2184
5684.0,2221.0,454.0,820.0,1137.0,311.0,4943.0,3.7,4.3,3.7,4.3,37.0,21014.0,0.0,215.94936,-151.70189,120.26431,-34.560726,-719.8096,21014
61.0,27.0,4.0,24.0,17.0,0.0,72.0,6.8,5.8,8.2,7.0,4.0,502.0,0.0,6.267254,-4.866214,3.8077202,-1.1083944,-21.355145,417
267.0,27.0,133.0,51.0,34.0,89.0,70.0,10.0,8.0,10.0,8.0,9.0,2683.0,0.0,42.063828,-35.234127,24.715895,-7.7602773,-146.9498,2683
218.0,78.0,16.0,56.0,77.0,0.0,227.0,25.4,24.4,30.6,29.4,4.0,6665.0,0.0,81.22744,-73.29482,41.64361,-18.347025,-273.44434,5532
919.0,458.0,236.0,56.0,58.0,76.0,884.0,5.2,5.4,6.3,6.6,6.0,5801.0,0.0,63.209255,-53.146877,37.062695,-11.685537,-221.1106,4815
66.0,27.0,12.0,6.0,14.0,0.0,28.0,3.7,4.2,4.5,5.0,2.0,296.0,0.0,4.9223385,-4.049686,4.3777666,-0.5937782,-17.643991,246
54.0,36.0,0.0,16.0,0.0,0.0,0.0,12.7,13.2,15.3,15.9,1.0,827.0,0.0,12.505804,-10.194888,7.456985,-2.2733662,-43.284496,686
245.0,88.0,105.0,27.0,79.0,0.0,299.0,1.9,1.6,3.6,2.9,13.0,870.0,0.0,3.9832587,-9.096445,3.2635903,-0.7578512,-19.722183,470
54.0,24.0,28.0,0.0,0.0,0.0,0.0,7.3,7.6,8.8,9.2,2.0,476.0,0.0,8.263714,-6.601322,4.9800334,-1.485899,-28.406727,395
151.0,40.0,54.0,15.0,21.0,0.0,111.0,7.2,8.3,8.2,9.5,3.0,1241.0,0.0,15.576011,-12.795727,9.249679,-2.843294,-54.052265,1080
103.0,45.0,4.0,27.0,29.0,0.0,105.0,13.6,13.3,13.6,13.3,7.0,1396.0,0.0,17.566599,-14.4819975,10.41198,-3.2128103,-61.03361,1396
300.0,95.0,82.0,27.0,76.0,0.0,138.0,9.8,10.5,9.8,10.5,10.0,2933.0,0.0,39.914516,-33.413403,23.460913,-7.361296,-139.41174,2933
249.0,126.0,4.0,98.0,21.0,0.0,58.0,18.3,18.3,18.3,18.3,9.0,4551.0,0.0,63.30037,-53.22406,37.115894,-11.702454,-221.43013,4551
224.0,156.0,21.0,0.0,29.0,10.0,6.0,13.4,13.9,16.1,16.7,4.0,3613.0,0.0,49.993927,-41.95188,29.34627,-9.232353,-174.76205,2999
1984.0,255.0,1008.0,192.0,158.0,0.0,1613.0,1.3,1.6,1.3,1.6,11.0,2540.0,0.0,37.607117,8.630749,25.39091,23.9155,-82.635345,2540
58.0,15.0,37.0,0.0,0.0,5.0,0.0,0.4,0.5,0.5,0.5,2.0,31.0,0.0,3.9495037,-7.516505,10.948607,2.979868,-15.416295,26
56.0,50.0,0.0,3.0,0.0,0.0,0.0,8.0,8.5,9.6,10.2,2.0,540.0,0.0,8.844352,-7.093192,5.319067,-1.593684,-30.44313,448
244.0,91.0,12.0,44.0,60.0,50.0,257.0,3.7,3.5,4.5,4.2,3.0,1092.0,0.0,11.496057,-9.097736,6.8311195,-2.0479035,-39.46953,906
12.0,0.0,0.0,6.0,7.0,0.0,10.0,17.6,16.2,17.6,16.2,13.0,211.0,0.0,4.7705493,-4.256762,7.805139,0.3443331,-17.48835,211
1416.0,402.0,432.0,0.0,252.0,65.0,376.0,1.2,1.5,1.2,1.5,12.0,1724.0,0.0,49.606407,-22.160294,28.698719,9.189026,-140.56746,1724
67.0,3.0,26.0,0.0,7.0,35.0,71.0,23.6,22.3,27.2,25.6,5.0,1821.0,0.0,24.114883,-20.90364,13.182289,-5.02053,-82.12198,1584
95.0,36.0,0.0,32.0,24.0,0.0,0.0,1.6,1.6,1.9,1.9,7.0,178.0,0.0,5.9530635,-5.4302883,8.349419,1.6328428,-22.2556,148
2376.0,638.0,233.0,639.0,580.0,131.0,2221.0,10.7,11.5,12.9,13.8,24.0,30701.0,0.0,350.62787,-308.7889,190.26439,-73.27119,-1203.2098,25482
442.0,225.0,102.0,57.0,91.0,0.0,82.0,1.5,1.4,1.5,1.4,5.0,683.0,0.0,22.19358,-12.429625,13.073767,1.4333189,-66.785866,683
68.0,21.0,12.0,19.0,15.0,0.0,11.0,37.1,37.6,44.7,45.3,4.0,3037.0,0.0,40.94747,-36.28437,21.645111,-8.907291,-138.65004,2521
268.0,76.0,96.0,45.0,41.0,10.0,248.0,10.9,10.9,10.9,10.9,9.0,2933.0,0.0,36.86094,-30.826649,21.677933,-6.794456,-128.70233,2933
90.0,96.0,0.0,0.0,0.0,0.0,96.0,5.5,5.1,6.6,6.2,2.0,595.0,0.0,8.768612,-4.722508,5.8464966,-1.2453914,-27.523237,494
72.0,23.0,25.0,7.0,17.0,0.0,55.0,6.8,6.8,6.8,6.8,7.0,486.0,0.0,7.3449574,-5.396008,4.3815913,-1.2455118,-24.667953,486
505.0,111.0,127.0,18.0,216.0,0.0,472.0,9.8,10.5,9.8,10.5,30.0,4955.0,0.0,57.392303,-48.219208,33.666187,-10.60573,-200.7095,4955
450.0,112.0,145.0,59.0,105.0,0.0,356.0,13.6,14.6,13.6,14.6,7.0,6138.0,0.0,76.936485,-64.7755,45.07801,-14.2337475,-269.25443,6138
230.0,129.0,38.0,46.0,57.0,0.0,230.0,6.3,5.4,7.6,6.5,10.0,1748.0,0.0,20.755417,-17.18331,12.273927,-3.8047564,-72.217354,1451
242.0,97.0,78.0,4.0,43.0,0.0,0.0,1.3,1.4,1.5,1.7,2.0,375.0,0.0,12.847134,-8.40439,9.402282,0.7153873,-41.077637,311
106.0,21.0,76.0,6.0,0.0,0.0,7.0,23.1,23.7,27.8,28.6,2.0,2946.0,0.0,40.827644,-35.238037,22.732471,-8.241792,-140.38632,2445
31.0,10.0,14.0,0.0,7.0,0.0,4.0,7.6,7.6,7.6,7.6,6.0,237.0,0.0,5.348196,-4.4016757,6.341644,-0.084156334,-19.801857,237
1186.0,422.0,306.0,109.0,168.0,230.0,1235.0,3.1,3.0,3.1,3.0,9.0,3711.0,0.0,43.743294,-25.978262,23.27303,-6.1791625,-140.01973,3711
256.0,69.0,198.0,0.0,0.0,5.0,272.0,11.5,10.8,11.5,10.8,19.0,2941.0,0.0,37.808853,-31.629648,22.231419,-6.9704185,-132.02682,2941
191.0,44.0,60.0,15.0,49.0,25.0,159.0,12.7,12.6,12.7,12.6,11.0,2430.0,0.0,31.625614,-26.391687,18.621029,-5.8226113,-110.34109,2430
213.0,102.0,63.0,6.0,28.0,0.0,186.0,11.9,12.7,14.3,15.3,10.0,3051.0,0.0,37.082485,-31.685854,21.001274,-7.2898164,-128.05595,2532
4562.0,1098.0,1278.0,498.0,1059.0,0.0,3933.0,5.8,6.7,5.8,6.7,15.0,26408.0,0.0,285.51035,-241.46294,166.86412,-52.951702,-1000.76044,26408
141.0,44.0,33.0,44.0,17.0,0.0,5.0,8.8,9.0,10.6,10.9,2.0,1499.0,0.0,22.748665,-18.871834,13.437783,-4.1747675,-79.20804,1244
187.0,23.0,65.0,17.0,91.0,5.0,201.0,3.0,2.8,3.6,3.4,6.0,677.0,0.0,6.7544537,-5.125041,4.0693536,-1.1743138,-22.885738,562
128.0,45.0,0.0,68.0,0.0,15.0,128.0,25.8,25.8,56.1,56.1,10.0,7180.0,0.0,-24.375109,-114.084625,-58.21202,29.002289,-96.07396,3303
194.0,70.0,16.0,0.0,45.0,47.0,46.0,2.6,2.8,3.6,3.9,12.0,703.0,0.0,11.624828,-9.832939,7.039405,-2.09382,-40.683086,499
869.0,288.0,300.0,116.0,230.0,0.0,934.0,2.4,2.2,2.4,2.2,6.0,2078.0,0.0,23.946272,-6.7886534,11.405924,-3.3557327,-68.73357,2078
125.0,51.0,9.0,33.0,22.0,0.0,20.0,18.6,20.2,22.4,24.4,3.0,2802.0,0.0,37.765156,-32.623516,20.968569,-7.659616,-129.6885,2326
477.0,235.0,117.0,89.0,46.0,10.0,172.0,5.7,5.5,5.7,5.5,6.0,2741.0,0.0,40.9891,-34.323708,24.088364,-7.5607743,-143.18053,2741
717.0,716.0,13.0,10.0,24.0,0.0,51.0,4.9,4.6,6.0,5.6,5.0,4272.0,0.0,68.44898,-57.58556,40.122166,-12.658207,-239.48726,3546
