Dataset                      Metric                    metric valor     t      l
../datasets_2/albrecht.arff  Median Absolute Error      4.25444       500  0.006
../datasets_2/albrecht.arff  RMSE                       6.82589       500  0.006
../datasets_2/albrecht.arff  R2 Score                  -2.22361       500  0.006
../datasets_2/albrecht.arff  MAE                        2.66056       600  0.002
../datasets_2/albrecht.arff  Median Absolute Error      1.83293       600  0.002
../datasets_2/albrecht.arff  RMSE                       3.77528       600  0.002
../datasets_2/albrecht.arff  R2 Score                   0.0138992     600  0.002
../datasets_2/albrecht.arff  MAE                        6.93492       600  0.003
../datasets_2/albrecht.arff  Median Absolute Error      7.02587       600  0.003
../datasets_2/albrecht.arff  RMSE                       7.4097        600  0.003
../datasets_2/albrecht.arff  R2 Score                  -2.79861       600  0.003
../datasets_2/albrecht.arff  MAE                       10.0385        600  0.004
../datasets_2/albrecht.arff  Median Absolute Error      9.72655       600  0.004
../datasets_2/albrecht.arff  RMSE                      10.6032        600  0.004
../datasets_2/albrecht.arff  R2 Score                  -6.77861       600  0.004
../datasets_2/albrecht.arff  MAE                       10.6669        600  0.005
../datasets_2/albrecht.arff  Median Absolute Error     10.4769        600  0.005
../datasets_2/albrecht.arff  RMSE                      12.4468        600  0.005
../datasets_2/albrecht.arff  R2 Score                  -9.71864       600  0.005
../datasets_2/albrecht.arff  MAE                        6.0323        600  0.006
../datasets_2/albrecht.arff  Median Absolute Error      4.88747       600  0.006
../datasets_2/albrecht.arff  RMSE                       7.55758       600  0.006
../datasets_2/albrecht.arff  R2 Score                  -2.95175       600  0.006
../datasets_2/albrecht.arff  MAE                        6.12223       700  0.002
../datasets_2/albrecht.arff  Median Absolute Error      5.71285       700  0.002
../datasets_2/albrecht.arff  RMSE                       7.16193       700  0.002
../datasets_2/albrecht.arff  R2 Score                  -2.54883       700  0.002
../datasets_2/albrecht.arff  MAE                       19.9094        700  0.003
../datasets_2/albrecht.arff  Median Absolute Error     16.7521        700  0.003
../datasets_2/albrecht.arff  RMSE                      20.5277        700  0.003
../datasets_2/albrecht.arff  R2 Score                 -28.1545        700  0.003
../datasets_2/albrecht.arff  MAE                       14.1143        700  0.004
../datasets_2/albrecht.arff  Median Absolute Error     13.8358        700  0.004
../datasets_2/albrecht.arff  RMSE                      14.8807        700  0.004
../datasets_2/albrecht.arff  R2 Score                 -14.3203        700  0.004
../datasets_2/albrecht.arff  MAE                       10.6199        700  0.005
../datasets_2/albrecht.arff  Median Absolute Error      9.82849       700  0.005
../datasets_2/albrecht.arff  RMSE                      12.0893        700  0.005
../datasets_2/albrecht.arff  R2 Score                  -9.11169       700  0.005
../datasets_2/albrecht.arff  MAE                       18.8525        700  0.006
../datasets_2/albrecht.arff  Median Absolute Error     18.0981        700  0.006
../datasets_2/albrecht.arff  RMSE                      19.7176        700  0.006
../datasets_2/albrecht.arff  R2 Score                 -25.8987        700  0.006
../datasets_2/albrecht.arff  MAE                       21.3219        800  0.002
../datasets_2/albrecht.arff  Median Absolute Error     17.9381        800  0.002
../datasets_2/albrecht.arff  RMSE                      22.159         800  0.002
../datasets_2/albrecht.arff  R2 Score                 -32.9722        800  0.002
../datasets_2/albrecht.arff  MAE                       11.9458        800  0.003
../datasets_2/albrecht.arff  Median Absolute Error      8.92264       800  0.003
../datasets_2/albrecht.arff  RMSE                      12.7626        800  0.003
../datasets_2/albrecht.arff  R2 Score                 -10.2694        800  0.003
../datasets_2/albrecht.arff  MAE                       11.0571        800  0.004
../datasets_2/albrecht.arff  Median Absolute Error     10.3471        800  0.004
../datasets_2/albrecht.arff  RMSE                      12.0277        800  0.004
../datasets_2/albrecht.arff  R2 Score                  -9.00898       800  0.004
../datasets_2/albrecht.arff  MAE                        9.68326       800  0.005
../datasets_2/albrecht.arff  Median Absolute Error      7.95684       800  0.005
../datasets_2/albrecht.arff  RMSE                      11.2978        800  0.005
../datasets_2/albrecht.arff  R2 Score                  -7.83108       800  0.005
../datasets_2/albrecht.arff  MAE                        5.20478       800  0.006
../datasets_2/albrecht.arff  Median Absolute Error      5.82891       800  0.006
../datasets_2/albrecht.arff  RMSE                       6.15348       800  0.006
../datasets_2/albrecht.arff  R2 Score                  -1.61979       800  0.006
../datasets_2/albrecht.arff  MAE                        5.87581       900  0.002
../datasets_2/albrecht.arff  Median Absolute Error      5.8616        900  0.002
../datasets_2/albrecht.arff  RMSE                       6.05742       900  0.002
../datasets_2/albrecht.arff  R2 Score                  -1.53863       900  0.002
../datasets_2/albrecht.arff  MAE                        8.27832       900  0.003
../datasets_2/albrecht.arff  Median Absolute Error      8.60526       900  0.003
../datasets_2/albrecht.arff  RMSE                       9.6186        900  0.003
../datasets_2/albrecht.arff  R2 Score                  -5.401         900  0.003
../datasets_2/albrecht.arff  MAE                       10.9936        900  0.004
../datasets_2/albrecht.arff  Median Absolute Error      9.30616       900  0.004
../datasets_2/albrecht.arff  RMSE                      11.8584        900  0.004
../datasets_2/albrecht.arff  R2 Score                  -8.72923       900  0.004
../datasets_2/albrecht.arff  MAE                        3.12489       900  0.005
../datasets_2/albrecht.arff  Median Absolute Error      3.48286       900  0.005
../datasets_2/albrecht.arff  RMSE                       4.02252       900  0.005
../datasets_2/albrecht.arff  R2 Score                  -0.11949       900  0.005
../datasets_2/albrecht.arff  MAE                        2.48576       900  0.006
../datasets_2/albrecht.arff  Median Absolute Error      1.2001        900  0.006
../datasets_2/albrecht.arff  RMSE                       3.84002       900  0.006
../datasets_2/albrecht.arff  R2 Score                  -0.020211      900  0.006
../datasets_2/albrecht.arff  MAE                        8.09583      1000  0.002
../datasets_2/albrecht.arff  Median Absolute Error      2.8671       1000  0.002
../datasets_2/albrecht.arff  RMSE                      10.9872       1000  0.002
../datasets_2/albrecht.arff  R2 Score                  -7.35212      1000  0.002
../datasets_2/albrecht.arff  MAE                        7.80571      1000  0.003
../datasets_2/albrecht.arff  Median Absolute Error      6.81747      1000  0.003
../datasets_2/albrecht.arff  RMSE                       8.66794      1000  0.003
../datasets_2/albrecht.arff  R2 Score                  -4.19823      1000  0.003
../datasets_2/albrecht.arff  MAE                        8.20195      1000  0.004
../datasets_2/albrecht.arff  Median Absolute Error      5.94234      1000  0.004
../datasets_2/albrecht.arff  RMSE                       9.11291      1000  0.004
../datasets_2/albrecht.arff  R2 Score                  -4.74563      1000  0.004
../datasets_2/albrecht.arff  MAE                        7.9677       1000  0.005
../datasets_2/albrecht.arff  Median Absolute Error      6.98458      1000  0.005
../datasets_2/albrecht.arff  RMSE                       8.98755      1000  0.005
../datasets_2/albrecht.arff  R2 Score                  -4.58865      1000  0.005
../datasets_2/albrecht.arff  MAE                        9.18837      1000  0.006
../datasets_2/albrecht.arff  Median Absolute Error      7.9892       1000  0.006
../datasets_2/albrecht.arff  RMSE                      11.5592       1000  0.006
../datasets_2/albrecht.arff  R2 Score                  -8.24445      1000  0.006
../datasets_2/kemerer.arff   MAE                      109.734         100  0.002
../datasets_2/kemerer.arff   Median Absolute Error     82.4059        100  0.002
../datasets_2/kemerer.arff   RMSE                     131.603         100  0.002
../datasets_2/kemerer.arff   R2 Score                  -0.467854      100  0.002
../datasets_2/kemerer.arff   MAE                      131.339         100  0.003
../datasets_2/kemerer.arff   Median Absolute Error    135.202         100  0.003
../datasets_2/kemerer.arff   RMSE                     142.131         100  0.003
../datasets_2/kemerer.arff   R2 Score                  -0.712112      100  0.003
../datasets_2/kemerer.arff   MAE                      176.086         100  0.004
../datasets_2/kemerer.arff   Median Absolute Error    176.779         100  0.004
../datasets_2/kemerer.arff   RMSE                     195.681         100  0.004
../datasets_2/kemerer.arff   R2 Score                  -2.24525       100  0.004
../datasets_2/kemerer.arff   MAE                      183.506         100  0.005
../datasets_2/kemerer.arff   Median Absolute Error    189.391         100  0.005
../datasets_2/kemerer.arff   RMSE                     201.98          100  0.005
../datasets_2/kemerer.arff   R2 Score                  -2.45757       100  0.005
../datasets_2/kemerer.arff   MAE                      185.227         100  0.006
../datasets_2/kemerer.arff   Median Absolute Error    171.849         100  0.006
../datasets_2/kemerer.arff   RMSE                     211.392         100  0.006
../datasets_2/kemerer.arff   R2 Score                  -2.78728       100  0.006
../datasets_2/kemerer.arff   MAE                       92.4519        200  0.002
../datasets_2/kemerer.arff   Median Absolute Error     97.793         200  0.002
../datasets_2/kemerer.arff   RMSE                     114.68          200  0.002
../datasets_2/kemerer.arff   R2 Score                  -0.114631      200  0.002
../datasets_2/kemerer.arff   MAE                      147.424         200  0.003
../datasets_2/kemerer.arff   Median Absolute Error    168.892         200  0.003
../datasets_2/kemerer.arff   RMSE                     160.509         200  0.003
../datasets_2/kemerer.arff   R2 Score                  -1.18348       200  0.003
../datasets_2/kemerer.arff   MAE                      156.653         200  0.004
../datasets_2/kemerer.arff   Median Absolute Error    118.344         200  0.004
../datasets_2/kemerer.arff   RMSE                     170.702         200  0.004
../datasets_2/kemerer.arff   R2 Score                  -1.46962       200  0.004
../datasets_2/kemerer.arff   MAE                      238.972         200  0.005
../datasets_2/kemerer.arff   Median Absolute Error    119.295         200  0.005
../datasets_2/kemerer.arff   RMSE                     341.197         200  0.005
../datasets_2/kemerer.arff   R2 Score                  -8.8665        200  0.005
../datasets_2/kemerer.arff   MAE                      269.643         200  0.006
../datasets_2/kemerer.arff   Median Absolute Error    115.772         200  0.006
../datasets_2/kemerer.arff   RMSE                     393.775         200  0.006
../datasets_2/kemerer.arff   R2 Score                 -12.1416        200  0.006
../datasets_2/kemerer.arff   MAE                       90.3989        300  0.002
../datasets_2/kemerer.arff   Median Absolute Error     72.5533        300  0.002
../datasets_2/kemerer.arff   RMSE                     101.038         300  0.002
../datasets_2/kemerer.arff   R2 Score                   0.134796      300  0.002
../datasets_2/kemerer.arff   MAE                      176.039         300  0.003
../datasets_2/kemerer.arff   Median Absolute Error    142.983         300  0.003
../datasets_2/kemerer.arff   RMSE                     220.34          300  0.003
../datasets_2/kemerer.arff   R2 Score                  -3.11472       300  0.003
../datasets_2/kemerer.arff   MAE                       54.4881        300  0.004
../datasets_2/kemerer.arff   Median Absolute Error     32.4641        300  0.004
../datasets_2/kemerer.arff   RMSE                      68.5728        300  0.004
../datasets_2/kemerer.arff   R2 Score                   0.601475      300  0.004
../datasets_2/kemerer.arff   MAE                      235.385         300  0.005
../datasets_2/kemerer.arff   Median Absolute Error    145.667         300  0.005
../datasets_2/kemerer.arff   RMSE                     326.63          300  0.005
../datasets_2/kemerer.arff   R2 Score                  -8.04202       300  0.005
../datasets_2/kemerer.arff   MAE                      154.991         300  0.006
../datasets_2/kemerer.arff   Median Absolute Error    193.634         300  0.006
../datasets_2/kemerer.arff   RMSE                     165.91          300  0.006
../datasets_2/kemerer.arff   R2 Score                  -1.3329        300  0.006
../datasets_2/kemerer.arff   MAE                      219.611         400  0.002
../datasets_2/kemerer.arff   Median Absolute Error    156.412         400  0.002
../datasets_2/kemerer.arff   RMSE                     284.008         400  0.002
../datasets_2/kemerer.arff   R2 Score                  -5.83621       400  0.002
../datasets_2/kemerer.arff   MAE                      127.353         400  0.003
../datasets_2/kemerer.arff   Median Absolute Error    143.07          400  0.003
../datasets_2/kemerer.arff   RMSE                     133.902         400  0.003
../datasets_2/kemerer.arff   R2 Score                  -0.51958       400  0.003
../datasets_2/kemerer.arff   MAE                       93.9651        400  0.004
../datasets_2/kemerer.arff   Median Absolute Error     79.2566        400  0.004
../datasets_2/kemerer.arff   RMSE                     122.83          400  0.004
../datasets_2/kemerer.arff   R2 Score                  -0.278675      400  0.004
../datasets_2/kemerer.arff   MAE                      243.878         400  0.005
../datasets_2/kemerer.arff   Median Absolute Error    155.384         400  0.005
../datasets_2/kemerer.arff   RMSE                     329.609         400  0.005
../datasets_2/kemerer.arff   R2 Score                  -8.20768       400  0.005
../datasets_2/kemerer.arff   MAE                      165.613         400  0.006
../datasets_2/kemerer.arff   Median Absolute Error    118.304         400  0.006
../datasets_2/kemerer.arff   RMSE                     213.272         400  0.006
../datasets_2/kemerer.arff   R2 Score                  -2.85497       400  0.006
../datasets_2/kemerer.arff   MAE                      190.268         500  0.002
../datasets_2/kemerer.arff   Median Absolute Error    126.98          500  0.002
../datasets_2/kemerer.arff   RMSE                     248.764         500  0.002
../datasets_2/kemerer.arff   R2 Score                  -4.24477       500  0.002
../datasets_2/kemerer.arff   MAE                       47.1292        500  0.003
../datasets_2/kemerer.arff   Median Absolute Error     28.0956        500  0.003
../datasets_2/kemerer.arff   RMSE                      55.0543        500  0.003
../datasets_2/kemerer.arff   R2 Score                   0.743117      500  0.003
../datasets_2/kemerer.arff   MAE                      204.169         500  0.004
../datasets_2/kemerer.arff   Median Absolute Error    181.405         500  0.004
../datasets_2/kemerer.arff   RMSE                     234.18          500  0.004
../datasets_2/kemerer.arff   R2 Score                  -3.64784       500  0.004
../datasets_2/kemerer.arff   MAE                      183.319         500  0.005
../datasets_2/kemerer.arff   Median Absolute Error    146.387         500  0.005
../datasets_2/kemerer.arff   RMSE                     236.801         500  0.005
../datasets_2/kemerer.arff   R2 Score                  -3.75246       500  0.005
../datasets_2/kemerer.arff   MAE                      186.674         500  0.006
../datasets_2/kemerer.arff   Median Absolute Error    163.737         500  0.006
../datasets_2/kemerer.arff   RMSE                     224.847         500  0.006
../datasets_2/kemerer.arff   R2 Score                  -3.28476       500  0.006
../datasets_2/kemerer.arff   MAE                      129.178         600  0.002
../datasets_2/kemerer.arff   Median Absolute Error    156.96          600  0.002
../datasets_2/kemerer.arff   RMSE                     144.048         600  0.002
../datasets_2/kemerer.arff   R2 Score                  -0.75861       600  0.002
../datasets_2/kemerer.arff   MAE                      159.673         600  0.003
../datasets_2/kemerer.arff   Median Absolute Error    182.867         600  0.003
../datasets_2/kemerer.arff   RMSE                     189.148         600  0.003
../datasets_2/kemerer.arff   R2 Score                  -2.03219       600  0.003
../datasets_2/kemerer.arff   MAE                      114.501         600  0.004
../datasets_2/kemerer.arff   Median Absolute Error    115.13          600  0.004
../datasets_2/kemerer.arff   RMSE                     134.073         600  0.004
../datasets_2/kemerer.arff   R2 Score                  -0.523472      600  0.004
../datasets_2/kemerer.arff   MAE                      149.665         600  0.005
../datasets_2/kemerer.arff   Median Absolute Error     84.835         600  0.005
../datasets_2/kemerer.arff   RMSE                     194.173         600  0.005
../datasets_2/kemerer.arff   R2 Score                  -2.19542       600  0.005
../datasets_2/kemerer.arff   MAE                      165.489         600  0.006
../datasets_2/kemerer.arff   Median Absolute Error    132.86          600  0.006
../datasets_2/kemerer.arff   RMSE                     197.936         600  0.006
../datasets_2/kemerer.arff   R2 Score                  -2.32049       600  0.006
../datasets_2/kemerer.arff   MAE                       50.8765        700  0.002
../datasets_2/kemerer.arff   Median Absolute Error     33.1105        700  0.002
../datasets_2/kemerer.arff   RMSE                      58.9422        700  0.002
../datasets_2/kemerer.arff   R2 Score                   0.705555      700  0.002
../datasets_2/kemerer.arff   MAE                      224.541         700  0.003
../datasets_2/kemerer.arff   Median Absolute Error    204.266         700  0.003
../datasets_2/kemerer.arff   RMSE                     248.028         700  0.003
../datasets_2/kemerer.arff   R2 Score                  -4.21381       700  0.003
../datasets_2/kemerer.arff   MAE                      212.934         700  0.004
../datasets_2/kemerer.arff   Median Absolute Error    104.427         700  0.004
../datasets_2/kemerer.arff   RMSE                     307.642         700  0.004
../datasets_2/kemerer.arff   R2 Score                  -7.0213        700  0.004
../datasets_2/kemerer.arff   MAE                      217.893         700  0.005
../datasets_2/kemerer.arff   Median Absolute Error    118.423         700  0.005
../datasets_2/kemerer.arff   RMSE                     299.591         700  0.005
../datasets_2/kemerer.arff   R2 Score                  -6.60695       700  0.005
../datasets_2/kemerer.arff   MAE                      299.108         700  0.006
../datasets_2/kemerer.arff   Median Absolute Error    114.365         700  0.006
../datasets_2/kemerer.arff   RMSE                     440.662         700  0.006
../datasets_2/kemerer.arff   R2 Score                 -15.4575        700  0.006
../datasets_2/kemerer.arff   MAE                      147.491         800  0.002
../datasets_2/kemerer.arff   Median Absolute Error    103.589         800  0.002
../datasets_2/kemerer.arff   RMSE                     165.687         800  0.002
../datasets_2/kemerer.arff   R2 Score                  -1.32665       800  0.002
../datasets_2/kemerer.arff   MAE                      168.322         800  0.003
../datasets_2/kemerer.arff   Median Absolute Error    209.904         800  0.003
../datasets_2/kemerer.arff   RMSE                     183.971         800  0.003
../datasets_2/kemerer.arff   R2 Score                  -1.86849       800  0.003
../datasets_2/kemerer.arff   MAE                       32.3737        800  0.004
../datasets_2/kemerer.arff   Median Absolute Error      8.0025        800  0.004
../datasets_2/kemerer.arff   RMSE                      51.582         800  0.004
../datasets_2/kemerer.arff   R2 Score                   0.774499      800  0.004
../datasets_2/kemerer.arff   MAE                      111.234         800  0.005
../datasets_2/kemerer.arff   Median Absolute Error     79.9467        800  0.005
../datasets_2/kemerer.arff   RMSE                     122.715         800  0.005
../datasets_2/kemerer.arff   R2 Score                  -0.27628       800  0.005
../datasets_2/kemerer.arff   MAE                      211.927         800  0.006
../datasets_2/kemerer.arff   Median Absolute Error    155.741         800  0.006
../datasets_2/kemerer.arff   RMSE                     261.341         800  0.006
../datasets_2/kemerer.arff   R2 Score                  -4.78851       800  0.006
../datasets_2/kemerer.arff   MAE                      213.914         900  0.002
../datasets_2/kemerer.arff   Median Absolute Error    140.02          900  0.002
../datasets_2/kemerer.arff   RMSE                     284.101         900  0.002
../datasets_2/kemerer.arff   R2 Score                  -5.84066       900  0.002
../datasets_2/kemerer.arff   MAE                      170.959         900  0.003
../datasets_2/kemerer.arff   Median Absolute Error    158.522         900  0.003
../datasets_2/kemerer.arff   RMSE                     193.512         900  0.003
../datasets_2/kemerer.arff   R2 Score                  -2.17371       900  0.003
../datasets_2/kemerer.arff   MAE                      150.085         900  0.004
../datasets_2/kemerer.arff   Median Absolute Error    133.041         900  0.004
../datasets_2/kemerer.arff   RMSE                     181.028         900  0.004
../datasets_2/kemerer.arff   R2 Score                  -1.77743       900  0.004
../datasets_2/kemerer.arff   MAE                      171.608         900  0.005
../datasets_2/kemerer.arff   Median Absolute Error    181.693         900  0.005
../datasets_2/kemerer.arff   RMSE                     188.133         900  0.005
../datasets_2/kemerer.arff   R2 Score                  -1.99973       900  0.005
../datasets_2/kemerer.arff   MAE                      198.144         900  0.006
../datasets_2/kemerer.arff   Median Absolute Error    126.987         900  0.006
../datasets_2/kemerer.arff   RMSE                     260.923         900  0.006
../datasets_2/kemerer.arff   R2 Score                  -4.77003       900  0.006
../datasets_2/kemerer.arff   MAE                      133.381        1000  0.002
../datasets_2/kemerer.arff   Median Absolute Error    162.12         1000  0.002
../datasets_2/kemerer.arff   RMSE                     152.649        1000  0.002
../datasets_2/kemerer.arff   R2 Score                  -0.974873     1000  0.002
../datasets_2/kemerer.arff   MAE                       77.8675       1000  0.003
../datasets_2/kemerer.arff   Median Absolute Error     51.6704       1000  0.003
../datasets_2/kemerer.arff   RMSE                      89.2879       1000  0.003
../datasets_2/kemerer.arff   R2 Score                   0.324325     1000  0.003
../datasets_2/kemerer.arff   MAE                      232.422        1000  0.004
../datasets_2/kemerer.arff   Median Absolute Error    138.133        1000  0.004
../datasets_2/kemerer.arff   RMSE                     318.047        1000  0.004
../datasets_2/kemerer.arff   R2 Score                  -7.57302      1000  0.004
../datasets_2/kemerer.arff   MAE                       23.2122       1000  0.005
../datasets_2/kemerer.arff   Median Absolute Error     23.1254       1000  0.005
../datasets_2/kemerer.arff   RMSE                      25.697        1000  0.005
../datasets_2/kemerer.arff   R2 Score                   0.944035     1000  0.005
../datasets_2/kemerer.arff   MAE                      148.263        1000  0.006
../datasets_2/kemerer.arff   Median Absolute Error    127.12         1000  0.006
../datasets_2/kemerer.arff   RMSE                     160.083        1000  0.006
../datasets_2/kemerer.arff   R2 Score                  -1.17191      1000  0.006
../datasets_2/cocomo81.arff  MAE                     1122.78          100  0.002
../datasets_2/cocomo81.arff  Median Absolute Error    104.08          100  0.002
../datasets_2/cocomo81.arff  RMSE                    2684.04          100  0.002
../datasets_2/cocomo81.arff  R2 Score                   0.178613      100  0.002
../datasets_2/cocomo81.arff  MAE                     1135.46          100  0.003
../datasets_2/cocomo81.arff  Median Absolute Error     93.4312        100  0.003
../datasets_2/cocomo81.arff  RMSE                    2730.48          100  0.003
../datasets_2/cocomo81.arff  R2 Score                   0.149945      100  0.003
../datasets_2/cocomo81.arff  MAE                     1130.64          100  0.004
../datasets_2/cocomo81.arff  Median Absolute Error    101.863         100  0.004
../datasets_2/cocomo81.arff  RMSE                    2709.34          100  0.004
../datasets_2/cocomo81.arff  R2 Score                   0.163056      100  0.004
../datasets_2/cocomo81.arff  MAE                     1123.92          100  0.005
../datasets_2/cocomo81.arff  Median Absolute Error    104.856         100  0.005
../datasets_2/cocomo81.arff  RMSE                    2688.3           100  0.005
../datasets_2/cocomo81.arff  R2 Score                   0.176006      100  0.005
../datasets_2/cocomo81.arff  MAE                     1121.87          100  0.006
../datasets_2/cocomo81.arff  Median Absolute Error    154.518         100  0.006
../datasets_2/cocomo81.arff  RMSE                    2679.65          100  0.006
../datasets_2/cocomo81.arff  R2 Score                   0.181303      100  0.006
../datasets_2/cocomo81.arff  MAE                     1117.4           200  0.002
../datasets_2/cocomo81.arff  Median Absolute Error    117.751         200  0.002
../datasets_2/cocomo81.arff  RMSE                    2659.48          200  0.002
../datasets_2/cocomo81.arff  R2 Score                   0.193579      200  0.002
../datasets_2/cocomo81.arff  MAE                     1138.83          200  0.003
