rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,MI_aexp_data,actual
0.88,0.94,0.85,1.0,1.06,1.15,1.0,1.0,1.0,1.0,1.1,1.07,1.24,1.1,1.0,8.2,0.94,41.0
0.88,0.94,1.15,1.11,1.21,1.3,1.0,0.71,1.0,0.7,1.1,1.07,1.0,1.1,1.08,5.3,0.94,14.0
1.0,0.94,1.0,1.0,1.06,1.15,0.87,1.0,0.82,1.0,1.0,0.95,0.91,1.1,1.0,4.4,0.7707999999999999,20.0
0.88,0.94,0.7,1.0,1.0,0.87,0.87,0.86,0.82,1.17,0.9,0.95,1.1,1.0,1.0,6.3,0.7707999999999999,18.0
1.15,0.94,1.3,1.3,1.21,1.0,1.0,0.86,0.91,1.0,1.1,1.07,1.1,1.1,1.08,27.0,0.8553999999999999,958.0
1.0,0.94,1.15,1.11,1.21,1.3,1.0,1.0,1.0,1.0,1.1,1.07,1.1,1.1,1.23,17.0,0.94,237.0
1.4,0.94,1.3,1.66,1.21,1.0,1.0,0.71,0.82,0.7,0.9,0.95,0.91,1.0,1.0,25.0,0.7707999999999999,130.0
1.0,0.94,1.15,1.06,1.06,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,23.0,0.94,70.0
1.15,0.94,1.3,1.11,1.06,1.0,1.0,0.86,1.13,0.86,1.1,1.07,1.1,1.1,1.08,6.7,1.0621999999999998,57.0
1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,0.86,0.9,1.0,0.82,1.0,1.0,28.0,0.94,50.0
0.88,0.94,1.3,1.11,1.21,1.15,1.0,0.78,0.82,0.7,1.21,1.14,0.91,1.24,1.0,9.1,0.7707999999999999,38.0
1.0,0.94,1.15,1.0,1.0,1.0,0.87,0.71,0.82,0.86,1.0,1.0,0.82,1.0,1.0,10.0,0.7707999999999999,15.0
