size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,ifc_GUI,source_Inhouse,telonuse_No,MI_size_D_app_InfServ,MI_size_D_har_Mainfrm,MI_size_D_t14,MI_size_D_telonuse_Yes,MI_size_D_ifc_GUI,MI_size_D_har_Multi,MI_size_D_app_CustServ,effort_D
204,6,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,204,612,0,0,0,0,963
71,6,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,71,284,0,0,0,0,1233
840,6,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,840,0,3360,0,840,840,0,3240
1648,11,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,6592,0,1648,1648,0,10000
1035,8,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,4140,0,1035,1035,0,6800
548,22,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,548,1644,0,0,0,548,3850
2054,31,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6162,2054,0,2054,2054,14000
302,26,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,302,1208,0,0,0,0,5787
1172,22,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3516,1172,0,1172,1172,9700
253,7,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,253,0,1012,0,253,0,0,1100
227,14,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,227,681,0,0,0,0,5578
59,6,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,59,177,0,0,0,0,1060
299,6,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,299,299,598,299,0,0,0,5279
422,15,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,422,844,0,0,0,422,8117
1058,9,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4232,0,0,0,0,8710
65,9,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,65,0,325,0,0,0,0,796
390,26,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1560,0,0,390,390,11023
193,13,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,193,772,0,0,0,0,1755
1526,28,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1526,1526,4578,1526,0,0,0,5931
575,13,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1725,575,0,575,575,4456
509,13,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,509,1018,0,0,0,0,3600
583,12,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,583,1749,0,0,0,0,4557
315,14,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,315,945,0,0,0,315,8752
138,12,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,138,414,0,0,0,138,3440
257,9,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1028,0,0,257,0,1981
423,30,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,423,846,0,0,0,0,13700
495,20,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1980,0,0,0,0,7105
622,16,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2488,622,0,622,622,6816
204,12,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,204,204,408,204,0,0,0,4620
616,15,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3080,616,0,616,616,7451
3634,33,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,18170,0,0,3634,3634,39479
