YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,MI_PointsAdjust_Entities,MI_PointsAdjust_Language_3,MI_PointsAdjust_Language_2,MI_PointsAdjust_Language_1,MI_PointsAdjust_ManagerExp_4,MI_PointsAdjust_TeamExp_3,MI_PointsAdjust_ManagerExp_3,MI_Entities_Envergure,Effort
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6954,183,0,0,0,0,0,1026,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,19656,252,0,0,252,0,0,3198,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25935,0,0,285,0,0,0,3185,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8575,175,0,0,0,0,0,1862,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30464,0,256,0,0,0,256,4046,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33176,377,0,0,377,0,0,2464,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,58176,0,0,404,0,0,0,3456,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12803,217,0,0,217,0,0,1062,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,64815,0,447,0,0,447,447,7540,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23952,0,0,499,0,0,0,1344,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,104676,793,0,0,793,0,0,3036,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6372,0,0,118,0,0,0,1350,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,118220,0,0,514,514,0,0,11500,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,38808,0,0,308,0,0,0,4410,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,167660,0,0,505,0,0,505,6308,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1813,0,0,259,0,0,0,196,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,55980,0,0,311,0,0,311,9180,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5655,0,0,145,0,0,145,234,2331
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,22032,0,0,204,0,204,204,3132,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13536,0,0,188,0,0,188,1296,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6615,0,0,135,0,135,135,1568,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41382,0,0,342,0,0,342,4235,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15072,0,0,157,0,0,0,1728,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19669,0,221,0,0,0,221,445,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,167184,0,432,0,0,432,0,6192,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18704,0,167,0,0,0,0,1344,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9152,0,176,0,176,0,0,728,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,30996,0,246,0,0,246,246,1890,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2528,0,79,0,0,0,0,448,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24931,0,233,0,0,0,0,2461,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6570,0,146,0,0,146,0,675,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17523,0,0,177,0,0,0,1386,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,10582,0,0,143,0,0,0,1036,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28227,0,291,0,0,0,291,3395,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36740,0,334,0,0,0,0,3080,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,93288,0,507,0,507,0,0,6440,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2263,0,73,0,0,0,73,837,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5031,0,117,0,0,0,0,1075,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9006,0,158,0,158,158,0,513,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5838,139,0,0,139,0,0,252,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16247,0,211,0,0,0,211,1001,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,160943,0,709,0,0,0,0,5902,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20878,286,0,0,0,0,0,438,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,40326,0,282,0,0,0,0,3146,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,119210,0,655,0,0,0,655,7280,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,67262,398,0,0,398,0,0,6591,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,21900,0,0,300,0,0,300,2482,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,113484,0,0,588,588,0,0,7720,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,113520,645,0,0,0,0,645,7568,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,271607,0,0,1127,1127,0,0,8194,23940
