Generated_Var_1,Generated_Var_3,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_16,Generated_Var_18,Generated_Var_19,effort_D
234.7311,-146.11087,376.86362,373.95435,425.59387,424.73126,493.7431,325.9563,-351.99017,106.281136,268.25772,-228.73029,130.71227,-252.64726,9369
181.3275,-111.836876,288.21234,287.13428,326.66437,325.42535,377.6259,249.00317,-270.8124,80.66989,205.80086,-175.06929,99.94953,-193.89502,7184
264.2117,-162.93967,419.42603,418.062,475.44037,473.78635,549.8959,362.5757,-394.935,117.564,299.99802,-255.1116,145.42458,-282.34143,10447
130.20566,-79.35509,203.01245,203.90045,231.69392,230.84035,267.3182,175.55373,-194.097,57.166393,146.62267,-124.34601,70.076225,-137.82607,5100
1609.8922,-996.6384,2565.3564,2554.203,2903.5183,2895.8748,3361.6973,2217.4326,-2411.5435,719.7601,1833.2041,-1559.6661,889.8752,-1723.8661,63694
42.382244,-25.57324,64.43845,65.65473,74.40593,73.90563,85.455055,55.98927,-62.86448,18.422283,47.01069,-39.577866,21.879715,-44.284603,1651
37.099922,-22.35098,56.54069,57.545727,65.23586,64.83777,74.85384,49.012516,-54.94216,16.048136,41.13101,-34.76409,19.372211,-38.862446,1450
44.52569,-26.750788,68.263626,69.03781,78.473434,78.01799,90.17225,59.001793,-65.88736,19.275894,49.515568,-41.988617,23.526665,-46.776466,1745
46.647583,-28.84583,71.16499,72.71341,82.32241,81.958176,94.281555,61.907578,-69.52184,20.361717,52.30973,-43.414627,23.31337,-48.62345,1798
75.87997,-45.851326,115.90296,118.0014,133.66144,132.9054,153.2786,100.39514,-112.59931,32.87637,84.21529,-71.19688,39.916153,-79.42918,2957
24.907707,-15.312166,37.82177,38.6492,43.824684,43.51055,50.018116,32.82866,-36.901554,10.696155,27.767794,-22.97236,12.1572,-25.920761,963
31.078287,-18.76062,48.40188,48.519737,55.282646,54.871357,63.700672,41.82456,-45.98665,13.5836115,34.754097,-29.540146,16.669413,-32.916428,1233
85.479294,-54.00729,130.61522,133.42178,151.96037,151.49011,173.68227,114.61145,-127.7608,37.84067,97.7471,-79.414215,40.987507,-88.71161,3240
258.28232,-157.04315,395.41483,402.0647,455.3312,453.13022,523.4039,343.29492,-384.96774,113.072075,288.26926,-242.6657,134.91234,-270.32806,10000
175.3256,-106.499214,268.81335,272.87274,309.18753,307.7874,355.70346,233.2457,-261.27017,76.671234,195.87428,-165.12321,91.90103,-183.75946,6800
98.92737,-59.954384,151.68552,154.00049,174.49677,173.66653,200.53683,131.40508,-147.17958,43.020615,110.310425,-93.1817,52.070763,-103.73109,3850
361.00357,-219.48973,554.99286,562.71,637.5908,635.07666,733.5478,480.94736,-538.297,157.73904,403.85522,-340.96973,190.5125,-378.85217,14000
146.1924,-89.92217,231.70285,231.10056,262.96472,261.85672,303.68396,200.16357,-218.04921,64.838615,165.5655,-140.84584,80.4313,-156.07289,5787
249.60028,-151.51225,385.62436,389.20404,441.64185,440.23016,508.94962,333.5455,-372.18826,108.9791,280.0979,-237.21008,133.00674,-262.8166,9700
28.522854,-17.590002,43.334484,44.309174,50.30875,49.90105,57.285076,37.710766,-42.30106,12.279122,31.926954,-26.27893,13.807887,-29.606684,1100
140.31117,-86.76178,223.73375,222.54808,253.25558,252.40651,293.23096,193.44223,-209.77875,62.835476,159.5917,-135.88008,77.54397,-150.40712,5578
26.684439,-16.077,41.429,41.55835,47.367805,47.00032,54.6025,35.849453,-39.433083,11.647016,29.806715,-25.300346,14.209792,-28.246508,1060
133.54771,-82.10239,211.24248,210.79143,239.80649,238.85971,277.21146,182.6833,-199.3426,59.26556,151.31175,-128.61378,73.15037,-142.46687,5279
205.06493,-126.47257,325.806,324.63577,369.16812,367.85278,427.04922,281.587,-306.54483,91.27624,232.87976,-198.0741,112.940575,-219.24382,8117
224.14638,-136.03244,346.03732,349.28848,396.35303,395.04718,456.918,299.44763,-334.23013,97.88759,251.49779,-212.9302,119.22895,-235.94662,8710
20.055517,-11.841962,30.419743,30.773855,35.076996,34.731518,40.284317,26.279608,-29.39925,8.588242,22.03955,-18.710321,10.404228,-20.989264,796
276.46124,-171.90721,443.21536,440.1051,500.8484,499.74594,580.64655,383.29288,-414.32123,124.83775,315.6517,-269.0214,153.77481,-297.27295,11023
44.93201,-27.017534,68.91836,69.69309,79.19819,78.74665,91.067276,59.608856,-66.55781,19.455296,50.03025,-42.363544,23.678875,-47.201286,1755
156.45636,-98.64708,239.21335,244.57628,278.20514,277.434,317.82828,209.61295,-233.83421,69.1944,178.42952,-145.52724,76.07372,-162.47481,5931
114.54008,-69.43107,176.23969,178.36723,202.26083,201.46234,232.88838,152.61105,-170.60472,49.909733,128.13837,-108.41498,60.64572,-120.37802,4456
92.5812,-56.031693,141.82256,143.96065,163.16217,162.33653,187.60323,122.9191,-137.70045,40.278896,103.18384,-87.17322,48.670494,-97.03438,3600
117.18603,-71.0716,180.45767,182.56972,207.0373,206.25395,238.3809,156.21194,-174.57594,51.06681,131.17015,-110.98733,62.10122,-123.2093,4557
219.53334,-136.46037,351.8387,349.40356,397.57666,396.696,461.00192,304.30405,-329.0603,99.112,250.65881,-213.60568,122.0071,-236.03188,8752
86.38576,-53.282764,137.4501,136.81366,155.72664,155.10158,180.1636,118.83058,-128.97244,38.533573,98.085045,-83.45201,47.557686,-92.491974,3440
50.70545,-30.564613,77.44373,78.62235,89.17859,88.65562,102.51884,67.124985,-75.20239,21.969587,56.35456,-47.640583,26.543196,-53.128353,1981
342.94046,-213.90135,551.7047,547.14636,622.73944,621.7216,722.5922,477.13892,-514.6131,155.68727,392.40308,-334.7075,191.4741,-369.5134,13700
180.37854,-110.63805,284.10452,284.11844,323.05817,321.85254,373.11276,245.59065,-269.20306,79.73235,204.0066,-173.26138,98.327446,-191.91682,7105
174.04881,-106.158035,271.6726,272.78818,309.9481,308.84918,357.58096,234.86575,-259.54465,76.49425,196.07076,-166.3889,93.9603,-184.31332,6816
116.28275,-71.72737,184.88162,184.1003,209.47644,208.67056,242.33669,159.81943,-173.6468,51.82901,132.01021,-112.32558,64.04407,-124.44727,4620
189.80507,-116.06204,297.38,298.0872,338.7886,337.58365,391.07965,257.09735,-283.17795,83.65031,214.2022,-181.85156,102.893974,-201.39731,7451
1009.51996,-617.822,1580.4764,1585.2515,1800.677,1795.3907,2079.2375,1366.5121,-1508.3838,444.89316,1140.3939,-967.4765,546.57947,-1070.2565,39479
