Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
251.92181,329.70398,-188.83469,312.87393,446.0309,-114.80295,-163.05606,291.47516,8050
145.45271,185.90247,-107.4973,182.49316,252.90648,-64.5984,-94.12357,167.11644,4620
80.78334,85.56058,-55.149475,105.4317,129.0154,-32.234055,-49.83949,85.94466,2352
67.85111,88.479004,-50.780647,83.934616,119.49915,-30.559532,-43.748234,78.43605,2174
652.1499,853.72266,-500.4369,803.4358,1140.1222,-275.53043,-404.22922,733.53046,19894
210.40335,276.86,-158.95839,261.12534,373.6077,-95.26942,-136.22203,243.74957,6699
477.66397,631.11176,-366.39542,592.9474,846.6203,-209.60843,-305.1396,548.4563,14987
126.9968,163.86632,-94.646614,157.48682,222.414,-57.066387,-81.58006,145.49026,4004
417.68173,548.2433,-320.43427,515.2254,732.4869,-177.53293,-259.8747,471.75183,12824
73.22707,95.221565,-54.837627,90.9087,128.84846,-33.04552,-47.46191,84.46312,2331
184.35182,243.03674,-140.13518,228.23602,326.81482,-81.8992,-118.22549,212.56294,5817
93.24317,121.41572,-69.717834,115.73923,164.23773,-42.05607,-60.354065,107.78005,2989
98.03641,128.85323,-73.74761,121.64342,174.12447,-44.86955,-63.64612,113.88148,3136
476.23685,622.06165,-365.19946,585.4946,830.02783,-199.60175,-293.19937,533.3044,14434
79.97387,104.5573,-59.87644,99.15324,141.1134,-36.0768,-51.783146,92.74515,2583
113.60397,148.68423,-85.26305,141.44934,201.08704,-51.79771,-74.043304,131.7828,3647
251.73549,335.0462,-189.96709,313.84955,451.19888,-116.14091,-165.45988,295.6229,8232
101.26744,133.52402,-76.26712,126.00633,180.21228,-46.51914,-66.14576,118.096825,3276
85.34686,110.87395,-63.786972,105.93279,150.05762,-38.408806,-55.21936,98.44941,2723
107.592445,140.0664,-80.30459,133.61642,189.32594,-48.302124,-69.664665,124.51574,3472
49.46187,64.47569,-37.1014,61.130844,87.06472,-22.273771,-31.924604,57.088055,1575
90.84393,117.31247,-67.42578,112.50524,158.65854,-40.138466,-58.372135,104.58951,2926
58.90724,75.85756,-43.767643,72.98327,102.659935,-26.02267,-37.83809,67.65862,1876
78.07886,101.56979,-58.269646,96.77164,137.14536,-34.896053,-50.43488,90.28278,2520
49.78553,64.09146,-36.933804,61.640377,86.56198,-21.795046,-31.962393,57.264618,1603
113.10229,145.66077,-83.82088,140.14879,197.30923,-49.9811,-72.56338,129.95616,3626
213.56828,280.16763,-160.93822,264.90036,378.44934,-96.71691,-138.02423,246.8707,6783
360.41852,473.25507,-273.7209,446.9612,637.95483,-161.16187,-231.91623,415.01782,11361
39.807915,51.359,-29.612123,48.876244,69.29971,-17.495169,-25.286686,45.655376,1267
79.67889,104.4163,-59.86253,98.837906,141.15625,-36.373863,-51.676167,92.38524,2548
35.968185,45.95476,-26.765808,45.43362,62.562622,-15.93253,-23.713005,41.394325,1155
17.244389,21.047884,-12.862331,22.580658,29.4762,-7.6960816,-11.787404,19.768953,546
70.929504,91.13805,-52.540203,88.15031,123.3626,-31.201605,-45.619606,81.55964,2275
283.17322,367.19043,-210.81886,352.77905,497.7485,-127.264336,-183.56754,327.03705,9100
21.591686,19.972496,-14.082336,29.326317,33.00927,-7.773665,-13.225306,21.952652,595
121.95463,158.70074,-90.94046,151.45964,214.57716,-54.721043,-78.89614,141.15237,3941
441.24136,577.41724,-334.52338,546.8146,778.96265,-196.93562,-283.01373,506.4739,13860
42.496098,51.01532,-31.279089,56.498493,72.88307,-18.566654,-28.906519,48.826126,1400
87.44169,111.88361,-64.64774,109.37747,152.06361,-38.640125,-56.5058,100.49697,2800
297.3445,388.3049,-222.5912,369.89322,525.70984,-135.3426,-192.73697,344.0003,9520
182.8274,234.19371,-135.09908,228.95204,318.48175,-80.92797,-118.45931,210.28523,5880
767.7189,1002.3506,-583.3252,950.6256,1351.7067,-340.03012,-490.12604,877.29974,23940
