YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-219.3387,-263.38715,56.41521,-187.15297,222.15155,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-403.53305,-484.78677,98.83718,-344.38434,404.5913,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-484.82153,-580.7828,116.90527,-412.57773,484.01428,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-155.33157,-184.11708,35.544296,-130.28235,152.52661,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-306.66043,-369.64517,78.036545,-262.75967,310.4069,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-341.8533,-405.2971,84.261505,-288.27368,341.6679,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-446.08047,-531.6274,113.6986,-378.58505,450.14987,4494
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-78.61131,-92.46435,18.236105,-65.22979,77.03532,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1459.2057,-1760.404,368.0862,-1252.8551,1475.7891,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-504.53574,-606.50214,127.63015,-431.49796,509.7716,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-563.638,-674.4322,133.47028,-478.97708,560.34045,5775
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-1025.7029,-1238.1133,256.33344,-880.6118,1035.246,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-390.07147,-466.40936,96.999756,-331.69186,391.81628,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-312.16562,-370.86774,76.23471,-263.63538,311.5554,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-348.66315,-415.47635,86.38466,-295.48096,349.5069,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-424.71332,-503.90875,101.781456,-358.2576,422.07806,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-705.3099,-850.2477,179.61911,-605.06976,714.5054,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-391.31955,-463.90143,92.331154,-329.601,387.42365,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-381.4661,-458.09586,96.27199,-325.7414,384.9702,3927
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-66.918205,-75.951164,9.790605,-53.296806,60.046165,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-235.92792,-280.02362,53.544746,-198.41809,231.5826,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-621.29364,-748.2089,154.46661,-531.9899,625.72345,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-61.218006,-69.136246,8.684508,-48.61634,54.635033,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-887.7071,-1072.8145,225.41902,-764.2512,899.9403,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-140.81075,-160.43523,21.18324,-113.04987,127.08542,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-577.5868,-692.24396,139.56456,-491.8688,577.0428,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-81.08361,-92.351875,12.926312,-64.869644,73.7775,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-784.3243,-942.5787,191.40631,-670.06177,786.2035,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-450.4626,-535.67,98.089645,-379.43295,438.9598,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-234.74873,-263.11377,24.339682,-185.67891,201.634,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-208.3982,-249.75589,52.176212,-177.2825,209.60884,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1942.2821,-2349.0752,488.91342,-1675.8461,1967.1177,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-650.9032,-783.5887,162.4714,-557.25934,656.06946,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1463.9835,-1767.7131,372.9818,-1259.849,1485.0431,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-386.09717,-462.93845,90.837944,-328.39377,383.4167,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1250.6118,-1512.4913,317.1882,-1078.9539,1268.561,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-223.57187,-267.87982,54.936127,-190.00682,223.89679,2331
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-563.6759,-679.9551,143.78607,-483.75937,571.28827,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-288.85324,-346.11652,70.97284,-245.7495,289.42816,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-301.79645,-363.02072,75.64244,-257.91687,304.1905,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1406.4806,-1701.6809,353.94885,-1213.9048,1424.5063,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-249.68616,-299.0411,62.925087,-212.44496,251.52713,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-353.4249,-424.00412,87.46174,-301.17157,354.89407,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-808.12994,-971.40497,207.86757,-691.8193,819.8158,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-317.38968,-381.2123,81.055084,-271.01443,321.10184,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-262.3292,-314.21274,63.928608,-222.94601,262.2845,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-337.87775,-404.29025,83.2048,-287.19507,338.61432,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-149.34901,-178.98694,37.883736,-126.8984,150.53464,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-284.47433,-339.5737,68.77509,-241.05634,283.661,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-179.82805,-214.50986,43.240257,-151.99776,178.89667,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-243.9974,-291.699,60.69788,-207.14745,244.9111,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-154.09888,-183.17812,37.68756,-129.83278,153.63678,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-352.90897,-421.47723,83.439445,-299.14542,350.3569,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-658.89465,-792.85254,163.01901,-563.6631,662.6848,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1106.2789,-1333.0302,275.54797,-948.22516,1115.112,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-119.681946,-142.91959,29.90003,-101.219955,120.01359,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-244.3995,-293.6479,61.28798,-208.50996,246.18846,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-110.4875,-129.87956,24.973772,-91.67949,107.75295,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-50.578526,-57.57465,8.636844,-40.213654,46.46449,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-220.39433,-262.3276,52.094627,-185.95195,218.36157,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-891.89996,-1067.5118,211.24043,-758.403,886.96356,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-56.76565,-63.25025,3.0737638,-45.68015,45.711315,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-384.4395,-460.02618,94.17626,-326.86502,384.9074,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1350.2382,-1626.5028,332.91086,-1156.7384,1357.8625,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-140.1798,-158.92252,22.304802,-112.29654,127.561005,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-272.5739,-323.62115,60.98741,-229.28946,266.8363,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-929.76697,-1116.3208,225.29839,-793.5441,930.2934,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-578.2995,-687.3739,129.06622,-487.55264,566.4554,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-2333.4722,-2812.125,573.039,-1999.9691,2345.1392,23940
