ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,6.0,1464,1,0,0,0,1,17.0451,-14.040224,10.107477,-3.1160033,-59.204617,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,2.0,1636,1,0,0,0,1,21.950254,-19.104195,11.873596,-4.642528,-74.43351,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,7.0,281,0,1,0,0,1,4.294236,-3.1132743,2.6436625,-0.72902864,-14.339585,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,5.0,2796,1,0,0,0,1,38.057743,-33.075703,20.893902,-7.8521867,-130.27988,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,13.0,4884,1,0,0,0,1,55.76845,-46.843613,32.71802,-10.304293,-195.01437,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,84.0,2400,0,0,0,1,1,50.27775,42.10805,3.1533446,16.278429,-105.78492,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,13.0,5650,1,0,0,0,1,70.45576,-59.285545,41.293922,-13.030718,-246.52536,5650
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,2.0,1837,1,0,0,0,1,24.926697,-20.988058,14.384065,-4.7625003,-86.27203,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,2.0,575,1,0,0,0,1,9.023025,-7.24455,5.423394,-1.6268506,-31.06977,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,2.0,606,1,0,0,0,1,8.352458,-6.676499,5.031851,-1.5023727,-28.717972,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,10.0,10205,1,0,0,0,1,126.44167,-113.216995,66.0949,-27.837936,-428.5496,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,3.0,937,1,0,0,0,1,12.915814,-10.590684,7.6382203,-2.3822596,-44.619755,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,7.5,2597,0,0,0,1,1,28.69007,-23.904926,16.906965,-5.277681,-100.04561,2597
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,3.0,950,1,0,0,0,1,12.482533,6.9902797,3.6054258,1.9463062,-28.736235,950
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,13.0,5727,0,0,1,0,1,67.55381,-56.827244,39.599472,-12.492025,-236.34772,5727
66,156,21,38,39,7,41,146,0,0,13.1,14.0,15.8,16.8,4.0,2458,1,0,0,0,1,30.477474,-26.720692,16.377157,-6.4919143,-103.48154,2040
67,75,30,5,19,21,0,40,35,0,49.0,49.0,59.1,59.1,8.0,4430,1,0,0,0,1,57.552395,-51.90345,29.44211,-13.031509,-193.43945,3677
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,2.0,687,1,0,0,0,1,12.179793,-9.918718,7.2666287,-2.212848,-42.141125,570
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,8.0,4530,0,1,0,0,1,-59.94726,-68.47105,-111.75376,48.89496,28.208202,1223
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,4.0,1084,1,0,0,0,1,13.51398,-11.048936,8.045659,-2.4605162,-46.820354,976
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,12.0,466,1,0,0,0,1,7.2368884,-5.7314754,4.3804703,-1.2952874,-24.805468,387
72,1092,356,84,170,669,21,1300,0,0,4.0,3.4,4.9,4.1,13.0,5320,1,0,0,0,1,44.512943,-37.8935,27.02011,-8.538782,-156.2619,4416
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,8.0,345,1,0,0,0,1,4.210028,-1.4373604,2.2210822,-0.48330325,-12.087955,286
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,5.0,367,1,0,0,0,1,6.3487806,-4.9791403,3.8619046,-1.1304264,-21.690714,305
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,7.0,155,1,0,0,0,1,3.5193756,-2.007453,3.460053,0.58946794,-11.24325,129
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,8.0,4266,1,0,0,0,1,147.60867,-71.39388,88.1875,15.11224,-443.04398,4266
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,3.0,440,1,0,0,0,1,6.1500373,-4.089499,3.6425686,-0.9737721,-20.098885,440
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,2.0,1362,1,0,0,0,1,20.529095,-16.99159,12.141779,-3.7627447,-71.423615,1362
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,6.0,2533,0,1,0,0,1,32.938,-27.503445,19.38733,-6.066234,-114.94388,2533
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,10.0,225,1,0,0,0,1,5.6256623,1.5160156,7.0249906,1.0358479,-13.888273,225
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,13.0,11045,1,0,0,0,1,146.2356,-123.48027,85.5417,-27.097866,-512.2988,11045
82,3460,484,1831,318,208,142,2756,227,0,9.5,11.0,9.5,11.0,24.0,32760,0,0,0,1,1,405.40268,-343.02637,236.86923,-75.20754,-1421.2443,32760
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,8.0,2475,1,0,0,0,1,31.446589,-28.001488,16.376287,-6.985502,-105.80786,2054
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,7.0,252,1,0,0,0,1,5.6017256,-4.3462944,3.4256997,-0.9917492,-19.07066,252
85,497,122,28,113,273,10,454,92,0,4.8,4.3,4.8,4.3,8.0,2362,0,1,0,0,1,25.260954,-21.00005,14.904707,-4.641129,-88.01909,2362
86,288,201,0,36,76,0,99,214,0,8.5,7.9,10.3,9.5,5.0,2963,1,0,0,0,1,40.07526,-33.549564,23.554775,-7.3911357,-139.97551,2459
87,494,134,62,140,91,67,494,0,0,17.6,17.6,17.6,17.6,21.0,8706,1,0,0,0,1,107.52233,-90.68544,62.937057,-19.91146,-376.5245,8706
88,130,60,65,0,0,0,14,111,0,5.9,6.2,5.9,6.2,6.0,770,1,0,0,0,1,13.549028,-11.078626,8.066124,-2.4670227,-46.94327,770
89,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,36.0,8111,1,0,0,0,1,104.73501,-88.324234,61.30955,-19.394043,-366.74887,8111
90,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,11.0,762,1,0,0,0,1,11.650092,-9.491363,7.291004,-2.0285606,-39.79927,762
91,60,10,25,0,31,5,71,0,0,2.3,1.9,2.7,2.3,1.0,164,1,0,0,0,1,2.678366,-1.4054149,4.379576,0.41839916,-9.186324,136
92,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1.0,431,1,0,0,0,1,5.779847,-4.4971843,3.5297046,-1.0248141,-19.695362,358
93,169,32,14,25,28,70,169,0,0,2.8,2.8,3.4,3.4,6.0,580,1,0,0,0,1,6.5749254,-5.097773,3.9830074,-1.1609352,-22.401302,481
94,1351,379,449,271,219,20,1173,29,136,2.4,2.4,2.8,2.9,8.0,3842,1,0,0,0,1,37.736633,-31.56847,22.18925,-6.9570117,-131.77353,3189
95,2087,862,444,303,437,0,2046,0,0,10.8,11.0,10.8,11.0,9.0,22500,0,0,0,1,1,262.99454,-222.38931,153.71715,-48.77206,-921.79346,22500
96,253,72,0,107,29,44,252,0,0,46.3,46.3,49.8,49.8,13.0,12601,1,0,0,0,1,158.92714,-137.26082,89.31633,-31.502888,-550.3895,11719
97,102,37,26,10,29,0,102,0,0,1.8,1.8,2.4,2.4,5.0,244,1,0,0,0,1,3.805113,-1.5282009,5.715098,0.295479,-12.178052,183
98,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,5.0,1786,1,0,0,0,1,23.632975,-19.815002,13.721223,-4.4701796,-81.89817,1482
99,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,11.0,1251,0,1,0,0,1,15.741023,-12.935513,9.346029,-2.8739264,-54.630993,1251
100,199,104,7,77,0,0,0,188,0,4.7,5.0,5.7,6.0,8.0,1136,1,0,0,0,1,19.22727,-15.888786,11.381646,-3.5210855,-66.85788,943
101,163,49,14,33,49,10,155,0,0,16.5,17.3,19.8,20.9,11.0,3234,1,0,0,0,1,39.266895,-34.821712,20.710087,-8.569036,-132.83493,2684
102,97,21,41,0,49,15,16,100,10,7.5,5.8,7.5,5.8,9.0,729,0,1,0,0,1,12.639182,-10.307877,7.534866,-2.2981255,-43.75228,729
103,439,82,222,19,85,10,105,313,0,8.3,8.7,8.3,8.7,7.0,3630,1,0,0,0,1,54.23613,-45.54554,31.82329,-10.019844,-189.64023,3630
104,3113,2019,609,248,157,80,3113,0,0,10.9,10.9,13.5,13.5,24.0,42080,1,0,0,0,1,483.3118,-421.2994,267.62732,-97.97277,-1668.4681,34085
105,153,35,7,57,24,20,143,0,0,18.7,20.0,21.5,23.0,3.0,3283,0,1,0,0,1,40.681328,-35.40273,22.299707,-8.410031,-139.25552,2856
106,670,346,97,122,79,0,146,498,0,8.6,8.9,10.4,10.8,6.0,6936,1,0,0,0,1,95.37102,-80.3918,55.841927,-17.655788,-333.90768,5757
107,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,15.0,631,0,1,0,0,1,13.91138,-11.385581,8.2777,-2.5342863,-48.214104,631
108,329,324,68,14,0,0,206,73,127,6.6,5.4,6.6,5.4,8.0,2184,0,1,0,0,1,30.50684,-25.044525,17.907845,-5.552115,-105.96533,2184
109,5684,2221,454,820,1137,311,4943,0,0,3.7,4.3,3.7,4.3,37.0,21014,1,0,0,0,1,215.94936,-151.70189,120.26431,-34.560726,-719.8096,21014
110,61,27,4,24,17,0,72,0,0,6.8,5.8,8.2,7.0,4.0,502,1,0,0,0,1,6.267254,-4.866214,3.8077202,-1.1083944,-21.355145,417
111,267,27,133,51,34,89,70,178,86,10.0,8.0,10.0,8.0,9.0,2683,0,1,0,0,1,42.063828,-35.234127,24.715895,-7.7602773,-146.9498,2683
112,218,78,16,56,77,0,227,0,0,25.4,24.4,30.6,29.4,4.0,6665,1,0,0,0,1,81.22744,-73.29482,41.64361,-18.347025,-273.44434,5532
113,919,458,236,56,58,76,884,0,0,5.2,5.4,6.3,6.6,6.0,5801,1,0,0,0,1,63.209255,-53.146877,37.062695,-11.685537,-221.1106,4815
114,66,27,12,6,14,0,28,31,0,3.7,4.2,4.5,5.0,2.0,296,1,0,0,0,1,4.9223385,-4.049686,4.3777666,-0.5937782,-17.643991,246
115,54,36,0,16,0,0,0,52,0,12.7,13.2,15.3,15.9,1.0,827,1,0,0,0,1,12.505804,-10.194888,7.456985,-2.2733662,-43.284496,686
116,245,88,105,27,79,0,299,0,0,1.9,1.6,3.6,2.9,13.0,870,1,0,0,0,1,3.9832587,-9.096445,3.2635903,-0.7578512,-19.722183,470
117,54,24,28,0,0,0,0,52,0,7.3,7.6,8.8,9.2,2.0,476,1,0,0,0,1,8.263714,-6.601322,4.9800334,-1.485899,-28.406727,395
118,151,40,54,15,21,0,111,19,0,7.2,8.3,8.2,9.5,3.0,1241,0,1,0,0,1,15.576011,-12.795727,9.249679,-2.843294,-54.052265,1080
119,103,45,4,27,29,0,105,0,0,13.6,13.3,13.6,13.3,7.0,1396,0,1,0,0,1,17.566599,-14.4819975,10.41198,-3.2128103,-61.03361,1396
120,300,95,82,27,76,0,138,142,0,9.8,10.5,9.8,10.5,10.0,2933,1,0,0,0,1,39.914516,-33.413403,23.460913,-7.361296,-139.41174,2933
121,249,126,4,98,21,0,58,191,0,18.3,18.3,18.3,18.3,9.0,4551,1,0,0,0,1,63.30037,-53.22406,37.115894,-11.702454,-221.43013,4551
122,224,156,21,0,29,10,6,210,0,13.4,13.9,16.1,16.7,4.0,3613,1,0,0,0,1,49.993927,-41.95188,29.34627,-9.232353,-174.76205,2999
123,1984,255,1008,192,158,0,1613,0,0,1.3,1.6,1.3,1.6,11.0,2540,0,1,0,0,1,37.607117,8.630749,25.39091,23.9155,-82.635345,2540
124,58,15,37,0,0,5,0,57,0,0.4,0.5,0.5,0.5,2.0,31,1,0,0,0,1,3.9495037,-7.516505,10.948607,2.979868,-15.416295,26
125,56,50,0,3,0,0,0,53,0,8.0,8.5,9.6,10.2,2.0,540,1,0,0,0,1,8.844352,-7.093192,5.319067,-1.593684,-30.44313,448
126,244,91,12,44,60,50,257,0,0,3.7,3.5,4.5,4.2,3.0,1092,1,0,0,0,1,11.496057,-9.097736,6.8311195,-2.0479035,-39.46953,906
127,12,0,0,6,7,0,10,3,0,17.6,16.2,17.6,16.2,13.0,211,0,1,0,0,1,4.7705493,-4.256762,7.805139,0.3443331,-17.48835,211
128,1416,402,432,0,252,65,376,775,0,1.2,1.5,1.2,1.5,12.0,1724,0,1,0,0,1,49.606407,-22.160294,28.698719,9.189026,-140.56746,1724
129,67,3,26,0,7,35,71,0,0,23.6,22.3,27.2,25.6,5.0,1821,0,1,0,0,1,24.114883,-20.90364,13.182289,-5.02053,-82.12198,1584
130,95,36,0,32,24,0,0,92,0,1.6,1.6,1.9,1.9,7.0,178,1,0,0,0,1,5.9530635,-5.4302883,8.349419,1.6328428,-22.2556,148
131,2376,638,233,639,580,131,2221,0,0,10.7,11.5,12.9,13.8,24.0,30701,1,0,0,0,1,350.62787,-308.7889,190.26439,-73.27119,-1203.2098,25482
132,442,225,102,57,91,0,82,393,0,1.5,1.4,1.5,1.4,5.0,683,1,0,0,0,1,22.19358,-12.429625,13.073767,1.4333189,-66.785866,683
133,68,21,12,19,15,0,11,56,0,37.1,37.6,44.7,45.3,4.0,3037,1,0,0,0,1,40.94747,-36.28437,21.645111,-8.907291,-138.65004,2521
134,268,76,96,45,41,10,248,20,0,10.9,10.9,10.9,10.9,9.0,2933,0,1,0,0,1,36.86094,-30.826649,21.677933,-6.794456,-128.70233,2933
135,90,96,0,0,0,0,96,0,0,5.5,5.1,6.6,6.2,2.0,595,1,0,0,0,1,8.768612,-4.722508,5.8464966,-1.2453914,-27.523237,494
136,72,23,25,7,17,0,55,17,0,6.8,6.8,6.8,6.8,7.0,486,1,0,0,0,1,7.3449574,-5.396008,4.3815913,-1.2455118,-24.667953,486
137,505,111,127,18,216,0,472,0,0,9.8,10.5,9.8,10.5,30.0,4955,1,0,0,0,1,57.392303,-48.219208,33.666187,-10.60573,-200.7095,4955
138,450,112,145,59,105,0,356,58,7,13.6,14.6,13.6,14.6,7.0,6138,1,0,0,0,1,76.936485,-64.7755,45.07801,-14.2337475,-269.25443,6138
139,230,129,38,46,57,0,230,40,0,6.3,5.4,7.6,6.5,10.0,1748,1,0,0,0,1,20.755417,-17.18331,12.273927,-3.8047564,-72.217354,1451
140,242,97,78,4,43,0,0,222,0,1.3,1.4,1.5,1.7,2.0,375,1,0,0,0,1,12.847134,-8.40439,9.402282,0.7153873,-41.077637,311
141,106,21,76,6,0,0,7,96,0,23.1,23.7,27.8,28.6,2.0,2946,1,0,0,0,1,40.827644,-35.238037,22.732471,-8.241792,-140.38632,2445
142,31,10,14,0,7,0,4,27,0,7.6,7.6,7.6,7.6,6.0,237,1,0,0,0,1,5.348196,-4.4016757,6.341644,-0.084156334,-19.801857,237
143,1186,422,306,109,168,230,1235,0,0,3.1,3.0,3.1,3.0,9.0,3711,0,0,1,0,1,43.743294,-25.978262,23.27303,-6.1791625,-140.01973,3711
144,256,69,198,0,0,5,272,0,0,11.5,10.8,11.5,10.8,19.0,2941,0,1,0,0,1,37.808853,-31.629648,22.231419,-6.9704185,-132.02682,2941
145,191,44,60,15,49,25,159,34,0,12.7,12.6,12.7,12.6,11.0,2430,0,1,0,0,1,31.625614,-26.391687,18.621029,-5.8226113,-110.34109,2430
146,213,102,63,6,28,0,186,13,0,11.9,12.7,14.3,15.3,10.0,3051,1,0,0,0,1,37.082485,-31.685854,21.001274,-7.2898164,-128.05595,2532
147,4562,1098,1278,498,1059,0,3933,0,0,5.8,6.7,5.8,6.7,15.0,26408,1,0,0,0,1,285.51035,-241.46294,166.86412,-52.951702,-1000.76044,26408
148,141,44,33,44,17,0,5,133,0,8.8,9.0,10.6,10.9,2.0,1499,1,0,0,0,1,22.748665,-18.871834,13.437783,-4.1747675,-79.20804,1244
149,187,23,65,17,91,5,201,0,0,3.0,2.8,3.6,3.4,6.0,677,1,0,0,0,1,6.7544537,-5.125041,4.0693536,-1.1743138,-22.885738,562
150,128,45,0,68,0,15,128,0,0,25.8,25.8,56.1,56.1,10.0,7180,1,0,0,0,1,-24.375109,-114.084625,-58.21202,29.002289,-96.07396,3303
151,194,70,16,0,45,47,46,132,0,2.6,2.8,3.6,3.9,12.0,703,1,0,0,0,1,11.624828,-9.832939,7.039405,-2.09382,-40.683086,499
152,869,288,300,116,230,0,934,0,0,2.4,2.2,2.4,2.2,6.0,2078,0,0,1,0,1,23.946272,-6.7886534,11.405924,-3.3557327,-68.73357,2078
153,125,51,9,33,22,0,20,84,11,18.6,20.2,22.4,24.4,3.0,2802,1,0,0,0,1,37.765156,-32.623516,20.968569,-7.659616,-129.6885,2326
154,477,235,117,89,46,10,172,218,107,5.7,5.5,5.7,5.5,6.0,2741,1,0,0,0,1,40.9891,-34.323708,24.088364,-7.5607743,-143.18053,2741
155,717,716,13,10,24,0,51,712,0,4.9,4.6,6.0,5.6,5.0,4272,1,0,0,0,1,68.44898,-57.58556,40.122166,-12.658207,-239.48726,3546
156,25,0,28,0,0,0,0,28,0,5.6,5.0,5.6,5.0,3.0,140,1,0,0,0,1,5.089371,-6.17451,10.273855,-0.1586917,-18.084703,140
157,73,9,61,3,0,0,73,0,0,19.2,19.2,19.2,19.2,8.0,1404,1,0,0,0,1,19.273682,-15.928101,11.408743,-3.5297,-67.020645,1404
158,100,61,0,0,0,42,28,75,0,9.3,9.0,11.2,10.9,12.0,1119,1,0,0,0,1,16.95986,-13.968016,10.057706,-3.1001813,-58.905666,929
159,273,103,183,15,17,0,318,0,0,1.9,1.7,1.9,1.7,5.0,528,0,0,1,0,1,9.92508,-1.1991953,8.793236,0.48478454,-28.321533,528
160,587,108,119,94,203,0,524,0,0,6.4,7.2,6.4,7.2,15.0,3748,0,0,1,0,1,41.24066,-34.5368,24.23525,-7.607473,-144.06277,3748
161,1437,920,154,41,203,0,1318,0,0,3.4,3.7,3.4,3.7,18.0,4900,0,0,0,1,1,59.93225,-24.28742,28.764254,-7.663605,-178.2839,4900
162,97,3,101,3,0,7,108,6,0,19.1,16.3,19.1,16.3,12.0,1853,0,1,0,0,1,25.377935,-21.099148,14.973012,-4.6628423,-88.42937,1853
