Transactions,Entities,PointsAdjust,Envergure,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
71.0,235.0,306.0,37.0,0.0,107.790596,139.75221,-79.913826,133.42957,-45.987484,-17.434118,188.70792,30.611427,-47.446007,-69.37109,124.68216,3542
148.0,324.0,472.0,39.0,0.0,129.57867,167.02261,-95.91947,161.29875,-54.865784,-21.13493,226.50568,34.92947,-56.831654,-84.17171,149.41171,4277
116.0,170.0,286.0,27.0,0.0,227.90369,301.5814,-173.53555,283.07953,-103.38134,-40.653755,405.8527,73.62338,-102.50634,-147.76779,264.47415,7252
175.0,277.0,452.0,37.0,0.0,120.00862,154.44821,-88.83695,149.75723,-50.822376,-19.706856,209.67537,31.959599,-52.746098,-78.09858,138.33328,3948
79.0,128.0,207.0,27.0,0.0,121.39497,159.67407,-91.19333,150.91043,-53.326042,-20.267958,215.62343,35.35421,-55.54619,-79.00977,141.37363,3927
145.0,38.0,183.0,27.0,1.0,22.434467,27.10685,-16.54458,29.35735,-9.168581,-4.0750113,38.24822,4.15468,-10.085795,-15.177785,25.54687,710
174.0,78.0,252.0,41.0,1.0,75.585,96.75501,-55.856663,94.320404,-32.156414,-12.60275,131.4415,19.965454,-33.290768,-48.725555,86.87033,2429
194.0,91.0,285.0,35.0,0.0,202.45685,265.72348,-153.04263,250.87367,-91.04876,-35.593643,358.6152,62.806694,-91.22654,-130.47841,233.70715,6405
126.0,49.0,175.0,38.0,1.0,20.280338,24.327068,-14.892905,26.564804,-8.24463,-3.7312572,34.53686,3.715952,-9.047545,-13.727204,23.056551,651
137.0,119.0,256.0,34.0,0.0,295.5546,387.65552,-225.92747,364.80017,-136.10802,-57.204727,519.49976,100.93999,-127.11469,-185.32498,335.4875,9135
289.0,88.0,377.0,28.0,1.0,45.555275,54.16075,-33.11988,59.962303,-18.256788,-8.681173,76.94554,7.47078,-19.882221,-30.074188,51.330723,1435
260.0,144.0,404.0,24.0,0.0,184.28752,240.07352,-137.67561,229.41649,-80.153206,-30.847368,325.07114,51.43528,-83.398994,-119.63787,213.32124,5922
158.0,59.0,217.0,18.0,1.0,26.36939,32.28052,-19.592308,34.738018,-10.675573,-4.7956553,45.43141,4.9946284,-11.930382,-18.050879,30.33874,847
302.0,145.0,447.0,52.0,0.0,251.92181,329.70398,-188.83469,312.87393,-111.68907,-43.179333,446.0309,73.922585,-114.80295,-163.05606,291.47516,8050
451.0,48.0,499.0,28.0,0.0,145.45271,185.90247,-107.4973,182.49316,-61.9951,-24.590769,252.90648,37.69137,-64.5984,-94.12357,167.11644,4620
661.0,132.0,793.0,23.0,1.0,80.78334,85.56058,-55.149475,105.4317,-28.927021,-15.9829855,129.0154,1.5108606,-32.234055,-49.83949,85.94466,2352
64.0,54.0,118.0,25.0,0.0,67.85111,88.479004,-50.780647,83.934616,-29.585228,-11.188262,119.49915,19.076763,-30.559532,-43.748234,78.43605,2174
284.0,230.0,514.0,50.0,0.0,652.1499,853.72266,-500.4369,803.4358,-301.61786,-129.08209,1140.1222,227.12372,-275.53043,-404.22922,733.53046,19894
182.0,126.0,308.0,35.0,0.0,210.40335,276.86,-158.95839,261.12534,-94.49945,-36.75162,373.6077,64.90157,-95.26942,-136.22203,243.74957,6699
173.0,332.0,505.0,19.0,0.0,477.66397,631.11176,-366.39542,592.9474,-219.45563,-90.27954,846.6203,164.00089,-209.60843,-305.1396,548.4563,14987
252.0,7.0,259.0,28.0,0.0,126.9968,163.86632,-94.646614,157.48682,-55.27252,-21.488054,222.414,34.445316,-57.066387,-81.58006,145.49026,4004
131.0,180.0,311.0,51.0,0.0,417.68173,548.2433,-320.43427,515.2254,-193.08917,-82.28405,732.4869,145.55956,-177.53293,-259.8747,471.75183,12824
106.0,39.0,145.0,6.0,0.0,73.22707,95.221565,-54.837627,90.9087,-31.89166,-12.142714,128.84846,19.870667,-33.04552,-47.46191,84.46312,2331
96.0,108.0,204.0,29.0,0.0,184.35182,243.03674,-140.13518,228.23602,-83.8383,-33.492275,326.81482,59.52405,-81.8992,-118.22549,212.56294,5817
116.0,72.0,188.0,18.0,0.0,93.24317,121.41572,-69.717834,115.73923,-40.571213,-15.482455,164.23773,25.909178,-42.05607,-60.354065,107.78005,2989
86.0,49.0,135.0,32.0,0.0,98.03641,128.85323,-73.74761,121.64342,-43.42253,-16.55118,174.12447,28.428402,-44.86955,-63.64612,113.88148,3136
221.0,121.0,342.0,35.0,0.0,476.23685,622.06165,-365.19946,585.4946,-220.51363,-94.916046,830.02783,165.32765,-199.60175,-293.19937,533.3044,14434
61.0,96.0,157.0,18.0,0.0,79.97387,104.5573,-59.87644,99.15324,-34.811634,-13.145588,141.1134,22.765938,-36.0768,-51.783146,92.74515,2583
132.0,89.0,221.0,5.0,0.0,113.60397,148.68423,-85.26305,141.44934,-49.71559,-18.974333,201.08704,31.85318,-51.79771,-74.043304,131.7828,3647
45.0,387.0,432.0,16.0,0.0,251.73549,335.0462,-189.96709,313.84955,-112.71673,-42.76222,451.19888,77.98121,-116.14091,-165.45988,295.6229,8232
55.0,112.0,167.0,12.0,0.0,101.26744,133.52402,-76.26712,126.00633,-44.590595,-16.876493,180.21228,29.47735,-46.51914,-66.14576,118.096825,3276
124.0,52.0,176.0,14.0,0.0,85.34686,110.87395,-63.786972,105.93279,-37.08252,-14.161477,150.05762,23.321428,-38.408806,-55.21936,98.44941,2723
120.0,126.0,246.0,15.0,0.0,107.592445,140.0664,-80.30459,133.61642,-46.57342,-17.73652,189.32594,30.121382,-48.302124,-69.664665,124.51574,3472
47.0,32.0,79.0,14.0,0.0,49.46187,64.47569,-37.1014,61.130844,-21.598728,-8.118255,87.06472,13.658356,-22.273771,-31.924604,57.088055,1575
126.0,107.0,233.0,23.0,0.0,90.84393,117.31247,-67.42578,112.50524,-38.92499,-14.842928,158.65854,24.8807,-40.138466,-58.372135,104.58951,2926
101.0,45.0,146.0,15.0,0.0,58.90724,75.85756,-43.767643,72.98327,-25.267689,-9.642539,102.659935,15.735145,-26.02267,-37.83809,67.65862,1876
78.0,99.0,177.0,14.0,0.0,78.07886,101.56979,-58.269646,96.77164,-33.73863,-12.755973,137.14536,21.811253,-34.896053,-50.43488,90.28278,2520
69.0,74.0,143.0,14.0,0.0,49.78553,64.09146,-36.933804,61.640377,-21.194454,-8.007037,86.56198,13.409921,-21.795046,-31.962393,57.264618,1603
194.0,97.0,291.0,35.0,0.0,113.10229,145.66077,-83.82088,140.14879,-48.46876,-18.646917,197.30923,30.65242,-49.9811,-72.56338,129.95616,3626
224.0,110.0,334.0,28.0,0.0,213.56828,280.16763,-160.93822,264.90036,-95.66562,-37.159283,378.44934,64.855995,-96.71691,-138.02423,246.8707,6783
323.0,184.0,507.0,35.0,0.0,360.41852,473.25507,-273.7209,446.9612,-163.00694,-64.78005,637.95483,115.584915,-161.16187,-231.91623,415.01782,11361
42.0,31.0,73.0,27.0,0.0,39.807915,51.359,-29.612123,48.876244,-17.154463,-6.424038,69.29971,10.886693,-17.495169,-25.286686,45.655376,1267
74.0,43.0,117.0,25.0,0.0,79.67889,104.4163,-59.86253,98.837906,-35.051712,-13.335026,141.15625,22.634901,-36.373863,-51.676167,92.38524,2548
101.0,57.0,158.0,9.0,0.0,35.968185,45.95476,-26.765808,45.43362,-15.237339,-5.9815354,62.562622,8.726233,-15.93253,-23.713005,41.394325,1155
97.0,42.0,139.0,6.0,1.0,17.244389,21.047884,-12.862331,22.580658,-6.9764695,-3.0442398,29.4762,2.9083326,-7.6960816,-11.787404,19.768953,546
134.0,77.0,211.0,13.0,0.0,70.929504,91.13805,-52.540203,88.15031,-30.215855,-11.596993,123.3626,18.961533,-31.201605,-45.619606,81.55964,2275
482.0,227.0,709.0,26.0,0.0,283.17322,367.19043,-210.81886,352.77905,-122.3702,-47.382446,497.7485,77.83407,-127.264336,-183.56754,327.03705,9100
213.0,73.0,286.0,6.0,1.0,21.591686,19.972496,-14.082336,29.326317,-7.620832,-4.505291,33.00927,-3.6679866,-7.773665,-13.225306,21.952652,595
139.0,143.0,282.0,22.0,0.0,121.95463,158.70074,-90.94046,151.45964,-52.764004,-20.150875,214.57716,34.284218,-54.721043,-78.89614,141.15237,3941
473.0,182.0,655.0,40.0,0.0,441.24136,577.41724,-334.52338,546.8146,-199.17686,-79.42659,778.96265,140.46771,-196.93562,-283.01373,506.4739,13860
229.0,169.0,398.0,39.0,1.0,42.496098,51.01532,-31.279089,56.498493,-16.544285,-8.118834,72.88307,6.729707,-18.566654,-28.906519,48.826126,1400
227.0,73.0,300.0,34.0,0.0,87.44169,111.88361,-64.64774,109.37747,-37.219627,-14.639719,152.06361,22.86634,-38.640125,-56.5058,100.49697,2800
395.0,193.0,588.0,40.0,0.0,297.3445,388.3049,-222.5912,369.89322,-130.7642,-50.59636,525.70984,85.57656,-135.3426,-192.73697,344.0003,9520
469.0,176.0,645.0,43.0,1.0,182.8274,234.19371,-135.09908,228.95204,-77.760056,-30.689768,318.48175,48.004868,-80.92797,-118.45931,210.28523,5880
886.0,241.0,1127.0,34.0,0.0,767.7189,1002.3506,-583.3252,950.6256,-347.74295,-140.33731,1351.7067,248.65268,-340.03012,-490.12604,877.29974,23940
