har,t02,t03,t05,t07,t09,t10,t11,t12,t13,t15,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
0.4283049,0.634981,0.3716292,0.51323295,0.540724,0.6173102,0.5796618,0.5310928,0.6613878,0.46412057,0.62043726,0.1415185,0.15253663,0.14767882,0.033537313,0.2465889
0.43048814,0.65841395,0.4388323,0.61939394,0.5832464,0.6344247,0.634484,0.5106677,0.74324834,0.47279456,0.69663525,0.11455217,0.18038835,0.095805645,0.020578258,0.27370083
0.45059493,0.6957235,0.48374507,0.6111517,0.61505616,0.6581461,0.6454648,0.5400295,0.7637423,0.49515998,0.72118723,0.13919511,0.23000887,0.13569088,0.021878183,0.3294408
0.45790014,0.72259915,0.61326545,0.58594304,0.8103206,0.6154198,0.7751162,0.5191526,0.8130464,0.392084,0.6995179,0.2547946,0.33107725,0.2060557,0.18098402,0.47438127
0.54279345,0.6888473,0.67626905,0.6644932,0.81966424,0.7888934,0.77390736,0.7329956,0.94814426,0.53556603,0.87894183,0.22442964,0.3674128,0.2555722,0.07521811,0.47621414
0.40493727,0.6201732,0.46989888,0.5401777,0.6122695,0.6057624,0.6265772,0.51280725,0.74420744,0.43369514,0.6675252,0.17134093,0.19859172,0.15102577,0.05234369,0.3283245
0.39700857,0.60476136,0.44471884,0.52630275,0.5804078,0.55518675,0.6106235,0.47370097,0.71513546,0.42362234,0.6299177,0.14918886,0.16438808,0.11831426,0.05049856,0.3007372
0.44575396,0.69960475,0.5051048,0.6581736,0.6922748,0.6659359,0.7232879,0.5890183,0.8071646,0.50121415,0.7659719,0.16772214,0.24104372,0.1497015,0.054496624,0.35494885
0.4605692,0.63356525,0.40265477,0.5377034,0.7227886,0.7145807,0.68741584,0.7138887,0.7597386,0.47824055,0.6891465,0.2118036,0.24855396,0.26728177,0.09840384,0.3188175
0.78739387,1.0423002,0.9279429,0.7839467,1.2630826,0.9358091,1.1939864,0.7827779,1.2276329,0.535898,1.0167302,0.38660845,0.51581746,0.31696898,0.370005,0.8119646
0.6915984,0.73307234,0.6041382,0.66347843,1.1655338,1.054194,0.9212774,1.1946167,1.0230359,0.6157944,0.88686454,0.37907445,0.5637073,0.5314795,0.30715263,0.53495556
0.5545535,0.726493,0.52482593,0.6563919,0.70651406,0.7255492,0.68367714,0.6391126,0.84632206,0.5642584,0.79500794,0.1860491,0.2858595,0.17056578,0.046817392,0.37751624
0.39465117,0.6818554,0.5013069,0.5417165,0.66044265,0.6024535,0.67355084,0.5016268,0.77084386,0.44157925,0.6383358,0.17280507,0.21977505,0.14504243,0.11091706,0.36286953
0.41649708,0.577564,0.38825783,0.51137626,0.53916115,0.57537216,0.59199375,0.48842254,0.6588928,0.4567805,0.6255368,0.13168688,0.13920605,0.12565345,0.03248605,0.27014408
0.4372554,0.5944002,0.363662,0.5067881,0.5590173,0.604844,0.5709142,0.5176617,0.6695637,0.4630103,0.6304931,0.14919418,0.13057865,0.14578061,0.042160176,0.23789316
0.3669692,0.60072803,0.3715295,0.51548177,0.52607644,0.5567352,0.5434877,0.459424,0.6679089,0.43382195,0.59883857,0.14229296,0.1420823,0.08571907,0.027445883,0.21916737
0.5159342,0.86968225,0.7402752,0.5857599,1.0922741,0.73544365,1.0172025,0.7704083,1.0972693,0.42283395,0.78145444,0.39972812,0.4440527,0.31456956,0.33654523,0.657122
0.51258385,0.6287456,0.4671467,0.5582635,0.79637295,0.7857767,0.6929257,0.8192505,0.81314504,0.50452965,0.6925872,0.2559076,0.34791714,0.33540878,0.1365173,0.3768641
0.45686886,0.6369899,0.4501403,0.5796449,0.73673344,0.7463976,0.71001136,0.71824193,0.8088955,0.5045925,0.7252728,0.20916714,0.26088384,0.2628047,0.069624305,0.34996754
0.45645142,0.66984415,0.51110876,0.629694,0.6647072,0.6979598,0.65426147,0.6177661,0.80298835,0.49048018,0.73202604,0.17369933,0.27102402,0.2000502,0.03954514,0.32739818
0.4382459,0.6454037,0.47472712,0.59293205,0.7061783,0.70931387,0.7128437,0.6657127,0.80032337,0.50009376,0.7382274,0.18419147,0.24849007,0.22577006,0.054523364,0.34692067
0.49757883,0.761474,0.6340136,0.6561819,0.76078874,0.7595226,0.7474438,0.6307681,0.9487092,0.5284458,0.83700836,0.19138786,0.31772733,0.17121743,0.0826609,0.4320261
0.57336307,0.86586076,0.6766154,0.7167501,0.9219033,0.719883,0.8610492,0.5917418,1.0083382,0.5785264,0.8974802,0.2278595,0.3108603,0.19587606,0.17151381,0.52735835
0.56726426,0.8097768,0.7220235,0.8087331,0.87032497,0.88189656,0.83787006,0.7861953,1.0551286,0.60193735,0.9847308,0.19742346,0.41429326,0.23827516,0.040777087,0.4718385
0.42254204,0.625191,0.500563,0.472337,0.696857,0.5858025,0.67769134,0.5136523,0.76280254,0.37070677,0.63049036,0.23177782,0.23931196,0.19244951,0.13345902,0.419432
0.42529693,0.64535433,0.36801043,0.5524024,0.6282634,0.65419286,0.5995196,0.61312044,0.70280015,0.46021643,0.6548195,0.17360874,0.1890433,0.19243762,0.048991665,0.24481696
0.48276818,0.6945998,0.52717066,0.651175,0.6567187,0.7014611,0.6519081,0.60119617,0.8231582,0.5126199,0.7627919,0.160945,0.2688827,0.17151998,0.016733147,0.3390696
0.34153223,0.58099663,0.42676747,0.45832145,0.58835894,0.5045138,0.60955006,0.4327142,0.621704,0.32227814,0.4971097,0.17271805,0.18105009,0.13125174,0.13050042,0.3177938
0.48933572,0.73675585,0.57148206,0.6083798,0.7859949,0.62567055,0.8108938,0.49867958,0.74622136,0.36002225,0.6314296,0.23320524,0.31997946,0.1722297,0.23374301,0.46624416
0.46827492,0.71178085,0.6193528,0.5865664,0.74976134,0.6635958,0.71950305,0.56535804,0.8879151,0.4500817,0.7726036,0.21551637,0.3033224,0.17728384,0.12486388,0.44203138
0.5967086,0.72361624,0.66792625,0.73513776,0.85542375,0.8278702,0.81581336,0.7409338,1.0016518,0.57318175,0.9218383,0.24228555,0.35749048,0.28374955,0.0837796,0.49471033
0.5067444,0.7084739,0.65898037,0.6042985,0.89615613,0.7586592,0.8496962,0.7279671,0.9940595,0.48739845,0.8485443,0.2890058,0.35941523,0.2937675,0.13559082,0.5508405
0.6008057,0.9704075,0.7585556,0.8737147,0.9690411,0.8593668,0.9216689,0.7371396,1.1720014,0.67081434,1.1010749,0.21455804,0.40077326,0.17949174,0.11525692,0.5320218
0.55088586,0.73367345,0.57282746,0.6595135,0.9428569,0.91792595,0.8510478,0.9854718,0.91811144,0.56359357,0.81175894,0.27698243,0.49088126,0.3933522,0.16245688,0.44661212
0.59013313,0.71963346,0.6100155,0.6990919,0.8844414,0.854347,0.8087968,0.81495184,0.9689966,0.57014763,0.8927337,0.2639726,0.38286155,0.32835153,0.10607457,0.481223
0.42209256,0.6784573,0.558906,0.58518404,0.68766785,0.600222,0.68082476,0.5123865,0.773969,0.42439055,0.7091338,0.17653073,0.2780059,0.16203101,0.07354326,0.39142913
0.45085773,0.6551416,0.5473485,0.5858176,0.67861813,0.63687336,0.68002105,0.54341465,0.79611397,0.47800192,0.74186176,0.17574492,0.23434058,0.18177634,0.034843184,0.38038215
0.50580907,0.82634884,0.6214883,0.7662658,0.85838735,0.7641767,0.8518435,0.65601146,1.0085651,0.60170925,0.9161339,0.16848153,0.30755553,0.16100283,0.07270693,0.46251494
0.46168435,0.6596213,0.49623814,0.61232454,0.7067549,0.742174,0.68746346,0.68655914,0.7896619,0.51013815,0.74058956,0.18297642,0.27164605,0.21978836,0.04582321,0.3491937
0.38794214,0.63502944,0.4256464,0.5282302,0.56529266,0.5555579,0.5661837,0.477739,0.6936299,0.42125836,0.62027484,0.15794525,0.19011581,0.08894201,0.039797492,0.282288
0.5772277,0.775463,0.6675795,0.719143,0.8744529,0.81131834,0.8456435,0.7806688,1.016573,0.6013571,0.93627,0.24451351,0.38921237,0.25936714,0.08930534,0.519218
0.5072024,0.7541095,0.6072179,0.72849005,0.923102,0.8784758,0.8700173,0.8624141,1.0205466,0.6116041,0.90217775,0.2627983,0.3918302,0.31034833,0.09474127,0.49169114
0.52777183,0.9081452,0.68669045,0.8382879,0.9330577,0.8159004,0.9408599,0.7573383,1.0777956,0.6478717,0.98934805,0.20390481,0.39133906,0.20054059,0.08053595,0.51414335
0.44079718,0.6772608,0.47583818,0.58504134,0.6627328,0.61052877,0.66356397,0.47974572,0.7721885,0.46331844,0.68036985,0.15636335,0.1998229,0.1168798,0.08753693,0.35345015
0.43103418,0.63568044,0.38854346,0.573969,0.59329426,0.6198266,0.63725257,0.50446475,0.7108994,0.4820709,0.6865144,0.1363636,0.13188426,0.113367416,0.035574213,0.25670597
0.8185156,0.82161164,0.7656001,0.76548994,1.4661779,1.2608669,1.1333545,1.4744943,1.2559385,0.7137702,1.0524273,0.47210777,0.7615281,0.6948554,0.40833735,0.7085245
0.4522207,0.68736917,0.4062084,0.5761827,0.6698412,0.65740436,0.6854552,0.58784574,0.7698889,0.52639914,0.714305,0.17291561,0.1697925,0.16764154,0.056427263,0.31056935
0.4628561,0.61090183,0.31588143,0.5239334,0.52620727,0.6063362,0.5378328,0.48734367,0.6379875,0.47328863,0.60840356,0.13182542,0.087987125,0.13606472,0.03340465,0.19766605
0.46319866,0.74957013,0.5272399,0.67000705,0.7533997,0.7002138,0.78876114,0.6156018,0.91545415,0.5632956,0.8140388,0.17095995,0.23136479,0.16732772,0.06619792,0.38688397
0.3604352,0.5791236,0.39280793,0.46767116,0.52733463,0.5329341,0.5621442,0.4838649,0.62524825,0.3981967,0.5452343,0.16408838,0.15104118,0.113400735,0.06750276,0.24193911
0.40805182,0.61422855,0.37756282,0.5409866,0.5390987,0.58186305,0.5751047,0.47557846,0.6657936,0.45492393,0.6192059,0.14050004,0.13512215,0.116681986,0.038624883,0.2477361
0.4381454,0.6313831,0.35969332,0.5178493,0.5907636,0.63918555,0.5909495,0.564408,0.67682076,0.47428226,0.62771505,0.15685232,0.16092876,0.1605107,0.040300056,0.25720805
0.41923213,0.68031114,0.42478707,0.5930606,0.5492356,0.62705165,0.5836357,0.5114729,0.719978,0.45386767,0.66796535,0.124263674,0.18855523,0.114743166,0.0023808703,0.24546814
0.43443063,0.7409214,0.5358101,0.71515393,0.6811691,0.68906444,0.7270288,0.5725296,0.8656183,0.4968254,0.8060572,0.13534312,0.27368328,0.11252024,0.03617792,0.3407236
0.52491295,0.7869314,0.5728028,0.72897786,0.8104735,0.7269235,0.79208916,0.6342776,0.94790566,0.5849272,0.8752164,0.19193855,0.2824136,0.15068805,0.06532348,0.42350867
0.4453488,0.68809026,0.4967183,0.61117846,0.69245094,0.64092547,0.7060401,0.5584155,0.80537,0.5042181,0.74224126,0.15731873,0.22238326,0.13407192,0.053987205,0.35701317
0.7086787,0.74446595,0.65701026,0.7222838,1.2700813,1.1543883,1.0328192,1.2877932,1.1317914,0.6610589,0.95441073,0.40735263,0.6244088,0.59173083,0.30479145,0.62112457
0.41504875,0.6256137,0.4553698,0.5491502,0.593923,0.5597924,0.6276835,0.44126114,0.6977151,0.41156635,0.63826776,0.14644276,0.17974322,0.09813621,0.058720805,0.3152455
0.49420634,0.6770293,0.6029756,0.6024144,0.7413552,0.6769577,0.7123658,0.57176167,0.85829693,0.46407932,0.78831834,0.21138851,0.27046564,0.17627798,0.08200227,0.4381746
0.7428582,0.97140354,0.8591723,0.76642275,1.1327655,0.8630632,1.0466586,0.71716076,1.1536022,0.60411763,0.9957891,0.335374,0.44813007,0.27136716,0.2992904,0.7359262
0.44458476,0.6275061,0.4186143,0.5758395,0.6062868,0.6453252,0.6308817,0.5346865,0.7304599,0.4731274,0.693357,0.1397632,0.17563218,0.14039335,0.049535796,0.28618085
0.47156432,0.7169932,0.6060862,0.5943915,0.82086617,0.69360936,0.81530225,0.65872926,0.91785806,0.47997516,0.7967434,0.2315336,0.34272122,0.2579008,0.108906835,0.49522042
0.5345392,0.6758009,0.4934267,0.58306366,0.8403978,0.766465,0.77259296,0.8023477,0.824038,0.49874574,0.76061076,0.26821023,0.3907416,0.3721674,0.14855678,0.4366989
0.63693404,0.67534626,0.5908993,0.58333284,1.0805472,0.94496197,0.86938226,1.0829209,0.9497269,0.5440357,0.7824171,0.36638266,0.53045845,0.5220153,0.30484563,0.5049002
0.79715544,0.78768563,0.83037895,0.73828894,1.4504391,1.2214756,1.1820077,1.4309412,1.288836,0.66962826,1.1064171,0.47889793,0.8018276,0.70221347,0.41834563,0.79259324
0.4178596,0.65261346,0.546255,0.5041651,0.7377102,0.5672624,0.7265751,0.51632655,0.7778433,0.39490935,0.6300432,0.22127648,0.30380332,0.20341691,0.15850116,0.44119495
0.62247163,0.6989329,0.6193062,0.5864443,1.0801519,0.95006084,0.9243873,1.0596399,1.035503,0.5507058,0.87067753,0.35085866,0.53818554,0.5109579,0.27700675,0.5792866
0.63589567,0.85796696,0.7392776,0.8158999,1.0653809,0.99496675,0.96130466,0.99233955,1.1693894,0.6961443,1.0353771,0.30541578,0.50683063,0.36833155,0.1352368,0.59942436
0.43964276,0.62255186,0.37184164,0.5034267,0.64373976,0.6580123,0.6438246,0.64786685,0.68653345,0.47324544,0.63794506,0.1818794,0.18872185,0.18260105,0.08227767,0.2543315
0.50365114,0.7393155,0.52182823,0.675951,0.734378,0.6929274,0.72037446,0.61888266,0.8667274,0.5580632,0.80521524,0.19174254,0.26403204,0.13973771,0.04791797,0.3783557
0.41359526,0.7210731,0.49244893,0.6388196,0.6498472,0.64838684,0.6850406,0.5711458,0.79359984,0.50655305,0.7380504,0.13766666,0.24597308,0.12669866,0.019892693,0.33566794
0.44641247,0.6769566,0.52882946,0.57716364,0.66677094,0.5781119,0.66985446,0.45988896,0.754114,0.41344383,0.6883758,0.17302707,0.23332477,0.12982795,0.07844329,0.38109252
0.7091778,0.7914538,0.81175554,0.79378515,1.2996298,1.1461852,1.1124843,1.2960924,1.2555525,0.6937541,1.0846394,0.3952727,0.70689356,0.6023847,0.28868794,0.7071648
0.45421174,0.6904172,0.43400392,0.580868,0.5963052,0.66238153,0.6230582,0.56314456,0.7393954,0.49203768,0.69844097,0.14940248,0.19369458,0.14462523,0.03255468,0.28041574
0.43193308,0.6350684,0.4065311,0.5405872,0.55970234,0.6112677,0.596272,0.5046758,0.70521766,0.47669575,0.65715384,0.13945217,0.15399462,0.12536958,0.027076423,0.27235475
1.0848373,1.024036,1.0808902,0.99872375,2.0072036,1.6904792,1.5613691,1.9953327,1.7289515,0.9038572,1.4274334,0.69105184,1.129209,1.041155,0.62726164,1.056788
0.46753716,0.6300559,0.39276314,0.5294678,0.590103,0.63896763,0.58235145,0.57973313,0.6947207,0.46705177,0.6345883,0.16377576,0.19412655,0.18811679,0.059903093,0.26223418
0.4590291,0.6695504,0.54818475,0.60120445,0.70836616,0.6390003,0.7106982,0.535699,0.84636813,0.4479272,0.76899576,0.18792148,0.24408409,0.16371813,0.07448177,0.39975464
0.4551725,0.67014045,0.5309791,0.62741673,0.6640859,0.64576733,0.6756343,0.5617276,0.8020246,0.49535534,0.7578534,0.16055259,0.25747743,0.15751177,0.020971626,0.36340743
0.43642867,0.6388076,0.43817738,0.58887845,0.6067664,0.5964736,0.6426491,0.47823906,0.72946876,0.45379323,0.6839826,0.14438097,0.16376162,0.09869423,0.050566383,0.29777744
0.7548984,1.0291924,0.86408883,0.7788084,1.1826535,0.8591386,1.1123863,0.64662015,1.1194775,0.5544089,0.9239064,0.3210257,0.5158562,0.28150213,0.40244296,0.7326204
0.4343375,0.65199393,0.42463207,0.57162017,0.6083192,0.65619135,0.623368,0.5830065,0.7176432,0.4697001,0.6729812,0.1602043,0.2098651,0.16692244,0.04691004,0.2823346
0.51306254,0.76296353,0.5551722,0.7015696,0.8829683,0.79940355,0.8374246,0.79344285,0.94444585,0.54465926,0.8681221,0.24499525,0.38839674,0.27049705,0.123410806,0.46080804
0.35679454,0.56877685,0.39662045,0.43098652,0.573598,0.50470835,0.5904396,0.41670203,0.61611164,0.33469453,0.4990279,0.16346328,0.16182843,0.13348415,0.10652594,0.31451702
0.47308788,0.6457149,0.5192925,0.601509,0.65395087,0.67686164,0.6613148,0.56840724,0.80671346,0.48491478,0.7462267,0.16486302,0.23418611,0.1793665,0.03374973,0.3487313
0.5945878,0.817822,0.7670047,0.81205004,0.95114297,0.9122437,0.91647923,0.8410416,1.136633,0.6217834,1.0447184,0.23523821,0.46165937,0.31549132,0.08738913,0.5621413
0.4058566,0.6331532,0.40030277,0.5876106,0.60924315,0.62373865,0.6200103,0.54388326,0.70953184,0.45605138,0.66247845,0.16166137,0.19217299,0.16918965,0.043931402,0.26878163
0.78832966,1.058569,0.86969256,0.9429423,1.1761454,0.93518865,1.0339713,0.8070043,1.3317397,0.77699256,1.1847378,0.30171698,0.5080748,0.2550194,0.23266238,0.6869651
0.40755057,0.6864161,0.50776786,0.60246205,0.666265,0.5798854,0.6841168,0.49972478,0.7757024,0.45754302,0.7098753,0.15739717,0.22164127,0.113401465,0.06815462,0.35105506
0.6779944,1.0110817,0.89600086,0.8851548,1.023941,0.89402395,0.90940875,0.79267836,1.2512513,0.7208748,1.1252048,0.25188476,0.5230019,0.23641406,0.15995203,0.607693
0.89606744,0.94945925,0.97906274,0.9447174,1.5503509,1.3392993,1.2442183,1.4781318,1.4923807,0.8079526,1.3181992,0.5016023,0.85737604,0.70356196,0.3319086,0.9002992
0.47213128,0.6820342,0.41834956,0.5620951,0.72709495,0.70713586,0.7006667,0.7014542,0.77970886,0.5041217,0.71388066,0.2028654,0.25253308,0.23126191,0.07659066,0.33077937
0.87326217,0.8512628,0.7776101,0.8028375,1.5639062,1.3539717,1.2247528,1.5842135,1.3102647,0.73780096,1.1044407,0.49629566,0.82532024,0.76154,0.4443307,0.7535542
0.73709834,0.7699371,0.65834713,0.71202415,1.2907301,1.1452008,1.0248443,1.3141714,1.1264246,0.6514814,0.96064156,0.41322356,0.6525676,0.6052334,0.34529367,0.6047457
0.57099056,0.65838516,0.5178155,0.60800487,0.92959726,0.87300706,0.76595336,0.9474237,0.8819831,0.53096527,0.7670197,0.32023638,0.41699404,0.41295987,0.18484701,0.4442762
0.41573277,0.6852761,0.47607046,0.64301044,0.6053094,0.64720017,0.64242035,0.5372166,0.78098196,0.4678388,0.7318239,0.13129702,0.22312385,0.11948908,-2.0410866e-05,0.2994867
0.44915998,0.6627943,0.54240954,0.6081288,0.6729125,0.66402715,0.7053521,0.5771564,0.8270829,0.48546833,0.7508042,0.1665526,0.24656197,0.17453435,0.042848356,0.35459843
0.51957387,0.6531942,0.55474097,0.6259109,0.8194544,0.7827353,0.7598199,0.7577024,0.91156894,0.5212987,0.7931642,0.24213843,0.3409133,0.31660432,0.107193604,0.43960235
0.9156794,0.9315474,1.0585911,0.8351599,1.6407597,1.3317274,1.3576801,1.5392946,1.5563353,0.7685926,1.3306454,0.5755331,0.9149516,0.7854261,0.49243942,0.9729691
0.3498736,0.56892276,0.3777466,0.509681,0.5381352,0.52054834,0.58256215,0.43886316,0.6392027,0.41713446,0.5895148,0.13205239,0.15928759,0.10241835,0.04156594,0.26015106
0.4168787,0.65113723,0.4282476,0.56914014,0.6064804,0.6245927,0.6475188,0.5419356,0.72611296,0.47897524,0.69759005,0.14331836,0.1853395,0.15118894,0.020186521,0.29476875
0.5060857,0.80857223,0.64741844,0.67203414,0.8429415,0.7373019,0.8046778,0.6472066,0.964432,0.57672894,0.8569687,0.18990797,0.33161932,0.19710958,0.08620195,0.48960805
0.5340458,0.6552694,0.44165835,0.550869,0.8655123,0.82255155,0.757936,0.8767485,0.8248705,0.50327706,0.7183752,0.2730714,0.35261434,0.3681886,0.17161776,0.39716902
0.44032165,0.62648195,0.38815287,0.56090593,0.5408608,0.6045694,0.57981735,0.47166875,0.6836514,0.47274256,0.64729977,0.118836224,0.12859939,0.10090394,0.024484143,0.24487327
0.42618108,0.62569237,0.36706132,0.5250869,0.6106887,0.6397714,0.6107333,0.5907953,0.68844885,0.46648276,0.6487909,0.16710907,0.1701748,0.16235873,0.05578223,0.2596855
0.68984836,0.9456048,0.8475669,0.7804884,1.0839158,0.8490547,1.0051118,0.6914181,1.1240215,0.53692573,1.0008966,0.30553368,0.44873774,0.26395017,0.25648794,0.68641514
0.46706015,0.6731893,0.50066257,0.58988243,0.70453227,0.67859036,0.72768945,0.6392833,0.8266147,0.4992151,0.7623688,0.17838912,0.2701584,0.20650679,0.065470144,0.39228067
0.48576954,0.6447414,0.481233,0.637415,0.65438926,0.6865648,0.66538906,0.5795332,0.79356253,0.50837064,0.75486296,0.16397719,0.21850625,0.17546378,0.037815347,0.32190824
0.6239266,0.7367277,0.6422398,0.73033476,1.0492027,1.0029529,0.9062315,1.0350219,1.0436156,0.62274224,0.9371307,0.32312572,0.5005133,0.4348433,0.15182818,0.5585056
0.5087273,0.7176054,0.5257523,0.6566021,0.73952496,0.73753047,0.7307408,0.6640899,0.8721162,0.54550725,0.8136334,0.19425663,0.28332892,0.21202356,0.04133728,0.38994184
0.42748502,0.672952,0.4799043,0.6337738,0.6034138,0.64573187,0.6301229,0.53591967,0.77595377,0.47230938,0.72118574,0.13432652,0.21886519,0.13109729,-0.005190406,0.29726386
0.84521604,0.7940107,0.865674,0.7550132,1.4861649,1.2561946,1.1682545,1.4569621,1.3110512,0.7013438,1.1043618,0.49828637,0.7827066,0.7288426,0.43454757,0.76861346
0.46533257,0.72603613,0.47660536,0.6274582,0.6003104,0.6846796,0.61602026,0.5573724,0.7773185,0.47632107,0.72297865,0.13970684,0.2284286,0.1462551,0.022410773,0.27855024
0.55344474,0.8387925,0.70424616,0.7335982,0.92551565,0.7678283,0.87427276,0.6770474,1.0768104,0.58373725,0.96490175,0.24388899,0.34151462,0.22551773,0.1290733,0.5413227
0.37142822,0.6080773,0.38179365,0.5182577,0.5195428,0.5629809,0.5403064,0.48607036,0.66669244,0.43426013,0.59036696,0.14137186,0.15820402,0.09452854,0.031224847,0.2174764
0.43564823,0.77222997,0.5667244,0.7307732,0.7106292,0.70724076,0.76012343,0.60361254,0.89165264,0.5159873,0.8340328,0.1408142,0.30500996,0.12263749,0.03577301,0.37319812
0.4315034,0.6268712,0.3795563,0.54873204,0.56729907,0.6079798,0.6062431,0.49107277,0.6873456,0.4738692,0.657548,0.12497032,0.12862216,0.1120544,0.03150305,0.25099492
0.45440203,0.62397474,0.44398344,0.54823154,0.6909357,0.6921183,0.6828134,0.6342275,0.78638244,0.47636202,0.7110376,0.18828845,0.22903034,0.23679967,0.06967908,0.33949268
0.6198328,0.9046334,0.71075827,0.7651376,0.9290994,0.76615876,0.84577954,0.6218469,1.0474598,0.5897096,0.9385236,0.2635846,0.4095276,0.18989798,0.16212183,0.5649057
0.4805787,0.6978665,0.47502887,0.5657129,0.6702855,0.66452384,0.6785063,0.6006404,0.75309753,0.51936007,0.7184773,0.17468743,0.24116525,0.2022243,0.03953679,0.35505122
0.53983045,0.76101565,0.60210735,0.59362143,0.82124835,0.64995253,0.81778413,0.48834908,0.80729574,0.40761948,0.67639667,0.22916481,0.30212447,0.18358454,0.22616532,0.48707
0.4179654,0.64573365,0.3653466,0.5405228,0.61117417,0.6355027,0.6397449,0.56806076,0.7099411,0.4931186,0.66124755,0.15935756,0.14733335,0.1597013,0.04250329,0.26763454
0.5918222,0.76843596,0.7508019,0.6828357,1.1238621,0.9170742,1.0395705,1.024303,1.1517953,0.58034873,0.9648542,0.36900485,0.54670376,0.46421462,0.25134984,0.6730101
0.43318576,0.6364997,0.38556075,0.529416,0.63655883,0.64772874,0.66282046,0.58847874,0.7294753,0.47412756,0.68268836,0.16183035,0.17745104,0.18655577,0.04877332,0.2908426
0.40082762,0.6043812,0.40144205,0.52723134,0.55022985,0.5534081,0.58998054,0.45227784,0.6683633,0.4378108,0.616088,0.134634,0.1373343,0.10657849,0.036207765,0.2658606
0.37298015,0.5665048,0.41190317,0.49899247,0.5510634,0.5000779,0.60484326,0.44027898,0.62062985,0.3650527,0.56036913,0.14315712,0.14314823,0.10860553,0.06350862,0.27832195
0.48604164,0.62544036,0.35975814,0.5147633,0.6813624,0.6999931,0.6192003,0.70075893,0.7082089,0.47172374,0.63901925,0.21630764,0.21046895,0.25747314,0.10602695,0.2766316
0.59617287,0.67711943,0.4847782,0.5852921,0.93802094,0.8903812,0.77002686,0.9725411,0.87647235,0.53870755,0.7587421,0.3165894,0.41341278,0.4258395,0.2174021,0.43078876
0.5543202,0.70727116,0.5301027,0.6448628,0.68792117,0.7261281,0.6690717,0.62061423,0.8436322,0.5564486,0.78816247,0.17450687,0.2782172,0.17204516,0.038263045,0.37671435
