YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Effort
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-99.30486,-22.174171,-90.75208,18.483362,42.09214,4.678175,32.19992,-64.70697,-160.44052,24.192757,-63.006268,48.666985,58.395916,-58.79477,-122.90795,-14.274322,68.89234,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-53.83399,-9.840883,-44.462856,9.993778,23.406162,5.5769277,15.864335,-34.12188,-83.74359,11.017107,-27.985868,21.733343,28.125154,-30.683004,-62.17405,-11.652396,39.267788,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-55.32894,-11.683308,-47.913383,9.53044,23.865627,4.0372157,16.83736,-34.786274,-87.24615,12.813193,-32.269955,24.479439,30.96552,-31.26726,-65.98988,-9.602787,38.902718,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-244.57664,-59.87753,-228.43565,48.30447,102.01343,8.747661,80.94741,-156.59174,-402.61902,62.65444,-163.42064,123.95622,148.91235,-149.70697,-305.7659,-30.678907,159.45364,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-45.5078,-8.226249,-38.83979,7.8873115,19.66813,3.6417396,13.714087,-30.696968,-70.41764,9.521915,-24.909555,20.239782,24.446678,-25.606283,-54.12332,-8.73374,34.773083,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-65.4772,-12.191085,-55.004345,12.520751,27.922667,6.454913,19.675411,-41.939243,-102.14663,13.316545,-34.924538,27.170883,34.477913,-37.89069,-75.897285,-13.780149,47.23247,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-135.73189,-25.650427,-126.96749,26.227167,58.751526,4.966667,47.33501,-96.81602,-218.8148,31.011803,-84.89824,70.223816,78.52565,-81.45442,-173.30814,-20.631067,105.53778,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-56.78795,-11.1171465,-50.32347,10.093303,24.116045,3.5383432,17.778267,-38.63906,-89.100494,12.461949,-33.358273,26.971077,31.710598,-32.65041,-68.99408,-9.517603,42.30518,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-49.93649,-9.076876,-40.261,9.327933,21.630651,5.8047786,14.074334,-31.099617,-77.24571,9.959654,-24.96614,19.277159,25.576109,-28.38948,-56.534023,-11.347348,35.770576,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-61.64169,-10.309115,-51.393253,11.678022,27.07198,6.2264633,18.899937,-40.449726,-95.7865,12.170122,-31.665955,25.319157,31.81548,-35.350777,-72.05075,-13.76775,47.071262,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-28.965405,-5.8384914,-23.654354,4.576143,12.197143,2.5778484,7.4632096,-18.91232,-43.92216,6.1518273,-15.488485,12.588465,15.578968,-15.783713,-33.30439,-5.2052455,20.77367,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-52.66579,-8.11396,-42.32033,9.898531,23.62976,6.2960725,15.569538,-34.026062,-81.29756,9.986564,-25.050837,20.016624,26.186039,-29.827215,-60.41999,-13.031995,40.82648,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-35.208973,-5.7607317,-26.791595,6.428591,15.493221,4.7995405,9.143082,-22.027842,-53.379192,6.540072,-15.764676,12.546861,17.161118,-19.62873,-38.776653,-8.924933,26.108593,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-44.959248,-7.5345874,-37.320965,8.109733,19.552557,4.376047,13.277113,-30.152187,-69.17596,8.858195,-23.097973,18.89007,23.289787,-25.412188,-52.46452,-9.694188,34.716457,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-29.602816,-4.1855044,-22.597155,5.200776,13.162568,3.8403149,7.915043,-19.880762,-44.349186,5.1833053,-12.943916,11.125534,14.210381,-16.452024,-33.142864,-7.605055,23.658756,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-65.883125,-10.262384,-51.94229,12.831934,29.991488,8.779422,19.481812,-40.37039,-102.49183,12.5817,-30.386616,23.12167,32.266514,-37.50552,-74.47697,-17.359135,49.615982,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-119.09403,-24.24281,-103.608986,23.061378,51.255642,9.855092,37.89017,-74.37927,-190.2765,26.611214,-68.35139,51.23875,65.56576,-70.047195,-141.60953,-22.902136,83.153725,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-196.61073,-41.351273,-174.9491,39.058308,84.29913,13.986259,64.29481,-123.91493,-317.73535,45.373886,-117.430695,88.33043,110.92725,-117.705376,-237.66034,-35.1692,136.01892,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-23.363974,-4.338649,-18.364527,3.2825444,10.456463,2.339129,5.7108393,-15.068912,-35.076706,4.948803,-11.63769,9.64989,12.247229,-12.069674,-26.83617,-4.472603,17.512691,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-45.50319,-9.420059,-38.7013,7.660688,19.528452,3.6043339,13.27097,-28.865856,-70.95999,10.250487,-25.766933,19.886261,25.086893,-25.44694,-53.669636,-8.11503,32.240017,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-23.148214,-2.1810205,-14.3205385,4.4747214,10.66358,5.133937,5.4826474,-14.602026,-33.70526,2.8718972,-6.044926,5.785708,9.056573,-13.215864,-23.124273,-8.632618,18.808891,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-13.121599,-0.4829884,-4.728024,3.696776,5.135535,4.008789,1.1661404,-8.2970705,-15.966171,1.7586039,-1.742365,1.1527021,3.3464947,-8.738874,-11.015811,-7.4218264,9.892456,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-42.453075,-5.9642115,-31.961061,8.313852,19.108862,6.4455786,11.534451,-26.734867,-64.54505,7.219312,-17.682323,14.304598,19.787313,-24.000055,-46.583088,-11.942399,32.6491,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-163.71274,-26.334341,-132.85286,34.4662,72.9967,21.100643,51.524117,-100.07346,-258.2225,31.301142,-78.91978,58.453236,81.14927,-96.72277,-186.16661,-43.213062,120.73381,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-15.195688,4.603052,-3.1888692,7.870126,5.99025,9.349121,0.5267037,-11.868632,-16.466362,1.5002828,-0.8090661,-3.2190957,1.0014639,-12.915579,-9.569563,-13.406267,11.590679,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-69.4748,-11.529818,-58.210384,13.296824,30.829815,7.025481,21.793604,-45.32033,-108.60142,13.883963,-35.791157,28.331161,35.869087,-39.965588,-81.68228,-15.754944,53.300144,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-242.36139,-50.47499,-211.79161,49.354755,104.39624,19.69357,78.90787,-149.75612,-390.87054,54.734016,-140.60028,104.17292,134.40434,-145.63199,-288.7852,-46.842182,166.02933,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-28.349407,3.896457,-12.64272,9.43156,14.916418,10.800089,5.354379,-19.0098,-37.17904,3.7663057,-2.550629,0.6739611,5.4449983,-18.688637,-26.26379,-18.953463,27.038788,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-53.09428,-6.4088535,-37.68401,10.964307,25.052397,9.886985,14.512369,-30.805725,-81.337326,8.714965,-19.205437,14.282536,23.103516,-30.188046,-56.364647,-17.764076,40.7074,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-168.36916,-31.022081,-142.80699,33.824203,73.87494,17.18029,54.362522,-103.593925,-267.92007,35.44472,-90.35559,66.66438,88.70037,-99.07484,-196.77798,-37.956238,120.85995,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-109.916885,-12.549986,-79.96134,24.298653,51.86334,20.423609,32.1508,-64.177765,-170.10092,17.791733,-40.578236,29.646473,47.57201,-64.01926,-117.71053,-37.45473,84.776344,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-420.71295,-88.58672,-365.44498,88.37552,180.54613,35.747093,137.25504,-257.08835,-679.74963,94.34765,-242.43318,177.75307,232.39697,-255.66246,-497.6078,-83.65166,283.51828,23940
