ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Effort
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,8.0,406,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,8.0,2151,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1785
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,8.0,471,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,5.0,700,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,2.0,698,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,3.0,1459,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,4.0,1372,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,19.0,16690,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,2.0,239,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,5.0,1520,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,8.0,1754,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,6.0,1824,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,8.0,804,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,20.0,5864,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,3.0,1172,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,13.0,5333,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,8.0,1775,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,5.0,246,1,0,0,0,1,-0.12985432,0.28949997,-0.3425054,-0.13361955,0.044582047,0.11608373,-0.06363548,-0.14302576,-0.290463,0.5275169,0.062641375,-0.10321095,0.25320444,0.3719152,0.08545438,-0.073021896,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,7.0,3793,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,12.0,10501,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,8716
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,6.0,1464,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,2.0,1636,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,7.0,281,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,5.0,2796,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,13.0,4884,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,84.0,2400,0,0,0,1,1,0.64575845,6.0760627,-1.404391,-1.2160938,-4.7215705,-2.8667336,-1.2674344,-2.6412134,-1.4603987,-0.14388843,3.9931862,-2.6379507,2.557962,2.0849159,3.9230797,3.373536,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,13.0,5650,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,5650
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,2.0,1837,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,2.0,575,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,2.0,606,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,10.0,10205,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,3.0,937,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,7.5,2597,0,0,0,1,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2597
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,3.0,950,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,950
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,13.0,5727,0,0,1,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,5727
66,156,21,38,39,7,41,146,0,0,13.1,14.0,15.8,16.8,4.0,2458,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2040
67,75,30,5,19,21,0,40,35,0,49.0,49.0,59.1,59.1,8.0,4430,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3677
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,2.0,687,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,570
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,8.0,4530,0,1,0,0,1,-17.731066,-14.808554,-17.084528,18.725195,-9.463472,-5.0568256,-0.20182225,-39.805927,-10.7507305,14.430235,-20.75274,-18.622347,-9.966645,-11.115248,4.021996,-33.507236,1223
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,4.0,1084,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,976
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,12.0,466,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,387
72,1092,356,84,170,669,21,1300,0,0,4.0,3.4,4.9,4.1,13.0,5320,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,4416
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,8.0,345,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,286
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,5.0,367,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,305
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,7.0,155,1,0,0,0,1,-0.3735384,0.37125015,-0.45266572,0.026136942,-0.11425097,0.0048557967,0.0027218387,0.0043672994,-0.7412128,0.9898347,-0.17993993,-0.22081669,0.56362855,0.9006778,0.1579417,-0.22896159,129
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,8.0,4266,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,4266
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,3.0,440,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,440
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,2.0,1362,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1362
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,6.0,2533,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2533
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,10.0,225,1,0,0,0,1,-0.058128454,1.741742,-0.57830006,-0.62589103,-0.8689616,-0.3087356,-0.5561219,-0.54360974,-0.52734077,0.92488974,0.22256339,-0.18490534,0.8133606,1.108567,1.0033157,0.7413639,225
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,13.0,11045,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,11045
82,3460,484,1831,318,208,142,2756,227,0,9.5,11.0,9.5,11.0,24.0,32760,0,0,0,1,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,32760
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,8.0,2475,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2054
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,7.0,252,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,252
