ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_N_effort_NPDR_AFP,MI_N_effort_Input,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Changed,MI_N_effort_Output,MI_N_effort_Resource_1,MI_N_effort_Resource_2,MI_AFP_PDR_AFP,Effort
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,7.0,2053,1,0,0,0,1,137551,52146.2,70212.6,51325,58305.2,32848,62821.8,65696,14371.0,14371,71855,10265,2053,0,1701.8,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,7.0,3034,0,1,0,0,1,603766,40352.200000000004,43082.799999999996,649276,37318.200000000004,172938,46116.799999999996,0,21238.0,0,0,348910,0,3034,2646.7000000000003,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,26.0,3348,1,0,0,0,1,589248,63612.0,66625.2,562464,66625.2,180792,63612.0,43524,87048.0,133920,0,180792,3348,0,3344.0,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,7.0,814,1,0,0,0,1,318274,1383.8,1953.6,30932,1628.0,65934,1709.4,169312,5698.0,20350,245828,21164,814,0,664.6999999999999,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,3.0,911,1,0,0,0,1,239593,3188.5,3188.5,160336,3188.5,92011,3188.5,59215,2733.0,38262,79257,40995,911,0,920.5,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,6.4,2496,1,0,0,0,1,104832,148262.4,119808.0,129792,119808.0,7488,148262.4,29952,15974.400000000001,17472,0,37440,2496,0,2494.7999999999997,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,10.0,1171,1,0,0,0,1,222490,7260.2,6791.8,187360,6791.8,18736,7260.2,114758,11710.0,73773,49182,23420,1171,0,1178.0,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,13.0,3532,1,0,0,0,1,865340,50860.8,59690.799999999996,67108,59690.799999999996,63576,50860.8,370860,45916.0,204856,671080,98896,3532,0,3528.0,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1.0,525,1,0,0,0,1,40425,2992.5,3937.5,0,3255.0,22050,3570.0,14700,525.0,0,36750,0,525,0,438.90000000000003,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,4.0,1095,1,0,0,0,1,388725,2847.0,3394.5,0,2847.0,79935,3394.5,304410,4380.0,0,384345,0,1095,0,923.0,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,6.0,10957,1,0,0,0,1,34580292,31775.3,44923.7,306796,37253.799999999996,1062829,38349.5,22735775,65742.0,0,131484,5752425,10957,0,9152.4,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,6.0,344,1,0,0,0,1,15824,2580.0,2236.0,9632,2236.0,0,2580.0,0,2064.0,8600,8600,9632,344,0,345.0,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,3.0,296,0,0,0,1,1,16576,1568.8,1657.6,15688,1657.6,4440,1568.8,4144,888.0,2072,0,3552,0,0,296.8,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,13.0,4220,1,0,0,0,1,447320,139260.0,187368.0,147700,155718.0,50640,167956.0,274300,54860.0,59080,223660,16880,4220,0,3498.0,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1.0,296,1,0,0,0,1,21016,1036.0,1154.3999999999999,9176,976.8,2664,1243.2,9176,296.0,2072,6808,8288,296,0,248.5,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,24.0,2082,0,1,0,0,1,637092,14157.6,14157.6,637092,14157.6,0,14157.6,106182,49968.0,218610,0,218610,0,2082,2080.7999999999997,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,7.0,191,0,0,0,1,1,46604,152.8,152.8,46604,152.8,4202,152.8,12988,1337.0,11842,0,14898,0,0,195.20000000000002,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,15.0,3583,1,0,0,0,1,351134,108564.90000000001,112506.2,408462,93516.3,10749,131137.80000000002,75243,53745.0,157652,0,164818,3583,0,2969.4,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,2.0,395,1,0,0,0,1,130745,395.0,513.5,123240,434.50000000000006,24095,474.0,39500,790.0,42265,0,17380,395,0,331.0,328
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,8.0,406,1,0,0,0,1,41006,1624.0,1461.6000000000001,45472,1461.6000000000001,15834,1624.0,6496,3248.0,21112,0,2030,406,0,404.0,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,8.0,2151,1,0,0,0,1,412992,20004.300000000003,23445.9,425898,19359.0,0,24091.199999999997,19359,17208.0,21510,0,219402,2151,0,1785.6000000000001,1785
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,8.0,471,0,1,0,0,1,28260,3720.9,3297.0,18369,3297.0,0,3720.9,18369,3768.0,6594,10362,1884,0,471,474.0,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,5.0,700,0,1,0,0,1,126000,2730.0,2660.0,107100,2660.0,23100,2730.0,51800,3500.0,39900,20300,12600,0,700,702.0,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,2.0,698,1,0,0,0,1,82364,3420.2000000000003,4048.4,26524,3350.4,4886,4118.2,30014,1396.0,0,57934,49558,698,0,578.2,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,3.0,1459,1,0,0,0,1,106507,24219.4,29617.7,8754,24511.2,5836,29180.0,62737,4377.0,21885,96294,14590,1459,0,1211.8000000000002,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,4.0,1372,1,0,0,0,1,196196,10976.0,13994.4,19208,11524.800000000001,37044,13171.199999999999,86436,5488.0,61740,166012,0,1372,0,1144.0,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,19.0,16690,0,1,0,0,1,36551100,110154.0,151879.0,30459250,133520.0,3938840,126844.0,11783140,317110.0,3922150,0,10815120,0,16690,14454.0,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,2.0,239,1,0,0,0,1,2151,6357.400000000001,5712.099999999999,1195,5712.099999999999,0,6357.400000000001,0,478.0,0,1195,2390,239,0,239.4,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,5.0,1520,1,0,0,0,1,308560,9424.0,11552.0,305520,9576.0,4560,11400.0,31920,7600.0,15200,0,253840,1520,0,1258.6000000000001,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,8.0,1754,1,0,0,0,1,284148,18943.2,19644.8,275378,19644.8,15786,18943.2,112256,14032.0,49112,0,63144,1754,0,1749.6000000000001,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,6.0,1824,1,0,0,0,1,333792,15139.2,18422.399999999998,330144,15321.6,52896,18240.0,109440,10944.0,129504,0,38304,1824,0,1518.9,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,8.0,804,1,0,0,0,1,47436,9085.2,11336.4,4824,9406.8,0,10934.4,28944,6432.0,0,41004,16884,804,0,666.7,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,20.0,5864,1,0,0,0,1,2415968,83268.8,83268.8,2415968,83268.8,580536,83268.8,1161072,117280.0,533624,0,82096,5864,0,5850.4,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,3.0,1172,1,0,0,0,1,407856,3281.6,4219.2,11720,3516.0,38676,3984.7999999999997,232056,3516.0,90244,365664,16408,1172,0,974.4,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,13.0,5333,0,1,0,0,1,13487157,11199.300000000001,13865.800000000001,10964648,13865.800000000001,351978,11199.300000000001,2954482,69329.0,3749099,0,2735829,0,5333,5310.900000000001,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,8.0,1775,0,1,0,0,1,443750,12602.5,15265.0,291100,15265.0,101175,12602.5,49700,14200.0,0,76325,163300,0,1775,1775.0,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,5.0,246,1,0,0,0,1,50676,246.0,295.2,24600,246.0,0,295.2,0,1230.0,0,25584,48954,246,0,206.0,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,7.0,3793,1,0,0,0,1,2340281,19344.3,25792.399999999998,1429961,21620.100000000002,390679,23137.3,697912,26551.0,504469,678947,515848,3793,0,3146.7,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,12.0,10501,1,0,0,0,1,1816673,529250.4,622709.2999999999,1858677,516649.2,105010,637410.7000000001,0,126012.0,178517,0,819078,10501,0,8719.199999999999,8716
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,6.0,1464,1,0,0,0,1,418704,7466.4,8052.0,387960,8052.0,39528,7466.4,65880,8784.0,54168,0,228384,1464,0,1458.6,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,2.0,1636,1,0,0,0,1,85072,42699.600000000006,52515.600000000006,32720,43517.600000000006,9816,51534.0,21268,3272.0,16360,26176,27812,1636,0,1357.2,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,7.0,281,0,1,0,0,1,12645,1742.2,1348.8,16579,1348.8,0,1742.2,1686,1967.0,0,0,7868,0,281,279.0,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,5.0,2796,1,0,0,0,1,290784,62350.8,78288.0,0,64867.2,134208,75212.4,83880,13980.0,41940,279600,19572,2796,0,2319.2000000000003,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,13.0,4884,1,0,0,0,1,2271060,42490.799999999996,47863.200000000004,2105004,39560.4,507936,51282.0,1142856,63492.0,576312,73260,214896,4884,0,4045.4999999999995,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,84.0,2400,0,0,0,1,1,5148000,2640.0,2640.0,5361600,2640.0,1178400,2640.0,2068800,201600.0,1243200,0,151200,0,0,2359.5,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,13.0,5650,1,0,0,0,1,1598950,113000.0,109045.0,1649800,109045.0,220350,113000.0,113000,73450.0,514150,0,706250,5650,0,5660.0,5650
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,2.0,1837,1,0,0,0,1,200233,25718.0,31780.100000000002,86339,26452.8,0,31045.299999999996,0,3674.0,31229,108383,154308,1837,0,1526.0,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,2.0,575,1,0,0,0,1,92000,1725.0,2070.0,42550,1725.0,41400,2070.0,0,1150.0,14375,39100,12075,575,0,480.0,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,2.0,606,1,0,0,0,1,39390,4666.2,5757.0,32724,4787.400000000001,0,5635.8,0,1212.0,0,6060,38784,606,0,500.5,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,10.0,10205,1,0,0,0,1,3735030,235735.5,292883.5,2653300,243899.5,979680,284719.5,1632800,102050.0,734760,857220,275535,10205,0,8454.6,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,3.0,937,1,0,0,0,1,59031,11525.1,14898.300000000001,14992,12368.4,2811,13961.300000000001,16866,2811.0,26236,40291,9370,937,0,774.9000000000001,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,7.5,2597,0,0,0,1,1,802473,21814.8,17659.6,989457,17659.6,153223,21814.8,327222,19477.5,397341,0,33761,0,0,2595.6,2597
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,3.0,950,1,0,0,0,1,579500,1520.0,1615.0,546250,1615.0,111150,1520.0,130150,2850.0,139650,0,165300,950,0,976.0,950
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,13.0,5727,0,0,1,0,1,3218574,58415.399999999994,65287.8,2874954,65287.8,532611,58415.399999999994,944955,74451.0,681513,0,715875,0,0,5732.4,5727
66,156,21,38,39,7,41,146,0,0,13.1,14.0,15.8,16.8,4.0,2458,1,0,0,0,1,383448,32199.8,41294.4,358868,34412.0,95862,38836.4,51618,9832.0,17206,0,93404,2458,0,2043.6,2040
67,75,30,5,19,21,0,40,35,0,49.0,49.0,59.1,59.1,8.0,4430,1,0,0,0,1,332250,217070.0,261813.0,177200,217070.0,84170,261813.0,132900,35440.0,93030,155050,22150,4430,0,3675.0,3677
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,2.0,687,1,0,0,0,1,93432,2885.4,3709.8,0,3091.5,0,3503.7,28854,1374.0,14427,87249,43968,687,0,571.2,570
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,8.0,4530,0,1,0,0,1,434880,57531.0,172593.0,539070,46659.0,0,213816.0,58890,36240.0,45300,0,253680,0,4530,1219.1999999999998,1223
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,4.0,1084,1,0,0,0,1,84552,13550.0,15067.6,84552,13550.0,9756,15067.6,26016,4336.0,22764,0,26016,1084,0,975.0,976
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,12.0,466,1,0,0,0,1,23766,3541.6,3867.8,9320,3215.4,6524,4240.599999999999,19572,5592.0,0,16776,0,466,0,387.59999999999997,387
72,1092,356,84,170,669,21,1300,0,0,4.0,3.4,4.9,4.1,13.0,5320,1,0,0,0,1,5809440,21280.0,21811.999999999996,6916000,18088.0,904400,26068.000000000004,1893920,69160.0,3559080,0,446880,5320,0,4368.0,4416
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,8.0,345,1,0,0,0,1,46230,724.5,897.0,46230,724.5,11040,897.0,14490,2760.0,12075,0,3795,345,0,281.40000000000003,286
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,5.0,367,1,0,0,0,1,27525,1504.6999999999998,1945.1,0,1614.8000000000002,0,1798.3000000000002,8808,1835.0,13212,25323,3303,367,0,307.5,305
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,7.0,155,1,0,0,0,1,13640,232.5,294.5,5580,248.0,0,279.0,2790,1085.0,6665,6975,3100,155,0,132.0,129
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,8.0,4266,1,0,0,0,1,13173408,5972.4,5972.4,2320704,5972.4,3293352,5972.4,4526226,34128.0,1028106,10852704,4304394,4266,0,4323.2,4266
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,3.0,440,1,0,0,0,1,36080,2376.0,1936.0000000000002,44000,1936.0000000000002,0,2376.0,11000,1320.0,6160,0,20240,440,0,442.8,440
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,2.0,1362,1,0,0,0,1,149820,16888.8,17978.399999999998,24516,17978.399999999998,0,16888.8,40860,2724.0,9534,115770,89892,1362,0,1364.0,1362
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,6.0,2533,0,1,0,0,1,780164,20770.6,17984.3,597788,17984.3,0,20770.6,387549,15198.0,283696,309026,210239,0,2533,2525.6,2533
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,10.0,225,1,0,0,0,1,32175,360.0,292.5,38700,292.5,675,360.0,16875,2250.0,13950,0,7200,225,0,228.8,225
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,13.0,11045,1,0,0,0,1,9123170,148003.0,151316.5,4373820,151316.5,1711975,148003.0,3225140,143585.0,353440,1535255,3600670,11045,0,11068.4,11045
82,3460,484,1831,318,208,142,2756,227,0,9.5,11.0,9.5,11.0,24.0,32760,0,0,0,1,1,113349600,311220.0,360360.0,90286560,360360.0,10417680,311220.0,15855840,786240.0,6814080,7436520,59983560,0,0,32870.0,32760
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,8.0,2475,1,0,0,0,1,180675,69547.5,76477.5,198000,63607.5,0,83902.5,37125,19800.0,69300,0,79200,2475,0,2051.3,2054
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,7.0,252,1,0,0,0,1,16128,982.8,957.5999999999999,2772,957.5999999999999,0,982.8,1008,1764.0,1764,14112,14112,252,0,249.6,252
85,497,122,28,113,273,10,454,92,0,4.8,4.3,4.8,4.3,8.0,2362,0,1,0,0,1,1173914,11337.6,10156.6,1072348,10156.6,266906,11337.6,288164,18896.0,644826,217304,66136,0,2362,2385.6,2362
86,288,201,0,36,76,0,99,214,0,8.5,7.9,10.3,9.5,5.0,2963,1,0,0,0,1,853344,25185.5,28148.5,293337,23407.7,106668,30518.9,595563,14815.0,225188,634082,0,2963,0,2448.0,2459
87,494,134,62,140,91,67,494,0,0,17.6,17.6,17.6,17.6,21.0,8706,1,0,0,0,1,4300764,153225.6,153225.6,4300764,153225.6,1218840,153225.6,1166604,182826.0,792246,0,539772,8706,0,8694.400000000001,8706
88,130,60,65,0,0,0,14,111,0,5.9,6.2,5.9,6.2,6.0,770,1,0,0,0,1,100100,4543.0,4774.0,10780,4774.0,0,4543.0,46200,4620.0,0,85470,50050,770,0,767.0,770
89,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,36.0,8111,1,0,0,0,1,1654644,322817.8,287129.39999999997,1857419,287129.39999999997,48666,322817.8,381217,291996.0,235219,0,348773,8111,0,8119.2,8111
90,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,11.0,762,1,0,0,0,1,12954,34137.6,34137.6,12954,34137.6,0,34137.6,9144,8382.0,0,0,3810,762,0,761.5999999999999,762
91,60,10,25,0,31,5,71,0,0,2.3,1.9,2.7,2.3,1.0,164,1,0,0,0,1,9840,377.2,377.2,11644,311.59999999999997,0,442.8,1640,164.0,5084,0,4100,164,0,138.0,136
92,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1.0,431,1,0,0,0,1,31463,2111.9,2801.5,24136,2327.4,15516,2542.9,0,431.0,4310,4310,8620,431,0,357.70000000000005,358
93,169,32,14,25,28,70,169,0,0,2.8,2.8,3.4,3.4,6.0,580,1,0,0,0,1,98020,1624.0,1972.0,98020,1624.0,14500,1972.0,18560,3480.0,16240,0,8120,580,0,473.2,481
94,1351,379,449,271,219,20,1173,29,136,2.4,2.4,2.8,2.9,8.0,3842,1,0,0,0,1,5190542,9220.8,11141.8,4506666,9220.8,1041182,10757.599999999999,1456118,30736.0,841398,111418,1725058,3842,0,3242.4,3189
95,2087,862,444,303,437,0,2046,0,0,10.8,11.0,10.8,11.0,9.0,22500,0,0,0,1,1,46957500,243000.00000000003,247500.0,46035000,247500.0,6817500,243000.00000000003,19395000,202500.0,9832500,0,9990000,0,0,22539.600000000002,22500
96,253,72,0,107,29,44,252,0,0,46.3,46.3,49.8,49.8,13.0,12601,1,0,0,0,1,3188053,583426.2999999999,627529.7999999999,3175452,583426.2999999999,1348307,627529.7999999999,907272,163813.0,365429,0,0,12601,0,11713.9,11719
97,102,37,26,10,29,0,102,0,0,1.8,1.8,2.4,2.4,5.0,244,1,0,0,0,1,24888,439.2,585.6,24888,439.2,2440,585.6,9028,1220.0,7076,0,6344,244,0,183.6,183
98,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,5.0,1786,1,0,0,0,1,205390,23039.4,30897.800000000003,94658,25718.4,0,27683.0,87514,8930.0,26790,89300,69654,1786,0,1483.5,1482
99,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,11.0,1251,0,1,0,0,1,360288,5379.3,5254.2,375300,5254.2,26271,5379.3,22518,13761.0,18765,0,232686,0,1251,1238.3999999999999,1251
100,199,104,7,77,0,0,0,188,0,4.7,5.0,5.7,6.0,8.0,1136,1,0,0,0,1,226064,5339.2,6816.0,0,5680.0,87472,6475.2,118144,9088.0,0,213568,7952,1136,0,935.3000000000001,943
101,163,49,14,33,49,10,155,0,0,16.5,17.3,19.8,20.9,11.0,3234,1,0,0,0,1,527142,53361.0,67590.59999999999,501270,55948.200000000004,106722,64033.200000000004,158466,35574.0,158466,0,45276,3234,0,2689.5,2684
102,97,21,41,0,49,15,16,100,10,7.5,5.8,7.5,5.8,9.0,729,0,1,0,0,1,70713,5467.5,4228.2,11664,4228.2,0,5467.5,15309,6561.0,35721,72900,29889,0,729,727.5,729
103,439,82,222,19,85,10,105,313,0,8.3,8.7,8.3,8.7,7.0,3630,1,0,0,0,1,1593570,30129.000000000004,31580.999999999996,381150,31580.999999999996,68970,30129.000000000004,297660,25410.0,308550,1136190,805860,3630,0,3643.7000000000003,3630
104,3113,2019,609,248,157,80,3113,0,0,10.9,10.9,13.5,13.5,24.0,42080,1,0,0,0,1,130995040,458672.0,568080.0,130995040,458672.0,10435840,568080.0,84959520,1009920.0,6606560,0,25626720,42080,0,33931.700000000004,34085
105,153,35,7,57,24,20,143,0,0,18.7,20.0,21.5,23.0,3.0,3283,0,1,0,0,1,502299,61392.1,75509.0,469469,65660.0,187131,70584.5,114905,9849.0,78792,0,22981,0,3283,2861.1,2856
106,670,346,97,122,79,0,146,498,0,8.6,8.9,10.4,10.8,6.0,6936,1,0,0,0,1,4647120,59649.6,74908.8,1012656,61730.4,846192,72134.40000000001,2399856,41616.0,547944,3454128,672792,6936,0,5762.0,5757
107,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,15.0,631,0,1,0,0,1,81399,3091.9,2587.1,0,2587.1,1893,3091.9,11989,9465.0,6310,97805,58683,0,631,632.1,631
108,329,324,68,14,0,0,206,73,127,6.6,5.4,6.6,5.4,8.0,2184,0,1,0,0,1,718536,14414.4,11793.6,449904,11793.6,30576,14414.4,707616,17472.0,0,159432,148512,0,2184,2171.4,2184
109,5684,2221,454,820,1137,311,4943,0,0,3.7,4.3,3.7,4.3,37.0,21014,1,0,0,0,1,119443576,77751.8,90360.2,103872202,90360.2,17231480,77751.8,46672094,777518.0,23892918,0,9540356,21014,0,21030.8,21014
110,61,27,4,24,17,0,72,0,0,6.8,5.8,8.2,7.0,4.0,502,1,0,0,0,1,30622,3413.6,3514.0,36144,2911.6,12048,4116.4,13554,2008.0,8534,0,2008,502,0,414.8,417
111,267,27,133,51,34,89,70,178,86,10.0,8.0,10.0,8.0,9.0,2683,0,1,0,0,1,716361,26830.0,21464.0,187810,21464.0,136833,26830.0,72441,24147.0,91222,477574,356839,0,2683,2670.0,2683
112,218,78,16,56,77,0,227,0,0,25.4,24.4,30.6,29.4,4.0,6665,1,0,0,0,1,1452970,169291.0,195951.0,1512955,162626.0,373240,203949.0,519870,26660.0,513205,0,106640,6665,0,5537.2,5532
113,919,458,236,56,58,76,884,0,0,5.2,5.4,6.3,6.6,6.0,5801,1,0,0,0,1,5331119,30165.2,38286.6,5128084,31325.4,324856,36546.299999999996,2656858,34806.0,336458,0,1369036,5801,0,4778.8,4815
114,66,27,12,6,14,0,28,31,0,3.7,4.2,4.5,5.0,2.0,296,1,0,0,0,1,19536,1095.2,1480.0,8288,1243.2,1776,1332.0,7992,592.0,4144,9176,3552,296,0,244.20000000000002,246
115,54,36,0,16,0,0,0,52,0,12.7,13.2,15.3,15.9,1.0,827,1,0,0,0,1,44658,10502.9,13149.300000000001,0,10916.4,13232,12653.1,29772,827.0,0,43004,0,827,0,685.8,686
116,245,88,105,27,79,0,299,0,0,1.9,1.6,3.6,2.9,13.0,870,1,0,0,0,1,213150,1653.0,2523.0,260130,1392.0,23490,3132.0,76560,11310.0,68730,0,91350,870,0,465.5,470
117,54,24,28,0,0,0,0,52,0,7.3,7.6,8.8,9.2,2.0,476,1,0,0,0,1,25704,3474.7999999999997,4379.2,0,3617.6,0,4188.8,11424,952.0,0,24752,13328,476,0,394.2,395
