size_D,nlan,t07,t09,t10,t12,t15,effort_D
0.842521,1.819785,0.8865827,1.2712541,0.79835844,1.5198777,0.5696443,0.23499072
0.37684068,0.8258817,0.5338472,0.7815586,0.6489473,0.8771864,0.43350995,0.1220206
0.4544923,0.6262418,0.7127705,1.039088,0.86627996,1.056215,0.31659213,0.1287366
1.3998871,2.225771,1.4130806,2.2222576,1.811441,2.6124182,1.5253754,0.5841169
0.6731771,1.275983,0.74841374,1.2454127,1.0656,1.3644663,0.8097962,0.27298433
0.43105102,0.61195284,0.6783429,0.958415,0.79967535,0.98017913,0.3593464,0.12615699
0.68498653,1.2911953,0.7441799,1.221619,1.0828291,1.3805681,0.8706826,0.31389827
0.4105654,0.6404739,0.6129305,0.87355816,0.7213124,0.93221617,0.50729233,0.13722678
0.6141939,1.090185,0.6941054,1.1193099,0.954414,1.2220765,0.72557914,0.24593562
0.8360367,1.7822069,0.91759986,1.3132428,0.7919583,1.5656806,0.52216864,0.23672834
0.4292326,0.4945717,0.64345473,0.83418435,0.69857204,0.8947531,0.39206344,0.09956856
0.33170375,0.6348517,0.53049237,0.7762539,0.66867316,0.8232468,0.46003783,0.11277865
0.4593717,0.87408864,0.6493213,0.996746,0.8716926,1.0676651,0.63511944,0.18365866
0.32197353,0.63331246,0.5248805,0.7905071,0.68030703,0.82639647,0.45367444,0.11421193
0.28786764,0.57337594,0.53171873,0.786974,0.68477464,0.80818015,0.4085132,0.09005736
0.3767927,0.4947384,0.6317251,0.8716966,0.7888984,0.9223089,0.40185648,0.11829546
0.5632501,1.3425715,0.78257966,1.1367888,0.77958035,1.3321657,0.35746044,0.23742618
0.31324828,0.6405167,0.5194714,0.76740277,0.67176485,0.81846476,0.4278369,0.101183325
0.37674248,0.4513014,0.6050019,0.75669295,0.6270974,0.8146743,0.39504045,0.08648716
0.60915583,1.3763366,0.72631633,1.0619593,0.70505565,1.2405034,0.46750516,0.18822686
0.6231307,0.9724094,0.84913915,1.2807335,0.9850282,1.267819,0.5681421,0.1813056
0.3821833,0.8281653,0.5437207,0.79448426,0.64918625,0.8656368,0.41808414,0.11001983
1.166666,1.9713126,1.1733161,1.9379258,1.6129822,2.2283673,1.3231175,0.49033335
0.26993784,0.54224986,0.5208968,0.72104883,0.64551795,0.7857833,0.28206497,0.12350607
0.59920865,0.6440495,0.88334405,1.2520783,1.14489,1.2634513,0.372662,0.23129825
0.54404396,0.9594991,0.7330092,1.1340152,0.9726713,1.203507,0.7162566,0.21918792
0.8638157,1.5788821,0.94123036,1.375459,0.9121304,1.5526284,0.5844416,0.22969444
0.37160057,0.5809996,0.67407066,0.9449416,0.8688796,0.9643772,0.29067034,0.17301926
0.33131525,0.55943334,0.5987648,0.8860932,0.7439637,0.8711838,0.33391482,0.1038446
0.48373014,0.8610991,0.70830435,1.0337231,0.8033643,1.0910211,0.3991149,0.12191729
0.4232784,0.73822004,0.67183936,1.0414845,0.90390223,1.0440183,0.558607,0.15860154
0.28358385,0.555969,0.5040576,0.7365222,0.6407909,0.7685925,0.40073937,0.0877956
0.4206455,0.75944555,0.593897,0.8934468,0.75527585,0.9679044,0.56677586,0.16487005
0.5648374,0.73237395,0.7760596,1.0427488,0.8421256,1.1693667,0.6022699,0.17351122
0.31284043,0.69879615,0.5247754,0.7377378,0.58356243,0.79560226,0.37990147,0.10667105
0.3973835,0.58659655,0.612471,0.8834708,0.7679783,0.9030879,0.41310126,0.12269017
0.35526156,0.42436892,0.6711019,0.8880808,0.79742664,0.96111697,0.1878787,0.12713963
0.701843,0.6791864,0.9898089,1.262426,1.0145279,1.3594223,0.30560857,0.18517487
0.44815052,0.85835665,0.6104963,0.983389,0.81685066,1.0017357,0.50820285,0.14970739
0.87437135,1.6480896,0.87804276,1.3421407,1.1070207,1.5578667,0.8455954,0.29943302
0.32880312,0.62088794,0.55565125,0.8488766,0.7336568,0.86121327,0.38985884,0.10413602
0.46129772,0.8753322,0.68284774,1.0073547,0.7286033,1.0421902,0.3814224,0.116854355
0.9311716,1.184336,1.1714815,1.9084074,1.5165713,1.9091574,0.62198544,0.27306765
0.9599971,2.073769,0.96157116,1.3466053,0.86080015,1.6727507,0.691244,0.27894497
0.79161143,0.9623133,0.94212997,1.2193496,0.96217835,1.4534134,0.7479248,0.24262697
0.5615167,1.1276889,0.6944297,1.0703202,0.81814545,1.1446236,0.55852246,0.16077314
0.8884316,1.8839769,0.891363,1.27521,0.8581342,1.5566078,0.6518488,0.26456082
1.1799464,2.4823136,1.1420916,1.5971717,0.96657115,2.0183294,0.7531716,0.33882335
0.35849947,0.42894006,0.61987686,0.7954732,0.77764106,0.908356,0.23791052,0.1405532
0.46772492,0.85869503,0.6987647,1.1206456,0.98846924,1.1323141,0.58495253,0.16289507
0.5063609,0.4600342,0.7445277,0.9158876,0.78470814,1.0341651,0.44322723,0.15853292
0.4495434,0.7886378,0.69197226,1.0873191,0.95739853,1.0970159,0.5521539,0.15319341
0.33978164,0.6824493,0.5421809,0.8291627,0.6959642,0.84904796,0.44344276,0.11025727
0.5316108,0.6264107,0.7421223,0.9660566,0.7748907,1.0582448,0.502208,0.13843392
0.24550891,0.36192238,0.49668792,0.6123284,0.6181786,0.7107554,0.25963932,0.106405795
0.39883307,0.86075556,0.56855977,0.8362648,0.709318,0.9175352,0.5092686,0.13454957
0.35515788,0.5979182,0.61381626,0.93969065,0.8052301,0.92923445,0.34268844,0.09713507
0.4229273,0.75626516,0.6447304,1.0099723,0.8395897,1.0361654,0.425107,0.13854448
0.39590773,0.5296913,0.67637295,0.95582455,0.89239055,1.0073905,0.41395938,0.17371735
0.43025294,0.7354953,0.68447995,1.0145724,0.76020944,1.0136311,0.3992653,0.09832059
0.43981117,0.804945,0.6408832,1.0252514,0.87311053,1.0496787,0.48797446,0.12940253
0.43350342,0.9188873,0.66254836,1.0402781,0.88235486,1.0567565,0.5863009,0.16162664
0.76805794,1.4166152,0.8953574,1.280237,0.832206,1.4038228,0.49286872,0.21068835
0.36736742,0.6220026,0.6081965,0.93729925,0.73194593,0.87452394,0.36015493,0.08789058
0.38646176,0.72031844,0.5752576,0.8825919,0.7558241,0.9111975,0.48226708,0.12228572
0.82384425,1.4607586,0.88967013,1.4904027,1.253451,1.6659349,0.9726519,0.34571895
0.46913397,0.95904857,0.6462324,1.0425041,0.8800914,1.0893133,0.6606929,0.19990303
0.47125584,1.0621027,0.60784686,0.81001395,0.6134063,0.9688339,0.42433482,0.13427752
0.47162062,0.68477136,0.7214653,1.0604231,0.822588,1.0690619,0.43627787,0.11577572
0.38129646,0.78170365,0.5517639,0.7970333,0.6559966,0.88477176,0.4088394,0.10512242
0.40990266,0.41734052,0.6674345,0.8387525,0.70128465,0.8649636,0.35718215,0.08457221
0.3789118,0.3701507,0.59121484,0.7185835,0.6634843,0.8243723,0.32118154,0.10620277
0.41488475,0.64082634,0.65621537,0.9847738,0.81344646,0.9874548,0.41662866,0.11382608
0.8192825,1.7361137,0.92286915,1.2980464,0.8558925,1.5316279,0.5802555,0.20020735
0.6078684,1.0825028,0.77842087,1.2832487,0.96425235,1.2641797,0.5636996,0.16992716
0.7292642,0.7633578,0.9279941,1.3602934,1.1244204,1.4012893,0.5426028,0.19815081
0.3085376,0.61187875,0.51032776,0.7496828,0.650055,0.7846924,0.39378577,0.09347069
0.5219838,0.9710645,0.6917339,1.101335,0.95105267,1.16492,0.70845735,0.21513347
0.50541985,0.7260335,0.7752578,1.13349,0.89806914,1.148385,0.4128179,0.11285354
0.37139064,0.7814831,0.53876203,0.81752115,0.6975613,0.8865294,0.49861795,0.13150403
0.85103744,1.5667447,0.8684069,1.4074323,1.2128834,1.612851,0.95633876,0.31778562
0.4391898,0.7603553,0.65803736,1.0123764,0.7720902,0.98970175,0.39133716,0.10998458
0.6237979,0.57443905,0.8544374,1.0873945,0.9195608,1.2005014,0.44180733,0.1527551
0.6195459,0.8721031,0.8217552,1.3059279,1.109642,1.3254007,0.6340995,0.1978121
0.35221058,0.6417359,0.5503241,0.79545784,0.6754736,0.84281427,0.38249266,0.10170758
0.560641,1.0440062,0.65827274,1.0280235,0.90807927,1.1686459,0.73649395,0.23880343
0.5314604,0.7786731,0.71086425,1.1089793,0.9374684,1.1357331,0.4366545,0.1669557
0.39465222,0.7601711,0.6047261,0.9278955,0.808896,0.9560228,0.5144188,0.13599223
0.29601687,0.45424795,0.54713154,0.74999464,0.704532,0.8065668,0.29698724,0.11327255
0.37270692,0.75415885,0.57681376,0.8981516,0.7289236,0.9009944,0.43841875,0.11496617
0.33723044,0.443101,0.61503375,0.8744297,0.77643645,0.87575006,0.34617645,0.11414242
0.737025,1.2188611,0.84133434,1.3316771,1.1306993,1.4690651,0.8624657,0.2888698
0.5939373,0.76165545,0.77491814,1.0635434,0.8690534,1.1905866,0.6096163,0.17643657
0.41284823,0.63385874,0.6746118,0.9422148,0.81090856,0.9986078,0.35134006,0.12339279
0.4443353,0.8555181,0.59224623,0.92772865,0.7861561,0.97169924,0.5597496,0.15201928
0.38714656,0.73948383,0.56140536,0.8534246,0.7271758,0.9060524,0.52572995,0.14437369
0.6548503,0.62955177,0.85747105,1.0129908,0.796051,1.2071357,0.5389677,0.15368472
0.49431753,0.6406599,0.7663159,1.1427469,1.0034646,1.1744143,0.30358112,0.17911358
0.47264466,0.5619119,0.700563,1.0149509,0.92280984,1.0634961,0.28325623,0.16477326
0.5553614,0.51920485,0.7396186,0.93029517,0.78745687,1.0285006,0.43391144,0.123138174
0.31895304,0.682438,0.5643927,0.83502334,0.6782871,0.85521895,0.34899694,0.11325362
0.3461644,0.6107446,0.58925307,0.87143826,0.73411393,0.8766372,0.49412322,0.12358254
0.4535082,0.9445925,0.6306092,1.004396,0.8530373,1.0324099,0.5484003,0.1539611
0.3880098,0.8475243,0.5803916,0.86402977,0.70427245,0.90709203,0.49513364,0.13685307
0.5237811,0.6352387,0.71896255,0.9310952,0.7543453,1.0438873,0.51046646,0.14664726
0.32129455,0.6333059,0.56538916,0.8750075,0.6738657,0.83172035,0.3659442,0.09279153
0.7075574,1.4418725,0.7382111,1.1130023,0.900674,1.3231887,0.70159864,0.24272726
0.32608297,0.51243734,0.56469965,0.78681,0.6701318,0.81320953,0.42608762,0.09277664
0.3018954,0.6925119,0.49912027,0.6885243,0.5852874,0.78335154,0.3249205,0.09496391
0.3839852,0.53669745,0.6455734,0.90933686,0.85630965,0.9391535,0.2789085,0.16258767
0.69528794,1.0536284,0.8637819,1.3413309,1.0685128,1.4298731,0.7155723,0.22857252
0.6977719,0.7100283,0.91654056,1.204109,1.0100553,1.3759353,0.5844655,0.18018126
0.40864277,0.82614404,0.6470573,1.007743,0.8773927,1.0313754,0.5867225,0.16659838
0.45585167,0.6090882,0.6818887,0.9241596,0.7760885,0.99771786,0.49808908,0.1303522
0.4540676,0.5100043,0.6649566,0.84095085,0.7064685,0.93240833,0.44583488,0.10865286
0.5998672,1.2965924,0.7339415,1.0656564,0.70387036,1.1953818,0.45200497,0.18459247
0.5196537,0.52239996,0.75330305,1.0060089,0.88167083,1.0686154,0.3571365,0.13286991
0.26896894,0.37066945,0.5503144,0.6922012,0.7129343,0.80519056,0.26100838,0.13557377
0.415666,0.3451178,0.68755066,0.79864055,0.7708777,0.9416811,0.2903371,0.128155
0.67240536,1.1290146,0.8384274,1.3423294,1.16416,1.414349,0.8028077,0.2659754
0.30935526,0.6361731,0.512827,0.690939,0.6047865,0.7732206,0.35136044,0.0957382
0.44849852,0.5723219,0.6577974,0.8707072,0.7257409,0.94879013,0.4821843,0.12035617
0.3475969,0.52910763,0.56255037,0.8392075,0.7491543,0.8714331,0.32674408,0.116362035
0.65141785,1.0730126,0.9213129,1.3333659,0.9086881,1.495097,0.24925038,0.21564892
0.40229625,0.65520746,0.6156691,0.9203907,0.78630245,0.9511716,0.4092582,0.10966723
0.2865422,0.53018147,0.50711656,0.7153011,0.6295503,0.75398535,0.38801688,0.08772275
0.27680486,0.464352,0.5381491,0.71844864,0.7137933,0.78987026,0.28789514,0.13679944
0.3984045,0.6810049,0.6057469,0.9310931,0.8027771,0.9461822,0.47815388,0.12275413
0.5212666,0.81000495,0.7563849,1.0242715,0.8174812,1.1707752,0.2378236,0.1808893
0.5297103,0.87390685,0.7499522,1.0819293,0.85763574,1.1726496,0.409334,0.1304848
0.6749132,0.7490583,0.93599695,1.3742532,1.128724,1.4200255,0.33086443,0.20773993
0.42916736,0.9424723,0.59553456,0.87631536,0.65521103,0.9576029,0.40123904,0.1257403
