FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,NormalisedWorkEffortLevel1
687,1.0,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,4.0,1788
28,1.0,4.0,New_Development,Telecommunications,Yes,MF,3GL,Mainframe,4.0,686
24,1.0379370078740158,2.7,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,2347
267,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Mainframe,8.448507462686567,8486
324,1.0,12.0,New_Development,Banking,Yes,MF,3GL,Mainframe,8.0,5867
113,1.21,2.56,Enhancement,Banking,Yes,MF,4GL,Mainframe,8.448507462686567,1847
307,0.95,13.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,11.0,2994
87,0.95,4.0,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,4.0,1606
745,1.3,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,15112
77,1.02,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,6.0,1936
49,1.18,1.84,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,8.448507462686567,161
161,1.15,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,9719
387,1.0,5.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,4.0,1235
340,1.15,7.0,Enhancement,Telecommunications,Yes,MR,4GL,Unix,3.0,676
40,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Unix,8.448507462686567,261
51,1.0,3.0,Enhancement,Telecommunications,Yes,Multi,4GL,Unix,5.0,417
100,1.28,6.84,Enhancement,Telecommunications,Yes,Multi,4GL,Unix,8.448507462686567,878
31,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Unix,8.448507462686567,578
70,1.1,1.0,Enhancement,Telecommunications,Yes,PC,3GL,Windows,8.448507462686567,436
228,1.02,9.1,Enhancement,Telecommunications,No,MF,3GL,Windows,4.5,5876
18,1.18,1.87,Enhancement,Telecommunications,Yes,MF,4GL,Windows,8.448507462686567,268
2697,1.17,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,27.0,10957
34,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,8.448507462686567,847
155,1.18,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,8385
307,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Mainframe,8.448507462686567,1596
310,1.12,14.7,Enhancement,Telecommunications,No,MF,3GL,Mainframe,4.0,5971
200,1.0,7.0,New_Development,Banking,No,MF,3GL,Mainframe,6.0,1935
474,1.0,7.0,New_Development,Banking,No,MF,3GL,Mainframe,5.0,1644
215,1.0379370078740158,8.0,Enhancement,Telecommunications,No,MF,4GL,Windows,9.0,1946
124,1.0379370078740158,5.0,Enhancement,Telecommunications,No,PC,3GL,Windows,8.448507462686567,2800
170,1.0,6.042685887708649,Enhancement,Banking,No,MF,3GL,Mainframe,8.448507462686567,2192
539,1.0379370078740158,6.0,Enhancement,Banking,No,MR,3GL,Unix,5.0,2409
455,1.0,20.0,New_Development,Banking,No,MR,4GL,Unix,6.0,10670
397,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,Multi,4GL,Unix,8.448507462686567,4668
153,1.16,6.042685887708649,Enhancement,Banking,Yes,Multi,3GL,Unix,8.448507462686567,2611
407,1.0379370078740158,1.9,Enhancement,Banking,Yes,MR,3GL,Windows,8.448507462686567,1472
51,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Windows,8.448507462686567,385
61,1.18,1.81,Enhancement,Banking,Yes,MF,4GL,Windows,8.448507462686567,353
116,1.0,5.0,Enhancement,Banking,Yes,MF,4GL,Windows,2.0,1400
117,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,Multi,4GL,Windows,8.448507462686567,3107
95,1.11,13.0,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,14.0,4220
36,1.18,2.73,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,8.448507462686567,734
156,1.0,4.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,8.448507462686567,901
299,1.11,17.0,New_Development,Telecommunications,Yes,Multi,4GL,Windows,8.0,8772
299,1.19,1.48,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,1989
114,0.86,15.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,8.0,3583
99,1.0,2.0,New_Development,Telecommunications,Yes,Multi,4GL,Windows,1.0,340
142,1.0,9.0,New_Development,Banking,Yes,MF,3GL,Mainframe,6.0,3090
27,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Mainframe,8.448507462686567,449
99,1.0,8.0,Enhancement,Banking,Yes,MF,3GL,Mainframe,2.0,1200
409,1.01,4.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,2.0,554
32,0.73,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,4.0,1543
198,0.97,8.0,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,5.0,2151
7,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,94
118,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Mainframe,8.448507462686567,4485
7,1.19,2.53,Enhancement,Telecommunications,Yes,Multi,3GL,Mainframe,8.448507462686567,95
424,1.0379370078740158,6.9,New_Development,Telecommunications,Yes,PC,3GL,Windows,8.448507462686567,6944
171,1.0,6.0,Enhancement,Telecommunications,Yes,PC,3GL,Windows,6.0,3920
135,1.06,4.0,Enhancement,Telecommunications,Yes,PC,4GL,Windows,6.0,1139
202,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,1846
198,1.0,4.0,New_Development,Telecommunications,Yes,Multi,3GL,Windows,3.0,1085
352,1.0,8.0,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,15.0,1500
465,1.0379370078740158,6.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,1.0,1070
238,1.3,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,1650
220,1.0,1.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,6.0,1104
11,1.0379370078740158,8.81,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,200
19,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,136
201,1.01,5.0,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,5.0,1520
107,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,8.448507462686567,975
146,1.0379370078740158,8.3,New_Development,Telecommunications,No,MF,3GL,Mainframe,2.0,2604
11,1.0379370078740158,0.1,Enhancement,Telecommunications,No,MF,3GL,Mainframe,8.448507462686567,145
30,1.0379370078740158,4.0,Enhancement,Telecommunications,No,MF,3GL,Mainframe,8.448507462686567,822
111,1.12,8.0,Enhancement,Telecommunications,No,MF,3GL,Mainframe,7.0,1982
34,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Mainframe,8.448507462686567,1012
80,1.17,2.83,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,8.448507462686567,2506
116,1.0379370078740158,3.8,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,1512
16,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Windows,8.448507462686567,521
57,1.04,8.0,Enhancement,Telecommunications,Yes,MF,4GL,Windows,3.0,804
357,1.18,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Windows,8.448507462686567,4350
39,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Windows,8.448507462686567,429
258,1.0,3.0,New_Development,Telecommunications,Yes,MF,3GL,Windows,3.0,1381
1233,1.0,9.0,Enhancement,Telecommunications,Yes,MF,3GL,Windows,32.0,20041
322,1.08,3.0,Enhancement,Telecommunications,Yes,MR,4GL,Unix,5.0,973
14,1.0379370078740158,0.9,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,179
173,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,MR,4GL,Unix,10.0,2890
204,1.01,5.0,Enhancement,Telecommunications,Yes,PC,4GL,Windows,8.448507462686567,246
426,1.0379370078740158,2.2,New_Development,Telecommunications,Yes,MR,4GL,Mainframe,8.448507462686567,2110
295,1.11,15.0,Enhancement,Telecommunications,Yes,MR,4GL,Mainframe,8.0,4754
103,1.12,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,673
556,1.11,7.0,Enhancement,Telecommunications,Yes,MR,3GL,Unix,10.0,3793
17,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,238
51,1.03,2.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,9.0,1636
583,1.0,4.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,4.0,476
578,1.0379370078740158,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,2022
14,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,2527
292,1.0,20.0,New_Development,Telecommunications,Yes,MF,4GL,Mainframe,4.0,6680
142,1.0379370078740158,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,7527
1307,1.0379370078740158,5.0,Enhancement,Telecommunications,Yes,MR,3GL,Unix,8.448507462686567,6600
354,1.0,6.0,New_Development,Telecommunications,Yes,MR,3GL,Unix,10.0,5863
500,0.93,13.0,Enhancement,Telecommunications,Yes,PC,4GL,Windows,8.448507462686567,4054
1444,1.0379370078740158,11.0,New_Development,Telecommunications,Yes,Multi,4GL,Windows,8.448507462686567,6129
641,1.0,3.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,2.0,508
393,1.0,10.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,12.0,6660
7,0.95,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,1818
445,1.0,8.0,New_Development,Banking,Yes,MF,3GL,Mainframe,8.0,8499
221,1.0,3.0,Enhancement,Banking,Yes,MF,3GL,Mainframe,3.0,624
981,1.0379370078740158,6.0,Enhancement,Banking,Yes,Multi,3GL,Windows,8.448507462686567,25837
1606,1.0,7.0,Enhancement,Banking,Yes,Multi,3GL,Windows,32.0,17230
25,1.0,0.5,New_Development,Banking,Yes,Multi,3GL,Windows,1.0,97
118,1.0,21.0,New_Development,Banking,Yes,Multi,3GL,Windows,6.0,9021
56,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,Multi,4GL,Windows,8.448507462686567,997
97,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Windows,8.448507462686567,2450
295,1.19,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Mainframe,8.448507462686567,1775
65,1.0,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Unix,8.448507462686567,618
51,0.95,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Unix,8.448507462686567,727
158,1.01,2.0,Enhancement,Telecommunications,Yes,PC,4GL,Windows,8.448507462686567,476
80,1.09,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,4281
84,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,899
33,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,583
1433,1.0,5.0,New_Development,Telecommunications,Yes,MF,3GL,Unix,13.0,3838
79,1.17,3.12,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,1585
38,1.27,4.57,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,570
54,1.14,2.17,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,129
170,1.0,5.0,New_Development,Telecommunications,Yes,MF,3GL,Unix,3.0,1148
355,1.03,10.0,Enhancement,Telecommunications,Yes,MR,4GL,Unix,20.0,10205
227,1.0379370078740158,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,2700
3354,1.0,13.0,New_Development,Telecommunications,Yes,MF,3GL,Mainframe,16.0,31632
338,1.0,8.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,10.0,10003
194,1.0,5.0,New_Development,Telecommunications,Yes,MF,3GL,Mainframe,4.0,1953
51,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,966
59,1.07,3.0,Enhancement,Telecommunications,Yes,MR,3GL,Unix,6.0,937
88,1.07,6.042685887708649,Enhancement,Telecommunications,Yes,MR,3GL,Unix,8.448507462686567,5242
1824,1.0,9.0,Enhancement,Telecommunications,Yes,MR,3GL,Unix,5.0,3210
293,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,5856
55,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,869
103,1.03,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,1920
130,1.17,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,1122
394,1.02,4.01,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,2756
321,1.03,6.042685887708649,New_Development,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,2312
2929,1.0,15.0,New_Development,Telecommunications,Yes,MF,4GL,Unix,12.0,7980
89,1.05,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,983
32,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,781
20,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,515
74,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,1293
39,1.0,2.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,3.0,823
9,1.0,7.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,2947
270,1.0,5.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,5.0,1120
63,1.12,5.26,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,865
670,0.97,17.2,Enhancement,Telecommunications,No,MF,3GL,Unix,20.0,20960
175,1.0,8.0,New_Development,Telecommunications,No,MF,3GL,Unix,4.0,1115
343,1.07,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,8374
38,1.16,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,944
146,1.07,4.0,Enhancement,Telecommunications,Yes,MR,3GL,Unix,6.0,2458
222,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,1487
26,1.0,1.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,2.0,184
75,1.01,8.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,16.0,4430
335,1.0,3.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,2.0,671
153,1.12,9.8,Enhancement,Telecommunications,No,MF,3GL,Unix,1.65,2807
102,1.0379370078740158,3.0,Enhancement,Telecommunications,No,MF,3GL,Mainframe,8.448507462686567,2258
81,1.21,2.89,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,8.448507462686567,668
127,1.07,2.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,1.0,687
78,1.0,4.0,Enhancement,Banking,No,MF,3GL,Mainframe,8.448507462686567,1084
129,1.12,3.35,Enhancement,Banking,Yes,MF,4GL,Mainframe,8.448507462686567,1206
14,1.15,0.99,Enhancement,Banking,Yes,MF,4GL,Mainframe,8.448507462686567,214
92,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,Multi,3GL,Mainframe,8.448507462686567,930
266,1.0,4.0,Enhancement,Banking,Yes,Multi,3GL,Mainframe,1.0,699
175,1.0,6.0,Enhancement,Banking,Yes,Multi,3GL,Mainframe,2.0,636
80,1.02,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Unix,8.448507462686567,514
15,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,Multi,4GL,Unix,8.448507462686567,210
134,1.0,8.0,New_Development,Telecommunications,Yes,Multi,4GL,Unix,1.0,286
69,1.09,5.0,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,2.0,304
81,1.09,7.0,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,2.0,129
38,0.95,4.2,Enhancement,Telecommunications,No,MF,3GL,Unix,2.0,1206
459,1.0,5.0,Enhancement,Telecommunications,No,MF,3GL,Unix,5.0,2705
99,0.78,6.042685887708649,New_Development,Banking,No,MF,3GL,Mainframe,8.448507462686567,1099
495,1.0,6.0,New_Development,Banking,No,MF,3GL,Mainframe,4.0,1486
120,1.0379370078740158,3.0,Enhancement,Banking,No,MF,3GL,Windows,8.448507462686567,3080
192,1.0379370078740158,3.0,New_Development,Banking,No,MF,3GL,Mainframe,8.448507462686567,4386
9,1.01,0.33,Enhancement,Banking,Yes,MF,3GL,Mainframe,8.448507462686567,27
539,1.0379370078740158,4.7,New_Development,Banking,Yes,Multi,3GL,Windows,8.448507462686567,5975
301,1.12,4.0,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,13.0,4581
118,1.0,8.0,New_Development,Telecommunications,Yes,Multi,3GL,Windows,6.0,3190
24,1.0379370078740158,2.6,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,480
28,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,21
89,0.92,2.96,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,1477
57,1.0,6.042685887708649,Enhancement,Banking,No,MF,3GL,Mainframe,8.448507462686567,1179
1753,1.0379370078740158,3.0,Enhancement,Banking,No,PC,3GL,Windows,18.0,7368
313,0.92,5.0,Enhancement,Telecommunications,No,MR,4GL,Unix,6.0,2963
208,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,1284
191,1.17,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,818
271,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,3303
98,1.03,6.042685887708649,Enhancement,Telecommunications,No,MF,4GL,Unix,8.448507462686567,1308
35,1.1,5.33,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,241
695,1.0,11.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,6.0,9928
14,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,434
71,0.85,1.0,New_Development,Telecommunications,Yes,PC,4GL,Unix,8.448507462686567,164
70,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,674
190,1.2,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,2199
149,1.22,12.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,11.0,5495
169,1.0,6.0,New_Development,Telecommunications,Yes,MF,4GL,Unix,2.0,580
1338,1.01,8.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,10.0,3189
46,1.0379370078740158,2.4,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,640
89,1.03,9.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,7.0,2601
171,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Mainframe,8.448507462686567,3861
192,1.11,0.99,Enhancement,Telecommunications,Yes,Multi,4GL,Mainframe,8.448507462686567,1245
207,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,2.0,798
18,1.0379370078740158,0.9,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,145
188,1.06,8.0,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,5.0,1136
468,1.0379370078740158,10.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,28.0,10498
372,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Mainframe,8.448507462686567,8604
224,1.0,6.0,New_Development,Telecommunications,Yes,Multi,3GL,Mainframe,8.448507462686567,2444
77,1.3,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,252
88,1.0379370078740158,6.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,805
1236,1.0379370078740158,16.9,New_Development,Telecommunications,Yes,PC,4GL,Windows,8.448507462686567,2504
51,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,412
644,1.04,6.0,Enhancement,Telecommunications,Yes,MR,4GL,Unix,16.0,6936
676,1.0,9.0,New_Development,Telecommunications,Yes,MR,4GL,Unix,8.0,4731
9,1.0379370078740158,1.48,Enhancement,Telecommunications,Yes,MR,4GL,Unix,8.448507462686567,240
46,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,1389
39,1.0,1.38,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,564
3,1.02,2.73,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,28
143,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Unix,8.448507462686567,1762
551,1.0,10.0,New_Development,Telecommunications,Yes,Multi,3GL,Unix,17.0,16380
38,1.0379370078740158,3.9,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,429
75,1.02,4.3,Enhancement,Telecommunications,No,MF,3GL,Mainframe,2.1,2130
1494,1.0379370078740158,20.0,Enhancement,Telecommunications,No,MF,4GL,Mainframe,27.0,20396
454,1.0,6.042685887708649,New_Development,Telecommunications,No,MF,4GL,Mainframe,8.448507462686567,327
76,0.9,1.38,Enhancement,Telecommunications,No,MF,4GL,Mainframe,8.448507462686567,37
413,1.0379370078740158,3.0,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,2982
101,1.11,6.042685887708649,Enhancement,Telecommunications,No,MF,4GL,Unix,8.448507462686567,398
72,0.85,4.0,New_Development,Telecommunications,No,MR,4GL,Unix,2.0,417
508,1.0,14.0,Enhancement,Telecommunications,No,MR,4GL,Unix,6.0,2377
123,1.0,3.0,New_Development,Telecommunications,No,MR,4GL,Unix,3.0,337
227,0.96,4.0,New_Development,Telecommunications,No,PC,4GL,Unix,18.0,5532
59,1.12,2.0,Enhancement,Telecommunications,No,MR,3GL,Unix,8.448507462686567,296
58,1.17,6.0,Enhancement,Telecommunications,No,MR,3GL,Unix,7.0,1668
134,1.0379370078740158,4.0,Enhancement,Telecommunications,No,MR,4GL,Unix,12.0,3899
1827,1.0379370078740158,3.0,Enhancement,Telecommunications,No,MR,3GL,Unix,8.448507462686567,2258
84,1.16,6.042685887708649,Enhancement,Telecommunications,No,MF,3GL,Unix,8.448507462686567,1034
83,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,1151
426,1.0,6.0,New_Development,Telecommunications,Yes,Multi,3GL,Unix,4.0,2622
5,1.28,0.3,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,34
262,1.0379370078740158,10.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,4253
43,1.19,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,128
48,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,1781
915,1.0,4.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,4.0,1392
113,1.0,2.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,3.0,196
149,1.0,5.0,New_Development,Telecommunications,Yes,MF,4GL,Unix,3.0,518
99,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,3494
601,1.0,16.0,New_Development,Telecommunications,Yes,Multi,3GL,Unix,8.448507462686567,10866
826,1.0379370078740158,9.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,7.0,6418
89,1.12,6.042685887708649,Enhancement,Telecommunications,Yes,MF,4GL,Unix,8.448507462686567,2823
219,0.95,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,5317
59,1.13,1.91,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,1008
153,1.01,5.85,New_Development,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,1840
187,1.0,2.0,Enhancement,Telecommunications,Yes,MF,3GL,Unix,2.0,343
14,1.0379370078740158,4.54,Enhancement,Telecommunications,Yes,MF,3GL,Unix,8.448507462686567,160
216,1.04,4.0,Enhancement,Telecommunications,Yes,MF,4GL,Unix,14.0,3613
747,1.0379370078740158,5.5,New_Development,Telecommunications,Yes,Multi,3GL,Windows,8.448507462686567,6767
73,1.0379370078740158,6.042685887708649,Enhancement,Telecommunications,Yes,Multi,4GL,Windows,8.448507462686567,672
