size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,ifc_GUI,source_Inhouse,telonuse_No,Generated_Var_1,effort_D
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,55.77223,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,11.712486,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,7.4652486,583
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,31.36845,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,48.70627,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,19.925793,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,298.90845,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,426.84784,37286
434,40,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,166.42993,15052
292,29,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,122.087105,11039
2954,14,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,241.36877,18500
304,14,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,104.06077,9369
353,28,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,80.70459,7184
567,16,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,117.99606,10447
467,13,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,61.165245,5100
3368,45,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,713.6423,63694
253,4,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,21.962284,1651
196,10,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,18.881233,1450
185,12,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,21.857792,1745
387,6,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,25.479328,1798
430,28,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,38.449955,2957
204,6,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,13.812171,963
71,6,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,14.565284,1233
840,6,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,46.80264,3240
1648,11,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,131.72784,10000
1035,8,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,88.462234,6800
548,22,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,49.635807,3850
2054,31,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,179.88698,14000
302,26,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,65.38833,5787
1172,22,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,120.5339,9700
253,7,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,15.957654,1100
227,14,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,62.54272,5578
59,6,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,12.58826,1060
299,6,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,60.25352,5279
422,15,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,91.494095,8117
1058,9,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,108.49527,8710
65,9,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,9.953163,796
390,26,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,122.6346,11023
193,13,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,22.021254,1755
1526,28,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,85.02713,5931
575,13,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,56.38399,4456
509,13,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,46.419376,3600
583,12,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,57.487568,4557
315,14,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,97.47854,8752
138,12,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,38.80465,3440
257,9,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,25.538023,1981
423,30,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,151.68451,13700
495,20,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,82.319664,7105
622,16,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,81.512276,6816
204,12,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,52.07556,4620
616,15,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,87.977425,7451
3634,33,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,469.01437,39479
