YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Effort
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-16.448034,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-255.11697,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-87.950836,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-104.212906,5775
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-184.15334,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-68.16179,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-54.215767,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-59.87896,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-73.689255,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-123.0165,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-69.026245,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-67.657845,3927
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-16.249504,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-45.39601,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-112.01421,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-14.386856,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-154.88258,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-30.964132,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-105.73438,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-19.060165,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-141.5482,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-90.24262,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-52.31406,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-38.98572,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-334.92926,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-116.16781,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-250.89598,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-74.97795,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-214.32841,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-43.220573,2331
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-99.30486,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-53.83399,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-55.32894,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-244.57664,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-45.5078,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-65.4772,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-135.73189,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-56.78795,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-49.93649,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-61.64169,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-28.965405,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-52.66579,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-35.208973,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-44.959248,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-29.602816,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-65.883125,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-119.09403,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-196.61073,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-23.363974,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-45.50319,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-23.148214,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-13.121599,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-42.453075,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-163.71274,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-15.195688,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-69.4748,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-242.36139,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-28.349407,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-53.09428,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-168.36916,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-109.916885,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-420.71295,23940
