ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_5,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_13,Generated_Var_14,Effort
11,465,129,24,15,0,0,21.9,9.0,10200,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,10200
12,67,5,16,0,35,0,25.4,7.0,2053,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1704
13,199,115,57,42,0,0,13.3,7.0,3034,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2640
14,176,54,54,7,0,0,19.0,26.0,3348,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3348
15,391,26,81,0,302,0,1.7,7.0,814,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,676
16,263,45,101,10,87,0,3.5,3.0,911,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,911
17,42,15,3,15,0,0,59.4,6.4,2496,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2496
18,190,20,16,5,42,0,6.2,10.0,1171,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1171
19,245,28,18,0,190,0,14.4,13.0,3532,1,0,0,0,1,-0.5387677,0.87946844,0.06927643,-0.23082793,-0.23894575,0.79632527,-0.05766719,0.10557859,0.11440064,3532
20,77,0,42,0,70,0,5.7,1.0,525,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,436
21,355,0,73,0,351,0,2.6,4.0,1095,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,909
22,3156,525,97,0,12,2657,2.9,6.0,10957,1,0,0,0,1,-1.836187,78.95212,-99.26118,-32.83976,-1.6612599,7.1505413,22.107464,-3.2604232,50.233482,9094
23,46,28,0,0,25,0,7.5,6.0,344,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,344
24,56,12,15,5,0,0,5.3,3.0,296,0,0,0,1,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,296
25,106,4,12,0,53,7,33.0,13.0,4220,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3503
26,71,28,9,0,23,21,3.5,1.0,296,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,246
27,306,105,0,45,0,0,6.8,24.0,2082,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2082
28,244,78,22,14,0,0,0.8,7.0,191,0,0,0,1,1,-0.313527,4.548533,-2.6432834,-1.3890265,-2.3134673,2.1020088,-0.11640694,1.4720511,2.3477082,191
29,98,46,3,0,0,0,30.3,15.0,3583,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2974
30,331,44,61,0,0,0,1.0,2.0,395,1,0,0,0,1,-0.64184767,0.6874193,-0.5130526,-0.47458676,-1.107563,0.49106634,-0.6442012,0.12662812,0.3899896,328
31,101,5,39,0,0,0,4.0,8.0,406,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,406
32,192,102,0,77,0,0,9.3,8.0,2151,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1785
33,60,4,0,10,22,6,7.9,8.0,471,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,471
34,180,18,33,0,29,0,3.9,5.0,700,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,700
35,118,71,7,0,83,0,4.9,2.0,698,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,579
36,73,10,4,0,66,0,16.6,3.0,1459,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1211
37,143,0,27,0,121,0,8.0,4.0,1372,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1139
38,2190,648,236,0,0,0,6.6,19.0,16690,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,14520
39,9,10,0,0,5,0,26.6,2.0,239,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,239
40,203,167,3,0,0,0,6.2,5.0,1520,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1262
41,162,36,9,20,0,0,10.8,8.0,1754,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1754
42,183,21,29,0,0,0,8.3,6.0,1824,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1514
43,59,21,0,0,51,0,11.3,8.0,804,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,667
44,412,14,99,10,0,0,14.2,20.0,5864,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5864
45,348,14,33,0,312,0,2.8,3.0,1172,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,973
46,2529,513,66,220,0,0,2.1,13.0,5333,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5333
47,250,92,57,30,43,0,7.1,8.0,1775,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1775
48,206,199,0,5,104,0,1.0,5.0,246,1,0,0,0,1,-0.12985432,0.28949997,0.044582047,-0.14302576,-0.290463,0.5275169,0.062641375,0.25320444,0.3719152,204
49,617,136,103,0,179,0,5.1,7.0,3793,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3148
50,173,78,10,72,0,0,50.4,12.0,10501,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,8716
51,286,156,27,0,0,0,5.1,6.0,1464,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1464
52,52,17,6,5,16,15,26.1,2.0,1636,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1358
53,45,28,0,25,0,0,6.2,7.0,281,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,281
54,104,7,48,0,100,0,22.3,5.0,2796,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2321
55,465,44,104,0,15,54,8.7,13.0,4884,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4054
56,2145,63,491,300,0,0,1.1,84.0,2400,0,0,0,1,1,0.64575845,6.0760627,-4.7215705,-2.6412134,-1.4603987,-0.14388843,3.9931862,2.557962,2.0849159,2400
57,283,125,39,17,0,0,20.0,13.0,5650,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5650
58,109,84,0,5,59,0,14.0,2.0,1837,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1525
59,160,21,72,40,68,16,3.0,2.0,575,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,477
60,65,64,0,0,10,0,7.7,2.0,606,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,503
61,366,27,96,0,84,11,23.1,10.0,10205,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,8470
62,63,10,3,0,43,0,12.3,3.0,937,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,778
63,309,13,59,30,0,0,8.4,7.5,2597,0,0,0,1,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2597
64,610,174,117,0,0,0,1.6,3.0,950,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,950
65,562,125,93,0,0,0,10.2,13.0,5727,0,0,1,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5727
66,156,38,39,41,0,0,13.1,4.0,2458,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2040
67,75,5,19,0,35,0,49.0,8.0,4430,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3677
68,136,64,0,0,127,0,4.2,2.0,687,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,570
69,96,56,0,40,0,0,12.7,8.0,4530,0,1,0,0,1,-17.731066,-14.808554,-9.463472,-39.805927,-10.7507305,14.430235,-20.75274,-9.966645,-11.115248,1223
70,78,24,9,0,0,0,12.5,4.0,1084,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,976
71,51,0,14,0,36,0,7.6,12.0,466,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,387
72,1092,84,170,21,0,0,4.0,13.0,5320,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4416
73,134,11,32,14,0,0,2.1,8.0,345,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,286
74,75,9,0,0,69,0,4.1,5.0,367,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,305
75,88,20,0,0,45,0,1.5,7.0,155,1,0,0,0,1,-0.3735384,0.37125015,-0.11425097,0.0043672994,-0.7412128,0.9898347,-0.17993993,0.56362855,0.9006778,129
76,3088,1009,772,5,2544,0,1.4,8.0,4266,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4266
77,82,46,0,15,0,0,5.4,3.0,440,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,440
78,110,66,0,0,85,0,12.4,2.0,1362,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1362
79,308,83,0,10,122,0,8.2,6.0,2533,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2533
80,143,32,3,0,0,0,1.6,10.0,225,1,0,0,0,1,-0.058128454,1.741742,-0.8689616,-0.54360974,-0.52734077,0.92488974,0.22256339,0.8133606,1.108567,225
81,826,326,155,0,139,270,13.4,13.0,11045,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,11045
82,3460,1831,318,142,227,0,9.5,24.0,32760,0,0,0,1,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,32760
83,73,32,0,5,0,0,28.1,8.0,2475,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2054
84,64,56,0,0,56,0,3.9,7.0,252,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,252
85,497,28,113,10,92,0,4.8,8.0,2362,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2362
86,288,0,36,0,214,0,8.5,5.0,2963,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2459
87,494,62,140,67,0,0,17.6,21.0,8706,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,8706
88,130,65,0,0,111,0,5.9,6.0,770,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,770
89,204,43,6,104,0,0,39.8,36.0,8111,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,8111
90,17,5,0,0,0,0,44.8,11.0,762,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,762
91,60,25,0,5,0,0,2.3,1.0,164,1,0,0,0,1,-0.16911769,0.60570276,-0.28989184,-0.15595984,-0.48814276,0.704895,0.13515295,0.55690134,0.7639395,136
92,73,20,36,0,10,0,4.9,1.0,431,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,358
93,169,14,25,70,0,0,2.8,6.0,580,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,481
94,1351,449,271,20,29,136,2.4,8.0,3842,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3189
95,2087,444,303,0,0,0,10.8,9.0,22500,0,0,0,1,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,22500
96,253,0,107,44,0,0,46.3,13.0,12601,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,11719
97,102,26,10,0,0,0,1.8,5.0,244,1,0,0,0,1,-0.16838004,0.22873363,-0.010735255,-0.074212566,-0.3792406,0.6101898,0.08656256,0.38839144,0.54337955,183
98,115,39,0,0,50,0,12.9,5.0,1786,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1482
99,288,186,21,60,0,0,4.3,11.0,1251,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1251
100,199,7,77,0,188,0,4.7,8.0,1136,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,943
101,163,14,33,10,0,0,16.5,11.0,3234,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2684
102,97,41,0,15,100,10,7.5,9.0,729,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,729
103,439,222,19,10,313,0,8.3,7.0,3630,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3630
104,3113,609,248,80,0,0,10.9,24.0,42080,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,34085
105,153,7,57,20,0,0,18.7,3.0,3283,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2856
106,670,97,122,0,498,0,8.6,6.0,6936,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5757
107,129,93,3,30,155,0,4.9,15.0,631,0,1,0,0,1,-0.07491164,0.23330209,-0.0115384795,-0.24238661,-0.2956512,0.40645862,0.05374357,0.29075566,0.3461839,631
108,329,68,14,0,73,127,6.6,8.0,2184,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2184
109,5684,454,820,311,0,0,3.7,37.0,21014,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,21014
110,61,4,24,0,0,0,6.8,4.0,502,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,417
111,267,133,51,89,178,86,10.0,9.0,2683,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2683
112,218,16,56,0,0,0,25.4,4.0,6665,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,5532
113,919,236,56,76,0,0,5.2,6.0,5801,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4815
114,66,12,6,0,31,0,3.7,2.0,296,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,246
115,54,0,16,0,52,0,12.7,1.0,827,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,686
116,245,105,27,0,0,0,1.9,13.0,870,1,0,0,0,1,-0.32806677,-0.8699374,0.26263833,-0.35249025,-0.037427068,-0.5152064,0.11426341,0.5794132,0.23830438,470
117,54,28,0,0,52,0,7.3,2.0,476,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,395
118,151,54,15,0,19,0,7.2,3.0,1241,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1080
119,103,4,27,0,0,0,13.6,7.0,1396,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1396
120,300,82,27,0,142,0,9.8,10.0,2933,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2933
121,249,4,98,0,191,0,18.3,9.0,4551,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4551
122,224,21,0,10,210,0,13.4,4.0,3613,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2999
123,1984,1008,192,0,0,0,1.3,11.0,2540,0,1,0,0,1,0.5246926,6.8639297,-4.161942,-1.5966386,-1.5673506,2.440689,1.0476784,3.1516707,4.019101,2540
124,58,37,0,5,57,0,0.4,2.0,31,1,0,0,0,1,0.54526776,2.8884084,-2.2823865,-0.08546056,-1.7242503,1.0035229,0.68503785,2.5792482,2.9547143,26
125,56,0,3,0,53,0,8.0,2.0,540,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,448
126,244,12,44,50,0,0,3.7,3.0,1092,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,906
127,12,0,6,0,3,0,17.6,13.0,211,0,1,0,0,1,-0.18244566,0.4446035,-0.020081993,-0.23129427,-0.29142532,0.5952245,0.07704648,0.28906494,0.42875913,211
128,1416,432,0,65,775,0,1.2,12.0,1724,0,1,0,0,1,-0.28703523,0.49099246,0.040497445,-0.38617736,-0.4410412,0.70344996,-0.41592637,0.122755215,0.17607576,1724
129,67,26,0,35,0,0,23.6,5.0,1821,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1584
130,95,0,32,0,92,0,1.6,7.0,178,1,0,0,0,1,-0.7462157,0.8438431,-0.4006827,0.3381372,-1.6193348,2.2413151,-0.52038544,1.2404735,1.9707036,148
131,2376,233,639,131,0,0,10.7,24.0,30701,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,25482
132,442,102,57,0,393,0,1.5,5.0,683,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,683
133,68,12,19,0,56,0,37.1,4.0,3037,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2521
134,268,96,45,10,20,0,10.9,9.0,2933,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2933
135,90,0,0,0,0,0,5.5,2.0,595,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,494
136,72,25,7,0,17,0,6.8,7.0,486,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,486
137,505,127,18,0,0,0,9.8,30.0,4955,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4955
138,450,145,59,0,58,7,13.6,7.0,6138,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,6138
139,230,38,46,0,40,0,6.3,10.0,1748,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1451
140,242,78,4,0,222,0,1.3,2.0,375,1,0,0,0,1,-0.27046266,0.34017658,-0.07764731,-0.078329295,-0.59397143,0.81568384,-0.14551863,0.40338975,0.60577714,311
141,106,76,6,0,96,0,23.1,2.0,2946,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2445
142,31,14,0,0,27,0,7.6,6.0,237,1,0,0,0,1,-0.13996118,0.25610954,0.051265176,-0.15566322,-0.27653283,0.5413756,0.10398079,0.31419134,0.41671523,237
143,1186,306,109,230,0,0,3.1,9.0,3711,0,0,1,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3711
144,256,198,0,5,0,0,11.5,19.0,2941,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2941
