size_D,duration_D,t11,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_duration_D_t07,effort_D
0.09109249,0.13368475,0.12917231708276827,0.7190369,0.2971946,0.10674306,0.115615934,0.22044984
0.11594392,0.13848342,0.12311321768867822,0.73340404,0.29417157,0.09102045,0.14680088,0.21070173
0.06421239,0.12611827,0.11749891825010816,0.71276706,0.27854005,0.08906066,0.096202925,0.2131591
0.12804733,0.0964488,0.07974071202592879,0.6198783,0.22982523,0.07213754,0.12690708,0.16377059
0.37575576,0.38373965,0.35007872499212744,0.84898037,0.5108616,0.3923185,0.37022644,0.45475233
0.07157028,0.09196023,0.11529358847064114,0.64246464,0.28552917,0.08631759,0.069771275,0.16689278
0.10488112,0.14097117,0.11914789808521017,0.6582412,0.28325593,0.13341439,0.114402846,0.23659062
0.059673578,0.13500488,0.11824805817519417,0.7260697,0.27894026,0.091226295,0.10678667,0.21850671
0.047425143,0.08370252,0.06013805898619409,0.6829419,0.24822295,0.04506409,0.083241165,0.17670895
0.12115824,0.121751375,0.1682099631790037,0.573148,0.29784077,0.162149,0.07836816,0.15662909
0.08848181,0.045873657,0.019329768067023193,0.49629927,0.1763203,0.025630537,0.106512144,0.08588587
0.14574258,0.19234927,0.13678997632100237,0.7988714,0.33350772,0.15172271,0.1740045,0.26046744
0.1392925,0.14568123,0.15530841446915855,0.6611754,0.33071873,0.18536104,0.11573888,0.21167538
0.075752,0.1564671,0.1213072278692772,0.7535242,0.29676625,0.10909563,0.11755198,0.22544415
0.08549954,0.16548982,0.1310545268945473,0.7711619,0.30351478,0.10810364,0.13140021,0.2407392
0.16823676,0.2058168,0.1215333978466602,0.76283413,0.30596942,0.14902298,0.19254065,0.27047056
0.11143269,0.19330873,0.14913552508644748,0.7868249,0.3284201,0.1345396,0.15321171,0.2584304
0.1820156,0.23053375,0.1800146819985318,0.82518315,0.3627836,0.16970861,0.21434443,0.2979526
0.12538372,0.13510232,0.17998638200136177,0.6416348,0.3192364,0.16014445,0.09571991,0.1836961
0.12897818,0.12168666,0.05138338486166151,0.6444164,0.2294491,0.0803368,0.13556461,0.18961379
0.08651165,0.15914743,0.13688689631131035,0.76061785,0.3131956,0.11349287,0.12768905,0.23397236
0.139902,0.19836049,0.15938682406131757,0.7925856,0.3443683,0.16466187,0.16823627,0.2691658
0.5029446,0.5594037,0.499685210031479,0.94048995,0.643739,0.5218078,0.53730214,0.6055642
0.07616627,0.07413654,0.026890120310987965,0.65019745,0.24389702,0.07721272,0.10042095,0.14325342
0.09911856,0.14003244,0.15310828468917154,0.70671296,0.33922917,0.14093521,0.11919214,0.21142392
0.14826067,0.14749964,0.17835776216422378,0.705114,0.3458633,0.20327309,0.11284998,0.20987307
0.14331949,0.1541021,0.21609882839011715,0.56788695,0.30381292,0.16414216,0.08699837,0.17281759
0.07982483,0.15028447,0.11836372816362717,0.74180555,0.29924095,0.10050917,0.12140982,0.22207439
0.08921348,0.13588762,0.0998808050119195,0.7485656,0.29121414,0.089524604,0.12677991,0.22380583
0.16516523,0.16214928,0.1810408818959118,0.64035016,0.3172115,0.1990214,0.12711887,0.22416215
0.27630347,0.2977327,0.20837637916236207,0.7690494,0.37726784,0.25560454,0.3100465,0.35039797
0.09099089,0.15891477,0.12865844713415528,0.76996773,0.30449226,0.100347884,0.12910278,0.24130133
0.10397874,0.12588537,0.08981485501851448,0.71386576,0.26365852,0.0743062,0.122446,0.20776905
0.13504966,0.139094,0.1914748108525189,0.64391536,0.33749253,0.18604027,0.11446917,0.20056969
0.12605307,0.20086223,0.15361207463879253,0.80618834,0.33141547,0.13994884,0.16429558,0.27287954
0.35941488,0.42950425,0.3446088955391104,0.9157869,0.49621022,0.34872127,0.39430517,0.47649825
0.07208347,0.1125748,0.12613213738678625,0.67586505,0.2799188,0.09686366,0.08390957,0.18124765
0.099978566,0.105088994,0.1209208029079197,0.6384808,0.29704216,0.14128888,0.084619895,0.18709254
0.2888613,0.3469716,0.2721667027833297,0.854456,0.45588285,0.3062778,0.31468076,0.39250597
0.04792592,0.066053845,0.06369853863014613,0.63999194,0.24731073,0.042342063,0.06981697,0.14075996
0.050553054,0.041111518,0.03539962646003735,0.5866412,0.21744342,0.023366971,0.067942664,0.10222259
0.1847278,0.22815363,0.18797398120260186,0.8148302,0.38395318,0.20210715,0.20513755,0.3086679
0.0951086,0.120587334,0.14448636555136343,0.6447644,0.28236473,0.12823537,0.08739649,0.18520467
0.27953804,0.23165919,0.29247689075231087,0.66966414,0.41790825,0.28981936,0.2209978,0.26016864
0.08650429,0.14564204,0.1309569369043063,0.7467953,0.30697992,0.13047326,0.1114607,0.2235465
0.08966386,0.11302296,0.07361297263870273,0.7052337,0.2778242,0.08876839,0.11167852,0.18699302
0.10144831,0.111428924,0.1504886149511385,0.63941664,0.29328296,0.13849494,0.08678606,0.20230567
0.3763196,0.39489332,0.32675238732476125,0.7625494,0.45097825,0.3666253,0.4272086,0.4333464
0.07243847,0.0643986,0.07533712646628735,0.5964521,0.2573109,0.084704965,0.072317585,0.15041092
0.11844748,0.10156845,0.042165110783488925,0.6238735,0.23207125,0.07876864,0.13502938,0.18709497
0.10998365,0.07393618,0.04532200546779945,0.5945796,0.25460255,0.071043275,0.11397855,0.15633905
0.19046244,0.16000454,0.1322823867717613,0.5090723,0.25217867,0.14359295,0.21186696,0.13446003
0.10973255,0.13231526,0.1713503828649617,0.68303204,0.35648042,0.16941978,0.11571658,0.20587334
0.10678029,0.15421794,0.12620925737907426,0.73042107,0.30133933,0.12685992,0.12526566,0.23828009
0.11015047,0.090078935,0.04565520543447946,0.6426462,0.24988121,0.078378394,0.12914032,0.1771634
0.025853751,0.038326267,0.10971326902867308,0.6070285,0.2955814,0.08272027,0.030229362,0.10735491
0.15784992,0.1299579,0.16422571357742863,0.59201646,0.32881737,0.19648239,0.10057861,0.17921302
0.07517166,0.13558027,0.12823326717667327,0.71623206,0.28169322,0.104796655,0.10086637,0.20811693
0.0607279,0.07389895,0.05769334123066587,0.6498048,0.2496236,0.0674076,0.08768454,0.1770053
0.071144365,0.11887745,0.12201072779892722,0.69821966,0.28519842,0.110175654,0.08843055,0.20570426
0.019569887,0.054733314,0.0705358689464131,0.6107003,0.24731608,0.04114146,0.04236409,0.12259189
0.06256562,0.07505811,0.14645008535499146,0.62086314,0.31976524,0.12113922,0.06051536,0.14774606
0.19233401,0.16432029,0.21504146849585315,0.5856929,0.33970585,0.23366077,0.1210196,0.20273307
0.12450144,0.13351366,0.15275403472459653,0.617618,0.29376787,0.16225943,0.10021101,0.18247992
0.054656886,0.065419294,0.12447621155237883,0.62146926,0.28817052,0.102151245,0.060404733,0.15919991
0.085598506,0.10971702,0.12299364770063523,0.64783645,0.2800937,0.11688023,0.10502569,0.21827285
0.15102166,0.17386489,0.12629126737087326,0.78064257,0.31727785,0.1295878,0.1687895,0.26054242
0.08687509,0.016900416,0.011755960824403916,0.3666585,0.14702906,0.005867213,0.09512177,0.026008248
0.054793194,0.123337105,0.10232192976780702,0.71669894,0.2757724,0.0672626,0.091232315,0.19921935
0.050459184,0.06414403,0.042302473769752616,0.63663673,0.23594895,0.044927195,0.08043718,0.14140749
0.06065788,0.07933019,0.08841248115875187,0.6480271,0.2710463,0.07849449,0.08412485,0.19888657
0.13756908,0.13293463,0.10612841338715866,0.67196655,0.2748482,0.09920036,0.16224766,0.18905157
0.53441006,0.47861364,0.504150949584905,0.83483964,0.6570794,0.5759891,0.48394966,0.5251454
0.16870514,0.23274493,0.17882262211773778,0.8423178,0.35892367,0.16698603,0.20462802,0.31090224
0.042642467,0.040632468,0.04544948545505145,0.59869796,0.24244176,0.034345023,0.056853805,0.108521216
0.108170584,0.15780292,0.14313420568657942,0.7535516,0.306624,0.12552866,0.123639554,0.23255923
0.15389551,0.07091262,0.048857188114281185,0.47020146,0.19644615,0.12233342,0.15555833,0.16486306
0.355094,0.4194739,0.33911302608869737,0.9003694,0.49970597,0.36186945,0.38411027,0.4705932
0.09902677,0.081325956,0.015557613444238654,0.59943146,0.20590533,0.056751665,0.11783515,0.14742783
0.06108989,0.1040512,0.11001925899807409,0.6797794,0.27567184,0.07666689,0.09077622,0.1972011
0.09446507,0.0844918,0.007540804245919575,0.6042298,0.20176479,0.047414083,0.12061775,0.1492882
0.10442515,0.1204227,0.13163182683681732,0.6497547,0.30184296,0.1369504,0.09660784,0.19678628
0.0841321,0.120946474,0.13836398616360135,0.6627743,0.2920742,0.12670328,0.09135981,0.18900673
0.18028958,0.19812125,0.17551258244874174,0.7946328,0.34523383,0.15350235,0.20014645,0.29761532
0.1135651,0.15336114,0.1796004120399588,0.6967436,0.3359418,0.16326918,0.12010346,0.22379716
0.16072612,0.1545583,0.15741366425863357,0.6488814,0.31966674,0.17415532,0.1213707,0.22726722
0.08860093,0.07225301,0.017914083208591676,0.58722365,0.19961485,0.048115235,0.107027754,0.14517525
0.1255466,0.16024798,0.15854372414562756,0.7441992,0.31271,0.13731593,0.13660195,0.24227144
0.15528157,0.16038905,0.200090419990958,0.6371137,0.32592508,0.19543417,0.11144962,0.19917557
0.4541538,0.44407672,0.4315742168425783,0.8529695,0.5902672,0.48996353,0.4462489,0.4831671
0.3110141,0.33379298,0.305466029453397,0.8428056,0.48408994,0.34219158,0.3120293,0.41237536
0.09242519,0.14361282,0.13909615609038437,0.71962744,0.29573804,0.11824255,0.107139535,0.21552284
0.10475601,0.11510425,0.04643137335686266,0.66347915,0.24183826,0.07150047,0.13087212,0.20156494
0.18729457,0.16666064,0.21512282848771713,0.53499985,0.34023255,0.23605996,0.1235362,0.18840885
0.15430656,0.13213211,0.16009018399098157,0.6191353,0.33530378,0.20178828,0.098528475,0.18288395
0.15016882,0.1292873,0.08659578134042187,0.6647289,0.2718176,0.10767242,0.16298802,0.19426057
0.10490067,0.07016541,0.034406904559309545,0.54722965,0.20398152,0.04471261,0.11105648,0.123739764
0.1061084,0.15904912,0.14649224535077546,0.7637992,0.3236016,0.13747409,0.12688267,0.23576662
0.20314364,0.1858282,0.10455995454400455,0.5539421,0.2521242,0.15422478,0.2302246,0.22369859
0.18831453,0.22977595,0.1716721228327877,0.8184588,0.3723743,0.18240774,0.21506988,0.3074027
0.1663239,0.16183287,0.2110328188967181,0.7245135,0.400811,0.23650791,0.1382383,0.22105366
0.049753956,0.071937785,0.07221193277880672,0.65373915,0.26460695,0.058356494,0.07064454,0.1628119
0.1008735,0.12996222,0.12032680796731919,0.696233,0.28681135,0.12606263,0.10409094,0.22345208
0.07331208,0.16148707,0.12247989775201021,0.7694525,0.29536575,0.092625275,0.12542413,0.23193395
0.108695626,0.10124816,0.0814495418550458,0.65628386,0.2579708,0.07591241,0.12926169,0.15799639
0.14203534,0.12625147,0.10592831940716806,0.66581476,0.2608913,0.1151532,0.12148535,0.20121118
0.11998032,0.10722213,0.04808051019194898,0.62537193,0.23352146,0.079751074,0.13968307,0.14267296
0.085850514,0.09248142,0.044717042528295746,0.65476936,0.22557187,0.05224647,0.105242416,0.16435196
0.15001006,0.17319982,0.14401544559845544,0.70972276,0.31307936,0.1780753,0.13728364,0.24451481
0.06920391,0.13507266,0.1102330789766921,0.6857699,0.2797761,0.10446156,0.10859884,0.20237017
0.0694107,0.10120099,0.11103960489603949,0.6994711,0.291447,0.09577297,0.09985471,0.21548852
0.2262479,0.2881686,0.2187245881275412,0.86417997,0.40802702,0.24217154,0.25606462,0.35706764
0.060574442,0.12776144,0.11886187211381279,0.72633195,0.28917235,0.094400525,0.10554633,0.21280295
0.07624596,0.057648256,0.11390592860940713,0.5729656,0.29399055,0.1041665,0.05977665,0.14098555
0.131539,0.1983261,0.14497654550234546,0.7791668,0.32071385,0.14724037,0.1651266,0.2707929
0.05970162,0.13497852,0.11510499848950013,0.7434203,0.28623402,0.08271016,0.10986785,0.22372057
0.30200645,0.2652172,0.1801213819878618,0.5060258,0.2820307,0.2579245,0.33534318,0.28252783
0.0951586,0.12789021,0.14285832571416743,0.67845374,0.28911754,0.1305174,0.10003157,0.20266734
0.15376446,0.07345543,0.061623197837680214,0.37015676,0.15295327,0.03905353,0.15733293,0.06939778
0.29435605,0.35060015,0.2778919022108098,0.8697295,0.4457834,0.30004817,0.32195112,0.41089225
0.07989316,0.090563186,0.028774057122594288,0.6655042,0.22864711,0.059786562,0.10664353,0.17127466
0.06812214,0.13517888,0.12433911756608824,0.72580415,0.29159695,0.104883045,0.10286994,0.21651925
0.06617707,0.13679793,0.10476806452319354,0.73776793,0.28355944,0.080800325,0.11294429,0.21754335
0.081950165,0.075363085,0.018328182167181784,0.6356355,0.21595556,0.043715313,0.10717805,0.15360513
0.06662534,0.12692662,0.12458092254190774,0.708442,0.28390327,0.09885162,0.09618631,0.21288411
0.1425383,0.048435085,0.0050987874901212505,0.29442412,0.11731687,0.04283314,0.15213162,0.055348575
0.06630032,0.08519451,0.05581491241850875,0.6887853,0.24897195,0.050030123,0.097780645,0.18217847
0.07864949,0.1186916,0.12148272785172722,0.7011381,0.29786566,0.10362516,0.099258974,0.19699505
0.5892163,0.62432534,0.5837324416267557,0.9326793,0.7098528,0.619168,0.6170055,0.6725153
0.06878885,0.074231915,0.06766939323306068,0.6351458,0.2508346,0.05574508,0.08286645,0.15389574
0.23745632,0.2833551,0.23208076679192333,0.85902447,0.4204791,0.24294947,0.25817674,0.3594594
0.30976653,0.2959782,0.2129703387029661,0.6405798,0.33527008,0.26472813,0.34217066,0.3102331
0.12892215,0.15132903,0.1404125359587464,0.6789778,0.3105472,0.16501264,0.116114125,0.21926449
0.1285561,0.09493805,0.02747667725233227,0.5627961,0.20041837,0.07208671,0.150603,0.1543453
0.13169442,0.20803079,0.15718445428155456,0.81227344,0.33519238,0.149167,0.17150934,0.27839392
0.10004401,0.105509624,0.04608055839194416,0.67163366,0.2370607,0.073979154,0.1166531,0.18744421
0.50889915,0.5581366,0.46762235323776463,0.81284904,0.56001616,0.50829303,0.5775459,0.5456607
0.1568276,0.18012416,0.100929079907092,0.7327698,0.28852975,0.12543586,0.17427178,0.24680936
0.07937691,0.13186732,0.13175411682458832,0.71896225,0.3124078,0.11651388,0.109228894,0.20875275
0.093428396,0.14442821,0.12771563722843626,0.69415975,0.2832132,0.12440483,0.10778705,0.22254622
0.3566963,0.4280785,0.35642283435771654,0.9039229,0.5141163,0.35553342,0.40420067,0.4709866
0.107612684,0.12689051,0.14619515538048447,0.63855994,0.30138034,0.14781958,0.09533016,0.18695404
0.38045743,0.40012625,0.3266706473329352,0.74615854,0.4296403,0.35365707,0.43266916,0.4170467
0.052589692,0.099904485,0.12165258783474121,0.68984807,0.29280785,0.10544348,0.077861495,0.179735
0.26567414,0.21635102,0.14914877508512248,0.465687,0.22366598,0.1799667,0.28546226,0.19134417
0.3698134,0.41454643,0.3402400659759934,0.81407934,0.44732934,0.3387841,0.4146397,0.43433338
0.3168201,0.34739643,0.2827662517233748,0.84823096,0.45663756,0.32527953,0.32497633,0.41921857
0.10934712,0.008953234,0.031082542891745706,0.30058146,0.1654042,0.072226435,0.07759914,0.01404582
0.10481334,0.051718146,0.026879847312015266,0.55214524,0.20993191,0.05080528,0.10850001,0.13016155
0.117617056,0.13131969,0.14430370556962943,0.66290146,0.30297223,0.15086761,0.09716806,0.19673066
0.38264656,0.28658557,0.3519796048020395,0.58183694,0.50424653,0.4327681,0.27149388,0.28871363
0.17703514,0.11638262,0.21530715846928414,0.44402245,0.34535527,0.22512224,0.079953924,0.11523042
0.0064118225,0.0020177122,0.09239644076035593,0.5198185,0.2640745,0.0619418,0.0,0.046395466
0.05949281,0.0818615,0.1319956168004383,0.6471852,0.3099531,0.12605654,0.060546227,0.14902529
0.09580198,0.1508323,0.15480528451947154,0.67235523,0.28440705,0.12696925,0.10464137,0.1950658
0.075659715,0.08075968,0.11739156826084317,0.62623477,0.27343634,0.080022536,0.07025756,0.1576446
0.22123931,0.26223382,0.19678091032190895,0.8420564,0.38994247,0.21202897,0.25311267,0.33756572
0.21605597,0.2661662,0.20633875936612406,0.84445333,0.40226343,0.24932256,0.23970251,0.3307039
0.13489167,0.1607975,0.18435984156401583,0.70320225,0.35303748,0.17149019,0.13680811,0.22637403
0.1293458,0.09304547,0.19960069003993097,0.53563946,0.34072787,0.18265976,0.07154923,0.12716901
0.026283035,0.07704606,0.09197197680280232,0.659373,0.26690635,0.060911875,0.051460885,0.14970604
0.17629038,0.19440152,0.15361003463899653,0.80408096,0.35729152,0.1539814,0.19879755,0.28619933
0.21823125,0.25892332,0.201424549857545,0.84737545,0.40377778,0.23619902,0.24336392,0.32761568
0.097089306,0.14173006,0.14148649585135042,0.7439641,0.30752432,0.11545616,0.123895705,0.23584822
0.37604743,0.43299395,0.3715491228450877,0.83514225,0.5120858,0.38914758,0.40030506,0.47399402
0.08027443,0.076920666,0.14853556514644348,0.59846103,0.31677818,0.1491603,0.054629818,0.13222666
0.20334226,0.16523875,0.23411894658810534,0.6756665,0.4131081,0.2751676,0.14383322,0.21067369
0.14089675,0.14128585,0.18621230137876985,0.56179917,0.30068466,0.16241384,0.09754042,0.18206982
0.05737567,0.07678565,0.050185724981427496,0.6422588,0.22643742,0.042411402,0.08686799,0.14023131
0.054461956,0.09145908,0.08242878175712182,0.6897414,0.26623616,0.063318,0.092794776,0.20607993
0.055190988,0.12907553,0.11825042817495718,0.7284877,0.27987617,0.07936122,0.101413235,0.22555265
0.047753356,0.04224197,0.09374668062533192,0.59049046,0.2739676,0.076936215,0.05139669,0.13358039
0.07276733,0.12568268,0.12165222783477721,0.7168413,0.2917297,0.09381452,0.112000614,0.22755077
0.11530572,0.120172516,0.15097126490287352,0.6672958,0.31519786,0.16349724,0.08539389,0.18129382
0.049502283,0.07291579,0.06368409363159062,0.6581875,0.25460604,0.04824317,0.0772686,0.16138807
0.09684052,0.15004593,0.12333461766653822,0.711566,0.2853295,0.117900066,0.113157034,0.2446338
0.13306622,0.13212906,0.18481339151866086,0.5689846,0.30874994,0.16446306,0.09941886,0.1642979
0.08889125,0.15079035,0.1382905361709464,0.7486799,0.30098578,0.10410349,0.11018067,0.22813365
0.67771035,0.7472814,0.6902461309753869,0.97018015,0.7645892,0.6764678,0.72944087,0.7661337
0.3931001,0.47574115,0.3821572917842708,0.9058656,0.53390896,0.39466906,0.433493,0.5203413
0.018655809,0.019083563,0.04828957517104248,0.51753473,0.21215029,0.0061605684,0.03600318,0.06620479
0.08563854,0.10628652,0.11883024811697518,0.6723752,0.2845413,0.097709835,0.09514409,0.19278671
0.094659366,0.12820992,0.14767630523236946,0.7104494,0.33476228,0.1429454,0.1063609,0.20390008
0.109394535,0.10167352,0.1109344389065561,0.6324125,0.2866825,0.1292051,0.09019089,0.19170453
0.05859495,0.09774197,0.12368047763195224,0.6636812,0.2771286,0.092594504,0.0719205,0.17852685
0.17368639,0.124790646,0.0704876529512347,0.54561627,0.21896228,0.08985472,0.184629,0.16649327
0.17235303,0.15509753,0.2120773787922621,0.5214499,0.30065787,0.19806406,0.08823788,0.1686964
0.09179089,0.08418697,0.04110490588950941,0.64920163,0.23551303,0.055241983,0.111594416,0.15722145
0.58720344,0.6171577,0.5813190418680958,0.9320425,0.68206966,0.6097972,0.6231246,0.6566981
0.11738329,0.09359917,0.12671594732840524,0.59211254,0.30007324,0.14839911,0.07260671,0.15864247
0.06531688,0.07575812,0.06482900351709965,0.61910033,0.2529096,0.07965083,0.07914317,0.16968372
0.22440189,0.24093015,0.21370977862902213,0.7194653,0.35084838,0.19355783,0.25489777,0.25996011
0.13635504,0.16882446,0.13733452626654738,0.7733414,0.32868984,0.1415874,0.15574443,0.25123173
0.15637274,0.095708646,0.22301686769831322,0.4012649,0.32144672,0.19587176,0.07559408,0.11005676
0.097588785,0.14454174,0.1319219068078093,0.74533796,0.3098243,0.09356779,0.13236265,0.24306773
0.44453603,0.48808563,0.4335402366459763,0.91306007,0.57360023,0.44916564,0.4715099,0.5400181
0.0937209,0.10863717,0.09784779021522097,0.7082065,0.27069253,0.0668107,0.117694736,0.19473054
0.13051398,0.1263676,0.14555583544441644,0.6507403,0.31077534,0.15356666,0.09896895,0.19696116
0.096852325,0.107592136,0.1599095340090466,0.6689894,0.34664512,0.15731806,0.08606413,0.17449856
0.06320815,0.036751468,0.13664485633551435,0.52928287,0.28859696,0.13180283,0.031956565,0.08813539
0.12051,0.1833933,0.1695533230446677,0.7837156,0.3498124,0.14043076,0.14841126,0.2552778
0.14104724,0.08917966,0.05316375768362423,0.46371114,0.16789956,0.04677721,0.15403788,0.09847704
0.18336935,0.2301257,0.1699426830057317,0.82779384,0.371456,0.18128021,0.2166187,0.31281412
0.095350504,0.111995764,0.16736216326378367,0.62692285,0.296042,0.14148784,0.07977702,0.18081586
0.1739492,0.192638,0.15473206452679353,0.7733338,0.34814587,0.16086684,0.19341972,0.27393976
0.110650316,0.08250408,0.05967118403288159,0.5123869,0.2176114,0.11374542,0.1257897,0.17445892
0.061644286,0.1372439,0.10565775943422405,0.74511296,0.28153038,0.075387344,0.11112262,0.21817529
0.07712178,0.06928383,0.041038709896129004,0.6449525,0.22913857,0.03933631,0.098734796,0.1538322
0.054212704,0.12603115,0.11655809834419016,0.71942276,0.27924675,0.08369891,0.0967368,0.21542537
0.36599484,0.36314705,0.34789456521054346,0.84096855,0.53396076,0.40011597,0.35450825,0.42508578
0.07753582,0.092834964,0.0705443829455617,0.6116301,0.24291053,0.091614746,0.10820437,0.20539923
0.19090414,0.16701362,0.21499605850039413,0.5881859,0.3361962,0.22785252,0.12404817,0.204032
0.38465598,0.4248037,0.3639680936031906,0.8164786,0.48404312,0.4094671,0.43795246,0.46273655
0.04544197,0.08530924,0.07422383257761674,0.6576655,0.24688958,0.036559895,0.07895458,0.15794007
0.3374714,0.39762253,0.3245885975411402,0.87869424,0.48600015,0.33633602,0.3771079,0.44742036
0.32975414,0.38185823,0.3109433889056611,0.8908482,0.48732966,0.34414744,0.34937954,0.44917598
0.17998108,0.15126851,0.08499154150084584,0.5560076,0.24489132,0.14954087,0.20549469,0.18479577
0.10125764,0.14926027,0.14220495577950443,0.74940526,0.3277095,0.1449914,0.118456155,0.22620639
0.10118282,0.15943912,0.1312274468772553,0.7073104,0.2829707,0.12611005,0.11098434,0.22819257
0.17048803,0.16501087,0.18536923146307685,0.6029794,0.3137398,0.21561146,0.11908831,0.1909445
0.06508635,0.14138877,0.12406894759310524,0.74456596,0.3021144,0.10461512,0.10956003,0.2176905
0.10846011,0.14964764,0.1398066260193374,0.72906834,0.29457176,0.115187466,0.1175545,0.22872353
0.21183744,0.22577575,0.2128799387120061,0.8127955,0.41135535,0.25227487,0.20906083,0.30342114
