size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,dba_Sequential,ifc_GUI,ifc_TextUI,source_Inhouse,source_Outsrced,telonuse_No,telonuse_Yes,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_app_InfServ,MI_size_D_t02,MI_size_D_t08,MI_duration_D_t07,effort_D
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,4731,747,747,996,498,249,747,1245,57,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,4081,1113,742,1855,742,0,1484,1113,33,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2743,844,422,844,211,0,633,844,52,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,59168,7396,7396,7396,7396,0,1849,9245,128,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,94316,12410,12410,12410,9928,0,7446,9928,190,37286
434,40,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,17360,1736,1736,1736,1736,0,868,2170,160,15052
292,29,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,8468,876,876,1460,876,0,876,1168,87,11039
2954,14,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,41356,11816,14770,11816,11816,0,11816,8862,56,18500
304,14,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,4256,1216,912,1520,304,0,912,1216,56,9369
353,28,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,9884,706,706,1412,353,0,1059,1412,56,7184
567,16,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,9072,2268,2835,2835,2268,0,1134,2268,64,10447
467,13,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,6071,1401,1401,1868,1401,0,1401,1401,39,5100
3368,45,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,151560,13472,13472,13472,10104,0,10104,16840,180,63694
253,4,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1012,506,506,1012,506,0,759,1012,8,1651
196,10,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1960,392,392,392,588,0,784,588,20,1450
185,12,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2220,555,555,555,740,185,740,925,36,1745
387,6,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2322,1161,1548,1935,774,0,1548,1548,18,1798
430,28,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,12040,1720,1290,1290,860,0,1290,2150,112,2957
204,6,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1224,612,408,612,408,0,816,816,18,963
71,6,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,426,142,213,284,71,0,213,213,12,1233
840,6,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,5040,3360,2520,4200,2520,840,1680,4200,24,3240
1648,11,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,18128,8240,6592,8240,6592,0,3296,4944,55,10000
1035,8,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,8280,5175,4140,5175,4140,0,2070,3105,40,6800
548,22,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,12056,1644,1644,1644,548,0,1644,2192,66,3850
2054,31,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,63674,6162,10270,8216,6162,0,6162,8216,93,14000
302,26,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,7852,906,906,906,604,0,906,1208,78,5787
1172,22,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,25784,4688,4688,4688,3516,0,2344,2344,88,9700
253,7,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1771,759,759,1012,253,253,759,759,21,1100
227,14,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3178,681,681,1135,454,0,908,681,42,5578
59,6,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,354,118,177,236,177,0,177,177,12,1060
299,6,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1794,897,1495,1196,1196,299,897,1196,18,5279
422,15,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6330,1266,1688,2110,422,0,1266,1266,45,8117
1058,9,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,9522,5290,3174,4232,3174,0,4232,3174,45,8710
65,9,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,585,260,195,260,195,65,130,260,36,796
390,26,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,10140,1560,1560,1950,1170,0,1950,1950,104,11023
193,13,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2509,386,579,579,386,0,772,386,26,1755
1526,28,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,42728,4578,6104,6104,6104,1526,4578,4578,84,5931
575,13,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,7475,2300,2300,2300,1150,0,1725,1150,52,4456
509,13,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6617,1527,1018,2036,509,0,1527,2036,39,3600
583,12,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,6996,1166,1166,1166,1749,0,2332,1749,24,4557
315,14,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,4410,1260,945,1260,630,0,945,1575,56,8752
138,12,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1656,414,276,552,276,0,552,414,36,3440
257,9,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,2313,771,1028,1028,771,0,1028,1028,27,1981
423,30,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,12690,1692,1269,1692,423,0,1269,2115,120,13700
495,20,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,9900,1485,1485,2475,1485,0,990,1485,60,7105
622,16,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,9952,1866,2488,2488,2488,0,1866,2488,48,6816
204,12,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2448,816,1020,1020,408,204,612,1020,48,4620
616,15,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,9240,1848,3080,3080,2464,0,1848,3080,45,7451
3634,33,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,119922,14536,18170,18170,10902,0,14536,10902,132,39479
