size_D,duration_D,app,har,dba,nlan,t01,t02,t03,t04,t05,t07,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_17,Generated_Var_18,effort_D
0.54632306,0.43254107,0.36938049306195064,0.38463944,0.24843669,0.5819399,0.28648317,0.32083338,0.5589588,0.30609125,0.3574923,0.4094243845654631,0.39292154,0.40642694,0.42764028565841716,0.303404269659573,0.2871626,0.2410541944632517,0.3615578,0.289678,0.6202847,0.4097606,0.42760918,0.5038664302319859,0.4403951959604804,0.46291322,0.46503258,0.40111274,0.3963083,0.5225836,0.44978052,0.46976972
0.19362795,0.08346142,0.037888359211164076,0.093014225,0.06813389,0.2534799,0.026399553,0.06507009,0.20661198,0.050699532,0.050729185,0.04040366642421998,0.07865155,0.06711012,0.09182070550924235,0.02589952741004726,0.038176656,0.047984422879065375,0.020602584,0.043456554,0.33820987,0.049878,0.044425495,0.15280786916847214,0.06809189319081067,0.106109306,0.14315201,0.055679485,0.03210473,0.16542038,0.1212154,0.13755006
0.28200507,0.22134613,0.1907107509289249,0.25499147,0.24745,0.4065247,0.102984875,0.17045867,0.29249945,0.20681667,0.19647339,0.18140104088406245,0.1986661,0.22615647,0.2674835460490128,0.18783088121691185,0.19951606,0.1583643695018622,0.17819163,0.26429668,0.45931727,0.26263407,0.18970716,0.29536534772192086,0.27476963252303677,0.24685296,0.2871627,0.22693317,0.19524999,0.28653744,0.30335036,0.26011217
0.30491138,0.18484333,0.18496462150353785,0.23442553,0.12384462,0.41056323,0.1579693,0.095413744,0.31029046,0.18897712,0.22166273,0.17197346031840763,0.15336496,0.21003905,0.2991508379490503,0.19937099006290096,0.19334877,0.1377415782644947,0.18437341,0.21066317,0.47991142,0.21059465,0.23425716,0.29598051775883105,0.26124617387538257,0.25652698,0.29547414,0.21129535,0.1996497,0.28597823,0.28794187,0.27384925
0.25586766,0.16342756,0.09830857016914299,0.051483914,0.06275225,0.21571673,0.130422,0.13739252,0.30022424,0.058331788,0.022188127,0.17240560034433602,0.12287679,0.113055944,0.04925386895523214,0.04919132108086789,0.09908116,0.12617946757076806,0.07191154,0.031675637,0.27898028,0.050601363,0.06658452,0.1387931483275889,0.06497990350200965,0.08784577,0.11185694,0.05134888,0.048376724,0.17567806,0.08988613,0.20898172
0.3491671,0.25650442,0.1818721218127878,0.16575842,0.08772576,0.36815977,0.13135853,0.11468977,0.36881685,0.11507189,0.104412705,0.21130642267838537,0.17873654,0.19536436,0.17827611069656665,0.10100843489915651,0.10253903,0.0824887799493268,0.14892909,0.08998278,0.4160875,0.18255657,0.18836388,0.2801282568076954,0.19874277012572297,0.2272056,0.23366225,0.17754291,0.1636075,0.30797833,0.22366995,0.27375716
0.3088475,0.25339997,0.202122889787711,0.06150283,0.15330994,0.20907353,0.27289313,0.28090894,0.3894788,0.1793353,0.08541757,0.3420425905225554,0.22460952,0.20899335,0.07509436450566187,0.16468329353167063,0.2491386,0.2624833157489989,0.1639171,0.11946061,0.26584047,0.112950325,0.13325036,0.15338397920303876,0.11428704857129512,0.1271917,0.1307897,0.10278763,0.10520451,0.22176902,0.10581556,0.3205499
0.50878733,0.39073834,0.3758400924159907,0.3679613,0.3112486,0.5605615,0.2667573,0.34584415,0.51841056,0.33057833,0.3400214,0.3589512215370733,0.4081343,0.39159283,0.4113515846810951,0.32410460758953924,0.33577454,0.2658454359507262,0.3265902,0.3369874,0.61465687,0.3981141,0.4181216,0.4907054594423276,0.42100615789938417,0.45558494,0.44746417,0.41003907,0.39746165,0.4828235,0.43581724,0.47627467
0.31156528,0.2094014,0.14584434541556546,0.14984067,0.08825648,0.35131627,0.09709883,0.100761116,0.33208236,0.09681219,0.0852496,0.1680747800844868,0.15087152,0.16942036,0.165744599944676,0.08943262105673788,0.079941005,0.07206857432411445,0.12007257,0.07529184,0.40726072,0.15591785,0.15867567,0.25465579527934773,0.17520627247937273,0.2014917,0.22169769,0.15489285,0.14036493,0.28303787,0.20693788,0.24264306
0.19731332,0.111577585,0.0606844509315549,0.042513654,0.047365963,0.18051311,0.1186811,0.09879881,0.22681099,0.04815024,0.04043001,0.12951477777088669,0.070326194,0.067087054,0.06803101408186085,0.0705918929408107,0.1350857,0.14962000897720054,0.060970157,0.06880319,0.23850915,0.021477476,0.035919704,0.08990909539454572,0.03650448834955116,0.054493155,0.085486874,0.03075616,0.018157661,0.115321174,0.07882854,0.19271368
0.32078886,0.23831683,0.1916301208369879,0.03284894,0.09173685,0.15958817,0.31062067,0.29099506,0.431043,0.14355147,0.040182173,0.37357159241429555,0.22514302,0.19134027,0.01924169115450147,0.14478988552101144,0.23569864,0.2817072469024348,0.15302971,0.07520035,0.20705935,0.06506497,0.09494216,0.1102394266143656,0.09231136076886393,0.08045669,0.07565114,0.060817614,0.061389074,0.18223956,0.045498237,0.3314575
0.38835377,0.23067811,0.1915295708470429,0.22075228,0.10432422,0.42812625,0.11755076,0.13008499,0.38662344,0.13303703,0.18761149,0.20887485253249116,0.22753745,0.22772524,0.26208706572522394,0.14004780599521938,0.12716281,0.09673244580394676,0.16257817,0.14211741,0.48872608,0.23717093,0.24313948,0.3278919696735182,0.2588571041142896,0.28772736,0.29808086,0.22417347,0.22333087,0.34614182,0.2737772,0.32314694
0.08846232,0.014157414,0.0406223659377634,0.19205521,0.25877118,0.21620889,0.113838255,0.07086724,0.093670145,0.18749475,0.14819369,0.02312500938750056,0.031669304,0.035912782,0.15665753939945234,0.1934685806531419,0.27451634,0.2579322154759329,0.12284401,0.2712334,0.30933836,0.064692944,0.026232801,0.08781377026882622,0.10735352926464706,0.051680844,0.15462568,0.07115774,0.037953883,0.07106841,0.17766455,0.042574707
0.20962104,0.15177922,0.09489325051067493,0.10956283,0.14008516,0.27438718,0.06524244,0.1363529,0.23997179,0.10143691,0.05929196,0.09331481559888893,0.14150226,0.11587402,0.11735962704157762,0.060906373909362606,0.104543984,0.09651947579116854,0.05648151,0.096449465,0.3585113,0.105534285,0.0858377,0.1890255113415307,0.10890473910952608,0.14748593,0.15616916,0.10170652,0.08587912,0.1952677,0.1556218,0.210194
0.388407,0.2686994,0.20764746923525304,0.20786001,0.09457618,0.4211471,0.13676646,0.14052945,0.3924756,0.13877237,0.16664347,0.22256111335366682,0.22142765,0.2288422,0.2395791743747505,0.1290249970975003,0.12889647,0.09097046545822793,0.16983527,0.12133542,0.47658336,0.22895032,0.24094963,0.33290804997448303,0.25601157439884253,0.2845933,0.28992382,0.22607644,0.20967697,0.35120338,0.27124104,0.31620473
0.2468597,0.14658612,0.08392445160755484,0.05643691,0.05029714,0.23971301,0.095068485,0.10376042,0.28129297,0.047044873,0.01655075,0.13233657794019466,0.11107549,0.105787426,0.06134115368046922,0.022819635718036427,0.07053748,0.08635312518118751,0.051374912,0.02388689,0.3045139,0.05459793,0.06733102,0.1577069694624182,0.06580480341951966,0.10511574,0.12493463,0.05941592,0.049422637,0.18339576,0.10453789,0.19875129
0.5119611,0.46389806,0.36835029316497064,0.3770669,0.24723464,0.5918964,0.26848227,0.2640056,0.544041,0.2802438,0.34407553,0.3796724927803496,0.4103869,0.38340613,0.4319098859145932,0.2920905907909409,0.29971403,0.2225685233541114,0.36153564,0.29494044,0.61885655,0.4068933,0.41008332,0.4933344296000658,0.41010245898975406,0.45474926,0.45448565,0.39284372,0.3998096,0.51399654,0.44025505,0.45498234
0.3615234,0.22352442,0.18505290149470985,0.2190683,0.088050604,0.4333751,0.10368878,0.08132398,0.36511028,0.12865746,0.18894103,0.18604278116256687,0.19440573,0.21873781,0.2641883158512989,0.13517888648211132,0.12182355,0.06818470409108225,0.1656855,0.14164802,0.48924327,0.23476592,0.23405325,0.327719949663197,0.25214854478514553,0.2818857,0.30076188,0.22141455,0.2146356,0.33602005,0.27843285,0.2956217
0.16758898,0.064401105,0.022990000700999928,0.09965305,0.078976095,0.24315429,0.023352504,0.05138111,0.17564468,0.055054605,0.06250474,0.023657085419425124,0.06776975,0.046390936,0.09553661073219664,0.035275336472466355,0.04781112,0.05692252841535171,0.018936813,0.06087038,0.3332657,0.042298406,0.031253196,0.13613018816781128,0.061052793894720604,0.09501243,0.13759398,0.04087639,0.021923631,0.14714588,0.11724147,0.11779855
0.07001443,0.049646,0.05089122991087701,0.18659134,0.31291145,0.1914249,0.14475095,0.13939685,0.07433973,0.19830376,0.14391303,0.044863986691839206,0.04707256,0.019111335,0.15051006903060415,0.21006811899318809,0.31128573,0.28521991711319505,0.1295003,0.2779517,0.29345435,0.03933768,0.028019153,0.06881275412876525,0.07399385260061472,0.04302459,0.13397503,0.036888972,0.022565246,0.07475509,0.16720775,0.055466436
0.219926,0.1043489,0.051037559896244006,0.10355939,0.037712276,0.29159367,0.021481872,0.049832642,0.2378289,0.049059153,0.07027373,0.06026441361586481,0.10454148,0.09083,0.12023707721422464,0.02434542556545744,0.029609561,0.02846351470781088,0.029747248,0.034151644,0.37224737,0.08156383,0.07161365,0.18181900090914008,0.09697824030217597,0.13982952,0.17514051,0.08031152,0.05153559,0.19747178,0.14110118,0.17477053
0.18726318,0.082719535,0.038319092168090776,0.08517046,0.08720124,0.23747708,0.0399293,0.072138906,0.19335534,0.065188706,0.046231776,0.046261029775661794,0.075914636,0.060031682,0.09123449547406973,0.03787642321235767,0.090043575,0.07988048079282886,0.029237181,0.0691559,0.32451808,0.046116233,0.045154266,0.1364547381872843,0.0605980839401916,0.09787616,0.13478391,0.057775334,0.02885732,0.14978886,0.12250018,0.15229544
0.14247654,0.061819132,0.039803396019660396,0.13379715,0.17824244,0.2393428,0.036201596,0.104563296,0.13963392,0.109620094,0.08773264,0.03759795625587738,0.07411663,0.0544641,0.11130087667805261,0.08314832168516784,0.12289286,0.12032002721920164,0.05609867,0.12727657,0.34238836,0.058738098,0.04551763,0.1345431880725913,0.08916805108319488,0.094317645,0.14880364,0.045763597,0.043736666,0.14438513,0.1429478,0.096764885
0.24530059,0.12125458,0.07454780254521974,0.10590784,0.049870312,0.3000935,0.038245797,0.07182604,0.257002,0.051045716,0.060519904,0.07275805436548327,0.10855198,0.104706466,0.11920519715231183,0.027714697228530275,0.032821804,0.03664958719897523,0.035346806,0.04255861,0.3731489,0.089434355,0.085832216,0.20232020213921215,0.10696828930317107,0.14791733,0.17106998,0.09800209,0.06959179,0.2103087,0.15293607,0.18142684
0.19716573,0.09730354,0.05763281423671857,0.123697504,0.10657871,0.27447006,0.050450623,0.0842787,0.2150292,0.07151502,0.08455691,0.06429532385771944,0.09727657,0.09128353,0.12963839777830385,0.060911023908897605,0.08440158,0.0780503796830228,0.053968906,0.09461632,0.35078055,0.08086431,0.06325441,0.16753101005186063,0.100149579985042,0.121245936,0.16761427,0.08609079,0.053959236,0.17538317,0.15649554,0.16673158
0.13824192,0.045531575,0.024434459556554045,0.1227579,0.12690312,0.22107396,0.03155899,0.07777405,0.14896433,0.07491714,0.0777511,0.02499804049988243,0.047820345,0.043491706,0.09411505564690335,0.0696740970325903,0.119072855,0.11650974299058459,0.04349035,0.115097016,0.32213464,0.04491031,0.02265755,0.11559611693576702,0.07348787265121273,0.07455701,0.13199414,0.031953678,0.023881286,0.12073888,0.13056287,0.110049844
0.19069465,0.09247136,0.05612803438719655,0.1213827,0.12798,0.2424215,0.02391839,0.07412356,0.18973589,0.11035496,0.08523643,0.0597194915831695,0.102580935,0.09525025,0.10425817125549028,0.05984952401504759,0.094051,0.09348816560928994,0.036171943,0.09991118,0.35380432,0.082055226,0.062404625,0.15267436916046218,0.10544692445530755,0.11390793,0.1469428,0.06637688,0.05965434,0.17164743,0.14271232,0.16611664
0.26364613,0.13619553,0.09389589061041094,0.11549188,0.055260777,0.31670713,0.054414928,0.074382484,0.27368855,0.06943387,0.069441795,0.09468086568085195,0.12639517,0.121852875,0.1384518983071139,0.034120616587938336,0.04720953,0.045859726751583604,0.05174935,0.054938883,0.38530862,0.11081043,0.11057796,0.2165379129922748,0.1284807871519213,0.16614516,0.18680228,0.11354481,0.093906,0.22678164,0.16616261,0.20642143
0.19496399,0.0935532,0.05515343848465615,0.13537966,0.13961601,0.27339554,0.043729335,0.0958907,0.19590992,0.083679974,0.098462254,0.06660636399638184,0.088698,0.091046244,0.14647986878879213,0.08626213137378685,0.1001685,0.09679639580778375,0.06429666,0.11089471,0.35888413,0.0915664,0.06986598,0.1652482599148956,0.11189881381011861,0.12134014,0.17469062,0.076692805,0.061209872,0.17578757,0.16379148,0.14697848
0.5300006,0.41520917,0.3430894856910514,0.36384445,0.2300322,0.5624199,0.2519542,0.25215417,0.5405047,0.26198828,0.33199623,0.3890509233430554,0.38654807,0.38197842,0.39768842386130543,0.2702667129733287,0.2717687,0.21191360271481618,0.32807735,0.26839963,0.60902846,0.3908921,0.39859304,0.47240736834444214,0.40902288909771106,0.43926528,0.44270152,0.3617862,0.37484145,0.506207,0.41558796,0.45675677
0.27912354,0.18456946,0.11922064807793518,0.08112927,0.07437283,0.2665673,0.11829761,0.13005143,0.30010405,0.08681029,0.025403023,0.18269082096144929,0.15053067,0.14019564,0.08983815539028933,0.04763763523623647,0.1188761,0.1072329964339798,0.090761095,0.052881807,0.32547688,0.102289855,0.10274481,0.18435521106131267,0.1099141590085841,0.14304124,0.15579203,0.102512196,0.082200676,0.22366542,0.13240868,0.24635768
0.19815733,0.08171004,0.03710953628904637,0.086950436,0.058193743,0.2568577,0.017578095,0.060682297,0.21191667,0.04623723,0.045870364,0.039859012391540743,0.08368716,0.06870021,0.08717234923034095,0.01417779758222024,0.033298045,0.03701511222090673,0.0118665695,0.035665005,0.344037,0.052711204,0.048079796,0.15696786941807217,0.06838383316161668,0.110956505,0.14189774,0.058950022,0.032705963,0.16796473,0.11966455,0.15029252
0.23885822,0.15017557,0.10770386922961307,0.11405711,0.11801535,0.32208887,0.031389892,0.12838346,0.2634591,0.094662845,0.08182523,0.0956811217408673,0.15474239,0.13932985,0.1404829584289775,0.06257870374212962,0.07873416,0.06634346398060785,0.046972573,0.09183636,0.40407807,0.116625875,0.11300904,0.23459991407599484,0.13677754632224534,0.17731349,0.20288041,0.12826823,0.10997556,0.22327656,0.1849637,0.21988414
0.18753928,0.09435105,0.06268591373140862,0.07040538,0.10720569,0.20252953,0.04965037,0.11731154,0.23275529,0.059840143,0.01158309,0.07344437440666246,0.09873609,0.0785186,0.03591986215519173,0.03635295836470416,0.09712303,0.10454494627269678,0.02703473,0.0546121,0.3027018,0.03622265,0.04299239,0.13027605781656348,0.04865574513442548,0.08808333,0.10640444,0.0375126,0.030948728,0.1480627,0.10122989,0.1545216
0.17908761,0.059664603,0.02430985656901434,0.10244344,0.08469081,0.24569617,0.003739953,0.05654186,0.19080769,0.04761392,0.0705868,0.030599953835997232,0.061258495,0.06365514,0.09227045553622734,0.03677075632292436,0.048170388,0.051604663096279785,0.022813797,0.05066222,0.3410146,0.051876992,0.03935135,0.1425547685532861,0.06898503810149618,0.09818275,0.141296,0.04010108,0.034182906,0.15561461,0.11867565,0.11663053
0.11230331,0.022394467,0.0,0.12013127,0.11348331,0.20906319,0.041974902,0.0,0.11828594,0.068540394,0.074168324,0.00846736150804169,0.017901257,0.0140425265,0.10393985223639114,0.07738097726190227,0.14337748,0.113353616801217,0.049425066,0.12610975,0.3075852,0.032315522,0.011575438,0.08848842530930552,0.05279097972090202,0.047815207,0.117796734,0.026554123,0.004320815,0.08980748,0.11772795,0.05737003
0.21176952,0.107390404,0.05536402246359775,0.049510673,0.010456741,0.21670257,0.061460853,0.05735302,0.23497812,0.025392294,0.013172746,0.09470789568247374,0.061920702,0.07429303,0.053404856204291376,0.016661255333874463,0.06610143,0.07377469942648197,0.030322969,0.027255416,0.28749263,0.035714388,0.044592924,0.12893501773610105,0.052495950750404925,0.08153194,0.10031919,0.030548722,0.027796596,0.1468672,0.09469934,0.18707125
