Dataset                      Metric                   metric valor    d     l
../datasets_2/albrecht.arff  R2 Score                  -0.134303      2  0.2
../datasets_2/albrecht.arff  MAE                       10.2724        2  0.25
../datasets_2/albrecht.arff  Median Absolute Error      8.54408       2  0.25
../datasets_2/albrecht.arff  RMSE                      11.8592        2  0.25
../datasets_2/albrecht.arff  R2 Score                  -0.0756404     2  0.25
../datasets_2/albrecht.arff  MAE                        8.99281       3  0.05
../datasets_2/albrecht.arff  Median Absolute Error      9.64199       3  0.05
../datasets_2/albrecht.arff  RMSE                      10.1472        3  0.05
../datasets_2/albrecht.arff  R2 Score                   0.212499      3  0.05
../datasets_2/albrecht.arff  MAE                        9.75664       3  0.1
../datasets_2/albrecht.arff  Median Absolute Error      8.99001       3  0.1
../datasets_2/albrecht.arff  RMSE                      10.807         3  0.1
../datasets_2/albrecht.arff  R2 Score                   0.106762      3  0.1
../datasets_2/albrecht.arff  MAE                        9.75062       3  0.15
../datasets_2/albrecht.arff  Median Absolute Error      8.59046       3  0.15
../datasets_2/albrecht.arff  RMSE                      10.6781        3  0.15
../datasets_2/albrecht.arff  R2 Score                   0.127932      3  0.15
../datasets_2/albrecht.arff  MAE                       10.9947        3  0.2
../datasets_2/albrecht.arff  Median Absolute Error      7.83845       3  0.2
../datasets_2/albrecht.arff  RMSE                      12.9733        3  0.2
../datasets_2/albrecht.arff  R2 Score                  -0.287237      3  0.2
../datasets_2/albrecht.arff  MAE                       11.4624        3  0.25
../datasets_2/albrecht.arff  Median Absolute Error      9.06831       3  0.25
../datasets_2/albrecht.arff  RMSE                      13.4715        3  0.25
../datasets_2/albrecht.arff  R2 Score                  -0.388003      3  0.25
../datasets_2/albrecht.arff  MAE                        8.56211       4  0.05
../datasets_2/albrecht.arff  Median Absolute Error      7.81531       4  0.05
../datasets_2/albrecht.arff  RMSE                       9.54688       4  0.05
../datasets_2/albrecht.arff  R2 Score                   0.302921      4  0.05
../datasets_2/albrecht.arff  MAE                        8.30125       4  0.1
../datasets_2/albrecht.arff  Median Absolute Error      8.83612       4  0.1
../datasets_2/albrecht.arff  RMSE                       9.24748       4  0.1
../datasets_2/albrecht.arff  R2 Score                   0.345956      4  0.1
../datasets_2/albrecht.arff  MAE                        9.48387       4  0.15
../datasets_2/albrecht.arff  Median Absolute Error      7.82454       4  0.15
../datasets_2/albrecht.arff  RMSE                      11.3516        4  0.15
../datasets_2/albrecht.arff  R2 Score                   0.0144684     4  0.15
../datasets_2/albrecht.arff  MAE                        8.50662       4  0.2
../datasets_2/albrecht.arff  Median Absolute Error      7.50617       4  0.2
../datasets_2/albrecht.arff  RMSE                       9.64535       4  0.2
../datasets_2/albrecht.arff  R2 Score                   0.288465      4  0.2
../datasets_2/albrecht.arff  MAE                        7.13415       4  0.25
../datasets_2/albrecht.arff  Median Absolute Error      6.56728       4  0.25
../datasets_2/albrecht.arff  RMSE                       7.87552       4  0.25
../datasets_2/albrecht.arff  R2 Score                   0.525628      4  0.25
../datasets_2/albrecht.arff  MAE                        9.56367       5  0.05
../datasets_2/albrecht.arff  Median Absolute Error      8.10256       5  0.05
../datasets_2/albrecht.arff  RMSE                      10.9224        5  0.05
../datasets_2/albrecht.arff  R2 Score                   0.0875778     5  0.05
../datasets_2/albrecht.arff  MAE                        6.90932       5  0.1
../datasets_2/albrecht.arff  Median Absolute Error      5.20543       5  0.1
../datasets_2/albrecht.arff  RMSE                       8.26369       5  0.1
../datasets_2/albrecht.arff  R2 Score                   0.477715      5  0.1
../datasets_2/albrecht.arff  MAE                       11.1038        5  0.15
../datasets_2/albrecht.arff  Median Absolute Error      8.23778       5  0.15
../datasets_2/albrecht.arff  RMSE                      12.4606        5  0.15
../datasets_2/albrecht.arff  R2 Score                  -0.187507      5  0.15
../datasets_2/albrecht.arff  MAE                        9.85455       5  0.2
../datasets_2/albrecht.arff  Median Absolute Error      7.47742       5  0.2
../datasets_2/albrecht.arff  RMSE                      11.107         5  0.2
../datasets_2/albrecht.arff  R2 Score                   0.0564749     5  0.2
../datasets_2/albrecht.arff  MAE                        9.35148       5  0.25
../datasets_2/albrecht.arff  Median Absolute Error      8.42465       5  0.25
../datasets_2/albrecht.arff  RMSE                      10.3321        5  0.25
../datasets_2/albrecht.arff  R2 Score                   0.183544      5  0.25
../datasets_2/kemerer.arff   MAE                       66.6843        1  0.05
../datasets_2/kemerer.arff   Median Absolute Error     43.859         1  0.05
../datasets_2/kemerer.arff   RMSE                      85.6083        1  0.05
../datasets_2/kemerer.arff   R2 Score                   0.199153      1  0.05
../datasets_2/kemerer.arff   MAE                      166.468         1  0.1
../datasets_2/kemerer.arff   Median Absolute Error    143.068         1  0.1
../datasets_2/kemerer.arff   RMSE                     218.006         1  0.1
../datasets_2/kemerer.arff   R2 Score                  -4.19341       1  0.1
../datasets_2/kemerer.arff   MAE                      123.15          1  0.15
../datasets_2/kemerer.arff   Median Absolute Error    142.22          1  0.15
../datasets_2/kemerer.arff   RMSE                     142.255         1  0.15
../datasets_2/kemerer.arff   R2 Score                  -1.21132       1  0.15
../datasets_2/kemerer.arff   MAE                      129.416         1  0.2
../datasets_2/kemerer.arff   Median Absolute Error    141.807         1  0.2
../datasets_2/kemerer.arff   RMSE                     162.103         1  0.2
../datasets_2/kemerer.arff   R2 Score                  -1.87143       1  0.2
../datasets_2/kemerer.arff   MAE                       71.3278        1  0.25
../datasets_2/kemerer.arff   Median Absolute Error     57.4066        1  0.25
../datasets_2/kemerer.arff   RMSE                      88.9476        1  0.25
../datasets_2/kemerer.arff   R2 Score                   0.135457      1  0.25
../datasets_2/kemerer.arff   MAE                      115.839         2  0.05
../datasets_2/kemerer.arff   Median Absolute Error    135.041         2  0.05
../datasets_2/kemerer.arff   RMSE                     144.836         2  0.05
../datasets_2/kemerer.arff   R2 Score                  -1.29229       2  0.05
../datasets_2/kemerer.arff   MAE                      129.981         2  0.1
../datasets_2/kemerer.arff   Median Absolute Error    133.64          2  0.1
../datasets_2/kemerer.arff   RMSE                     161.337         2  0.1
../datasets_2/kemerer.arff   R2 Score                  -1.84438       2  0.1
../datasets_2/kemerer.arff   MAE                       94.9538        2  0.15
../datasets_2/kemerer.arff   Median Absolute Error    134.763         2  0.15
../datasets_2/kemerer.arff   RMSE                     113.03          2  0.15
../datasets_2/kemerer.arff   R2 Score                  -0.396061      2  0.15
../datasets_2/kemerer.arff   MAE                       77.0002        2  0.2
../datasets_2/kemerer.arff   Median Absolute Error     74.3061        2  0.2
../datasets_2/kemerer.arff   RMSE                      92.6976        2  0.2
../datasets_2/kemerer.arff   R2 Score                   0.0610242     2  0.2
../datasets_2/kemerer.arff   MAE                       88.5345        2  0.25
../datasets_2/kemerer.arff   Median Absolute Error    100.504         2  0.25
../datasets_2/kemerer.arff   RMSE                     100.758         2  0.25
../datasets_2/kemerer.arff   R2 Score                  -0.109367      2  0.25
../datasets_2/kemerer.arff   MAE                      115.121         3  0.05
../datasets_2/kemerer.arff   Median Absolute Error    142.47          3  0.05
../datasets_2/kemerer.arff   RMSE                     129.792         3  0.05
../datasets_2/kemerer.arff   R2 Score                  -0.840843      3  0.05
../datasets_2/kemerer.arff   MAE                       83.2888        3  0.1
../datasets_2/kemerer.arff   Median Absolute Error     65.2704        3  0.1
../datasets_2/kemerer.arff   RMSE                      93.7088        3  0.1
../datasets_2/kemerer.arff   R2 Score                   0.0404255     3  0.1
../datasets_2/kemerer.arff   MAE                       97.0465        3  0.15
../datasets_2/kemerer.arff   Median Absolute Error    131.091         3  0.15
../datasets_2/kemerer.arff   RMSE                     112.274         3  0.15
../datasets_2/kemerer.arff   R2 Score                  -0.377458      3  0.15
../datasets_2/kemerer.arff   MAE                      114.66          3  0.2
../datasets_2/kemerer.arff   Median Absolute Error    142.615         3  0.2
../datasets_2/kemerer.arff   RMSE                     129.815         3  0.2
../datasets_2/kemerer.arff   R2 Score                  -0.841486      3  0.2
../datasets_2/kemerer.arff   MAE                      228.993         3  0.25
../datasets_2/kemerer.arff   Median Absolute Error    142.245         3  0.25
../datasets_2/kemerer.arff   RMSE                     302.334         3  0.25
../datasets_2/kemerer.arff   R2 Score                  -8.98831       3  0.25
../datasets_2/kemerer.arff   MAE                      135.91          4  0.05
../datasets_2/kemerer.arff   Median Absolute Error    142.699         4  0.05
../datasets_2/kemerer.arff   RMSE                     166.137         4  0.05
../datasets_2/kemerer.arff   R2 Score                  -2.01614       4  0.05
../datasets_2/kemerer.arff   MAE                       98.6881        4  0.1
../datasets_2/kemerer.arff   Median Absolute Error    140.588         4  0.1
../datasets_2/kemerer.arff   RMSE                     115.889         4  0.1
../datasets_2/kemerer.arff   R2 Score                  -0.467584      4  0.1
../datasets_2/kemerer.arff   MAE                      103.796         4  0.15
../datasets_2/kemerer.arff   Median Absolute Error    123.328         4  0.15
../datasets_2/kemerer.arff   RMSE                     111.998         4  0.15
../datasets_2/kemerer.arff   R2 Score                  -0.370676      4  0.15
../datasets_2/kemerer.arff   MAE                       78.0103        4  0.2
../datasets_2/kemerer.arff   Median Absolute Error     49.1053        4  0.2
../datasets_2/kemerer.arff   RMSE                      90.4266        4  0.2
../datasets_2/kemerer.arff   R2 Score                   0.106467      4  0.2
../datasets_2/kemerer.arff   MAE                      101.023         4  0.25
../datasets_2/kemerer.arff   Median Absolute Error    131.077         4  0.25
../datasets_2/kemerer.arff   RMSE                     113.141         4  0.25
../datasets_2/kemerer.arff   R2 Score                  -0.398804      4  0.25
../datasets_2/kemerer.arff   MAE                      129.532         5  0.05
../datasets_2/kemerer.arff   Median Absolute Error    142.047         5  0.05
../datasets_2/kemerer.arff   RMSE                     163.655         5  0.05
../datasets_2/kemerer.arff   R2 Score                  -1.9267        5  0.05
../datasets_2/kemerer.arff   MAE                       69.1228        5  0.1
../datasets_2/kemerer.arff   Median Absolute Error     64.6467        5  0.1
../datasets_2/kemerer.arff   RMSE                      90.1703        5  0.1
../datasets_2/kemerer.arff   R2 Score                   0.111525      5  0.1
../datasets_2/kemerer.arff   MAE                       76.2874        5  0.15
../datasets_2/kemerer.arff   Median Absolute Error     60.2268        5  0.15
../datasets_2/kemerer.arff   RMSE                      90.6246        5  0.15
../datasets_2/kemerer.arff   R2 Score                   0.102551      5  0.15
../datasets_2/kemerer.arff   MAE                      123.302         5  0.2
../datasets_2/kemerer.arff   Median Absolute Error    142.367         5  0.2
../datasets_2/kemerer.arff   RMSE                     152.578         5  0.2
../datasets_2/kemerer.arff   R2 Score                  -1.54392       5  0.2
../datasets_2/kemerer.arff   MAE                       72.7881        5  0.25
../datasets_2/kemerer.arff   Median Absolute Error     54.2053        5  0.25
../datasets_2/kemerer.arff   RMSE                      88.738         5  0.25
../datasets_2/kemerer.arff   R2 Score                   0.139527      5  0.25
../datasets_2/cocomo81.arff  MAE                      407.726         1  0.05
../datasets_2/cocomo81.arff  Median Absolute Error    420.595         1  0.05
../datasets_2/cocomo81.arff  RMSE                     486.614         1  0.05
../datasets_2/cocomo81.arff  R2 Score                   0.248551      1  0.05
../datasets_2/cocomo81.arff  MAE                      400.853         1  0.1
../datasets_2/cocomo81.arff  Median Absolute Error    382.717         1  0.1
../datasets_2/cocomo81.arff  RMSE                     472.099         1  0.1
../datasets_2/cocomo81.arff  R2 Score                   0.292712      1  0.1
../datasets_2/cocomo81.arff  MAE                      415.161         1  0.15
../datasets_2/cocomo81.arff  Median Absolute Error    435.836         1  0.15
../datasets_2/cocomo81.arff  RMSE                     483.131         1  0.15
../datasets_2/cocomo81.arff  R2 Score                   0.259268      1  0.15
../datasets_2/cocomo81.arff  MAE                      367.403         1  0.2
../datasets_2/cocomo81.arff  Median Absolute Error    306.587         1  0.2
../datasets_2/cocomo81.arff  RMSE                     449.216         1  0.2
../datasets_2/cocomo81.arff  R2 Score                   0.359615      1  0.2
../datasets_2/cocomo81.arff  MAE                      397.907         1  0.25
../datasets_2/cocomo81.arff  Median Absolute Error    444.09          1  0.25
../datasets_2/cocomo81.arff  RMSE                     445.439         1  0.25
../datasets_2/cocomo81.arff  R2 Score                   0.370338      1  0.25
../datasets_2/cocomo81.arff  MAE                      273.186         2  0.05
../datasets_2/cocomo81.arff  Median Absolute Error    134.858         2  0.05
../datasets_2/cocomo81.arff  RMSE                     483.399         2  0.05
../datasets_2/cocomo81.arff  R2 Score                   0.258448      2  0.05
../datasets_2/cocomo81.arff  MAE                      268.706         2  0.1
../datasets_2/cocomo81.arff  Median Absolute Error    187.884         2  0.1
../datasets_2/cocomo81.arff  RMSE                     485.823         2  0.1
../datasets_2/cocomo81.arff  R2 Score                   0.250991      2  0.1
../datasets_2/cocomo81.arff  MAE                      251.036         2  0.15
../datasets_2/cocomo81.arff  Median Absolute Error    136.904         2  0.15
../datasets_2/cocomo81.arff  RMSE                     446.02          2  0.15
../datasets_2/cocomo81.arff  R2 Score                   0.368696      2  0.15
../datasets_2/cocomo81.arff  MAE                      207.457         2  0.2
../datasets_2/cocomo81.arff  Median Absolute Error    128.162         2  0.2
../datasets_2/cocomo81.arff  RMSE                     324.616         2  0.2
../datasets_2/cocomo81.arff  R2 Score                   0.665597      2  0.2
../datasets_2/cocomo81.arff  MAE                      293.366         2  0.25
../datasets_2/cocomo81.arff  Median Absolute Error    149.04          2  0.25
../datasets_2/cocomo81.arff  RMSE                     529.288         2  0.25
../datasets_2/cocomo81.arff  R2 Score                   0.110973      2  0.25
../datasets_2/cocomo81.arff  MAE                      254.063         3  0.05
../datasets_2/cocomo81.arff  Median Absolute Error    106.147         3  0.05
../datasets_2/cocomo81.arff  RMSE                     518.634         3  0.05
../datasets_2/cocomo81.arff  R2 Score                   0.146404      3  0.05
../datasets_2/cocomo81.arff  MAE                      253.746         3  0.1
../datasets_2/cocomo81.arff  Median Absolute Error    101.877         3  0.1
../datasets_2/cocomo81.arff  RMSE                     519.747         3  0.1
../datasets_2/cocomo81.arff  R2 Score                   0.142737      3  0.1
../datasets_2/cocomo81.arff  MAE                      265.42          3  0.15
../datasets_2/cocomo81.arff  Median Absolute Error     97.9705        3  0.15
../datasets_2/cocomo81.arff  RMSE                     545.488         3  0.15
../datasets_2/cocomo81.arff  R2 Score                   0.0557208     3  0.15
../datasets_2/cocomo81.arff  MAE                      258.103         3  0.2
../datasets_2/cocomo81.arff  Median Absolute Error    109.805         3  0.2
../datasets_2/cocomo81.arff  RMSE                     534.786         3  0.2
../datasets_2/cocomo81.arff  R2 Score                   0.0924097     3  0.2
../datasets_2/cocomo81.arff  MAE                      269.35          3  0.25
../datasets_2/cocomo81.arff  Median Absolute Error    100.893         3  0.25
../datasets_2/cocomo81.arff  RMSE                     543.735         3  0.25
../datasets_2/cocomo81.arff  R2 Score                   0.061779      3  0.25
../datasets_2/cocomo81.arff  MAE                      257.212         4  0.05
../datasets_2/cocomo81.arff  Median Absolute Error    106.49          4  0.05
../datasets_2/cocomo81.arff  RMSE                     471.773         4  0.05
../datasets_2/cocomo81.arff  R2 Score                   0.293688      4  0.05
../datasets_2/cocomo81.arff  MAE                      256.615         4  0.1
../datasets_2/cocomo81.arff  Median Absolute Error    114.196         4  0.1
../datasets_2/cocomo81.arff  RMSE                     503.35          4  0.1
../datasets_2/cocomo81.arff  R2 Score                   0.195974      4  0.1
../datasets_2/cocomo81.arff  MAE                      236.898         4  0.15
../datasets_2/cocomo81.arff  Median Absolute Error    129.172         4  0.15
../datasets_2/cocomo81.arff  RMSE                     436.203         4  0.15
../datasets_2/cocomo81.arff  R2 Score                   0.396179      4  0.15
../datasets_2/cocomo81.arff  MAE                      278.106         4  0.2
../datasets_2/cocomo81.arff  Median Absolute Error    115.046         4  0.2
../datasets_2/cocomo81.arff  RMSE                     495.623         4  0.2
../datasets_2/cocomo81.arff  R2 Score                   0.220469      4  0.2
../datasets_2/cocomo81.arff  MAE                      254.876         4  0.25
../datasets_2/cocomo81.arff  Median Absolute Error    102.78          4  0.25
../datasets_2/cocomo81.arff  RMSE                     478.134         4  0.25
../datasets_2/cocomo81.arff  R2 Score                   0.274513      4  0.25
../datasets_2/cocomo81.arff  MAE                      230.899         5  0.05
../datasets_2/cocomo81.arff  Median Absolute Error     92.5312        5  0.05
../datasets_2/cocomo81.arff  RMSE                     512.235         5  0.05
../datasets_2/cocomo81.arff  R2 Score                   0.167337      5  0.05
../datasets_2/cocomo81.arff  MAE                      231.936         5  0.1
../datasets_2/cocomo81.arff  Median Absolute Error     88.8203        5  0.1
../datasets_2/cocomo81.arff  RMSE                     518.102         5  0.1
../datasets_2/cocomo81.arff  R2 Score                   0.148154      5  0.1
../datasets_2/cocomo81.arff  MAE                      233.326         5  0.15
../datasets_2/cocomo81.arff  Median Absolute Error     77.3375        5  0.15
../datasets_2/cocomo81.arff  RMSE                     492.852         5  0.15
../datasets_2/cocomo81.arff  R2 Score                   0.22916       5  0.15
../datasets_2/cocomo81.arff  MAE                      235.51          5  0.2
../datasets_2/cocomo81.arff  Median Absolute Error     93.9405        5  0.2
../datasets_2/cocomo81.arff  RMSE                     502.956         5  0.2
../datasets_2/cocomo81.arff  R2 Score                   0.197231      5  0.2
../datasets_2/cocomo81.arff  MAE                      245.129         5  0.25
../datasets_2/cocomo81.arff  Median Absolute Error     66.6994        5  0.25
../datasets_2/cocomo81.arff  RMSE                     532.472         5  0.25
../datasets_2/cocomo81.arff  R2 Score                   0.100245      5  0.25
../datasets_2/china.arff     MAE                      669.961         1  0.05
../datasets_2/china.arff     Median Absolute Error    179.939         1  0.05
../datasets_2/china.arff     RMSE                    1760.41          1  0.05
../datasets_2/china.arff     R2 Score                   0.942397      1  0.05
../datasets_2/china.arff     MAE                      633.625         1  0.1
../datasets_2/china.arff     Median Absolute Error    146.032         1  0.1
../datasets_2/china.arff     RMSE                    1778.71          1  0.1
../datasets_2/china.arff     R2 Score                   0.941193      1  0.1
../datasets_2/china.arff     MAE                      638.87          1  0.15
../datasets_2/china.arff     Median Absolute Error    120.062         1  0.15
../datasets_2/china.arff     RMSE                    1789.66          1  0.15
../datasets_2/china.arff     R2 Score                   0.940467      1  0.15
../datasets_2/china.arff     MAE                      616.645         1  0.2
../datasets_2/china.arff     Median Absolute Error    139.263         1  0.2
../datasets_2/china.arff     RMSE                    1694.6           1  0.2
../datasets_2/china.arff     R2 Score                   0.946624      1  0.2
../datasets_2/china.arff     MAE                      622.242         1  0.25
../datasets_2/china.arff     Median Absolute Error    139.71          1  0.25
../datasets_2/china.arff     RMSE                    1754.3           1  0.25
../datasets_2/china.arff     R2 Score                   0.942796      1  0.25
../datasets_2/china.arff     MAE                      616.341         2  0.05
../datasets_2/china.arff     Median Absolute Error    112.187         2  0.05
../datasets_2/china.arff     RMSE                    1651.8           2  0.05
../datasets_2/china.arff     R2 Score                   0.949286      2  0.05
../datasets_2/china.arff     MAE                      604.495         2  0.1
../datasets_2/china.arff     Median Absolute Error    120.88          2  0.1
../datasets_2/china.arff     RMSE                    1614.68          2  0.1
../datasets_2/china.arff     R2 Score                   0.951539      2  0.1
../datasets_2/china.arff     MAE                      601.116         2  0.15
../datasets_2/china.arff     Median Absolute Error    128.42          2  0.15
../datasets_2/china.arff     RMSE                    1666.89          2  0.15
../datasets_2/china.arff     R2 Score                   0.948354      2  0.15
../datasets_2/china.arff     MAE                      578.074         2  0.2
../datasets_2/china.arff     Median Absolute Error     98.0608        2  0.2
../datasets_2/china.arff     RMSE                    1607.32          2  0.2
../datasets_2/china.arff     R2 Score                   0.95198       2  0.2
../datasets_2/china.arff     MAE                      621.418         2  0.25
../datasets_2/china.arff     Median Absolute Error    151.541         2  0.25
../datasets_2/china.arff     RMSE                    1677.8           2  0.25
../datasets_2/china.arff     R2 Score                   0.947676      2  0.25
../datasets_2/china.arff     MAE                      592.886         3  0.05
../datasets_2/china.arff     Median Absolute Error    102.159         3  0.05
../datasets_2/china.arff     RMSE                    1626.65          3  0.05
../datasets_2/china.arff     R2 Score                   0.950818      3  0.05
../datasets_2/china.arff     MAE                      573.431         3  0.1
../datasets_2/china.arff     Median Absolute Error    101.831         3  0.1
../datasets_2/china.arff     RMSE                    1578.8           3  0.1
../datasets_2/china.arff     R2 Score                   0.953669      3  0.1
../datasets_2/china.arff     MAE                      590.587         3  0.15
../datasets_2/china.arff     Median Absolute Error    114.265         3  0.15
../datasets_2/china.arff     RMSE                    1616.96          3  0.15
../datasets_2/china.arff     R2 Score                   0.951402      3  0.15
../datasets_2/china.arff     MAE                      561.971         3  0.2
../datasets_2/china.arff     Median Absolute Error     93.3327        3  0.2
../datasets_2/china.arff     RMSE                    1586.78          3  0.2
../datasets_2/china.arff     R2 Score                   0.953199      3  0.2
../datasets_2/china.arff     MAE                      576.152         3  0.25
../datasets_2/china.arff     Median Absolute Error    127.001         3  0.25
../datasets_2/china.arff     RMSE                    1559.06          3  0.25
../datasets_2/china.arff     R2 Score                   0.95482       3  0.25
../datasets_2/china.arff     MAE                      621.341         4  0.05
../datasets_2/china.arff     Median Absolute Error    121.04          4  0.05
../datasets_2/china.arff     RMSE                    1855.28          4  0.05
../datasets_2/china.arff     R2 Score                   0.936021      4  0.05
../datasets_2/china.arff     MAE                      605.673         4  0.1
../datasets_2/china.arff     Median Absolute Error    109.401         4  0.1
../datasets_2/china.arff     RMSE                    1769.65          4  0.1
../datasets_2/china.arff     R2 Score                   0.941791      4  0.1
../datasets_2/china.arff     MAE                      579.373         4  0.15
../datasets_2/china.arff     Median Absolute Error    112.659         4  0.15
../datasets_2/china.arff     RMSE                    1677.34          4  0.15
../datasets_2/china.arff     R2 Score                   0.947705      4  0.15
../datasets_2/china.arff     MAE                      584.503         4  0.2
../datasets_2/china.arff     Median Absolute Error     86.8489        4  0.2
../datasets_2/china.arff     RMSE                    1646.34          4  0.2
../datasets_2/china.arff     R2 Score                   0.94962       4  0.2
../datasets_2/china.arff     MAE                      602.698         4  0.25
../datasets_2/china.arff     Median Absolute Error    116.61          4  0.25
../datasets_2/china.arff     RMSE                    1688.66          4  0.25
../datasets_2/china.arff     R2 Score                   0.946997      4  0.25
../datasets_2/china.arff     MAE                      632.087         5  0.05
../datasets_2/china.arff     Median Absolute Error     79.5726        5  0.05
../datasets_2/china.arff     RMSE                    1790             5  0.05
../datasets_2/china.arff     R2 Score                   0.940445      5  0.05
../datasets_2/china.arff     MAE                      649.959         5  0.1
../datasets_2/china.arff     Median Absolute Error     71.7371        5  0.1
../datasets_2/china.arff     RMSE                    1894.51          5  0.1
../datasets_2/china.arff     R2 Score                   0.933287      5  0.1
../datasets_2/china.arff     MAE                      640.707         5  0.15
../datasets_2/china.arff     Median Absolute Error     78.8416        5  0.15
../datasets_2/china.arff     RMSE                    1762.68          5  0.15
../datasets_2/china.arff     R2 Score                   0.942249      5  0.15
../datasets_2/china.arff     MAE                      630.679         5  0.2
../datasets_2/china.arff     Median Absolute Error     78.1787        5  0.2
../datasets_2/china.arff     RMSE                    1812.7           5  0.2
../datasets_2/china.arff     R2 Score                   0.938924      5  0.2
../datasets_2/china.arff     MAE                      632.28          5  0.25
../datasets_2/china.arff     Median Absolute Error     84.98          5  0.25
../datasets_2/china.arff     RMSE                    1721.73          5  0.25
../datasets_2/china.arff     R2 Score                   0.944901      5  0.25
../datasets_2/albrecht.arff  MAE                        5.92747       1  0.05
../datasets_2/albrecht.arff  Median Absolute Error      4.23153       1  0.05
../datasets_2/albrecht.arff  RMSE                       9.10894       1  0.05
../datasets_2/albrecht.arff  R2 Score                  -0.0663466     1  0.05
../datasets_2/albrecht.arff  MAE                        5.77338       1  0.1
../datasets_2/albrecht.arff  Median Absolute Error      4.44862       1  0.1
../datasets_2/albrecht.arff  RMSE                       8.391         1  0.1
../datasets_2/albrecht.arff  R2 Score                   0.095123      1  0.1
../datasets_2/albrecht.arff  MAE                        5.4663        1  0.15
../datasets_2/albrecht.arff  Median Absolute Error      3.86552       1  0.15
../datasets_2/albrecht.arff  RMSE                       8.10581       1  0.15
../datasets_2/albrecht.arff  R2 Score                   0.155587      1  0.15
../datasets_2/albrecht.arff  MAE                        5.30504       1  0.2
../datasets_2/albrecht.arff  Median Absolute Error      3.58977       1  0.2
../datasets_2/albrecht.arff  RMSE                       7.65127       1  0.2
../datasets_2/albrecht.arff  R2 Score                   0.247633      1  0.2
../datasets_2/albrecht.arff  MAE                        5.55677       1  0.25
../datasets_2/albrecht.arff  Median Absolute Error      4.49275       1  0.25
../datasets_2/albrecht.arff  RMSE                       7.83825       1  0.25
../datasets_2/albrecht.arff  R2 Score                   0.210412      1  0.25
../datasets_2/albrecht.arff  MAE                        6.18185       2  0.05
../datasets_2/albrecht.arff  Median Absolute Error      3.31423       2  0.05
../datasets_2/albrecht.arff  RMSE                       9.32122       2  0.05
../datasets_2/albrecht.arff  R2 Score                  -0.116627      2  0.05
../datasets_2/albrecht.arff  MAE                        6.15353       2  0.1
../datasets_2/albrecht.arff  Median Absolute Error      3.59775       2  0.1
../datasets_2/albrecht.arff  RMSE                       9.31667       2  0.1
../datasets_2/albrecht.arff  R2 Score                  -0.115536      2  0.1
../datasets_2/albrecht.arff  MAE                        6.09498       2  0.15
../datasets_2/albrecht.arff  Median Absolute Error      3.48901       2  0.15
../datasets_2/albrecht.arff  RMSE                       9.00104       2  0.15
../datasets_2/albrecht.arff  R2 Score                  -0.0412319     2  0.15
../datasets_2/albrecht.arff  MAE                        6.22296       2  0.2
../datasets_2/albrecht.arff  Median Absolute Error      4.22741       2  0.2
../datasets_2/albrecht.arff  RMSE                       9.23395       2  0.2
