size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,dba_Sequential,ifc_GUI,ifc_TextUI,source_Inhouse,source_Outsrced,telonuse_No,telonuse_Yes,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_18,Generated_Var_19,effort_D
509,13,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,92.5812,-5.0208106,-56.031693,16.968355,141.82256,143.96065,163.16217,162.33653,187.60323,122.9191,31.862045,-137.70045,40.278896,103.18384,-0.7501894,-87.17322,-1.0158625,48.670494,-97.03438,3600
583,12,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,117.18603,-6.2505465,-71.0716,22.057726,180.45767,182.56972,207.0373,206.25395,238.3809,156.21194,39.75477,-174.57594,51.06681,131.17015,-0.4031663,-110.98733,-1.189992,62.10122,-123.2093,4557
315,14,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,219.53334,-10.295017,-136.46037,47.375008,351.8387,349.40356,397.57666,396.696,461.00192,304.30405,68.350044,-329.0603,99.112,250.65881,5.2733374,-213.60568,-1.8627539,122.0071,-236.03188,8752
138,12,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,86.38576,-4.168327,-53.282764,18.382416,137.4501,136.81366,155.72664,155.10158,180.1636,118.83058,27.153353,-128.97244,38.533573,98.085045,1.8847531,-83.45201,-0.848156,47.557686,-92.491974,3440
257,9,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,50.70545,-2.600901,-30.564613,9.199634,77.44373,78.62235,89.17859,88.65562,102.51884,67.124985,17.341766,-75.20239,21.969587,56.35456,-0.35590777,-47.640583,-0.6814728,26.543196,-53.128353,1981
423,30,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,342.94046,-15.6201105,-213.90135,74.51141,551.7047,547.14636,622.73944,621.7216,722.5922,477.13892,106.17642,-514.6131,155.68727,392.40308,8.689468,-334.7075,-2.909339,191.4741,-369.5134,13700
495,20,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,180.37854,-9.078327,-110.63805,37.159885,284.10452,284.11844,323.05817,321.85254,373.11276,245.59065,58.222477,-269.20306,79.73235,204.0066,2.4581099,-173.26138,-1.6100378,98.327446,-191.91682,7105
622,16,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,174.04881,-8.788488,-106.158035,34.63233,271.6726,272.78818,309.9481,308.84918,357.58096,234.86575,57.204117,-259.54465,76.49425,196.07076,1.2041416,-166.3889,-1.6973829,93.9603,-184.31332,6816
204,12,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,116.28275,-5.605292,-71.72737,24.688118,184.88162,184.1003,209.47644,208.67056,242.33669,159.81943,36.648426,-173.6468,51.82901,132.01021,2.4233897,-112.32558,-1.0670662,64.04407,-124.44727,4620
616,15,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,189.80507,-9.553054,-116.06204,38.309685,297.38,298.0872,338.7886,337.58365,391.07965,257.09735,61.894627,-283.17795,83.65031,214.2022,1.8338357,-181.85156,-1.7713995,102.893974,-201.39731,7451
3634,33,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1009.51996,-52.294807,-617.822,203.26591,1580.4764,1585.2515,1800.677,1795.3907,2079.2375,1366.5121,331.1861,-1508.3838,444.89316,1140.3939,8.452824,-967.4765,-8.155101,546.57947,-1070.2565,39479
