ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,2.0,1837,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,2.0,575,1,0,0,0,1,0.9774948,0.50980234,-1.2605455,0.2618317,0.48607078,0.090890795,-0.2007345,-0.8710732,0.1606613,-0.41520154,-0.10429097,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,2.0,606,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,10.0,10205,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,3.0,937,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,7.5,2597,0,0,0,1,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2597
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,3.0,950,1,0,0,0,1,5.850779,10.871225,-10.925389,1.8121134,6.1616993,3.2342153,-3.1857057,-4.0478234,0.6063826,-4.6935782,0.08082124,950
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,13.0,5727,0,0,1,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,5727
66,156,21,38,39,7,41,146,0,0,13.1,14.0,15.8,16.8,4.0,2458,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2040
67,75,30,5,19,21,0,40,35,0,49.0,49.0,59.1,59.1,8.0,4430,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3677
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,2.0,687,1,0,0,0,1,0.400958,0.17264356,-0.35484427,0.25116372,-0.06159689,-0.39752567,-0.2645306,-0.28377756,0.16421787,0.054664627,0.057504002,570
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,8.0,4530,0,1,0,0,1,-23.305172,26.063046,4.0560126,-43.484528,-22.896646,16.09478,9.755904,-10.0044155,-18.428633,-3.4015613,-12.425916,1223
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,4.0,1084,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,976
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,12.0,466,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,387
72,1092,356,84,170,669,21,1300,0,0,4.0,3.4,4.9,4.1,13.0,5320,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,4416
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,8.0,345,1,0,0,0,1,1.7000641,1.4497904,-2.2905705,0.790499,0.8969507,0.2901502,-0.86519915,-1.1238151,0.43507916,-0.74350476,-0.18446499,286
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,5.0,367,1,0,0,0,1,0.9780369,0.51005185,-1.2613993,0.26184157,0.48659608,0.09126592,-0.20078427,-0.8716095,0.16075896,-0.41556782,-0.10440721,305
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,7.0,155,1,0,0,0,1,2.3585558,0.9419231,-3.581137,0.15901378,2.0304263,1.1826257,-0.2262567,-2.2737467,0.27335197,-1.47213,-0.3390837,129
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,8.0,4266,1,0,0,0,1,52.73405,39.953117,-86.116264,11.879657,41.501118,32.296738,-0.7473006,-67.28985,18.471338,-38.51967,-16.959723,4266
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,3.0,440,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,440
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,2.0,1362,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1362
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,6.0,2533,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2533
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,10.0,225,1,0,0,0,1,4.198596,4.147476,-6.1366677,3.12546,3.2431524,1.5813886,-2.494959,-2.100763,1.2995957,-2.2184412,-1.4834117,225
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,13.0,11045,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,11045
82,3460,484,1831,318,208,142,2756,227,0,9.5,11.0,9.5,11.0,24.0,32760,0,0,0,1,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,32760
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,8.0,2475,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2054
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,7.0,252,1,0,0,0,1,0.89238137,0.4706121,-1.1265268,0.26027292,0.40360126,0.0320033,-0.19291598,-0.7868685,0.14532198,-0.35771522,-0.08604389,252
85,497,122,28,113,273,10,454,92,0,4.8,4.3,4.8,4.3,8.0,2362,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2362
86,288,201,0,36,76,0,99,214,0,8.5,7.9,10.3,9.5,5.0,2963,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2459
87,494,134,62,140,91,67,494,0,0,17.6,17.6,17.6,17.6,21.0,8706,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,8706
88,130,60,65,0,0,0,14,111,0,5.9,6.2,5.9,6.2,6.0,770,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,770
89,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,36.0,8111,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,8111
90,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,11.0,762,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,762
91,60,10,25,0,31,5,71,0,0,2.3,1.9,2.7,2.3,1.0,164,1,0,0,0,1,1.5818923,1.0538505,-2.1715448,0.4354834,0.8653116,0.40542772,-0.44487464,-1.3698131,0.31813383,-0.76680875,-0.23640102,136
92,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1.0,431,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,358
93,169,32,14,25,28,70,169,0,0,2.8,2.8,3.4,3.4,6.0,580,1,0,0,0,1,0.56676066,0.3151354,-0.6220437,0.25872034,0.09134726,-0.20758896,-0.17865482,-0.47084945,0.10694119,-0.13131008,-0.009400956,481
94,1351,379,449,271,219,20,1173,29,136,2.4,2.4,2.8,2.9,8.0,3842,1,0,0,0,1,-3.119916,5.2860427,1.8287773,-8.672071,-2.29531,-3.187597,3.9302673,-1.689637,-2.5140069,0.8468399,-0.94302803,3189
95,2087,862,444,303,437,0,2046,0,0,10.8,11.0,10.8,11.0,9.0,22500,0,0,0,1,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,22500
96,253,72,0,107,29,44,252,0,0,46.3,46.3,49.8,49.8,13.0,12601,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,11719
97,102,37,26,10,29,0,102,0,0,1.8,1.8,2.4,2.4,5.0,244,1,0,0,0,1,2.6585507,2.272666,-3.6722505,1.5773318,1.6574821,0.65991557,-1.4613208,-1.5897528,0.7070996,-1.2976795,-0.48785233,183
98,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,5.0,1786,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1482
99,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,11.0,1251,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1251
100,199,104,7,77,0,0,0,188,0,4.7,5.0,5.7,6.0,8.0,1136,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,943
101,163,49,14,33,49,10,155,0,0,16.5,17.3,19.8,20.9,11.0,3234,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2684
102,97,21,41,0,49,15,16,100,10,7.5,5.8,7.5,5.8,9.0,729,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,729
103,439,82,222,19,85,10,105,313,0,8.3,8.7,8.3,8.7,7.0,3630,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3630
104,3113,2019,609,248,157,80,3113,0,0,10.9,10.9,13.5,13.5,24.0,42080,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,34085
105,153,35,7,57,24,20,143,0,0,18.7,20.0,21.5,23.0,3.0,3283,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2856
106,670,346,97,122,79,0,146,498,0,8.6,8.9,10.4,10.8,6.0,6936,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,5757
107,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,15.0,631,0,1,0,0,1,0.5483264,0.3046163,-0.5949523,0.2585164,0.07473482,-0.22315976,-0.17976314,-0.4538723,0.10760248,-0.11716623,-0.0038860962,631
