size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t03,t04,t14,effort_D
-0.4259651,0.018805811,1.0113385,0.45790014,0.71337795,0.22457507,0.0055634156,0.074781746,-0.5178631,0.61326545,0.3735271,-0.069488496,0.47438127
-0.25257736,0.013467945,0.8561411,0.54279345,0.7502493,0.5642705,0.3377252,0.5467308,-0.10480223,0.67626905,0.20527714,-0.052531943,0.47621414
-0.24768534,-0.0063545965,0.80945957,0.40493727,0.6787072,0.49106732,0.32308298,0.3684104,-0.11579277,0.46989888,0.2768531,0.050419915,0.3283245
-0.263426,-0.0052050017,0.86568546,0.39700857,0.6823239,0.49318436,0.34992296,0.31333962,-0.14424422,0.44471884,0.3411517,0.07723662,0.3007372
-0.32721496,-0.052367575,1.0203216,0.44575396,0.78626233,0.6979471,0.46854973,0.5047307,-0.027703457,0.5051048,0.43724066,0.06463902,0.35494885
-0.13065706,0.1257934,0.7735602,0.4605692,0.6744936,0.7087999,0.5039419,0.7243481,0.23189129,0.40265477,0.38822126,0.12717986,0.3188175
-0.49924165,0.11694886,1.3857877,0.78739387,1.0351022,0.19498137,-0.13252309,-0.0415081,-0.9395158,0.9279429,0.384511,-0.049497128,0.8119646
0.04487224,0.38321534,0.7995897,0.6915984,0.718181,0.92019653,0.5562777,1.168702,0.47192025,0.6041382,0.42136186,0.15164652,0.53495556
-0.28027982,0.007719543,0.95081514,0.5545535,0.8168832,0.66586584,0.5284585,0.5481364,-0.01639809,0.52482593,0.33039695,0.052580014,0.37751624
-0.34231037,-0.005081989,0.91455543,0.39465117,0.7289894,0.43925893,0.24174963,0.27032954,-0.24908176,0.5013069,0.39032286,0.054407656,0.36286953
-0.20839773,0.026248299,0.8097587,0.41649708,0.66200256,0.584263,0.46445355,0.41517127,0.006726531,0.38825783,0.35405248,0.12231236,0.27014408
-0.1626234,0.05398383,0.8052894,0.4372554,0.6706085,0.64944726,0.5349145,0.49049973,0.09202241,0.363662,0.36663604,0.15467249,0.23789316
-0.27086374,-0.0037908591,0.7764974,0.3669692,0.63768417,0.5674005,0.4242981,0.41382945,0.00072438177,0.3715295,0.42738825,0.12987608,0.21916737
-0.32479885,0.206188,1.0922678,0.5159342,0.78839636,0.19498318,-0.19730523,0.1682492,-0.5507796,0.7402752,0.42421246,-0.022848248,0.657122
-0.07159972,0.19298837,0.69287604,0.51258385,0.65173775,0.69657737,0.48111388,0.7971388,0.25512925,0.4671467,0.3352153,0.09815804,0.3768641
-0.1810743,0.0910644,0.795151,0.45686886,0.7157385,0.6836191,0.49151886,0.71645254,0.17225899,0.4501403,0.3541311,0.07907291,0.34996754
-0.21957308,0.015951905,0.73828995,0.45645142,0.7290768,0.6224836,0.4314172,0.58604205,0.049686026,0.51110876,0.24949324,0.068066835,0.32739818
-0.23828682,0.041007247,0.8315072,0.4382459,0.7353417,0.63721293,0.45019692,0.6325879,0.08741386,0.47472712,0.3311871,0.051697124,0.34692067
-0.38210174,-0.0447132,0.9201372,0.49757883,0.81920964,0.5254151,0.3101436,0.4167909,-0.23725498,0.6340136,0.29589188,-0.010880083,0.4320261
-0.48203996,-0.05872654,1.2951276,0.57336307,0.9021634,0.50827193,0.2779817,0.2401109,-0.48812166,0.6766154,0.47057235,-0.026058212,0.52735835
-0.33235162,-0.03781251,0.87216425,0.56726426,0.88716304,0.68792206,0.4448092,0.69294125,-0.047527626,0.7220235,0.22792959,-0.004446149,0.4718385
-0.27482852,0.04540859,0.8994917,0.42254204,0.6534859,0.277355,0.10853769,0.1853253,-0.3259137,0.500563,0.30506894,-0.0034840032,0.419432
-0.15647301,0.07410554,0.7799921,0.42529693,0.68810755,0.71984386,0.5591699,0.6291937,0.19692054,0.36801043,0.3820368,0.15882361,0.24481696
-0.25237072,-0.010519583,0.77978855,0.48276818,0.7658764,0.627502,0.46713635,0.5571822,0.012663618,0.52717066,0.24199173,0.06962336,0.3390696
-0.268329,0.07827097,0.82422465,0.34153223,0.63390136,0.31955922,0.14078535,0.12028116,-0.27224156,0.42676747,0.3833785,0.08190463,0.3177938
-0.3835386,0.070328414,1.0417587,0.48933572,0.7481185,0.26786643,0.01804465,-0.00935173,-0.5572295,0.57148206,0.4500153,0.093587354,0.46624416
-0.36193356,-0.011672452,0.92907226,0.46827492,0.7423431,0.36896104,0.17694628,0.240677,-0.3585724,0.6193528,0.29558748,-0.03217946,0.44203138
-0.2612072,0.037549954,0.9282346,0.5967086,0.82762206,0.645479,0.40883866,0.59281254,-0.09292749,0.66792625,0.23365042,-0.055106863,0.49471033
-0.2966238,0.052319523,0.94877857,0.5067444,0.74845916,0.39230087,0.15883976,0.3882993,-0.27846274,0.65898037,0.268072,-0.10357475,0.5508405
-0.54628986,-0.11954027,1.3084993,0.6008057,0.9743181,0.7509395,0.45645565,0.5057572,-0.30282396,0.7585556,0.51949173,-0.0063260943,0.5320218
-0.13966945,0.18651849,0.73545563,0.55088586,0.7603172,0.7697705,0.4979215,0.9719515,0.29686737,0.57282746,0.34223968,0.07490496,0.44661212
-0.20367509,0.093596876,0.908296,0.59013313,0.7975413,0.69629854,0.4522433,0.7226274,0.064322956,0.6100155,0.2792505,-0.038157,0.481223
-0.3532635,-0.0499828,0.91951615,0.42209256,0.73547316,0.39729133,0.23002473,0.2557668,-0.24484351,0.558906,0.31529433,-0.049254596,0.39142913
-0.30662522,-0.01914592,0.87277764,0.45085773,0.74893427,0.4886925,0.3254979,0.3901627,-0.15992029,0.5473485,0.28134328,-0.011999361,0.38038215
-0.46514985,-0.09070813,1.2102127,0.50580907,0.89918154,0.7215552,0.46375045,0.5223583,-0.17539056,0.6214883,0.5394751,0.01588136,0.46251494
-0.21197088,0.049814507,0.7722229,0.46168435,0.7386875,0.6611568,0.48122594,0.66319084,0.095906794,0.49623814,0.2878976,0.06276487,0.3491937
-0.2979563,-0.041135572,0.7979173,0.38794214,0.6360321,0.46056727,0.31838888,0.338355,-0.13853277,0.4256464,0.37682092,0.07180764,0.282288
-0.3221884,0.00874804,1.0371275,0.5772277,0.8519052,0.61462116,0.41149706,0.5794088,-0.11099057,0.6675795,0.29414308,-0.07000986,0.519218
-0.32937008,0.052351434,0.98260146,0.5072024,0.8220775,0.69478905,0.45524114,0.7773516,0.04549891,0.6072179,0.3873335,-0.04210481,0.49169114
-0.51062363,-0.1042014,1.2719314,0.52777183,0.9766098,0.71671224,0.4645507,0.596437,-0.14032923,0.68669045,0.5436922,-0.037885204,0.51414335
-0.33691162,-0.042972505,1.0435328,0.44079718,0.74283516,0.5533502,0.34613404,0.30658558,-0.23254949,0.47583818,0.44611347,0.08005197,0.35345015
-0.24323057,-0.0071312115,0.9407908,0.43103418,0.72177804,0.73470557,0.5617323,0.48680776,0.050643515,0.38854346,0.45009744,0.17884547,0.25670597
0.07865851,0.5060131,0.84057903,0.8185156,0.7886071,0.96641195,0.5295304,1.4100721,0.5237319,0.7656001,0.44427645,0.13625854,0.7085245
-0.26998243,0.02250212,0.9597244,0.4522207,0.74485713,0.69701505,0.536107,0.5602489,0.045776624,0.4062084,0.46051383,0.14389785,0.31056935
-0.14642157,0.0678792,0.8184285,0.4628561,0.7053172,0.7562768,0.65544343,0.5187528,0.16261731,0.31588143,0.40668058,0.24511677,0.19766605
-0.35498276,-0.028308958,1.0640255,0.46319866,0.8233949,0.66471016,0.46612242,0.48256588,-0.12531011,0.5272399,0.4495809,0.068041086,0.38688397
-0.20188746,0.021975202,0.6977856,0.3604352,0.62140787,0.4437299,0.3178791,0.3487453,-0.05896511,0.39280793,0.32393673,0.097474486,0.24193911
-0.22621536,0.0017960481,0.8493288,0.40805182,0.68225986,0.64502037,0.4890075,0.43557525,0.015858293,0.37756282,0.38601357,0.15810919,0.2477361
-0.1803532,0.057942282,0.81718993,0.4381454,0.716449,0.68415624,0.5593197,0.5754884,0.1426118,0.35969332,0.3899426,0.16098124,0.25720805
-0.24420582,-0.01312729,0.7460353,0.41923213,0.7315086,0.64514035,0.53056836,0.49716556,0.05753341,0.42478707,0.31234863,0.15460221,0.24546814
-0.37859324,-0.09069825,0.97202575,0.43443063,0.80624324,0.6946439,0.4793451,0.48391688,-0.07226272,0.5358101,0.4135177,0.06960586,0.3407236
-0.40225342,-0.05966325,1.1718321,0.52491295,0.8537516,0.7158408,0.49291605,0.4827233,-0.15492363,0.5728028,0.49468356,0.039922073,0.42350867
-0.33344916,-0.043054834,1.0380158,0.4453488,0.77106714,0.62766284,0.4370819,0.43609738,-0.10262552,0.4967183,0.4408998,0.05538788,0.35701317
-0.033013977,0.38963178,0.7965149,0.7086787,0.80251753,0.90697646,0.5552409,1.2846549,0.45819706,0.65701026,0.43514067,0.12252067,0.62112457
-0.31979305,-0.05072014,0.9574696,0.41504875,0.69055164,0.5019385,0.32870755,0.2592277,-0.22594216,0.4553698,0.39288747,0.07629166,0.3152455
-0.32347444,-0.034667835,0.8879777,0.49420634,0.743767,0.3850966,0.23034048,0.2788869,-0.31227478,0.6029756,0.23199098,-0.049533427,0.4381746
-0.5425123,0.007597342,1.428132,0.7428582,1.0025826,0.3007317,0.056099758,0.02791217,-0.8129159,0.8591723,0.40836895,-0.116032675,0.7359262
-0.2388741,0.015897777,0.8817126,0.44458476,0.7018822,0.68968475,0.5268139,0.49066234,0.026782185,0.4186143,0.40389162,0.12279638,0.28618085
-0.3323109,0.009265542,0.9588892,0.47156432,0.7508019,0.41176337,0.20058364,0.39544564,-0.21909352,0.6060862,0.31421292,-0.07702036,0.49522042
-0.18139236,0.14571632,0.84420675,0.5345392,0.71054554,0.622262,0.38370332,0.74357724,0.17513886,0.4934267,0.3629719,-0.0031671524,0.4366989
0.072965264,0.40433186,0.71508205,0.63693404,0.6842763,0.7591946,0.42941928,1.0198765,0.3788352,0.5908993,0.3845687,0.16754904,0.5049002
0.0044544786,0.4473892,0.89003855,0.79715544,0.76057416,0.81295145,0.32089156,1.2420611,0.30464545,0.83037895,0.3667059,0.013960004,0.79259324
-0.3364761,0.03887958,0.95478857,0.4178596,0.6617074,0.22978428,0.03980905,0.13964581,-0.41786835,0.546255,0.36770737,-0.031162977,0.44119495
-0.037367225,0.3254018,0.7716234,0.62247163,0.66194266,0.6909207,0.34318885,0.9616975,0.23813988,0.6193062,0.39723516,0.099946715,0.5792866
-0.36601126,0.062009744,1.0861892,0.63589567,0.8627949,0.7487623,0.44357944,0.8476272,-0.01105463,0.7392776,0.37967736,-0.092035815,0.59942436
-0.15124363,0.10384017,0.8164688,0.43964276,0.6823908,0.7041333,0.5385125,0.63523453,0.20014456,0.37184164,0.42614812,0.17052437,0.2543315
-0.35088018,-0.03667797,1.0342547,0.50365114,0.8007836,0.6668973,0.48473492,0.49392408,-0.08652423,0.52182823,0.4359879,0.047522876,0.3783557
-0.34023073,-0.06136115,0.91775686,0.41359526,0.78454304,0.62489825,0.44453114,0.5018052,-0.028671406,0.49244893,0.39682072,0.07265449,0.33566794
-0.37186638,-0.055745535,0.9650115,0.44641247,0.72555184,0.37467748,0.21698925,0.17738342,-0.3455775,0.52882946,0.34186047,0.011177242,0.38109252
-0.13580947,0.28550732,0.85092443,0.7091778,0.79249007,0.8312081,0.39091915,1.1904955,0.25802007,0.81175554,0.34774488,-0.0045567527,0.7071648
-0.23852724,0.01331152,0.80683273,0.45421174,0.7280913,0.67934704,0.5321444,0.5429383,0.0522578,0.43400392,0.3339541,0.15309107,0.28041574
-0.22748947,0.006874308,0.8203565,0.43193308,0.70714736,0.6149756,0.49483567,0.45938838,0.005400258,0.4065311,0.33909312,0.13483086,0.27235475
0.1483056,0.70838034,0.95798725,1.0848373,0.8935239,1.177798,0.46451333,1.8814688,0.5881866,1.0808902,0.5078205,0.15733919,1.056788
-0.14833179,0.079179436,0.7582098,0.46753716,0.66769636,0.6930942,0.53720665,0.5801513,0.14352158,0.39276314,0.3437506,0.17238647,0.26223418
-0.32343152,-0.032940842,0.9468506,0.4590291,0.73065186,0.45852953,0.29025882,0.30768272,-0.26167935,0.54818475,0.30818427,-0.010581881,0.39975464
-0.29818395,-0.037559643,0.870367,0.4551725,0.7515296,0.55073726,0.400105,0.4403627,-0.08543079,0.5309791,0.28397483,0.007927813,0.36340743
-0.2884321,-0.045574553,0.98995477,0.43642867,0.72101086,0.6429011,0.4556969,0.36737406,-0.10709182,0.43817738,0.42732573,0.13077822,0.29777744
-0.5427228,0.05316107,1.5251048,0.7548984,1.0013671,0.29677394,-0.0630927,-0.053960934,-0.9468293,0.86408883,0.5621354,0.034308195,0.7326204
-0.21170141,0.02676036,0.8123456,0.4343375,0.71347845,0.6897161,0.51585937,0.57036036,0.096475475,0.42463207,0.34986502,0.11637415,0.2823346
-0.29186842,0.026258018,1.0715401,0.51306254,0.8186624,0.75848085,0.46727872,0.7149316,0.09264836,0.5551722,0.46496516,0.008080326,0.46080804
-0.24209917,0.032217216,0.85880095,0.35679454,0.62511134,0.3519291,0.19538167,0.17840937,-0.23579082,0.39662045,0.3592468,0.06843598,0.31451702
-0.24999231,0.0064596906,0.7972434,0.47308788,0.725968,0.5690807,0.4063079,0.48170227,-0.066663556,0.5192925,0.2545221,0.03834036,0.3487313
-0.36457592,-0.029128745,0.9430483,0.5945878,0.8896139,0.64946574,0.35849926,0.68245333,-0.12847874,0.7670047,0.24623936,-0.0773164,0.5621413
-0.22559838,0.017735861,0.83724624,0.4058566,0.68661475,0.6766953,0.48420894,0.5371382,0.07901991,0.40030277,0.39881504,0.12265204,0.26878163
-0.59890354,-0.1004984,1.6576107,0.78832966,1.1035825,0.7627306,0.4409201,0.4140817,-0.5105499,0.86969256,0.6182544,-0.07842542,0.6869651
-0.3626814,-0.06675737,1.0110404,0.40755057,0.73428285,0.5099549,0.3316171,0.29129156,-0.22851105,0.50776786,0.41952747,0.045949068,0.35105506
-0.5869897,-0.09248423,1.2507484,0.6779944,1.0075612,0.6137995,0.32153258,0.44380128,-0.41098526,0.89600086,0.39246553,-0.122082904,0.607693
-0.16068009,0.30674252,1.1018509,0.89606744,0.9362853,0.87713826,0.39726093,1.2451878,0.17313133,0.97906274,0.32752362,-0.15354763,0.9002992
-0.19940922,0.08241962,0.8727488,0.47213128,0.7351777,0.6810354,0.510765,0.6722118,0.16034564,0.41834956,0.3932047,0.093010865,0.33077937
0.080750465,0.5548234,0.8710792,0.87326217,0.83265865,1.0570812,0.56776094,1.53767,0.5883818,0.7776101,0.507553,0.1770338,0.7535542
0.03789881,0.42437935,0.81568736,0.73709834,0.7461213,0.9623307,0.5415875,1.2845987,0.49799597,0.65834713,0.4605478,0.14786196,0.6047457
-0.037332274,0.2544342,0.76331645,0.57099056,0.7074481,0.7248975,0.4804948,0.8823152,0.29941756,0.5178155,0.3199268,0.059718624,0.4442762
-0.28096968,-0.047417954,0.80256253,0.41573277,0.7404271,0.63115746,0.47373176,0.49496317,-0.0014093108,0.47607046,0.30709052,0.09461279,0.2994867
-0.278732,-0.01540909,0.84345716,0.44915998,0.750916,0.55459636,0.3637166,0.44231743,-0.110329986,0.54240954,0.28359354,0.040583536,0.35459843
-0.17141017,0.11334992,0.7788585,0.51957387,0.70369214,0.63205445,0.38936472,0.68340826,0.07058651,0.55474097,0.28370762,0.0092146695,0.43960235
-0.040748212,0.45751542,1.0077752,0.9156794,0.8196103,0.76603174,0.15166461,1.2310934,0.07849525,1.0585911,0.34391403,-0.006322898,0.9729691
-0.25649422,0.0008453652,0.84814066,0.3498736,0.63170314,0.5258099,0.37428918,0.3466519,-0.05893576,0.3777466,0.42013335,0.11747706,0.26015106
-0.2564437,-0.006073352,0.8400027,0.4168787,0.7144332,0.63199276,0.48551834,0.5125976,0.038028132,0.4282476,0.3586474,0.0925904,0.29476875
-0.4442432,-0.057694823,1.1258125,0.5060857,0.8846491,0.54753685,0.33749947,0.4407701,-0.2560783,0.64741844,0.4331891,-0.060363203,0.48960805
-0.0676905,0.23670214,0.7491692,0.5340458,0.68998283,0.753288,0.52385694,0.879837,0.32809812,0.44165835,0.4135089,0.1493548,0.39716902
-0.23584287,-0.006399546,0.87397695,0.44032165,0.7175319,0.67838424,0.5429398,0.44092876,0.0081385095,0.38815287,0.38887912,0.17551196,0.24487327
-0.18172133,0.056800805,0.8268136,0.42618108,0.6838689,0.70782846,0.5508648,0.5936121,0.14940906,0.36706132,0.40118986,0.15390745,0.2596855
-0.5215839,-0.014620006,1.2717268,0.68984836,0.9615895,0.2935422,0.05181835,0.07040894,-0.75271666,0.8475669,0.34367484,-0.071812645,0.68641514
-0.26441133,0.023054909,0.91190326,0.46706015,0.7492057,0.57367045,0.41953635,0.5230272,-0.011541943,0.50066257,0.3319707,0.026458107,0.39228067
-0.21728244,0.006442882,0.8536405,0.48576954,0.7399484,0.6907422,0.5021283,0.54567474,0.032577656,0.481233,0.3121779,0.08380765,0.32190824
-0.1694803,0.17550379,0.88854516,0.6239266,0.8362304,0.7611716,0.48076373,0.9591857,0.21011455,0.6422398,0.3076304,-0.046295375,0.5585056
-0.2753787,0.0072819106,0.9341047,0.5087273,0.7937498,0.6534291,0.48584628,0.60287195,0.013259821,0.5257523,0.32702523,0.02148322,0.38994184
-0.26257893,-0.03233914,0.7804997,0.42748502,0.74700284,0.6171054,0.47508392,0.5000684,0.009480806,0.4799043,0.2840344,0.09473422,0.29726386
0.096569814,0.4955978,0.8405999,0.84521604,0.72561175,0.898099,0.3812954,1.3095372,0.3744389,0.865674,0.37102115,0.08951988,0.76861346
-0.25096086,-0.0044484697,0.7472397,0.46533257,0.7649297,0.68069845,0.5431308,0.54261965,0.055501718,0.47660536,0.2861175,0.15221038,0.27855024
-0.4620811,-0.060972884,1.1896422,0.55344474,0.8743377,0.50365436,0.27612668,0.35324955,-0.3990454,0.70424616,0.37984693,-0.09086338,0.5413227
-0.25011662,0.0041068867,0.740463,0.37142822,0.6353585,0.56488866,0.43532994,0.430515,0.024741612,0.38179365,0.40238774,0.12751581,0.2174764
-0.4107836,-0.111357056,1.0077689,0.43564823,0.8386372,0.68144417,0.45394167,0.5035423,-0.07779522,0.5667244,0.42646897,0.036821045,0.37319812
-0.23498935,0.0040587448,0.8987967,0.4315034,0.71166724,0.6968811,0.5535932,0.46721375,0.0428174,0.3795563,0.42368907,0.17157099,0.25099492
-0.19483937,0.07571158,0.7987477,0.45440203,0.6804405,0.6282548,0.45824248,0.6076543,0.08919025,0.44398344,0.35018462,0.066065565,0.33949268
-0.52441424,-0.103150375,1.3174508,0.6198328,0.9072385,0.49402374,0.2706019,0.2423067,-0.5012562,0.71075827,0.46580023,-0.060990155,0.5649057
-0.2819299,0.014701214,0.9186669,0.4805787,0.78562856,0.59848434,0.46008238,0.52703863,0.020055447,0.47502887,0.36468178,0.03906861,0.35505122
-0.37853009,0.027409652,1.142041,0.53983045,0.7852875,0.30768332,0.05511435,0.020072639,-0.5979816,0.60210735,0.4350925,0.06671548,0.48707
-0.22565134,0.03558013,0.85239756,0.4179654,0.7067995,0.6781422,0.5358794,0.5694244,0.111352995,0.3653466,0.41889006,0.16211772,0.26763454
-0.20714863,0.18017316,0.9564259,0.5918222,0.77897125,0.54078907,0.17500392,0.72898597,-0.04254734,0.7508019,0.28870642,-0.111801475,0.6730101
-0.21257469,0.04407314,0.8496694,0.43318576,0.70479095,0.66625357,0.5191518,0.5822121,0.12302178,0.38556075,0.41014248,0.12972145,0.2908426
-0.2584865,-0.015699051,0.90042657,0.40082762,0.68096423,0.5791592,0.4301041,0.3546034,-0.08011002,0.40144205,0.39415312,0.13186556,0.2658606
-0.24414493,0.016979255,0.8552024,0.37298015,0.6568773,0.4873255,0.319875,0.24981688,-0.14435229,0.41190317,0.35002083,0.08635806,0.27832195
-0.06691494,0.17029446,0.75671774,0.48604164,0.679236,0.7411011,0.5819812,0.70831,0.28586987,0.35975814,0.40004003,0.19201946,0.2766316
0.008610799,0.29684335,0.74953413,0.59617287,0.68279195,0.8219599,0.54718584,0.9654774,0.39653334,0.4847782,0.39887726,0.16275479,0.43078876
-0.26864445,0.009858992,0.91125315,0.5543202,0.80721223,0.6493841,0.51349735,0.5371328,-0.031185959,0.5301027,0.29864568,0.051657777,0.37671435
-0.45968503,-0.11715514,1.0400486,0.45124683,0.8214726,0.5455466,0.32799032,0.35027587,-0.28352895,0.5967332,0.41042024,0.016037002,0.41230753
-0.36344782,-0.05785653,1.0069253,0.43044156,0.8130796,0.58909756,0.40156963,0.4677598,-0.05150582,0.533563,0.40461797,0.011880934,0.38577154
-0.11641065,0.17664185,0.7197496,0.5627518,0.6883138,0.72453773,0.41196662,0.8533618,0.1985627,0.61197716,0.26013646,0.031954005,0.45741305
-0.3042527,-0.054740794,0.85422605,0.45461184,0.75977826,0.5575721,0.38055104,0.4392419,-0.12057607,0.56094366,0.26283085,0.017406747,0.36995992
-0.3530124,-0.07780739,0.8711778,0.35661146,0.7043736,0.47073907,0.31189525,0.31388646,-0.1688649,0.48475236,0.34828258,0.020842165,0.32543457
-0.21017727,0.092444494,0.8276873,0.44456488,0.6969631,0.6775241,0.48911828,0.69488627,0.15163606,0.43348363,0.40892428,0.09165632,0.33609232
-0.24243292,-0.011223353,0.83720803,0.40412828,0.6847649,0.5403184,0.41211262,0.35518432,-0.074892454,0.4086948,0.33701777,0.11805524,0.2658894
-0.2528369,-0.01882989,0.89768624,0.45526072,0.7291665,0.66411275,0.506295,0.46597856,-0.017131388,0.45471504,0.3552819,0.097525485,0.30294713
-0.39361662,-0.075534396,1.057817,0.39408818,0.777774,0.6008533,0.3216553,0.37470078,-0.1804114,0.54102063,0.46037257,0.00843633,0.37953252
-0.16151102,0.1779815,0.8983188,0.6747148,0.747275,0.6671878,0.3474163,0.82419133,0.036557693,0.7321503,0.26408884,-0.06139341,0.63414276
-0.07634171,0.22825748,0.7123504,0.40278268,0.60728776,0.42581722,0.17054735,0.5414382,0.02267444,0.47662216,0.36987787,0.10641068,0.39782566
-0.2158456,0.012884155,0.75872254,0.50247943,0.755737,0.6632705,0.5154746,0.5174617,0.017549539,0.4850945,0.24954459,0.12404078,0.29914665
-0.22822663,0.009803142,0.90245605,0.42721426,0.70869666,0.7066986,0.5590649,0.48552483,0.067058004,0.37132245,0.4367302,0.17800763,0.25017565
-0.22872195,-0.0047653876,0.79479486,0.4453642,0.7330488,0.6313113,0.48349345,0.5062104,0.016013458,0.46264043,0.2891752,0.09519094,0.29794556
-0.24127936,0.0033045523,0.74434674,0.47369713,0.76511073,0.6723715,0.54923654,0.50817996,0.04281562,0.47108,0.27735734,0.16875595,0.26480457
-0.3749929,-0.079607524,0.8737446,0.49492323,0.84075534,0.693531,0.4878442,0.5135563,-0.0707999,0.6037286,0.32761672,0.08170779,0.35540655
-0.29906726,-0.036917277,0.8386713,0.43043208,0.72714967,0.50777006,0.3572104,0.37510633,-0.1261498,0.48256406,0.30956256,0.050335873,0.32841945
-0.31096178,-0.0638511,0.90230834,0.40144503,0.75531507,0.7123655,0.53102356,0.513872,0.020418372,0.46716756,0.41035116,0.116047785,0.27757382
-0.37229526,-0.033400565,1.0743941,0.54325515,0.845899,0.6598209,0.44684458,0.5800238,-0.11782348,0.6191812,0.37533075,-0.02411455,0.47341716
-0.4755782,-0.037870854,1.239088,0.6477638,0.9566024,0.7684885,0.49083668,0.55920994,-0.23913108,0.75125575,0.4440313,0.010899417,0.5184495
-0.2511197,-0.001536835,0.88293236,0.4217815,0.67078865,0.56649035,0.41082475,0.43633914,-0.030933645,0.4425333,0.3925563,0.06913947,0.30869615
-0.562684,-0.14225248,1.3894913,0.59004927,1.0075979,0.72125024,0.38943127,0.50085443,-0.31814265,0.77309036,0.5659199,-0.07968728,0.5784327
-0.3379737,-0.0149085745,1.0217501,0.4063586,0.6930868,0.41212535,0.15618786,0.17419338,-0.36588547,0.49737182,0.442199,0.030413575,0.38865823
0.03806711,0.43184635,0.7566199,0.7302873,0.72197187,0.9114422,0.5091337,1.2628406,0.46498042,0.6777005,0.4261127,0.13840503,0.62354606
-0.065746,0.27221563,0.774067,0.63296753,0.726602,0.81048036,0.44867337,1.0331867,0.33835432,0.6332859,0.33681417,0.052962285,0.5211454
-0.087927565,0.23174697,0.77580285,0.64812,0.6839224,0.6741764,0.28698552,0.88130814,0.09145129,0.737593,0.27266306,0.0103888735,0.6214067
-0.20474322,0.01447941,0.7574749,0.42638105,0.7153871,0.6657985,0.56061107,0.49873418,0.08810585,0.3833495,0.3210988,0.17522313,0.2290279
-0.32701084,-0.031923592,0.9518763,0.4032077,0.6610209,0.3459204,0.14538848,0.20969297,-0.3130495,0.4839926,0.3748939,-0.0060052276,0.39422095
-0.1928308,0.13281816,0.95271033,0.5744395,0.7025716,0.4441856,0.1631649,0.5895262,-0.057775073,0.64286643,0.30854854,-0.09636666,0.58597976
