YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Effort
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-1025.7029,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-390.07147,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-312.16562,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-348.66315,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-424.71332,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-705.3099,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-391.31955,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-381.4661,3927
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-66.918205,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-235.92792,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-621.29364,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-61.218006,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-887.7071,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-140.81075,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-577.5868,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-81.08361,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-784.3243,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-450.4626,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-234.74873,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-208.3982,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1942.2821,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-650.9032,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1463.9835,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-386.09717,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1250.6118,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-223.57187,2331
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-563.6759,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-288.85324,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-301.79645,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1406.4806,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-249.68616,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-353.4249,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-808.12994,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-317.38968,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-262.3292,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-337.87775,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-149.34901,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-284.47433,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-179.82805,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-243.9974,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-154.09888,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-352.90897,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-658.89465,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1106.2789,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-119.681946,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-244.3995,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-110.4875,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-50.578526,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-220.39433,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-891.89996,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-56.76565,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-384.4395,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1350.2382,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-140.1798,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-272.5739,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-929.76697,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-578.2995,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-2333.4722,23940
