ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_4,Effort
31,101,5,39,0,0,0,4.0,8.0,406,1,0,0,0,1,-0.67130417,406
32,192,102,0,77,0,0,9.3,8.0,2151,1,0,0,0,1,-5.300203,1785
33,60,4,0,10,22,6,7.9,8.0,471,0,1,0,0,1,-1.201482,471
34,180,18,33,0,29,0,3.9,5.0,700,0,1,0,0,1,-1.3629162,700
35,118,71,7,0,83,0,4.9,2.0,698,1,0,0,0,1,-2.0252066,579
36,73,10,4,0,66,0,16.6,3.0,1459,1,0,0,0,1,-3.8115876,1211
37,143,0,27,0,121,0,8.0,4.0,1372,1,0,0,0,1,-3.561886,1139
38,2190,648,236,0,0,0,6.6,19.0,16690,0,1,0,0,1,-34.3969,14520
39,9,10,0,0,5,0,26.6,2.0,239,1,0,0,0,1,-0.99183995,239
40,203,167,3,0,0,0,6.2,5.0,1520,1,0,0,0,1,-3.3429644,1262
41,162,36,9,20,0,0,10.8,8.0,1754,1,0,0,0,1,-3.9396007,1754
42,183,21,29,0,0,0,8.3,6.0,1824,1,0,0,0,1,-3.8282988,1514
43,59,21,0,0,51,0,11.3,8.0,804,1,0,0,0,1,-2.167288,667
44,412,14,99,10,0,0,14.2,20.0,5864,1,0,0,0,1,-13.020245,5864
45,348,14,33,0,312,0,2.8,3.0,1172,1,0,0,0,1,-3.780257,973
46,2529,513,66,220,0,0,2.1,13.0,5333,0,1,0,0,1,-5.8722873,5333
47,250,92,57,30,43,0,7.1,8.0,1775,0,1,0,0,1,-4.304986,1775
48,206,199,0,5,104,0,1.0,5.0,246,1,0,0,0,1,0.6440607,204
49,617,136,103,0,179,0,5.1,7.0,3793,1,0,0,0,1,-8.470639,3148
50,173,78,10,72,0,0,50.4,12.0,10501,1,0,0,0,1,-31.752811,8716
51,286,156,27,0,0,0,5.1,6.0,1464,1,0,0,0,1,-3.1160033,1464
52,52,17,6,5,16,15,26.1,2.0,1636,1,0,0,0,1,-4.642528,1358
53,45,28,0,25,0,0,6.2,7.0,281,0,1,0,0,1,-0.72902864,281
54,104,7,48,0,100,0,22.3,5.0,2796,1,0,0,0,1,-7.8521867,2321
55,465,44,104,0,15,54,8.7,13.0,4884,1,0,0,0,1,-10.304293,4054
56,2145,63,491,300,0,0,1.1,84.0,2400,0,0,0,1,1,16.278429,2400
57,283,125,39,17,0,0,20.0,13.0,5650,1,0,0,0,1,-13.030718,5650
58,109,84,0,5,59,0,14.0,2.0,1837,1,0,0,0,1,-4.7625003,1525
59,160,21,72,40,68,16,3.0,2.0,575,1,0,0,0,1,-1.6268506,477
60,65,64,0,0,10,0,7.7,2.0,606,1,0,0,0,1,-1.5023727,503
61,366,27,96,0,84,11,23.1,10.0,10205,1,0,0,0,1,-27.837936,8470
62,63,10,3,0,43,0,12.3,3.0,937,1,0,0,0,1,-2.3822596,778
63,309,13,59,30,0,0,8.4,7.5,2597,0,0,0,1,1,-5.277681,2597
64,610,174,117,0,0,0,1.6,3.0,950,1,0,0,0,1,1.9463062,950
65,562,125,93,0,0,0,10.2,13.0,5727,0,0,1,0,1,-12.492025,5727
66,156,38,39,41,0,0,13.1,4.0,2458,1,0,0,0,1,-6.4919143,2040
67,75,5,19,0,35,0,49.0,8.0,4430,1,0,0,0,1,-13.031509,3677
68,136,64,0,0,127,0,4.2,2.0,687,1,0,0,0,1,-2.212848,570
69,96,56,0,40,0,0,12.7,8.0,4530,0,1,0,0,1,48.89496,1223
70,78,24,9,0,0,0,12.5,4.0,1084,1,0,0,0,1,-2.4605162,976
71,51,0,14,0,36,0,7.6,12.0,466,1,0,0,0,1,-1.2952874,387
72,1092,84,170,21,0,0,4.0,13.0,5320,1,0,0,0,1,-8.538782,4416
73,134,11,32,14,0,0,2.1,8.0,345,1,0,0,0,1,-0.48330325,286
74,75,9,0,0,69,0,4.1,5.0,367,1,0,0,0,1,-1.1304264,305
75,88,20,0,0,45,0,1.5,7.0,155,1,0,0,0,1,0.58946794,129
76,3088,1009,772,5,2544,0,1.4,8.0,4266,1,0,0,0,1,15.11224,4266
77,82,46,0,15,0,0,5.4,3.0,440,1,0,0,0,1,-0.9737721,440
78,110,66,0,0,85,0,12.4,2.0,1362,1,0,0,0,1,-3.7627447,1362
79,308,83,0,10,122,0,8.2,6.0,2533,0,1,0,0,1,-6.066234,2533
80,143,32,3,0,0,0,1.6,10.0,225,1,0,0,0,1,1.0358479,225
81,826,326,155,0,139,270,13.4,13.0,11045,1,0,0,0,1,-27.097866,11045
82,3460,1831,318,142,227,0,9.5,24.0,32760,0,0,0,1,1,-75.20754,32760
83,73,32,0,5,0,0,28.1,8.0,2475,1,0,0,0,1,-6.985502,2054
84,64,56,0,0,56,0,3.9,7.0,252,1,0,0,0,1,-0.9917492,252
85,497,28,113,10,92,0,4.8,8.0,2362,0,1,0,0,1,-4.641129,2362
86,288,0,36,0,214,0,8.5,5.0,2963,1,0,0,0,1,-7.3911357,2459
87,494,62,140,67,0,0,17.6,21.0,8706,1,0,0,0,1,-19.91146,8706
88,130,65,0,0,111,0,5.9,6.0,770,1,0,0,0,1,-2.4670227,770
89,204,43,6,104,0,0,39.8,36.0,8111,1,0,0,0,1,-19.394043,8111
90,17,5,0,0,0,0,44.8,11.0,762,1,0,0,0,1,-2.0285606,762
91,60,25,0,5,0,0,2.3,1.0,164,1,0,0,0,1,0.41839916,136
92,73,20,36,0,10,0,4.9,1.0,431,1,0,0,0,1,-1.0248141,358
93,169,14,25,70,0,0,2.8,6.0,580,1,0,0,0,1,-1.1609352,481
94,1351,449,271,20,29,136,2.4,8.0,3842,1,0,0,0,1,-6.9570117,3189
95,2087,444,303,0,0,0,10.8,9.0,22500,0,0,0,1,1,-48.77206,22500
96,253,0,107,44,0,0,46.3,13.0,12601,1,0,0,0,1,-31.502888,11719
97,102,26,10,0,0,0,1.8,5.0,244,1,0,0,0,1,0.295479,183
98,115,39,0,0,50,0,12.9,5.0,1786,1,0,0,0,1,-4.4701796,1482
99,288,186,21,60,0,0,4.3,11.0,1251,0,1,0,0,1,-2.8739264,1251
100,199,7,77,0,188,0,4.7,8.0,1136,1,0,0,0,1,-3.5210855,943
101,163,14,33,10,0,0,16.5,11.0,3234,1,0,0,0,1,-8.569036,2684
102,97,41,0,15,100,10,7.5,9.0,729,0,1,0,0,1,-2.2981255,729
103,439,222,19,10,313,0,8.3,7.0,3630,1,0,0,0,1,-10.019844,3630
104,3113,609,248,80,0,0,10.9,24.0,42080,1,0,0,0,1,-97.97277,34085
105,153,7,57,20,0,0,18.7,3.0,3283,0,1,0,0,1,-8.410031,2856
106,670,97,122,0,498,0,8.6,6.0,6936,1,0,0,0,1,-17.655788,5757
107,129,93,3,30,155,0,4.9,15.0,631,0,1,0,0,1,-2.5342863,631
108,329,68,14,0,73,127,6.6,8.0,2184,0,1,0,0,1,-5.552115,2184
109,5684,454,820,311,0,0,3.7,37.0,21014,1,0,0,0,1,-34.560726,21014
110,61,4,24,0,0,0,6.8,4.0,502,1,0,0,0,1,-1.1083944,417
111,267,133,51,89,178,86,10.0,9.0,2683,0,1,0,0,1,-7.7602773,2683
112,218,16,56,0,0,0,25.4,4.0,6665,1,0,0,0,1,-18.347025,5532
113,919,236,56,76,0,0,5.2,6.0,5801,1,0,0,0,1,-11.685537,4815
114,66,12,6,0,31,0,3.7,2.0,296,1,0,0,0,1,-0.5937782,246
115,54,0,16,0,52,0,12.7,1.0,827,1,0,0,0,1,-2.2733662,686
116,245,105,27,0,0,0,1.9,13.0,870,1,0,0,0,1,-0.7578512,470
117,54,28,0,0,52,0,7.3,2.0,476,1,0,0,0,1,-1.485899,395
118,151,54,15,0,19,0,7.2,3.0,1241,0,1,0,0,1,-2.843294,1080
119,103,4,27,0,0,0,13.6,7.0,1396,0,1,0,0,1,-3.2128103,1396
120,300,82,27,0,142,0,9.8,10.0,2933,1,0,0,0,1,-7.361296,2933
121,249,4,98,0,191,0,18.3,9.0,4551,1,0,0,0,1,-11.702454,4551
122,224,21,0,10,210,0,13.4,4.0,3613,1,0,0,0,1,-9.232353,2999
123,1984,1008,192,0,0,0,1.3,11.0,2540,0,1,0,0,1,23.9155,2540
124,58,37,0,5,57,0,0.4,2.0,31,1,0,0,0,1,2.979868,26
125,56,0,3,0,53,0,8.0,2.0,540,1,0,0,0,1,-1.593684,448
126,244,12,44,50,0,0,3.7,3.0,1092,1,0,0,0,1,-2.0479035,906
127,12,0,6,0,3,0,17.6,13.0,211,0,1,0,0,1,0.3443331,211
128,1416,432,0,65,775,0,1.2,12.0,1724,0,1,0,0,1,9.189026,1724
129,67,26,0,35,0,0,23.6,5.0,1821,0,1,0,0,1,-5.02053,1584
130,95,0,32,0,92,0,1.6,7.0,178,1,0,0,0,1,1.6328428,148
131,2376,233,639,131,0,0,10.7,24.0,30701,1,0,0,0,1,-73.27119,25482
132,442,102,57,0,393,0,1.5,5.0,683,1,0,0,0,1,1.4333189,683
133,68,12,19,0,56,0,37.1,4.0,3037,1,0,0,0,1,-8.907291,2521
134,268,96,45,10,20,0,10.9,9.0,2933,0,1,0,0,1,-6.794456,2933
135,90,0,0,0,0,0,5.5,2.0,595,1,0,0,0,1,-1.2453914,494
136,72,25,7,0,17,0,6.8,7.0,486,1,0,0,0,1,-1.2455118,486
137,505,127,18,0,0,0,9.8,30.0,4955,1,0,0,0,1,-10.60573,4955
138,450,145,59,0,58,7,13.6,7.0,6138,1,0,0,0,1,-14.2337475,6138
139,230,38,46,0,40,0,6.3,10.0,1748,1,0,0,0,1,-3.8047564,1451
140,242,78,4,0,222,0,1.3,2.0,375,1,0,0,0,1,0.7153873,311
141,106,76,6,0,96,0,23.1,2.0,2946,1,0,0,0,1,-8.241792,2445
142,31,14,0,0,27,0,7.6,6.0,237,1,0,0,0,1,-0.084156334,237
143,1186,306,109,230,0,0,3.1,9.0,3711,0,0,1,0,1,-6.1791625,3711
144,256,198,0,5,0,0,11.5,19.0,2941,0,1,0,0,1,-6.9704185,2941
145,191,60,15,25,34,0,12.7,11.0,2430,0,1,0,0,1,-5.8226113,2430
146,213,63,6,0,13,0,11.9,10.0,3051,1,0,0,0,1,-7.2898164,2532
147,4562,1278,498,0,0,0,5.8,15.0,26408,1,0,0,0,1,-52.951702,26408
148,141,33,44,0,133,0,8.8,2.0,1499,1,0,0,0,1,-4.1747675,1244
149,187,65,17,5,0,0,3.0,6.0,677,1,0,0,0,1,-1.1743138,562
150,128,0,68,15,0,0,25.8,10.0,7180,1,0,0,0,1,29.002289,3303
151,194,16,0,47,132,0,2.6,12.0,703,1,0,0,0,1,-2.09382,499
152,869,300,116,0,0,0,2.4,6.0,2078,0,0,1,0,1,-3.3557327,2078
153,125,9,33,0,84,11,18.6,3.0,2802,1,0,0,0,1,-7.659616,2326
154,477,117,89,10,218,107,5.7,6.0,2741,1,0,0,0,1,-7.5607743,2741
155,717,13,10,0,712,0,4.9,5.0,4272,1,0,0,0,1,-12.658207,3546
156,25,28,0,0,28,0,5.6,3.0,140,1,0,0,0,1,-0.1586917,140
157,73,61,3,0,0,0,19.2,8.0,1404,1,0,0,0,1,-3.5297,1404
158,100,0,0,42,75,0,9.3,12.0,1119,1,0,0,0,1,-3.1001813,929
159,273,183,15,0,0,0,1.9,5.0,528,0,0,1,0,1,0.48478454,528
160,587,119,94,0,0,0,6.4,15.0,3748,0,0,1,0,1,-7.607473,3748
161,1437,154,41,0,0,0,3.4,18.0,4900,0,0,0,1,1,-7.663605,4900
162,97,101,3,7,6,0,19.1,12.0,1853,0,1,0,0,1,-4.6628423,1853
163,224,25,6,5,0,0,12.9,13.0,3322,0,1,0,0,1,-7.605806,2890
164,321,46,9,15,0,0,3.4,11.0,1076,0,0,0,1,1,-1.8029783,1076
165,99,4,19,10,0,0,24.1,4.0,2876,1,0,0,0,1,-8.170718,2387
166,416,40,54,7,65,6,3.8,6.0,1911,1,0,0,0,1,-3.8784392,1586
167,71,21,4,5,40,0,14.0,4.0,1201,1,0,0,0,1,-3.2401202,997
168,120,48,12,0,108,0,1.8,5.0,212,1,0,0,0,1,1.6890211,212
169,213,43,3,30,97,3,6.0,12.0,1278,0,1,0,0,1,-3.3136103,1278
170,1634,387,223,0,0,0,4.3,12.0,7060,0,1,0,0,1,-12.633053,7060
171,275,11,48,0,243,0,2.6,9.0,702,1,0,0,0,1,-2.4125512,702
172,458,66,75,0,0,0,2.0,16.0,903,1,0,0,0,1,-1.4733899,903
173,218,118,44,10,109,0,31.0,8.0,8151,1,0,0,0,1,-23.406467,6765
174,498,132,7,122,0,0,16.5,19.0,8227,0,0,1,0,1,-19.072475,8227
175,143,65,0,0,122,0,2.3,4.0,402,1,0,0,0,1,-1.1206033,334
176,722,0,202,20,0,0,5.8,9.0,4164,1,0,0,0,1,-8.126832,4164
177,236,192,12,0,0,0,29.0,15.0,6844,0,1,0,0,1,-16.306686,6844
178,239,70,18,55,0,0,6.9,10.0,1661,0,1,0,0,1,-3.720124,1661
179,1882,589,218,0,0,0,3.2,10.0,6068,0,1,0,0,1,-9.076521,6068
180,291,29,0,37,0,0,20.8,14.0,6519,0,1,0,0,1,-14.78879,6063
181,328,71,61,0,0,0,2.0,13.0,665,1,0,0,0,1,-1.4324358,665
182,264,7,50,0,0,0,2.1,6.0,544,1,0,0,0,1,-1.1406753,544
183,270,42,53,30,0,0,3.3,6.0,893,1,0,0,0,1,-1.4657073,893
184,32,7,12,10,0,0,11.0,2.5,352,1,0,0,0,1,-0.47890908,352
185,1382,245,7,253,0,0,2.4,8.0,3344,0,0,0,1,1,-3.8822472,3344
186,98,5,19,0,3,0,4.1,1.0,487,1,0,0,0,1,-0.75756747,404
187,289,100,0,145,0,0,19.8,8.0,5732,0,1,0,0,1,-13.588604,5732
188,1059,234,144,60,0,0,21.6,17.0,26345,0,1,0,0,1,-66.98859,22920
189,724,12,189,0,142,24,13.0,9.0,11336,1,0,0,0,1,-27.936115,9409
190,40,22,0,0,0,0,7.1,4.0,285,0,0,0,1,1,0.347647,285
191,128,18,24,0,117,0,10.1,3.0,1558,1,0,0,0,1,-4.2685027,1293
192,1248,262,146,15,0,0,12.2,12.0,15165,0,0,0,1,1,-33.167416,15165
193,387,118,67,7,0,0,8.5,17.0,3960,1,0,0,0,1,-8.550824,3287
194,73,65,0,5,44,7,10.5,3.0,920,1,0,0,0,1,-2.6086562,764
195,151,0,68,0,105,0,14.5,3.0,2643,1,0,0,0,1,-7.1827464,2194
196,465,162,0,37,0,0,4.3,4.0,2427,1,0,0,0,1,-4.59504,2014
197,63,0,9,0,0,0,13.1,4.0,996,1,0,0,0,1,-2.5899832,827
198,226,70,19,0,106,7,11.1,10.0,2508,1,0,0,0,1,-6.484099,2508
199,115,11,28,0,105,0,1.7,1.5,201,1,0,0,0,1,3.1320477,201
200,189,112,3,0,182,0,3.0,15.0,563,0,1,0,0,1,-2.07067,563
201,55,0,6,0,0,0,9.7,11.0,643,1,0,0,0,1,-1.6020267,534
202,85,44,0,0,68,0,12.2,4.0,1252,1,0,0,0,1,-3.3804557,1039
203,2143,657,3,437,0,0,20.2,7.0,52172,1,0,0,0,1,-143.99516,43303
204,520,160,9,25,0,0,6.0,8.0,3133,0,1,0,0,1,-6.736711,3133
205,113,34,16,0,64,0,15.9,3.0,2070,0,1,0,0,1,-5.236154,1801
206,264,17,26,0,98,6,10.0,6.0,3180,1,0,0,0,1,-7.464338,2639
207,349,24,18,30,4,0,6.8,4.0,2360,0,1,0,0,1,-4.8959365,2360
208,229,5,0,131,0,0,11.0,5.0,2897,0,1,0,0,1,-7.0750394,2520
209,172,40,4,7,0,0,10.4,5.0,1788,0,0,0,1,1,-4.114002,1788
210,323,57,53,31,0,0,3.8,13.0,1238,1,0,0,0,1,-2.1832287,1238
211,89,28,17,30,73,0,5.0,4.0,442,0,1,0,0,1,-1.5365059,442
212,878,404,161,17,0,0,3.8,5.0,3742,1,0,0,0,1,-7.463159,3368
213,220,50,51,0,0,0,1.3,3.0,281,0,0,1,0,1,6.475439,281
214,150,4,20,0,143,0,4.6,3.0,828,1,0,0,0,1,-2.6955693,687
215,161,38,30,0,0,0,1.4,2.0,220,1,0,0,0,1,6.17856,220
216,804,334,0,42,0,0,14.2,12.0,13720,1,0,0,0,1,-33.047417,11388
217,272,20,61,30,0,0,35.7,14.0,11172,0,1,0,0,1,-30.413315,9720
218,33,7,0,15,8,0,4.4,2.0,145,0,1,0,0,1,1.9289873,145
219,64,28,10,0,0,0,2.2,3.0,140,0,1,0,0,1,4.1792784,140
220,277,110,47,0,170,0,4.6,19.0,1265,0,1,0,0,1,-3.8481324,1265
221,322,100,67,0,106,14,16.3,13.0,6316,1,0,0,0,1,-16.739115,5242
222,164,56,18,20,43,0,17.0,11.0,2791,0,1,0,0,1,-6.9884048,2791
223,145,10,72,0,0,0,5.1,3.0,894,1,0,0,0,1,-1.9223425,742
224,73,24,12,0,72,0,8.0,5.0,704,1,0,0,0,1,-2.2012568,584
225,245,179,24,15,0,0,3.6,7.0,893,0,1,0,0,1,-1.803663,893
226,406,36,125,0,288,0,13.9,7.0,6794,1,0,0,0,1,-17.337353,5639
227,98,0,41,0,68,0,56.5,5.0,6666,1,0,0,0,1,-19.879372,5533
228,83,10,3,0,63,4,4.9,3.0,494,1,0,0,0,1,-0.67332035,410
229,182,59,39,0,157,0,5.5,5.0,1206,1,0,0,0,1,-3.6656973,1001
230,820,98,199,0,212,35,3.1,11.0,2552,0,0,0,1,1,-5.132789,2552
231,545,226,131,0,466,0,16.0,11.0,8740,1,0,0,0,1,-23.165089,8740
232,105,9,0,0,84,0,1.9,8.0,198,1,0,0,0,1,3.0145128,198
233,55,10,14,0,42,0,42.7,1.0,2828,1,0,0,0,1,-8.488315,2347
234,62,4,0,7,0,0,13.2,8.0,984,1,0,0,0,1,-2.6126325,817
235,109,105,0,0,105,0,2.3,1.0,300,1,0,0,0,1,-0.60621506,249
236,436,334,15,60,0,0,17.8,15.0,7762,0,1,0,0,1,-18.540565,7762
237,179,44,6,40,0,0,4.3,4.0,935,1,0,0,0,1,-1.9897075,776
238,1710,521,233,0,0,0,7.7,21.0,13130,0,1,0,0,1,-27.92052,13130
239,128,15,25,0,0,0,12.8,2.0,1890,0,1,0,0,1,-4.4423356,1644
240,174,7,30,32,0,0,77.7,8.0,13528,0,0,0,1,1,-32.482662,13528
241,70,4,15,0,29,0,8.8,5.0,743,1,0,0,0,1,-1.9612,617
242,379,29,57,15,0,0,6.3,7.0,2391,1,0,0,0,1,-4.8457294,2391
243,258,16,230,0,232,0,2.3,5.0,605,0,1,0,0,1,-1.8978355,605
244,129,0,39,25,0,0,16.0,4.0,2372,0,1,0,0,1,-6.112804,2064
245,856,194,74,155,0,0,3.0,12.0,2551,0,1,0,0,1,-4.1011415,2551
246,127,14,10,0,94,0,13.1,7.0,2010,1,0,0,0,1,-5.247805,1668
247,381,107,9,65,191,0,4.8,19.0,1817,0,1,0,0,1,-5.255837,1817
248,234,19,93,5,3,0,21.8,10.0,5103,1,0,0,0,1,-12.066898,5103
249,215,62,46,0,135,0,13.2,8.0,3417,1,0,0,0,1,-8.793014,2836
250,1406,70,290,90,0,0,10.6,1.0,14698,0,0,0,1,1,-31.883492,14938
251,85,67,3,15,59,25,12.3,13.0,1049,0,1,0,0,1,-3.2236106,1049
252,59,32,3,5,0,0,18.0,10.0,1278,1,0,0,0,1,-3.5772016,1061
253,358,0,89,40,0,0,38.9,9.0,16770,1,0,0,0,1,-48.31535,13919
254,73,0,12,0,62,0,50.3,7.0,4428,1,0,0,0,1,-13.259758,3675
255,597,96,78,7,0,0,4.3,6.0,2542,1,0,0,0,1,-4.3486123,2542
256,276,120,34,0,139,18,8.1,2.0,2244,1,0,0,0,1,-6.148461,2244
257,728,165,15,167,27,255,11.1,4.0,9694,1,0,0,0,1,-24.52966,8046
258,59,55,0,0,11,33,83.8,6.0,5958,1,0,0,0,1,-18.104815,4945
259,98,32,9,0,42,7,13.4,11.0,1582,1,0,0,0,1,-4.1875668,1313
260,756,66,127,5,320,112,4.3,7.0,3214,1,0,0,0,1,-8.642962,3214
261,155,34,0,0,107,0,3.1,10.0,582,1,0,0,0,1,0.16579264,483
262,544,104,107,0,362,0,4.2,4.0,2778,1,0,0,0,1,-7.6604486,2306
263,813,677,34,100,820,0,2.0,9.0,1634,0,1,0,0,1,-3.6116068,1634
264,75,0,30,14,0,0,9.6,6.0,720,1,0,0,0,1,-1.6794186,720
265,112,4,16,0,0,0,9.6,13.0,1073,0,0,0,1,1,-2.3903525,1073
266,211,32,79,5,100,0,16.9,13.0,3566,1,0,0,0,1,-9.055668,3566
267,895,271,222,0,0,0,0.9,7.0,780,1,0,0,0,1,22.678669,780
268,74,7,37,5,0,0,54.0,14.0,3995,1,0,0,0,1,-9.908337,3995
269,3331,519,399,360,0,0,14.7,42.0,49034,0,0,0,1,1,-110.186714,49034
270,64,18,9,5,39,11,6.1,6.0,472,1,0,0,0,1,0.2715351,392
271,1402,804,187,63,0,0,12.6,23.0,17219,1,0,0,0,1,-39.86423,17607
272,337,21,86,25,0,0,1.8,8.0,657,1,0,0,0,1,0.19694489,591
273,73,0,67,10,38,0,11.1,6.0,978,1,0,0,0,1,-2.808668,812
274,64,28,17,0,17,0,8.8,12.0,680,1,0,0,0,1,-1.6017306,564
275,1703,463,0,316,0,0,5.0,8.0,8549,0,0,1,0,1,-17.186981,8549
276,151,21,29,19,0,0,2.6,3.0,434,1,0,0,0,1,1.2015822,391
277,66,14,6,0,22,0,27.5,2.0,2189,1,0,0,0,1,-6.333012,1817
278,70,0,3,5,0,0,7.7,3.0,659,0,1,0,0,1,-1.1376581,540
279,754,130,204,0,512,0,9.9,8.0,8967,1,0,0,0,1,-22.46127,7443
280,325,49,31,12,142,0,26.7,6.0,10437,1,0,0,0,1,-29.489426,8663
281,168,7,45,22,0,0,27.5,12.0,4622,0,1,0,0,1,-10.983021,4622
282,226,50,43,5,0,0,4.0,7.0,915,0,0,0,1,1,-1.6960876,915
283,335,71,71,17,0,0,75.8,12.0,25401,0,0,0,1,1,-60.27033,25401
284,76,51,3,0,12,0,7.5,5.0,686,1,0,0,0,1,-1.4378073,569
285,221,133,0,5,161,0,6.8,4.0,1822,1,0,0,0,1,-5.1310983,1512
286,1010,224,111,75,77,0,5.0,11.0,5053,0,1,0,0,1,-10.740166,5053
287,116,12,22,15,0,0,16.7,10.0,1939,1,0,0,0,1,-4.678102,1939
288,39,0,3,0,31,0,2.9,1.0,114,0,1,0,0,1,2.761788,114
289,170,12,23,0,41,0,9.0,8.0,1532,0,0,0,1,1,-3.7929823,1532
290,179,0,49,0,0,0,26.4,4.0,5690,1,0,0,0,1,-15.822241,4723
291,166,0,38,0,164,0,17.9,13.0,3580,1,0,0,0,1,-9.672632,2971
292,354,34,174,25,0,0,16.5,10.0,5841,1,0,0,0,1,-13.516193,5841
293,615,0,74,0,0,0,1.5,8.0,941,0,1,0,0,1,3.084571,941
294,126,7,18,15,0,0,8.2,8.0,1035,0,1,0,0,1,-2.311712,1035
295,1390,377,133,170,0,0,4.0,13.0,5597,0,0,1,0,1,-11.058514,5597
296,129,59,10,0,44,0,23.2,8.0,3600,1,0,0,0,1,-10.057587,2988
297,203,48,6,100,0,0,15.9,5.0,3219,1,0,0,0,1,-7.829532,3219
298,758,312,132,58,0,0,6.1,15.0,4630,1,0,0,0,1,-10.37339,4630
299,558,116,57,0,0,0,7.4,6.0,4112,1,0,0,0,1,-8.668344,4112
300,25,0,4,0,0,3,23.2,6.0,580,1,0,0,0,1,-0.83434516,580
301,850,348,205,74,446,0,12.9,5.0,13183,1,0,0,0,1,-34.30697,10942
302,235,10,123,0,82,184,4.0,9.0,1129,1,0,0,0,1,-3.547314,937
303,58,0,19,0,30,0,43.4,8.0,3030,1,0,0,0,1,-9.157124,2515
304,316,118,14,0,151,11,8.2,8.0,2600,0,1,0,0,1,-6.6796956,2600
305,7633,2455,135,1572,5193,565,3.3,19.0,25217,0,1,0,0,1,-82.61988,25217
306,119,118,0,0,19,4,1.5,2.0,212,1,0,0,0,1,6.4963074,176
307,55,17,6,10,0,0,6.2,3.0,411,1,0,0,0,1,1.428971,341
308,1644,858,177,115,0,0,9.9,38.0,16357,1,0,0,0,1,-37.336987,16357
309,1193,667,149,54,485,180,2.5,12.0,3622,1,0,0,0,1,-10.799349,3006
310,605,231,91,0,0,0,2.8,8.0,2041,1,0,0,0,1,-3.6374452,1694
311,389,94,77,10,166,0,2.9,6.0,1134,0,1,0,0,1,-3.252117,1134
312,132,0,27,7,0,0,9.0,8.0,1429,1,0,0,0,1,-3.4095442,1186
313,132,50,22,0,27,60,10.5,9.0,1666,1,0,0,0,1,-4.3213916,1383
314,286,36,44,55,0,0,6.0,6.0,1727,1,0,0,0,1,-3.8086865,1727
315,305,87,39,10,0,0,14.8,7.0,4504,0,0,1,0,1,-10.468279,4504
