Dataset                      Metric                     metric valor    d    t
../datasets_2/albrecht.arff  MAE                         6.77028        7  250
../datasets_2/albrecht.arff  Median Absolute Error       5.29015        7  250
../datasets_2/albrecht.arff  RMSE                        8.93946        7  250
../datasets_2/albrecht.arff  R2 Score                    0.268256       7  250
../datasets_2/albrecht.arff  MAE                         6.91996        7  300
../datasets_2/albrecht.arff  Median Absolute Error       5.00644        7  300
../datasets_2/albrecht.arff  RMSE                        9.33834        7  300
../datasets_2/albrecht.arff  R2 Score                    0.201499       7  300
../datasets_2/albrecht.arff  MAE                         5.79121        8   50
../datasets_2/albrecht.arff  Median Absolute Error       4.6854         8   50
../datasets_2/albrecht.arff  RMSE                        7.62418        8   50
../datasets_2/albrecht.arff  R2 Score                    0.467742       8   50
../datasets_2/albrecht.arff  MAE                         6.74482        8  100
../datasets_2/albrecht.arff  Median Absolute Error       4.72301        8  100
../datasets_2/albrecht.arff  RMSE                        9.50879        8  100
../datasets_2/albrecht.arff  R2 Score                    0.172083       8  100
../datasets_2/albrecht.arff  MAE                         6.68815        8  150
../datasets_2/albrecht.arff  Median Absolute Error       4.638          8  150
../datasets_2/albrecht.arff  RMSE                        9.01777        8  150
../datasets_2/albrecht.arff  R2 Score                    0.255381       8  150
../datasets_2/albrecht.arff  MAE                         6.83602        8  200
../datasets_2/albrecht.arff  Median Absolute Error       4.7603         8  200
../datasets_2/albrecht.arff  RMSE                        9.08529        8  200
../datasets_2/albrecht.arff  R2 Score                    0.244189       8  200
../datasets_2/albrecht.arff  MAE                         6.61851        8  250
../datasets_2/albrecht.arff  Median Absolute Error       4.69302        8  250
../datasets_2/albrecht.arff  RMSE                        9.34204        8  250
../datasets_2/albrecht.arff  R2 Score                    0.200867       8  250
../datasets_2/albrecht.arff  MAE                         6.43178        8  300
../datasets_2/albrecht.arff  Median Absolute Error       4.70881        8  300
../datasets_2/albrecht.arff  RMSE                        8.82262        8  300
../datasets_2/albrecht.arff  R2 Score                    0.287261       8  300
../datasets_2/albrecht.arff  MAE                         5.72364        9   50
../datasets_2/albrecht.arff  Median Absolute Error       4.73498        9   50
../datasets_2/albrecht.arff  RMSE                        7.69603        9   50
../datasets_2/albrecht.arff  R2 Score                    0.457663       9   50
../datasets_2/albrecht.arff  MAE                         6.63006        9  100
../datasets_2/albrecht.arff  Median Absolute Error       4.66953        9  100
../datasets_2/albrecht.arff  RMSE                        8.63293        9  100
../datasets_2/albrecht.arff  R2 Score                    0.31758        9  100
../datasets_2/albrecht.arff  MAE                         6.79363        9  150
../datasets_2/albrecht.arff  Median Absolute Error       4.57986        9  150
../datasets_2/albrecht.arff  RMSE                        9.26218        9  150
../datasets_2/albrecht.arff  R2 Score                    0.21447        9  150
../datasets_2/albrecht.arff  MAE                         6.6761         9  200
../datasets_2/albrecht.arff  Median Absolute Error       4.69254        9  200
../datasets_2/albrecht.arff  RMSE                        9.05064        9  200
../datasets_2/albrecht.arff  R2 Score                    0.249943       9  200
../datasets_2/albrecht.arff  MAE                         6.76806        9  250
../datasets_2/albrecht.arff  Median Absolute Error       4.70967        9  250
../datasets_2/albrecht.arff  RMSE                        8.77814        9  250
../datasets_2/albrecht.arff  R2 Score                    0.294428       9  250
../datasets_2/albrecht.arff  MAE                         6.78129        9  300
../datasets_2/albrecht.arff  Median Absolute Error       4.95892        9  300
../datasets_2/albrecht.arff  RMSE                        8.80506        9  300
../datasets_2/albrecht.arff  R2 Score                    0.290094       9  300
../datasets_2/albrecht.arff  MAE                         7.00752       10   50
../datasets_2/albrecht.arff  Median Absolute Error       5.13848       10   50
../datasets_2/albrecht.arff  RMSE                        9.02837       10   50
../datasets_2/albrecht.arff  R2 Score                    0.25363       10   50
../datasets_2/albrecht.arff  MAE                         5.99065       10  100
../datasets_2/albrecht.arff  Median Absolute Error       4.61963       10  100
../datasets_2/albrecht.arff  RMSE                        7.84376       10  100
../datasets_2/albrecht.arff  R2 Score                    0.436642      10  100
../datasets_2/albrecht.arff  MAE                         6.50435       10  150
../datasets_2/albrecht.arff  Median Absolute Error       4.46297       10  150
../datasets_2/albrecht.arff  RMSE                        8.81473       10  150
../datasets_2/albrecht.arff  R2 Score                    0.288534      10  150
../datasets_2/albrecht.arff  MAE                         6.08538       10  200
../datasets_2/albrecht.arff  Median Absolute Error       4.56038       10  200
../datasets_2/albrecht.arff  RMSE                        8.65092       10  200
../datasets_2/albrecht.arff  R2 Score                    0.314731      10  200
../datasets_2/albrecht.arff  MAE                         6.43902       10  250
../datasets_2/albrecht.arff  Median Absolute Error       4.74409       10  250
../datasets_2/albrecht.arff  RMSE                        8.5003        10  250
../datasets_2/albrecht.arff  R2 Score                    0.338386      10  250
../datasets_2/albrecht.arff  MAE                         6.37881       10  300
../datasets_2/albrecht.arff  Median Absolute Error       4.90538       10  300
../datasets_2/albrecht.arff  RMSE                        8.66367       10  300
../datasets_2/albrecht.arff  R2 Score                    0.31271       10  300
../datasets_2/kemerer.arff   MAE                        99.4463         5   50
../datasets_2/kemerer.arff   Median Absolute Error     101.27           5   50
../datasets_2/kemerer.arff   RMSE                      107.86           5   50
../datasets_2/kemerer.arff   R2 Score                   -5.0485         5   50
../datasets_2/kemerer.arff   MAE                        77.4777         5  100
../datasets_2/kemerer.arff   Median Absolute Error      63.9421         5  100
../datasets_2/kemerer.arff   RMSE                       82.8172         5  100
../datasets_2/kemerer.arff   R2 Score                   -2.56589        5  100
../datasets_2/kemerer.arff   MAE                        77.928          5  150
../datasets_2/kemerer.arff   Median Absolute Error      69.3053         5  150
../datasets_2/kemerer.arff   RMSE                       85.8669         5  150
../datasets_2/kemerer.arff   R2 Score                   -2.83335        5  150
../datasets_2/kemerer.arff   MAE                        93.0097         5  200
../datasets_2/kemerer.arff   Median Absolute Error      88.8935         5  200
../datasets_2/kemerer.arff   RMSE                       98.1635         5  200
../datasets_2/kemerer.arff   R2 Score                   -4.00988        5  200
../datasets_2/kemerer.arff   MAE                        84.5965         5  250
../datasets_2/kemerer.arff   Median Absolute Error      84.7361         5  250
../datasets_2/kemerer.arff   RMSE                       89.7396         5  250
../datasets_2/kemerer.arff   R2 Score                   -3.18693        5  250
../datasets_2/kemerer.arff   MAE                        71.407          5  300
../datasets_2/kemerer.arff   Median Absolute Error      59.2677         5  300
../datasets_2/kemerer.arff   RMSE                       79.4077         5  300
../datasets_2/kemerer.arff   R2 Score                   -2.27833        5  300
../datasets_2/kemerer.arff   MAE                        42.9579         6   50
../datasets_2/kemerer.arff   Median Absolute Error      34.2371         6   50
../datasets_2/kemerer.arff   RMSE                       49.9951         6   50
../datasets_2/kemerer.arff   R2 Score                   -0.299517       6   50
../datasets_2/kemerer.arff   MAE                        72.919          6  100
../datasets_2/kemerer.arff   Median Absolute Error      72.0321         6  100
../datasets_2/kemerer.arff   RMSE                       82.9999         6  100
../datasets_2/kemerer.arff   R2 Score                   -2.58164        6  100
../datasets_2/kemerer.arff   MAE                        62.1364         6  150
../datasets_2/kemerer.arff   Median Absolute Error      52.8749         6  150
../datasets_2/kemerer.arff   RMSE                       69.2369         6  150
../datasets_2/kemerer.arff   R2 Score                   -1.49231        6  150
../datasets_2/kemerer.arff   MAE                        69.4848         6  200
../datasets_2/kemerer.arff   Median Absolute Error      55.9267         6  200
../datasets_2/kemerer.arff   RMSE                       73.6901         6  200
../datasets_2/kemerer.arff   R2 Score                   -1.82322        6  200
../datasets_2/kemerer.arff   MAE                        68.8995         6  250
../datasets_2/kemerer.arff   Median Absolute Error      60.5213         6  250
../datasets_2/kemerer.arff   RMSE                       74.5086         6  250
../datasets_2/kemerer.arff   R2 Score                   -1.88629        6  250
../datasets_2/kemerer.arff   MAE                        78.7471         6  300
../datasets_2/kemerer.arff   Median Absolute Error      70.5733         6  300
../datasets_2/kemerer.arff   RMSE                       84.7977         6  300
../datasets_2/kemerer.arff   R2 Score                   -2.73848        6  300
../datasets_2/kemerer.arff   MAE                        43.9956         7   50
../datasets_2/kemerer.arff   Median Absolute Error      39.5376         7   50
../datasets_2/kemerer.arff   RMSE                       49.9622         7   50
../datasets_2/kemerer.arff   R2 Score                   -0.297807       7   50
../datasets_2/kemerer.arff   MAE                        81.5695         7  100
../datasets_2/kemerer.arff   Median Absolute Error      81.69           7  100
../datasets_2/kemerer.arff   RMSE                       89.6705         7  100
../datasets_2/kemerer.arff   R2 Score                   -3.18048        7  100
../datasets_2/kemerer.arff   MAE                        70.8883         7  150
../datasets_2/kemerer.arff   Median Absolute Error      65.1707         7  150
../datasets_2/kemerer.arff   RMSE                       77.2882         7  150
../datasets_2/kemerer.arff   R2 Score                   -2.10565        7  150
../datasets_2/kemerer.arff   MAE                        73.6317         7  200
../datasets_2/kemerer.arff   Median Absolute Error      61.1391         7  200
../datasets_2/kemerer.arff   RMSE                       80.2796         7  200
../datasets_2/kemerer.arff   R2 Score                   -2.35072        7  200
../datasets_2/kemerer.arff   MAE                        70.0997         7  250
../datasets_2/kemerer.arff   Median Absolute Error      63.9277         7  250
../datasets_2/kemerer.arff   RMSE                       76.9097         7  250
../datasets_2/kemerer.arff   R2 Score                   -2.07531        7  250
../datasets_2/kemerer.arff   MAE                        68.0363         7  300
../datasets_2/kemerer.arff   Median Absolute Error      60.9984         7  300
../datasets_2/kemerer.arff   RMSE                       74.9628         7  300
../datasets_2/kemerer.arff   R2 Score                   -1.92158        7  300
../datasets_2/kemerer.arff   MAE                        91.3625         8   50
../datasets_2/kemerer.arff   Median Absolute Error      88.2071         8   50
../datasets_2/kemerer.arff   RMSE                      102.214          8   50
../datasets_2/kemerer.arff   R2 Score                   -4.43187        8   50
../datasets_2/kemerer.arff   MAE                        84.5455         8  100
../datasets_2/kemerer.arff   Median Absolute Error      78.6275         8  100
../datasets_2/kemerer.arff   RMSE                       92.8929         8  100
../datasets_2/kemerer.arff   R2 Score                   -3.48633        8  100
../datasets_2/kemerer.arff   MAE                        65.3166         8  150
../datasets_2/kemerer.arff   Median Absolute Error      54.6468         8  150
../datasets_2/kemerer.arff   RMSE                       71.2902         8  150
../datasets_2/kemerer.arff   R2 Score                   -1.64232        8  150
../datasets_2/kemerer.arff   MAE                        67.8534         8  200
../datasets_2/kemerer.arff   Median Absolute Error      56.5511         8  200
../datasets_2/kemerer.arff   RMSE                       75.1774         8  200
../datasets_2/kemerer.arff   R2 Score                   -1.93834        8  200
../datasets_2/kemerer.arff   MAE                        79.9462         8  250
../datasets_2/kemerer.arff   Median Absolute Error      68.1707         8  250
../datasets_2/kemerer.arff   RMSE                       85.0729         8  250
../datasets_2/kemerer.arff   R2 Score                   -2.76278        8  250
../datasets_2/kemerer.arff   MAE                        71.5604         8  300
../datasets_2/kemerer.arff   Median Absolute Error      58.3329         8  300
../datasets_2/kemerer.arff   RMSE                       77.1658         8  300
../datasets_2/kemerer.arff   R2 Score                   -2.09583        8  300
../datasets_2/kemerer.arff   MAE                        65.7645         9   50
../datasets_2/kemerer.arff   Median Absolute Error      50.3728         9   50
../datasets_2/kemerer.arff   RMSE                       70.4978         9   50
../datasets_2/kemerer.arff   R2 Score                   -1.58391        9   50
../datasets_2/kemerer.arff   MAE                        71.4477         9  100
../datasets_2/kemerer.arff   Median Absolute Error      65.6085         9  100
../datasets_2/kemerer.arff   RMSE                       76.1093         9  100
../datasets_2/kemerer.arff   R2 Score                   -2.01164        9  100
../datasets_2/kemerer.arff   MAE                        71.5565         9  150
../datasets_2/kemerer.arff   Median Absolute Error      59.1651         9  150
../datasets_2/kemerer.arff   RMSE                       76.8498         9  150
../datasets_2/kemerer.arff   R2 Score                   -2.07053        9  150
../datasets_2/kemerer.arff   MAE                        83.1495         9  200
../datasets_2/kemerer.arff   Median Absolute Error      81.6516         9  200
../datasets_2/kemerer.arff   RMSE                       92.7789         9  200
../datasets_2/kemerer.arff   R2 Score                   -3.47533        9  200
../datasets_2/kemerer.arff   MAE                        80.1408         9  250
../datasets_2/kemerer.arff   Median Absolute Error      66.3109         9  250
../datasets_2/kemerer.arff   RMSE                       85.1397         9  250
../datasets_2/kemerer.arff   R2 Score                   -2.7687         9  250
../datasets_2/kemerer.arff   MAE                        61.0745         9  300
../datasets_2/kemerer.arff   Median Absolute Error      53.7853         9  300
../datasets_2/kemerer.arff   RMSE                       71.2741         9  300
../datasets_2/kemerer.arff   R2 Score                   -1.64113        9  300
../datasets_2/kemerer.arff   MAE                        74.2035        10   50
../datasets_2/kemerer.arff   Median Absolute Error      58.2472        10   50
../datasets_2/kemerer.arff   RMSE                       78.3289        10   50
../datasets_2/kemerer.arff   R2 Score                   -2.18985       10   50
../datasets_2/kemerer.arff   MAE                        64.8583        10  100
../datasets_2/kemerer.arff   Median Absolute Error      55.1131        10  100
../datasets_2/kemerer.arff   RMSE                       75.3389        10  100
../datasets_2/kemerer.arff   R2 Score                   -1.95097       10  100
../datasets_2/kemerer.arff   MAE                        68.2656        10  150
../datasets_2/kemerer.arff   Median Absolute Error      49.3422        10  150
../datasets_2/kemerer.arff   RMSE                       73.3606        10  150
../datasets_2/kemerer.arff   R2 Score                   -1.79803       10  150
../datasets_2/kemerer.arff   MAE                        70.4518        10  200
../datasets_2/kemerer.arff   Median Absolute Error      63.8491        10  200
../datasets_2/kemerer.arff   RMSE                       77.119         10  200
../datasets_2/kemerer.arff   R2 Score                   -2.09207       10  200
../datasets_2/kemerer.arff   MAE                        77.448         10  250
../datasets_2/kemerer.arff   Median Absolute Error      74.8759        10  250
../datasets_2/kemerer.arff   RMSE                       85.5763        10  250
../datasets_2/kemerer.arff   R2 Score                   -2.80745       10  250
../datasets_2/kemerer.arff   MAE                        64.8568        10  300
../datasets_2/kemerer.arff   Median Absolute Error      53.4771        10  300
../datasets_2/kemerer.arff   RMSE                       72.458         10  300
../datasets_2/kemerer.arff   R2 Score                   -1.7296        10  300
../datasets_2/cocomo81.arff  MAE                       439.935          5   50
../datasets_2/cocomo81.arff  Median Absolute Error     117.942          5   50
../datasets_2/cocomo81.arff  RMSE                      849.818          5   50
../datasets_2/cocomo81.arff  R2 Score                   -0.34757        5   50
../datasets_2/cocomo81.arff  MAE                       530.536          5  100
../datasets_2/cocomo81.arff  Median Absolute Error      85.0259         5  100
../datasets_2/cocomo81.arff  RMSE                     1121.12           5  100
../datasets_2/cocomo81.arff  R2 Score                   -1.34533        5  100
../datasets_2/cocomo81.arff  MAE                       520.332          5  150
../datasets_2/cocomo81.arff  Median Absolute Error      85.3798         5  150
../datasets_2/cocomo81.arff  RMSE                     1101.59           5  150
../datasets_2/cocomo81.arff  R2 Score                   -1.26432        5  150
../datasets_2/cocomo81.arff  MAE                       495.184          5  200
../datasets_2/cocomo81.arff  Median Absolute Error     101.054          5  200
../datasets_2/cocomo81.arff  RMSE                     1037.97           5  200
../datasets_2/cocomo81.arff  R2 Score                   -1.01034        5  200
../datasets_2/cocomo81.arff  MAE                       503.309          5  250
../datasets_2/cocomo81.arff  Median Absolute Error     103.198          5  250
../datasets_2/cocomo81.arff  RMSE                     1056.91           5  250
../datasets_2/cocomo81.arff  R2 Score                   -1.08439        5  250
../datasets_2/cocomo81.arff  MAE                       506.069          5  300
../datasets_2/cocomo81.arff  Median Absolute Error     110.241          5  300
../datasets_2/cocomo81.arff  RMSE                     1068.6            5  300
../datasets_2/cocomo81.arff  R2 Score                   -1.13073        5  300
../datasets_2/cocomo81.arff  MAE                       556.155          6   50
../datasets_2/cocomo81.arff  Median Absolute Error      66.7373         6   50
../datasets_2/cocomo81.arff  RMSE                     1195.68           6   50
../datasets_2/cocomo81.arff  R2 Score                   -1.66767        6   50
../datasets_2/cocomo81.arff  MAE                       621.416          6  100
../datasets_2/cocomo81.arff  Median Absolute Error     124.052          6  100
../datasets_2/cocomo81.arff  RMSE                     1306.38           6  100
../datasets_2/cocomo81.arff  R2 Score                   -2.18446        6  100
../datasets_2/cocomo81.arff  MAE                       552.702          6  150
../datasets_2/cocomo81.arff  Median Absolute Error     104.33           6  150
../datasets_2/cocomo81.arff  RMSE                     1153.68           6  150
../datasets_2/cocomo81.arff  R2 Score                   -1.48353        6  150
../datasets_2/cocomo81.arff  MAE                       549.202          6  200
../datasets_2/cocomo81.arff  Median Absolute Error      81.8156         6  200
../datasets_2/cocomo81.arff  RMSE                     1181.55           6  200
../datasets_2/cocomo81.arff  R2 Score                   -1.60498        6  200
../datasets_2/cocomo81.arff  MAE                       560.423          6  250
../datasets_2/cocomo81.arff  Median Absolute Error      88.8804         6  250
../datasets_2/cocomo81.arff  RMSE                     1188.94           6  250
../datasets_2/cocomo81.arff  R2 Score                   -1.63766        6  250
../datasets_2/cocomo81.arff  MAE                       488.123          6  300
../datasets_2/cocomo81.arff  Median Absolute Error     111.17           6  300
../datasets_2/cocomo81.arff  RMSE                      997.159          6  300
../datasets_2/cocomo81.arff  R2 Score                   -0.855358       6  300
../datasets_2/cocomo81.arff  MAE                       654.239          7   50
../datasets_2/cocomo81.arff  Median Absolute Error      92.7026         7   50
../datasets_2/cocomo81.arff  RMSE                     1380.22           7   50
../datasets_2/cocomo81.arff  R2 Score                   -2.55466        7   50
../datasets_2/cocomo81.arff  MAE                       555.996          7  100
../datasets_2/cocomo81.arff  Median Absolute Error     102.299          7  100
../datasets_2/cocomo81.arff  RMSE                     1157.8            7  100
../datasets_2/cocomo81.arff  R2 Score                   -1.50129        7  100
../datasets_2/cocomo81.arff  MAE                       567.822          7  150
../datasets_2/cocomo81.arff  Median Absolute Error     127.916          7  150
../datasets_2/cocomo81.arff  RMSE                     1198.14           7  150
../datasets_2/cocomo81.arff  R2 Score                   -1.67862        7  150
../datasets_2/cocomo81.arff  MAE                       522.889          7  200
../datasets_2/cocomo81.arff  Median Absolute Error      84.3154         7  200
../datasets_2/cocomo81.arff  RMSE                     1122.52           7  200
../datasets_2/cocomo81.arff  R2 Score                   -1.35119        7  200
../datasets_2/cocomo81.arff  MAE                       485.351          7  250
../datasets_2/cocomo81.arff  Median Absolute Error      81.546          7  250
../datasets_2/cocomo81.arff  RMSE                     1034.93           7  250
../datasets_2/cocomo81.arff  R2 Score                   -0.998562       7  250
../datasets_2/cocomo81.arff  MAE                       546.525          7  300
../datasets_2/cocomo81.arff  Median Absolute Error      90.0046         7  300
../datasets_2/cocomo81.arff  RMSE                     1164.26           7  300
../datasets_2/cocomo81.arff  R2 Score                   -1.52928        7  300
../datasets_2/cocomo81.arff  MAE                       614.626          8   50
../datasets_2/cocomo81.arff  Median Absolute Error      95.4024         8   50
../datasets_2/cocomo81.arff  RMSE                     1315.53           8   50
../datasets_2/cocomo81.arff  R2 Score                   -2.22925        8   50
../datasets_2/cocomo81.arff  MAE                       525.109          8  100
../datasets_2/cocomo81.arff  Median Absolute Error      89.7943         8  100
../datasets_2/cocomo81.arff  RMSE                     1111.83           8  100
../datasets_2/cocomo81.arff  R2 Score                   -1.30663        8  100
../datasets_2/cocomo81.arff  MAE                       540.98           8  150
../datasets_2/cocomo81.arff  Median Absolute Error      83.273          8  150
../datasets_2/cocomo81.arff  RMSE                     1131.86           8  150
../datasets_2/cocomo81.arff  R2 Score                   -1.39047        8  150
../datasets_2/cocomo81.arff  MAE                       554.516          8  200
../datasets_2/cocomo81.arff  Median Absolute Error      86.1328         8  200
../datasets_2/cocomo81.arff  RMSE                     1182.8            8  200
../datasets_2/cocomo81.arff  R2 Score                   -1.61049        8  200
../datasets_2/cocomo81.arff  MAE                       538.454          8  250
../datasets_2/cocomo81.arff  Median Absolute Error      89.0966         8  250
../datasets_2/cocomo81.arff  RMSE                     1154.22           8  250
../datasets_2/cocomo81.arff  R2 Score                   -1.48587        8  250
../datasets_2/cocomo81.arff  MAE                       502.75           8  300
../datasets_2/cocomo81.arff  Median Absolute Error      80.0768         8  300
../datasets_2/cocomo81.arff  RMSE                     1044.24           8  300
../datasets_2/cocomo81.arff  R2 Score                   -1.03472        8  300
../datasets_2/cocomo81.arff  MAE                       444.769          9   50
../datasets_2/cocomo81.arff  Median Absolute Error      95.0018         9   50
../datasets_2/cocomo81.arff  RMSE                      912.908          9   50
../datasets_2/cocomo81.arff  R2 Score                   -0.55508        9   50
../datasets_2/cocomo81.arff  MAE                       538.399          9  100
../datasets_2/cocomo81.arff  Median Absolute Error     100.404          9  100
../datasets_2/cocomo81.arff  RMSE                     1147.3            9  100
../datasets_2/cocomo81.arff  R2 Score                   -1.45613        9  100
../datasets_2/cocomo81.arff  MAE                       532.396          9  150
../datasets_2/cocomo81.arff  Median Absolute Error      90.651          9  150
../datasets_2/cocomo81.arff  RMSE                     1121.27           9  150
../datasets_2/cocomo81.arff  R2 Score                   -1.34594        9  150
../datasets_2/cocomo81.arff  MAE                       543.879          9  200
../datasets_2/cocomo81.arff  Median Absolute Error     101.041          9  200
../datasets_2/cocomo81.arff  RMSE                     1147.43           9  200
../datasets_2/cocomo81.arff  R2 Score                   -1.45671        9  200
../datasets_2/cocomo81.arff  MAE                       510.945          9  250
../datasets_2/cocomo81.arff  Median Absolute Error      82.9308         9  250
../datasets_2/cocomo81.arff  RMSE                     1070.94           9  250
../datasets_2/cocomo81.arff  R2 Score                   -1.14007        9  250
../datasets_2/cocomo81.arff  MAE                       606.58           9  300
../datasets_2/cocomo81.arff  Median Absolute Error      86.8053         9  300
../datasets_2/cocomo81.arff  RMSE                     1302.83           9  300
../datasets_2/cocomo81.arff  R2 Score                   -2.1672         9  300
../datasets_2/cocomo81.arff  MAE                       532.255         10   50
../datasets_2/cocomo81.arff  Median Absolute Error      83.7252        10   50
../datasets_2/cocomo81.arff  RMSE                     1135.76          10   50
../datasets_2/cocomo81.arff  R2 Score                   -1.40699       10   50
../datasets_2/cocomo81.arff  MAE                       555.472         10  100
../datasets_2/cocomo81.arff  Median Absolute Error     102.63          10  100
../datasets_2/cocomo81.arff  RMSE                     1166.67          10  100
../datasets_2/cocomo81.arff  R2 Score                   -1.53977       10  100
../datasets_2/cocomo81.arff  MAE                       601.49          10  150
../datasets_2/cocomo81.arff  Median Absolute Error      99.6086        10  150
../datasets_2/cocomo81.arff  RMSE                     1272.57          10  150
../datasets_2/cocomo81.arff  R2 Score                   -2.02179       10  150
../datasets_2/cocomo81.arff  MAE                       517.309         10  200
../datasets_2/cocomo81.arff  Median Absolute Error      81.0188        10  200
../datasets_2/cocomo81.arff  RMSE                     1099.59          10  200
../datasets_2/cocomo81.arff  R2 Score                   -1.2561        10  200
../datasets_2/cocomo81.arff  MAE                       536.24          10  250
../datasets_2/cocomo81.arff  Median Absolute Error      79.0625        10  250
../datasets_2/cocomo81.arff  RMSE                     1145.68          10  250
../datasets_2/cocomo81.arff  R2 Score                   -1.4492        10  250
../datasets_2/cocomo81.arff  MAE                       559.194         10  300
../datasets_2/cocomo81.arff  Median Absolute Error      86.3949        10  300
../datasets_2/cocomo81.arff  RMSE                     1185.96          10  300
../datasets_2/cocomo81.arff  R2 Score                   -1.62445       10  300
../datasets_2/china.arff     MAE                       365.304          5   50
../datasets_2/china.arff     Median Absolute Error     131.945          5   50
../datasets_2/china.arff     RMSE                      821.8            5   50
../datasets_2/china.arff     R2 Score                    0.979615       5   50
../datasets_2/china.arff     MAE                       348.613          5  100
../datasets_2/china.arff     Median Absolute Error     138.032          5  100
../datasets_2/china.arff     RMSE                      784.265          5  100
../datasets_2/china.arff     R2 Score                    0.981434       5  100
../datasets_2/china.arff     MAE                       368.97           5  150
../datasets_2/china.arff     Median Absolute Error     134.025          5  150
../datasets_2/china.arff     RMSE                      846.07           5  150
../datasets_2/china.arff     R2 Score                    0.978393       5  150
../datasets_2/china.arff     MAE                       351.749          5  200
../datasets_2/china.arff     Median Absolute Error     138.285          5  200
../datasets_2/china.arff     RMSE                      727.098          5  200
../datasets_2/china.arff     R2 Score                    0.984042       5  200
../datasets_2/china.arff     MAE                       383.632          5  250
../datasets_2/china.arff     Median Absolute Error     147.336          5  250
