rely,data,cplx,time,virt,acap,pcap,vexp,lexp,modp,tool,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_pcap,MI_loc_acap,MI_loc_vexp,MI_aexp_data,actual
0.33786714,-0.02275123,0.40159726,0.15320213,0.11677803,0.29191792,0.3828426,0.48056298,0.27149695,0.3389969,0.41971093,-0.055297155,0.16222897,0.036347024,0.11363836,0.029749952,0.07089357,0.06255221,0.14786868,0.046828136,-0.0058186054,0.10081725
0.41997856,-0.095611304,0.44433293,0.20969725,0.13335943,0.30706438,0.40047202,0.6170061,0.31842908,0.32920888,0.44666427,-0.14222336,0.2400366,0.01514962,0.14332591,0.057201467,0.099913314,0.07206182,0.17894141,0.05870366,-0.040703695,0.15133715
0.45812163,-0.1500335,0.53198516,0.22792113,0.14917603,0.3287655,0.4536515,0.72967994,0.41131568,0.41005203,0.50186753,-0.15263903,0.28605112,0.031816073,0.16054516,0.07991881,0.09854728,0.11411825,0.23459806,0.063469924,-0.034327526,0.17574936
0.66524863,-0.27930212,0.5308669,0.43110666,0.15898053,0.37587094,0.46332142,0.8718591,0.57191,0.63776886,0.5985069,-0.26704884,0.49930295,0.035537027,0.24805017,0.10391029,0.20698424,0.19951864,0.420414,0.22813499,-0.29902786,0.31854755
0.43972695,-0.15076591,0.49750245,0.24238405,0.1299012,0.28979576,0.4382245,0.63107383,0.41776872,0.5208006,0.5152823,-0.11960639,0.2774699,0.028255211,0.17797291,0.07027557,0.15031172,0.12190989,0.2399936,0.13799056,-0.10556725,0.17256099
0.42357737,-0.074818775,0.49958676,0.22035375,0.16437462,0.28161445,0.41311055,0.6672078,0.36329103,0.35577488,0.47658294,-0.12524302,0.23729216,0.013824711,0.14155027,0.063786976,0.09824084,0.06975642,0.17829241,0.06806482,-0.00049934536,0.14844657
0.5699433,-0.16719843,0.65061164,0.38425478,0.21620668,0.31579748,0.50237036,0.95718604,0.6264038,0.522738,0.5809442,-0.16234735,0.4168306,0.05895073,0.23572405,0.18144691,0.16890064,0.17424339,0.3617988,0.21374385,-0.06963353,0.28526378
0.7450502,-0.14828715,0.6210189,0.42177147,0.21961592,0.43916106,0.5489754,0.8071908,0.6991751,1.0425116,0.8300096,-0.12841155,0.49282345,0.07183662,0.28533456,0.1742748,0.34817243,0.24877307,0.6376762,0.37701336,-0.37474737,0.27650172
0.63987607,-0.20231059,0.5459252,0.35585883,0.11446935,0.37999523,0.4961068,0.8110948,0.4825003,0.4609988,0.5332899,-0.3015572,0.44708192,0.03613018,0.19460768,0.10650306,0.12382372,0.16271654,0.31789738,0.13455464,-0.18634464,0.2610924
0.45023182,-0.117500424,0.5265948,0.23982435,0.18456662,0.29515627,0.4408099,0.7420233,0.42374465,0.39544648,0.50736463,-0.13916668,0.2742056,0.023317255,0.15725455,0.07534302,0.111585915,0.08705999,0.20433354,0.08662065,-0.015822798,0.1884346
0.39607444,-0.092622906,0.41597718,0.20401703,0.1336619,0.29593304,0.39349157,0.5645121,0.3840751,0.53422636,0.506426,-0.044651847,0.2469634,0.07274504,0.14869659,0.07711087,0.13867283,0.118501216,0.24458554,0.13835526,-0.08353834,0.15300743
0.5222869,-0.123777464,0.4435828,0.30040655,0.15919366,0.28813747,0.36012557,0.5654972,0.3782825,0.44512317,0.51228154,-0.1337197,0.3003715,0.029191293,0.1829918,0.08968275,0.16971445,0.09454696,0.2687247,0.1592382,-0.15191665,0.18763171
0.70368415,-0.3660185,0.67885333,0.4218727,0.13625693,0.42146248,0.62124944,1.0425179,0.6879988,0.9707383,0.73085254,-0.22368303,0.57189053,0.079648376,0.33114505,0.16916686,0.30817753,0.31299216,0.5537916,0.28817606,-0.3569194,0.27800706
0.7580843,-0.22098719,0.58415973,0.43082705,0.25204825,0.37406018,0.5463735,1.1002923,0.6881813,0.51026917,0.61274683,-0.39261892,0.5475903,0.059463844,0.23990712,0.16149333,0.14828782,0.17835163,0.37487093,0.16115463,-0.19265719,0.35440254
0.45807672,-0.16426107,0.48607183,0.32745814,0.22206205,0.24560475,0.38037455,0.75780904,0.47070226,0.44933897,0.5237596,-0.17359656,0.3039824,0.020515677,0.2091684,0.10862268,0.1504984,0.0738907,0.24485205,0.1666752,-0.08173837,0.19532911
0.88986194,-0.3209574,0.6192193,0.5885152,0.3387204,0.43856138,0.5805468,1.2240794,0.8719605,0.7148433,0.7055943,-0.45276538,0.71866167,0.054920852,0.27195558,0.17837524,0.20663601,0.26170313,0.47164008,0.25284818,-0.35175318,0.45074454
0.57857126,-0.2943774,0.6634656,0.44432393,0.15795496,0.35648623,0.5556915,1.0409861,0.7261636,0.75401723,0.6244797,-0.22899437,0.5370219,0.07453023,0.28879428,0.17019477,0.23783295,0.25073165,0.42747268,0.2917669,-0.24478741,0.28298962
0.4353274,-0.066051155,0.48564574,0.26005244,0.12866661,0.2870567,0.387242,0.55596346,0.40573803,0.5798743,0.54048663,-0.054396052,0.24165292,0.051854044,0.15605697,0.09001615,0.16221444,0.10945311,0.3131844,0.199894,-0.11027336,0.1562906
0.55190504,-0.17874567,0.5258847,0.35459653,0.19464199,0.35540026,0.477255,0.82779944,0.5410751,0.522182,0.5401571,-0.23220322,0.4235892,0.03301038,0.18038344,0.09191034,0.12453261,0.1471512,0.2925244,0.14221303,-0.15499899,0.2732257
0.33882293,-0.022614326,0.42397326,0.13684583,0.11608458,0.29994085,0.3924129,0.49146098,0.2770747,0.35545006,0.4291724,-0.06907596,0.15465298,0.016569488,0.113451585,0.025670394,0.06778401,0.056105886,0.14283542,0.038589187,0.007139664,0.10175784
0.33914167,-0.037447516,0.40273592,0.16423637,0.118426874,0.2818908,0.35807964,0.45959422,0.2721516,0.35960367,0.42134416,-0.078098536,0.15924545,0.011005595,0.12163995,0.016789906,0.079931304,0.041373488,0.13373879,0.057894796,-0.021105964,0.10373756
0.47115177,-0.1316004,0.55161214,0.26761526,0.16325039,0.26282755,0.40602905,0.68876195,0.44027272,0.53558415,0.5839591,-0.09278339,0.25770015,0.050641768,0.17332534,0.11833393,0.15264238,0.09604515,0.29941237,0.1803845,-0.06673314,0.16943203
0.5291759,-0.17147385,0.6400628,0.36721006,0.17877655,0.27224177,0.47977817,0.8876127,0.46038672,0.44650686,0.54910076,-0.1748233,0.3238035,0.0088477,0.21170105,0.12852204,0.1587227,0.11160155,0.27659702,0.19207458,-0.038081896,0.23703726
0.49493343,-0.14618774,0.5076332,0.35880926,0.22646688,0.29843447,0.42457625,0.7701923,0.4877404,0.4690729,0.49405146,-0.21088612,0.32925028,0.013567112,0.19343989,0.10021611,0.12834665,0.09842394,0.2532027,0.13005258,-0.095516935,0.24404806
0.43319723,-0.090704545,0.44897696,0.18256505,0.15172002,0.3448127,0.43002763,0.6283642,0.3584102,0.39264864,0.47046345,-0.11198881,0.25018668,0.038416214,0.11950907,0.050801784,0.079671286,0.07689488,0.18460996,0.044949755,-0.03162719,0.16514519
0.4629358,-0.023967553,0.59321326,0.32263908,0.10147396,0.32010975,0.4875458,0.74202186,0.5331423,0.61499506,0.61802995,-0.04618739,0.31427887,0.061119948,0.18163522,0.14174294,0.14397581,0.17203021,0.39908165,0.28600207,-0.12652154,0.2013549
0.94972295,-0.37875175,0.72379583,0.57300717,0.23781247,0.4403898,0.6564373,1.306585,0.81546724,0.6250887,0.7037833,-0.5220261,0.7388406,0.053497475,0.3210119,0.21682712,0.18986116,0.27289644,0.49086913,0.23277353,-0.315486,0.46572742
0.80901253,-0.36298606,0.71961784,0.4277128,0.14165673,0.47956386,0.64880216,1.1289654,0.62313366,0.5982779,0.664941,-0.40515095,0.60789686,0.06433641,0.26748854,0.17864028,0.18122357,0.26551002,0.45122603,0.15069753,-0.22303163,0.37596828
0.66033787,-0.13717477,0.66574174,0.41684946,0.21357448,0.39920682,0.5941901,0.9103136,0.76199985,0.98105973,0.7911765,-0.08080888,0.50405884,0.098300286,0.23522753,0.17425936,0.25865766,0.27330834,0.5376511,0.37988088,-0.28670442,0.32746166
0.43547347,-0.18435141,0.4989395,0.2663546,0.094772555,0.31438527,0.4633577,0.6866474,0.430457,0.5585758,0.50971806,-0.1883812,0.33331448,0.032646462,0.2207803,0.07241355,0.16820823,0.16610134,0.27981856,0.13623673,-0.14701083,0.17104755
0.49223232,-0.16522564,0.5590509,0.3147449,0.2015844,0.3432912,0.4797639,0.8442243,0.54358554,0.5142797,0.5442807,-0.20404567,0.38503665,0.030842688,0.18968418,0.09345884,0.12379345,0.13473018,0.27701768,0.12643221,-0.09458059,0.2612656
0.32197776,-0.041560646,0.3978891,0.16379228,0.12610143,0.2789015,0.34730473,0.4587921,0.28481865,0.3712234,0.42600837,-0.07125147,0.15104099,0.009737089,0.12413937,0.01719648,0.084972695,0.038968455,0.13193351,0.074079394,-0.015399404,0.09979777
0.3723211,-0.08261971,0.46639922,0.21555814,0.12553409,0.26263672,0.39472923,0.5727496,0.34293404,0.39036244,0.445615,-0.09157623,0.20407787,0.011420476,0.15143716,0.056857772,0.10217033,0.073237956,0.19069222,0.09718517,-0.023279104,0.12374571
0.50994796,-0.04576009,0.50946563,0.28297657,0.07870282,0.34560028,0.4800118,0.5125459,0.44637868,0.82693875,0.6941954,-0.015308417,0.30801114,0.06848891,0.1667458,0.094963245,0.20960934,0.13992417,0.4373213,0.27079278,-0.22817256,0.15563375
0.37187892,-0.04638892,0.45449948,0.17356962,0.13040245,0.2778312,0.38799706,0.5646088,0.30184066,0.3260849,0.42904305,-0.084473655,0.18941386,0.021507913,0.13360132,0.047337413,0.07879125,0.06865114,0.1583269,0.049373046,0.0046406463,0.12758024
0.46880308,-0.07582158,0.56394994,0.2674061,0.16051672,0.27923462,0.45580688,0.7647313,0.4102743,0.37641388,0.5105362,-0.15789938,0.29303706,0.012993184,0.15693432,0.09165204,0.116419554,0.08487727,0.2184144,0.09482641,-0.013205234,0.17724101
0.33302292,-0.02578323,0.39963672,0.124610856,0.11681419,0.30763763,0.38328084,0.4626225,0.26350558,0.3623063,0.42996016,-0.057194587,0.15044801,0.028328624,0.11058304,0.01614163,0.069914795,0.05829708,0.1276199,0.031390738,0.00044724345,0.09432736
0.32311037,0.0013324395,0.38326654,0.116575375,0.107664764,0.3212524,0.3733046,0.43538284,0.24153435,0.34605655,0.41994837,-0.059570264,0.15114269,0.023767233,0.0785485,0.005024787,0.058196407,0.03380801,0.10980333,0.026957361,0.0019561723,0.08252413
0.5486034,-0.12277947,0.6405704,0.3585026,0.2121736,0.26101255,0.47991297,0.92912227,0.5217241,0.4550847,0.56009626,-0.14172792,0.34220305,0.046022348,0.22559361,0.1677751,0.1569967,0.13450219,0.32054687,0.1916238,-0.020881336,0.2460508
0.4353663,-0.05810528,0.49631003,0.21194965,0.1657208,0.2868718,0.4205982,0.67690235,0.3553196,0.33484438,0.4815832,-0.12807658,0.25277093,0.020019023,0.12668835,0.067263395,0.08960269,0.06603466,0.18044402,0.05746579,8.8617206e-05,0.15468301
0.31001052,-0.050819594,0.4072369,0.14518714,0.104660064,0.27413225,0.3621741,0.45859352,0.27969146,0.39729092,0.43373966,-0.05778232,0.15337008,0.014074861,0.12954965,0.0200626,0.085967824,0.046545256,0.14543559,0.08170011,-0.016266264,0.098304
0.38138196,-0.108356014,0.51924163,0.25714484,0.0976972,0.292473,0.42507178,0.7446181,0.40282348,0.39288962,0.48359144,-0.1106253,0.3057353,0.05303581,0.18455182,0.12490261,0.109341696,0.16683759,0.29576215,0.12706305,-0.04742335,0.17298856
0.37628368,-0.06387186,0.4595602,0.19835094,0.12540922,0.29196453,0.39172536,0.51457745,0.31623214,0.4057644,0.45589375,-0.08033788,0.19408089,0.018636797,0.123067796,0.04192622,0.0976738,0.059271846,0.18583019,0.083305344,-0.0330025,0.12570184
0.53595626,-0.22630604,0.62178683,0.3090664,0.17336276,0.36169535,0.5316329,0.9286907,0.5768032,0.5405018,0.58135164,-0.20997763,0.41160515,0.038513772,0.21903269,0.11363598,0.15239011,0.17789352,0.31008056,0.14025348,-0.100565,0.2681217
0.3986138,-0.10077053,0.41489607,0.22673604,0.15476999,0.29127228,0.3755099,0.54019547,0.38802192,0.48174825,0.48821726,-0.064764634,0.25677934,0.032970622,0.15442382,0.059627242,0.1315649,0.06624775,0.20851515,0.1317317,-0.0895191,0.16744006
0.70099884,-0.20978068,0.597437,0.35270953,0.1623521,0.39022142,0.55234075,1.0238112,0.4787424,0.3521068,0.6135487,-0.3330834,0.51336616,0.060381882,0.200826,0.17767072,0.13171184,0.16222796,0.3406212,0.08909071,-0.12619828,0.27251098
0.37342024,-0.023897622,0.37080863,0.15957417,0.12897813,0.31989667,0.36132136,0.4880767,0.26561213,0.30432343,0.39698777,-0.1100032,0.17894952,0.023732336,0.10890283,0.031053782,0.06248595,0.058668796,0.13966595,0.011976961,-0.013472628,0.118584365
0.42589366,-0.15347819,0.51125973,0.2588751,0.14137915,0.25248933,0.388047,0.6599868,0.4254196,0.48014277,0.52127874,-0.107853085,0.25716603,0.03264276,0.17695355,0.08491131,0.15335593,0.10708572,0.24422798,0.14532332,-0.07831065,0.1530723
0.76873463,0.07878638,0.64078027,0.4150832,0.12886882,0.47180313,0.6539094,0.6987761,0.69359136,1.1886959,0.88226116,0.0034692958,0.44282833,0.11728875,0.21448438,0.167534,0.32154423,0.276162,0.7189774,0.45317698,-0.37479848,0.2979868
0.5327187,-0.03302454,0.76065534,0.44748235,0.0810069,0.37645307,0.6602046,0.86525667,0.5731298,0.8159183,0.73694533,-0.030668277,0.43755686,0.056499135,0.22885516,0.1845623,0.1546567,0.25200036,0.5643373,0.42792317,-0.23656572,0.24872994
0.50964785,-0.10686962,0.4771544,0.28462335,0.17027305,0.26810718,0.37168232,0.6377516,0.40672907,0.43912655,0.523436,-0.13530266,0.28100273,0.047419906,0.16700864,0.08776406,0.14126277,0.09424408,0.24247584,0.12784074,-0.101060405,0.18924372
0.44089204,-0.08620846,0.53614134,0.25019696,0.15213084,0.24700579,0.40086594,0.66123354,0.4067272,0.44062564,0.5137923,-0.08795121,0.24238713,0.03772825,0.16409984,0.095748805,0.13377617,0.08613238,0.24448079,0.14406462,-0.039296728,0.16078176
0.32181332,-0.053484056,0.42100546,0.16723426,0.052920498,0.28946087,0.37544408,0.4461408,0.2808581,0.41877273,0.46103346,-0.055889804,0.17671265,0.01715667,0.13294764,0.045333803,0.098523274,0.07309736,0.19660556,0.11347379,-0.066552326,0.11611897
0.4328435,-0.10442391,0.46212333,0.25545025,0.17796117,0.2516995,0.37810785,0.64729047,0.38674825,0.38048127,0.4795008,-0.13018154,0.24669908,0.018617768,0.16038387,0.083395965,0.113142416,0.056685794,0.18490107,0.10838512,-0.04171179,0.15788914
0.507884,-0.12492472,0.53279716,0.30076885,0.15725897,0.28077495,0.42340767,0.6782167,0.4567528,0.5695253,0.5821508,-0.10021807,0.3069305,0.066018306,0.17801239,0.12214068,0.16002639,0.11327073,0.34347042,0.20541503,-0.12424435,0.20195952
0.71495616,-0.32093242,0.7625325,0.5044503,0.2081087,0.34827122,0.62388897,1.1595668,0.77394974,0.80894995,0.73319143,-0.23819864,0.6039711,0.09510702,0.28061917,0.22276184,0.24225387,0.26349598,0.5120445,0.3216577,-0.24771409,0.29447174
0.33633178,0.005369719,0.40835267,0.15728787,0.08207881,0.29301155,0.38344553,0.458117,0.2425086,0.30936465,0.40998837,-0.083525404,0.17537509,0.01877693,0.08087651,0.025116205,0.056033544,0.039879587,0.14326034,0.038364865,-0.010078415,0.092522085
0.3806028,-0.09371032,0.48699805,0.2312038,0.13175794,0.26926288,0.38530764,0.5886649,0.34400427,0.41023296,0.45969748,-0.077530995,0.21001554,0.019172389,0.15944138,0.06538223,0.11822374,0.07358238,0.21504104,0.12199332,-0.034268264,0.14642774
0.5976977,-0.23735096,0.54926723,0.43495342,0.19672719,0.34101683,0.452133,0.8852037,0.6153625,0.68868613,0.6314194,-0.19258013,0.482077,0.045714766,0.25508806,0.119596876,0.21862903,0.1998991,0.4361449,0.27308145,-0.27138624,0.30228508
0.64303666,-0.18852912,0.5387491,0.4165425,0.23557986,0.3060563,0.43462902,0.880864,0.53535396,0.4613904,0.5670897,-0.26652068,0.41472098,0.040917985,0.22766376,0.14014727,0.1674855,0.12762477,0.3086705,0.1653883,-0.1388063,0.29455268
0.43801346,-0.07589838,0.5444805,0.26610678,0.15216923,0.27504528,0.42494252,0.7246791,0.43024236,0.4135625,0.49263176,-0.08709103,0.27253208,0.039693363,0.17297041,0.10194906,0.11683795,0.115978494,0.23852709,0.1427295,-0.030286092,0.17695323
0.3841351,-0.06868321,0.39025682,0.24765864,0.15444794,0.2655029,0.33792454,0.5012973,0.31574753,0.39091912,0.43291685,-0.10583511,0.21817619,0.01260233,0.14710678,0.04313855,0.10571782,0.051240046,0.1676191,0.10012791,-0.075236484,0.138177
0.5368428,-0.09936705,0.58325714,0.3151836,0.20207307,0.28816572,0.47852105,0.84709746,0.46834022,0.39275327,0.52845216,-0.20354432,0.31889433,0.0050278027,0.18037045,0.11644309,0.12548876,0.09426926,0.24048483,0.11326762,-0.023829099,0.21293102
0.46349517,-0.14009342,0.5704425,0.27921185,0.17929654,0.29760262,0.46335098,0.8876314,0.5313025,0.44383442,0.5456436,-0.14542049,0.34284863,0.057555377,0.2083649,0.13425756,0.14188574,0.15072115,0.2885006,0.14804925,-0.042486038,0.2400477
0.769958,-0.28629813,0.75689375,0.4254579,0.12950706,0.40081942,0.6452085,1.183859,0.6596801,0.53775114,0.64130664,-0.320706,0.5766874,0.08052198,0.31166777,0.2138963,0.18764679,0.28479025,0.46703076,0.17323475,-0.15194353,0.3067356
0.4961,-0.20638503,0.5518355,0.35874915,0.18013448,0.33341697,0.46651185,0.82327074,0.57137597,0.5968768,0.5507556,-0.16342285,0.40563726,0.04611142,0.20776172,0.11872012,0.17141037,0.16014516,0.32745874,0.20058954,-0.1385104,0.21930322
0.3967489,-0.09246418,0.46082607,0.21331862,0.16854486,0.33885634,0.42119735,0.64288616,0.4138984,0.4440151,0.4829892,-0.13838439,0.26163125,0.027519353,0.15065117,0.051454537,0.09671804,0.077067494,0.20307317,0.07748967,-0.046043117,0.18560958
0.6250907,-0.27398017,0.6501906,0.3165437,0.1540307,0.3955489,0.5656735,1.0252824,0.5784385,0.5269697,0.6004338,-0.23912045,0.457792,0.077606335,0.25492463,0.16024747,0.14868736,0.2409794,0.3905367,0.10878804,-0.12465699,0.27272475
0.34861997,-0.079882175,0.3749239,0.16623455,0.09153354,0.27095208,0.36476082,0.43739793,0.29867253,0.49036136,0.47133738,-0.029087272,0.21106417,0.054089565,0.13640279,0.0388003,0.121911556,0.08000089,0.19708781,0.115405895,-0.094569996,0.10665822
0.39759943,-0.08977017,0.48940307,0.23224738,0.12551971,0.25057134,0.38099226,0.6274758,0.34704065,0.36285573,0.47637814,-0.099974155,0.23946801,0.024801333,0.16241166,0.066410385,0.13239683,0.053752374,0.19612357,0.12242316,-0.032084372,0.15237293
0.34639758,-0.025108319,0.41488695,0.1537795,0.10706518,0.26530826,0.35693556,0.45883134,0.28439242,0.3727622,0.44229746,-0.06011689,0.14385593,0.019966718,0.11285928,0.033890434,0.09489515,0.04515985,0.1382665,0.07967437,-0.015198924,0.09777884
1.0955404,-0.60941964,1.0770469,0.6035851,0.27184632,0.5654286,0.92399764,1.8280462,1.0661371,0.8797347,0.9570453,-0.5331267,0.94785315,0.096043475,0.41249466,0.32762834,0.27964807,0.45601296,0.67519826,0.25519153,-0.29033563,0.5148418
1.1158814,-0.5009578,1.0438441,0.5952185,0.2630831,0.5344742,0.87240595,1.7962033,0.9867866,0.6825416,0.9254026,-0.53403425,0.88670826,0.11101562,0.3887037,0.35968807,0.2371143,0.3830255,0.65616196,0.22717707,-0.20169596,0.5016447
0.3988656,-0.09846717,0.48194748,0.1908199,0.119185016,0.3118855,0.4292681,0.6232127,0.3447231,0.3770023,0.4622316,-0.11577134,0.23284875,0.025849361,0.14218631,0.058238648,0.086202085,0.08868563,0.19570225,0.055520765,-0.024418902,0.13983274
0.80024785,-0.4393508,0.76335233,0.5002212,0.1868987,0.4487662,0.70552015,1.2486302,0.84925365,0.9056754,0.73458356,-0.36175078,0.69813436,0.059161488,0.38982788,0.19942364,0.28943834,0.3600154,0.5506931,0.2782736,-0.386544,0.36465436
0.58419913,-0.30500937,0.6728211,0.40343183,0.26307386,0.41090825,0.5678455,1.1408377,0.7946483,0.7467861,0.66580164,-0.25877497,0.5352221,0.053154748,0.29680696,0.17778495,0.2016764,0.23948255,0.42933652,0.22344054,-0.18912932,0.3646712
0.3634815,-0.037633482,0.44279933,0.16915923,0.13289742,0.288776,0.39617348,0.5379551,0.29892576,0.34683007,0.43832895,-0.088146776,0.18685554,0.015810423,0.12349801,0.03387566,0.07387927,0.056227554,0.13943866,0.045050398,0.00023610145,0.11006886
0.4685787,-0.1658236,0.503944,0.29576617,0.18966225,0.30718958,0.41364947,0.7881401,0.5071002,0.4454505,0.50754726,-0.12824832,0.3540779,0.061550196,0.19205263,0.103521936,0.15453532,0.103163764,0.25405395,0.16234337,-0.080346525,0.22346395
0.36787724,-0.11359377,0.4604174,0.2365214,0.13842693,0.29997706,0.38953295,0.59586084,0.362183,0.45576927,0.44717938,-0.09143551,0.21564406,0.023097288,0.17208928,0.0563849,0.11764754,0.09314676,0.22248705,0.10663677,-0.055109795,0.14795034
0.5263591,-0.048862506,0.52579504,0.28523317,0.1859599,0.27822718,0.44986317,0.80279315,0.44149607,0.31506124,0.5000194,-0.19843622,0.3272315,0.026292335,0.16163485,0.10331904,0.1212398,0.07652639,0.22524305,0.0949668,-0.022427682,0.20978348
0.52385145,-0.20508109,0.5676479,0.32489505,0.1821274,0.36289614,0.47734112,0.82725483,0.5224301,0.52449983,0.5277839,-0.19077462,0.37635237,0.038966477,0.19293047,0.11234907,0.1292239,0.14698696,0.29349175,0.119925395,-0.10293619,0.24818929
0.43318763,-0.030619372,0.5631168,0.2631615,0.120656386,0.29490146,0.45965433,0.7675771,0.4703545,0.46297744,0.54040533,-0.06727834,0.2903222,0.06255667,0.15704048,0.1269247,0.12303983,0.14785044,0.31679806,0.18861727,-0.05056395,0.19060989
0.4672814,-0.045810897,0.51927936,0.2304267,0.08576788,0.30872047,0.41050225,0.5372778,0.39536726,0.50880617,0.572497,-0.059035707,0.2140285,0.04529859,0.13984361,0.11164416,0.15101427,0.10009973,0.29839155,0.18324292,-0.09104638,0.18188256
0.4166681,-0.10993752,0.4757662,0.22948745,0.10525088,0.29744083,0.39288738,0.5457226,0.32395592,0.4527287,0.4768221,-0.09665409,0.2249208,0.019463407,0.14427069,0.05252564,0.1268874,0.082486,0.22433667,0.10601066,-0.08442244,0.14179182
0.41584376,-0.08732127,0.4982656,0.20921746,0.13592756,0.31405476,0.40183482,0.55131954,0.33912155,0.45716754,0.5015869,-0.09195413,0.20700487,0.012112847,0.13925493,0.043044113,0.11970183,0.06799096,0.22301963,0.106589966,-0.056449484,0.13919528
0.38428083,-0.098958686,0.4506635,0.17895022,0.09887383,0.3297804,0.4151109,0.5352594,0.30940306,0.4176571,0.45835313,-0.12027888,0.22679107,0.027488388,0.13402833,0.022651002,0.07906139,0.08385232,0.17072627,0.05144208,-0.055662166,0.12403509
0.35891268,-0.058368783,0.439898,0.19308628,0.13183564,0.31770217,0.3920359,0.5367143,0.36301038,0.43106422,0.46204036,-0.0738495,0.21310277,0.02820785,0.12812811,0.050637983,0.098277315,0.06286557,0.19024287,0.10346693,-0.029480722,0.14180607
0.4364102,-0.11257185,0.5471202,0.2830488,0.18460484,0.29524404,0.43447956,0.7660524,0.5025381,0.4929024,0.52314365,-0.10305819,0.30137658,0.038420595,0.17251143,0.10663422,0.14081964,0.1290126,0.25546056,0.1589725,-0.054072406,0.22340824
0.33277246,-0.0016405471,0.42427894,0.14170048,0.10514692,0.2936689,0.39085954,0.4678585,0.26815122,0.34447542,0.422637,-0.069500044,0.15561032,0.011044441,0.1095501,0.021986194,0.066617824,0.04666793,0.1385888,0.04483698,0.002437055,0.0994032
0.6619556,-0.23501359,0.7217475,0.43757713,0.18869935,0.30601695,0.5450359,1.0917395,0.650838,0.5221424,0.59037524,-0.20895189,0.47645503,0.056361243,0.27150047,0.20314416,0.19469416,0.1803608,0.37082618,0.2230985,-0.093147844,0.32018134
0.4807461,-0.11849594,0.56372195,0.2604394,0.12210167,0.31819576,0.4794307,0.7377505,0.40966576,0.40952918,0.5101342,-0.17873575,0.3136344,0.020240305,0.16890171,0.08201961,0.11319916,0.11148606,0.23292425,0.08477282,-0.045898344,0.18593398
0.37255976,-0.06728345,0.45515648,0.17019075,0.13027428,0.30788842,0.41653422,0.58418846,0.32904965,0.3712145,0.44708607,-0.09376286,0.19926636,0.021294247,0.12790994,0.05200745,0.07582992,0.07947311,0.18447188,0.04398068,-0.0026648417,0.12674743
