size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t02,t03,t04,t05,t06,t07,t08,t10,t11,t12,t14,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_9,Generated_Var_12,effort_D
0.5528957,0.24069917,0.5380635,0.82421875,1.1160065,0.3890308,1.3644822,1.1268092,0.8167639,0.37238806,0.55496967,0.3274931,1.0247068,0.79422224,0.78123075,-0.0410268,0.87992424,1.0515687,0.99369735,0.50070935,1.0822222,0.7855626,0.88959515,0.7197944,0.14917098,0.17133194,0.47729445,0.21035436
0.36023882,0.37156785,0.8694403,0.9310343,1.0430146,1.0951614,1.9537452,0.66552806,0.1827575,0.7137794,0.06798904,0.49063534,0.75362086,0.78601265,0.5384381,0.35345733,0.62246877,0.8578807,1.0051724,0.6378806,0.5178045,0.61096853,0.19473821,0.7017267,0.3915238,-0.13130362,0.31392032,0.27160212
0.44010884,0.2856172,0.6748579,0.7191329,0.9600231,0.47764266,1.2441828,0.77003866,0.31809753,0.37819642,0.49542966,0.33849293,0.8014828,0.6514482,0.62565905,0.023619153,0.7281267,0.7774128,1.0172853,0.49818808,0.80212176,0.6014893,0.66369605,0.59414977,0.20040463,0.094519846,0.33946383,0.15463953
0.23785032,0.26884365,0.657568,0.8025489,0.94717944,0.9958321,1.5099249,0.4666554,0.065480165,0.6502956,0.09211177,0.4335425,0.59676635,0.7287579,0.47003427,0.24899763,0.53351885,0.648239,0.8611033,0.715453,0.417539,0.43481013,0.22837265,0.52866495,0.4538419,0.046166178,0.37912947,0.15889204
0.16240999,0.23291811,0.62263864,0.65444326,0.8171678,0.81945753,1.1988363,0.24858816,-0.18273847,0.634521,0.15473355,0.40110072,0.47289544,0.62387884,0.38945562,0.20547548,0.4842488,0.39866713,0.7775537,0.6569753,0.24748172,0.26280975,0.31410062,0.37074736,0.48821628,0.16251233,0.39572203,0.091653176
0.47572035,0.43291655,0.80190367,0.8493301,0.9711168,0.82073104,1.6912005,0.8781877,0.43548343,0.51178503,0.26697484,0.4136231,0.8204566,0.7124287,0.6575829,0.281517,0.6972871,0.91286427,0.93103164,0.45646545,0.7565986,0.70664084,0.399121,0.7474854,0.16364323,-0.11662516,0.2221187,0.31870183
0.48055184,0.28492707,0.60237235,0.73923844,0.99581295,0.4464535,1.2612714,0.9221583,0.50836694,0.3524937,0.5255687,0.31992444,0.88436794,0.6787731,0.68577224,0.0117954435,0.7887265,0.88353497,0.97706616,0.47541282,0.91331154,0.65687156,0.73564696,0.6326494,0.1767804,0.13726199,0.40197825,0.19140181
0.15140888,-0.025335493,0.2685516,0.5669873,0.8692912,0.49697196,0.80663925,0.3557164,0.08958462,0.48357207,0.35883945,0.32881272,0.5932385,0.68166924,0.37523922,-0.088671036,0.49954638,0.41522112,0.69210076,0.7705942,0.36363474,0.21489559,0.6400024,0.24449505,0.5987076,0.48473713,0.720981,-0.09193068
0.17899811,0.21588685,0.591276,0.6595657,0.8422065,0.78382003,1.1806389,0.2788356,-0.14597486,0.6120459,0.18927622,0.39558625,0.51061344,0.6422832,0.40245485,0.1704649,0.48608726,0.4212016,0.7830239,0.66710615,0.2791792,0.28156108,0.32990828,0.36774698,0.49317577,0.18117575,0.4165678,0.065713026
0.21384019,-0.13604413,0.18709591,0.64694667,1.1727709,0.3420443,0.78623897,0.38303435,0.12303914,0.54266006,0.5496832,0.3218036,0.78877854,0.8433609,0.4788544,-0.24638788,0.58546704,0.42034328,0.8674047,1.0653927,0.44609416,0.22812186,1.0699366,0.13753346,0.83542925,0.83239233,1.1124555,-0.22858784
0.15559852,0.14751118,0.5183425,0.76735306,0.9113261,0.9476719,1.3853371,0.35835248,0.05485618,0.6830424,0.07615011,0.43127725,0.5636885,0.77481997,0.40944275,0.20070523,0.5063069,0.5440516,0.7743397,0.78352267,0.30374035,0.32458672,0.31549957,0.41997936,0.55721503,0.16933116,0.5219194,0.051961713
0.22429535,0.2702846,0.69968164,0.8534525,0.96877635,1.0710189,1.6438155,0.40000284,0.02747273,0.72469145,0.03605133,0.45482507,0.60749465,0.7670307,0.47280735,0.28996006,0.55284226,0.6297315,0.8772597,0.7711798,0.33379626,0.4035997,0.23803054,0.5378,0.5179909,0.03574466,0.4204596,0.13960399
0.1897323,0.088385575,0.36036706,0.6091256,0.8316911,0.60344243,0.9716848,0.46128097,0.17324747,0.472929,0.28305617,0.34861022,0.5733453,0.6775547,0.40835667,0.019196346,0.5076557,0.51744694,0.7024331,0.63123274,0.4540988,0.3299188,0.498571,0.37687904,0.42800415,0.2659606,0.51244044,0.02820036
0.21786949,0.30750912,0.8102912,0.8806454,1.0187243,1.1664648,1.8204757,0.33804473,-0.13071948,0.8318294,-0.010961835,0.48716852,0.613592,0.78350127,0.44129944,0.33094072,0.54739475,0.63474596,0.9471751,0.76518506,0.27433756,0.4142025,0.15273769,0.53256387,0.5520178,-0.014556416,0.40838256,0.1806631
0.43567145,0.24858123,0.5924362,0.7167785,0.99790806,0.44537562,1.187167,0.78862464,0.37378472,0.37722242,0.5374289,0.3253645,0.86441255,0.6869948,0.6346021,-0.038552485,0.7537855,0.7959098,0.9911856,0.55012226,0.8400474,0.5874774,0.747534,0.5777328,0.23779163,0.17234448,0.43277144,0.13407455
0.25057977,0.31181625,0.71151763,0.79005873,0.89973223,0.990981,1.528431,0.43454376,0.024388134,0.6723261,0.08612515,0.44359478,0.5878314,0.70894057,0.4485573,0.27827325,0.54101187,0.6182652,0.83326197,0.6495245,0.38355237,0.4174242,0.2221527,0.5310327,0.41880697,-0.0038238014,0.34058833,0.1703355
0.22859724,0.29469827,0.71784043,0.7825078,0.89381015,1.0059074,1.5529015,0.381059,-0.02866469,0.6955883,0.055139918,0.45486447,0.56604815,0.707483,0.4086539,0.2812503,0.52275705,0.58959883,0.8248514,0.6525302,0.33965573,0.38876146,0.18540941,0.5137799,0.44352368,-0.015638556,0.34238195,0.16631491
0.09225328,0.026167577,0.49265066,0.7372938,1.1274303,0.82972646,1.3321087,0.1052582,-0.31126532,0.80462456,0.16622587,0.41780096,0.7073134,0.87789315,0.484111,0.076384395,0.5152018,0.3448127,0.9658532,1.1042933,0.10997293,0.14654718,0.68321866,0.16965947,0.9492694,0.6559879,0.94799936,-0.11989529
0.21558815,0.2660532,0.64697325,0.68163675,0.8357004,0.807629,1.2864386,0.3222972,-0.11461848,0.58082074,0.16355222,0.38379538,0.5285195,0.62434304,0.4277197,0.19439442,0.5197398,0.48415342,0.82151586,0.5871019,0.3422633,0.32213908,0.290764,0.42662838,0.3950156,0.08759688,0.3194957,0.13091178
0.21568221,-0.013138343,0.27238157,0.53880924,0.9348756,0.368452,0.7114288,0.38797775,0.078452446,0.4319418,0.47824988,0.28378052,0.66233253,0.66903085,0.39625224,-0.15813014,0.5425999,0.41552573,0.7546604,0.7686351,0.4419381,0.23874217,0.800163,0.21657367,0.57678866,0.5381911,0.76833284,-0.107764915
0.16715193,0.010993516,0.28518507,0.60285735,0.821965,0.55091447,0.9024976,0.40452304,0.15754174,0.47359276,0.2800649,0.3284516,0.5767586,0.6833972,0.35414365,-0.027733333,0.46257836,0.48855382,0.67479944,0.6606211,0.4059255,0.29203936,0.51985765,0.3103411,0.46777728,0.30869403,0.5558733,-0.022967003
0.23936293,-0.09853767,0.2109857,0.72805816,1.0767987,0.43753058,1.0164843,0.66860515,0.4628267,0.46302444,0.4748495,0.31508553,0.80701375,0.8763707,0.48086944,-0.16118829,0.62220955,0.7098429,0.83829635,0.82069945,0.6391694,0.45335478,0.82716995,0.39135468,0.53937364,0.455599,0.7602507,-0.060045928
0.22218879,0.10713306,0.37485605,0.56793016,0.82664585,0.48677766,0.87039536,0.46324828,0.13131101,0.42588514,0.37381858,0.321025,0.5939653,0.62990654,0.40812334,-0.037052695,0.5298445,0.49932766,0.72725254,0.6036154,0.48872927,0.31785947,0.56552577,0.35095194,0.40771896,0.29122534,0.5095333,0.0066522444
0.1814492,0.11539343,0.39205062,0.5732768,0.7968736,0.5946006,0.89357966,0.3909865,0.06673375,0.48485982,0.29844993,0.34241816,0.53243506,0.62916595,0.3808349,0.020492233,0.4906012,0.4505096,0.68774813,0.626131,0.39905947,0.2797431,0.48249754,0.3329556,0.43693304,0.28311196,0.49835232,0.012235506
0.43708786,0.09725923,0.36476177,0.71906036,1.0703964,0.25420332,0.97706294,0.8825742,0.60340816,0.36000317,0.59443706,0.282766,0.9104893,0.774302,0.61322343,-0.16635264,0.7847584,0.8417016,0.89839816,0.6059086,0.9114865,0.594972,0.94016534,0.5087085,0.32190606,0.33813244,0.63273567,0.04369744
0.19701293,0.12876724,0.40486726,0.56612194,0.7846961,0.564785,0.89477295,0.39549413,0.07610668,0.45957595,0.30189544,0.3332028,0.54213244,0.6119545,0.3813852,0.0049267486,0.5057033,0.45367238,0.7049882,0.59336346,0.41832733,0.2965824,0.48223108,0.33862478,0.40608442,0.25402468,0.46531272,0.031570867
0.26979542,0.03831762,0.37902263,0.57399386,0.93015957,0.31137055,0.8389266,0.55160844,0.23335706,0.35260212,0.5323329,0.2643406,0.7511419,0.6643697,0.44276166,-0.1388971,0.6058516,0.5793154,0.8255324,0.63710725,0.6226088,0.40362448,0.74673694,0.35333532,0.3764918,0.33327484,0.56023526,-0.0013403436
0.3707192,0.14275147,0.39184245,0.66561264,0.97222614,0.3672351,0.96942,0.76698565,0.47146666,0.3742113,0.5032973,0.2823281,0.79352987,0.7032997,0.5834442,-0.07763861,0.6886577,0.75127983,0.82905644,0.5799472,0.79924273,0.50328285,0.76589006,0.48225152,0.29712173,0.29392672,0.55516815,0.07846833
0.23731758,0.18283,0.4894158,0.6059145,0.76076865,0.60304713,1.0885592,0.4634953,0.11374485,0.45935655,0.23112714,0.36542797,0.5547532,0.61389214,0.4233313,0.07732835,0.5208642,0.52886504,0.7257109,0.51584417,0.4543606,0.36720493,0.40165144,0.43154526,0.2890426,0.09459909,0.32357243,0.11097749
0.21041201,0.26732007,0.6730399,0.7421142,0.87835556,0.9192245,1.4022952,0.29050526,-0.15422586,0.6604365,0.086407706,0.41454238,0.52316904,0.67184997,0.40607074,0.23767759,0.49616444,0.5039631,0.82573724,0.6488023,0.28199828,0.32725564,0.23111552,0.42990625,0.45853642,0.0662286,0.35803625,0.13097252
0.25416648,0.26820862,0.6774896,0.90283763,1.0403955,1.1190675,1.7496301,0.52964914,0.21333218,0.7138837,0.06127242,0.48692024,0.67389023,0.8500434,0.5116025,0.3042079,0.58717316,0.7397564,0.9034616,0.7973057,0.44754893,0.47134987,0.28241083,0.62048364,0.50808966,0.015385128,0.45810616,0.1601106
0.21094997,0.13947299,0.42981687,0.59841007,0.8392298,0.6097734,0.979246,0.4162353,0.09593703,0.49097687,0.31546336,0.32860947,0.5855049,0.6403188,0.41582146,0.04176487,0.51280737,0.50708896,0.7377219,0.6284719,0.44661188,0.3188709,0.4870234,0.3693714,0.43267843,0.2718477,0.48002267,0.024984738
0.18322507,0.22384205,0.6049846,0.6827871,0.83875036,0.82524323,1.2343807,0.3113815,-0.10703894,0.61598855,0.17759359,0.3848691,0.5270427,0.64140004,0.40396422,0.18299592,0.4933903,0.47531027,0.79582614,0.6471553,0.30675763,0.32388452,0.30763966,0.38630027,0.4506174,0.13384634,0.3877327,0.088041656
0.36656794,0.5744702,1.3695596,1.3736595,1.5897202,1.8324499,3.0322165,0.53923595,-0.26201996,1.2893516,-0.12118936,0.6852806,0.95449615,1.1116031,0.6134813,0.59717774,0.758378,1.0310377,1.5189648,1.0518119,0.3571495,0.7452363,0.04123745,0.83861774,0.81196976,-0.20652235,0.5266245,0.36774567
0.1927625,0.26093435,0.6569343,0.7128063,0.8499514,0.87706304,1.2983898,0.2933456,-0.13848646,0.6376922,0.13285132,0.3954535,0.5047687,0.6375503,0.41530842,0.2211657,0.4947794,0.4686845,0.8088576,0.65059584,0.27735946,0.32267284,0.25713885,0.41081074,0.45653784,0.10569653,0.35891664,0.113973446
0.14712381,0.16689974,0.51976216,0.6158463,0.81536657,0.74635255,1.0716572,0.27501962,-0.10924985,0.5912895,0.20136452,0.38338512,0.4874318,0.6321447,0.37440774,0.13004516,0.46948737,0.39841387,0.7356579,0.67894596,0.2758839,0.24406382,0.3764696,0.33622018,0.5007522,0.22860652,0.46225393,0.048235252
0.2382144,0.25384438,0.57509,0.6552293,0.7907532,0.7280811,1.131681,0.46153906,0.11244742,0.50289357,0.24020557,0.38804182,0.53800297,0.62431425,0.44522333,0.15334441,0.5216268,0.55375195,0.7579368,0.54764295,0.46361777,0.3801012,0.3715227,0.46182,0.31634313,0.092130005,0.321728,0.12147047
0.2059037,0.23751473,0.58846635,0.73348427,0.858289,0.91482484,1.3467584,0.4157318,0.08992164,0.6032573,0.12006641,0.431495,0.5436237,0.7026181,0.4262373,0.22312753,0.5071729,0.568245,0.7726722,0.664203,0.38103142,0.37154558,0.27035287,0.47824928,0.4272528,0.07041776,0.38278106,0.11566722
0.2175609,0.07895922,0.3736606,0.55650884,0.93594044,0.4793566,0.8189687,0.3865899,-0.013268905,0.47690094,0.45684338,0.31269914,0.63398755,0.6633338,0.43032,-0.066071935,0.55263776,0.42351606,0.7965525,0.7306654,0.42157736,0.25193638,0.7181801,0.27465683,0.5591058,0.47714448,0.6823856,-0.05944542
0.44897512,0.38901812,0.8686411,1.0739918,1.2057012,1.2080693,2.225809,0.8571357,0.42030194,0.75076413,0.09808274,0.52473086,0.8819665,0.9332065,0.6773753,0.35265768,0.7327272,1.0457114,1.0972514,0.74084926,0.6859264,0.71154755,0.28241724,0.85945743,0.38899726,-0.1414659,0.38765678,0.3132069
0.19215274,0.21608354,0.5900711,0.65000975,0.83441836,0.75783455,1.1834453,0.3026322,-0.112288594,0.5611447,0.21272701,0.41112432,0.50654125,0.64179325,0.38389128,0.151562,0.49437362,0.44575393,0.8283735,0.6293405,0.31549627,0.30403948,0.317332,0.390406,0.45194745,0.13628429,0.37898874,0.072629996
0.21256514,-0.050661795,0.2622674,0.62851703,0.985713,0.43515533,0.8662686,0.5303346,0.29124096,0.4483003,0.48126724,0.31996897,0.7267256,0.77592707,0.4391927,-0.13168117,0.5782989,0.5576946,0.782167,0.7696921,0.55281997,0.33751738,0.7830399,0.33511847,0.56448305,0.4821863,0.76606494,-0.07465067
0.42884827,0.37002844,0.8562756,0.97421646,1.0950513,1.0699676,2.0189373,0.78962135,0.35090083,0.65254486,0.10238584,0.45835167,0.8209771,0.83052886,0.65316916,0.31314972,0.67882895,0.9478229,1.0573448,0.6455978,0.62482035,0.657775,0.2712359,0.7695033,0.3588593,-0.11770423,0.3216805,0.27302915
0.49566633,0.38650137,0.7192586,0.7565616,0.8972798,0.58813953,1.4176576,0.91774356,0.5195474,0.36264473,0.38721776,0.34235865,0.8089174,0.63637525,0.673535,0.17649738,0.71379286,0.8706869,0.9217201,0.37373766,0.85502225,0.6827785,0.5381272,0.6959854,0.09725334,-0.024290107,0.22455117,0.27273405
0.49160326,0.35135153,0.7068441,0.77824044,0.974678,0.57796466,1.4049048,0.9195487,0.5163496,0.38167477,0.44983786,0.35252854,0.8650857,0.6765906,0.7059578,0.10593143,0.78541774,0.8938037,1.0024515,0.44348332,0.90589434,0.6736849,0.6357638,0.69531614,0.13256326,0.030590326,0.30170107,0.2461665
0.3862048,0.51708835,1.2278991,1.316275,1.4425757,1.7651325,2.9322503,0.6533211,0.02712293,1.1798894,-0.1429843,0.64813054,0.9550679,1.0895234,0.59453344,0.595681,0.724438,1.0683757,1.3457813,0.98240846,0.38817576,0.7729978,0.06576601,0.8713082,0.7159857,-0.25414166,0.50067025,0.35116425
0.1549075,0.17889372,0.59560907,0.63654,0.9171767,0.7619097,1.2051736,0.054655023,-0.43081552,0.7051618,0.11820551,0.33590978,0.5544629,0.64053196,0.3850966,0.11282992,0.45590302,0.28388396,0.85954946,0.8068086,0.10316887,0.16265343,0.44961357,0.2032063,0.6862622,0.34812576,0.56913286,-0.00097046327
0.34667534,0.34074524,0.7047044,0.7284369,0.82763237,0.7490108,1.3761706,0.6154845,0.20361497,0.5098795,0.21706797,0.40201804,0.6484947,0.6361296,0.5049754,0.2233192,0.5743326,0.6927759,0.80845255,0.46971276,0.56091,0.5156867,0.32429418,0.57071567,0.22061042,-0.04707475,0.22906914,0.21917523
0.37661594,0.17877993,0.49512818,0.6993218,0.91887885,0.4394649,1.1811007,0.73777705,0.43211147,0.35680413,0.37860936,0.30611312,0.78163326,0.66802025,0.55544484,-0.027611323,0.6727425,0.7785513,0.8940819,0.50297797,0.74541783,0.57794106,0.6306049,0.53839517,0.19136149,0.083533034,0.34954318,0.12987773
0.40405485,0.072714925,0.35329697,0.6905471,1.0275252,0.26395088,0.9445251,0.79884094,0.5331567,0.35417008,0.5733745,0.2783341,0.8746662,0.74754685,0.55432963,-0.1811132,0.7513093,0.7854689,0.8939347,0.5951666,0.84603256,0.56957066,0.9046785,0.46864766,0.31986552,0.3107348,0.58832496,0.019737184
0.24878919,0.08428931,0.44894007,0.60478055,1.051731,0.4649363,0.90503174,0.41037816,-0.041839942,0.45595843,0.5258461,0.30222246,0.7232311,0.68957675,0.46925303,-0.10773884,0.61676705,0.49738076,0.93674254,0.77169454,0.4707892,0.33241898,0.74998045,0.28923967,0.54663926,0.45405266,0.66629446,-0.05104301
0.25539562,0.2820496,0.65076834,0.78563327,0.91635144,0.9370935,1.4799212,0.47337973,0.089456685,0.621714,0.12206072,0.43611225,0.5971291,0.71782124,0.46229753,0.23148318,0.55211115,0.6516797,0.8504007,0.65869105,0.43290636,0.42336866,0.26623535,0.52993226,0.4087542,0.023440622,0.35442454,0.14597616
0.267344,0.09396113,0.4858161,0.6247048,1.214112,0.51508564,0.90420544,0.36209527,-0.19727959,0.55515873,0.6202143,0.3783564,0.78651905,0.8079868,0.59848,-0.07279766,0.7091579,0.38910565,1.0206292,0.988053,0.4145916,0.24008223,0.9875006,0.23329154,0.83078444,0.803849,0.9847932,-0.116565384
0.34545803,0.085269704,0.37952232,0.6202584,0.9828319,0.29226947,0.84373975,0.6521629,0.335125,0.3609414,0.5760783,0.27761897,0.8072916,0.6970593,0.5177728,-0.15496689,0.67164934,0.64659894,0.84873927,0.64482015,0.72803706,0.44227257,0.8555346,0.39489046,0.39279574,0.37715366,0.63558996,-0.0010762131
0.15294054,0.19244862,0.5901445,0.66061366,0.8234243,0.8052958,1.2216653,0.17287615,-0.23473653,0.65005106,0.08470652,0.36756232,0.48481023,0.6353856,0.33882558,0.17055094,0.45106834,0.37951356,0.78261966,0.6755575,0.190611,0.2340704,0.2872763,0.3140682,0.529478,0.16478874,0.4144925,0.058340054
0.12543184,0.12261279,0.563112,0.74323666,0.9311025,0.922112,1.4295915,0.22538152,-0.14200126,0.7417726,0.021700792,0.41316298,0.5695838,0.76183987,0.37315962,0.17852385,0.47496372,0.46708992,0.81878793,0.8192531,0.19208217,0.2507565,0.301852,0.35656884,0.6347342,0.1976241,0.5438131,0.028826496
0.5022291,0.4280146,0.79017365,0.86060184,0.96291703,0.7677418,1.7124342,0.962961,0.5187296,0.47280174,0.29151422,0.40603113,0.87195385,0.70726633,0.70571756,0.28261063,0.7191911,0.9749462,0.95102143,0.42915544,0.8159501,0.77476573,0.43422452,0.7711793,0.12897687,-0.11281614,0.20916563,0.3442824
0.10815072,-0.008379506,0.40609142,0.69690984,1.0263898,0.7320558,1.2267326,0.17945696,-0.17011376,0.68631685,0.16637255,0.3976649,0.6659759,0.77116454,0.37782952,-0.028807577,0.4591712,0.41714603,0.863754,0.93382055,0.19026309,0.19633572,0.5352445,0.21701176,0.75899357,0.44383666,0.7610586,-0.09463685
0.3060106,0.31879923,0.77994627,0.81745267,0.9359164,0.98192334,1.7062938,0.51558524,0.08098932,0.6601344,0.066377155,0.46718156,0.6699171,0.71807504,0.44467217,0.24257962,0.57134336,0.70409995,0.90782684,0.5945685,0.44605178,0.48120087,0.20644732,0.5960686,0.35453033,-0.120052144,0.2839468,0.20746686
0.31555453,0.3865937,0.84897435,0.7795755,0.90205085,0.9101454,1.5593362,0.46435502,-0.09297799,0.68254256,0.15950318,0.4363372,0.61186075,0.66256243,0.4440169,0.3014772,0.56947607,0.6147461,0.8940898,0.53245103,0.40200466,0.4642469,0.24641266,0.5271191,0.36142755,-0.026205577,0.2754787,0.20774087
0.23088722,0.06494147,0.37649179,0.5997583,0.9224525,0.48612335,0.9150081,0.4857013,0.17483735,0.43617153,0.44248787,0.30353028,0.6803144,0.6880859,0.46060714,-0.0438696,0.5632054,0.53215903,0.7845622,0.68243396,0.5383327,0.33612514,0.6519706,0.37266442,0.48684978,0.38258773,0.6148934,-0.006333689
0.17519432,0.08032734,0.35036653,0.55329645,0.8281698,0.5563463,0.82468265,0.3650799,0.043257672,0.47395205,0.345112,0.32267532,0.5564047,0.63288856,0.37783366,-0.02117766,0.49615893,0.42839855,0.7026907,0.66702294,0.39195886,0.2515881,0.5518732,0.2988826,0.487481,0.36076364,0.56688607,-0.020401489
0.19091308,0.23061392,0.57965106,0.6775013,0.8159191,0.81997013,1.217338,0.3653774,-0.006539972,0.5709633,0.16233212,0.4115429,0.50832736,0.6509995,0.3941637,0.1872144,0.48778775,0.4941715,0.7558043,0.61926407,0.34612262,0.33592445,0.27922112,0.42182198,0.41731182,0.092989475,0.36413443,0.09959209
0.23587406,0.24226588,0.62224543,0.7596511,0.89667934,0.89489543,1.4324081,0.450801,0.0760485,0.58081466,0.13074814,0.44039595,0.57005775,0.7106245,0.43994448,0.20266542,0.5340428,0.6110774,0.8491359,0.6589986,0.41008666,0.40542173,0.26372582,0.50809324,0.41567427,0.032535207,0.35838115,0.1254121
0.24114129,0.28508106,0.69464195,0.6634457,0.8410141,0.71654475,1.2050556,0.33203354,-0.17771254,0.56595945,0.2869091,0.41176945,0.5203413,0.6138248,0.4351177,0.18548064,0.5388634,0.44908443,0.8822209,0.5735923,0.3413004,0.33685797,0.36181855,0.41003278,0.40809327,0.12587021,0.33119422,0.106374696
