rely,data,time,stor,turn,acap,aexp,pcap,vexp,lexp,modp,loc,actual
1.4,1.08,1.11,1.21,1.07,0.71,0.82,1.08,1.1,1.07,1.24,299.0,6400.0
1.0,1.16,1.06,1.14,0.87,0.86,1.0,1.0,1.0,1.0,0.91,252.0,2455.0
1.15,1.0,1.27,1.06,1.0,0.86,0.82,0.86,0.9,1.0,0.91,118.0,724.0
1.15,1.0,1.08,1.06,1.0,0.86,0.82,0.86,0.9,1.0,1.0,77.0,539.0
0.88,1.0,1.06,1.06,0.87,1.0,1.29,1.0,1.1,0.95,0.82,90.0,453.0
1.15,1.16,1.15,1.06,0.87,0.86,1.0,0.86,1.1,1.0,0.82,38.0,523.0
0.94,1.0,1.07,1.06,1.07,0.86,1.0,0.86,1.1,1.0,0.91,48.0,387.0
1.15,0.94,1.35,1.21,0.87,1.0,1.0,1.0,1.0,1.0,0.82,9.4,88.0
1.15,1.08,1.11,1.21,1.07,0.86,1.0,0.86,1.1,1.07,1.1,13.0,98.0
0.88,1.0,1.0,1.0,1.0,1.1,1.29,0.86,1.0,1.0,0.91,2.14,7.3
0.88,1.0,1.0,1.0,1.0,1.0,1.29,0.86,1.0,1.0,0.91,1.98,5.9
1.4,1.08,1.48,1.56,1.07,0.86,0.82,0.86,1.1,1.07,1.0,62.0,1063.0
0.88,1.08,1.0,1.0,1.0,0.71,0.82,1.0,1.0,1.0,1.1,390.0,702.0
1.4,1.08,1.48,1.56,0.94,0.86,0.82,0.86,0.9,1.0,0.91,42.0,605.0
1.15,1.08,1.06,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.91,23.0,230.0
0.75,0.94,1.06,1.21,1.0,1.0,0.91,1.0,1.1,1.0,1.24,13.0,82.0
0.88,1.05,1.0,1.0,0.87,1.19,1.0,1.17,0.9,0.95,1.0,15.0,55.0
0.88,0.94,1.0,1.06,1.0,0.86,0.82,0.86,1.0,1.0,1.0,60.0,47.0
1.0,1.0,1.0,1.0,0.87,0.71,0.91,1.0,0.9,0.95,0.82,15.0,12.0
1.0,1.0,1.0,1.0,1.0,0.71,0.82,0.7,1.0,0.95,0.91,6.2,8.0
1.0,0.94,1.0,1.0,0.87,0.86,0.82,1.17,1.0,1.0,1.1,3.0,8.0
0.88,0.94,1.0,1.0,0.87,1.0,0.82,0.7,0.9,0.95,0.91,5.3,6.0
0.88,1.04,1.0,1.06,1.07,0.86,1.0,0.93,0.9,0.95,0.95,45.5,45.0
1.0,1.04,1.0,1.21,1.07,0.86,1.0,1.0,0.9,0.95,1.0,28.6,83.0
0.88,1.04,1.06,1.21,1.07,1.0,1.0,1.0,0.9,0.95,1.1,30.6,87.0
0.88,1.04,1.0,1.06,1.07,1.0,1.0,1.0,0.9,0.95,1.0,35.0,106.0
0.88,1.04,1.0,1.06,1.07,1.0,1.0,0.86,0.9,0.95,1.0,73.0,126.0
0.75,0.94,1.0,1.0,0.87,0.71,0.82,0.7,1.1,1.07,1.1,23.0,36.0
0.88,0.94,1.0,1.0,1.0,1.19,0.91,1.17,0.9,0.95,1.1,464.0,1272.0
1.0,1.0,1.0,1.0,0.87,0.71,1.0,0.7,1.1,1.0,0.82,91.0,156.0
1.15,1.0,1.3,1.21,0.87,0.86,1.0,0.86,1.1,1.0,1.0,24.0,176.0
0.88,1.0,1.0,1.0,1.15,1.19,1.0,1.42,1.0,0.95,1.24,10.0,122.0
0.88,0.94,1.0,1.06,1.0,1.0,1.0,1.0,1.1,1.07,1.24,8.2,41.0
0.88,0.94,1.11,1.21,1.0,0.71,1.0,0.7,1.1,1.07,1.0,5.3,14.0
1.0,0.94,1.0,1.06,0.87,1.0,0.82,1.0,1.0,0.95,0.91,4.4,20.0
0.88,0.94,1.0,1.0,0.87,0.86,0.82,1.17,0.9,0.95,1.1,6.3,18.0
1.15,0.94,1.3,1.21,1.0,0.86,0.91,1.0,1.1,1.07,1.1,27.0,958.0
1.0,0.94,1.11,1.21,1.0,1.0,1.0,1.0,1.1,1.07,1.1,17.0,237.0
1.4,0.94,1.66,1.21,1.0,0.71,0.82,0.7,0.9,0.95,0.91,25.0,130.0
1.0,0.94,1.06,1.06,0.87,1.0,1.0,1.0,1.0,1.0,0.91,23.0,70.0
1.15,0.94,1.11,1.06,1.0,0.86,1.13,0.86,1.1,1.07,1.1,6.7,57.0
1.0,0.94,1.0,1.0,0.87,0.86,1.0,0.86,0.9,1.0,0.82,28.0,50.0
0.88,0.94,1.11,1.21,1.0,0.78,0.82,0.7,1.21,1.14,0.91,9.1,38.0
1.0,0.94,1.0,1.0,0.87,0.71,0.82,0.86,1.0,1.0,0.82,10.0,15.0
