AFP,Input,Output,Enquiry,File,Interface,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_4,Effort
355.0,278.0,0.0,73.0,0.0,0.0,0.0,2.6,2.6,3.1,3.1,4.0,1095.0,1.0,0.0,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,2.9,3.4,3.5,4.1,6.0,10957.0,1.0,0.0,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,7.5,6.5,7.5,6.5,6.0,344.0,1.0,0.0,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,5.3,5.6,5.3,5.6,3.0,296.0,0.0,1.0,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,33.0,36.9,39.8,44.4,13.0,4220.0,1.0,0.0,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,3.5,3.3,4.2,3.9,1.0,296.0,1.0,0.0,246
306.0,51.0,105.0,0.0,105.0,45.0,306.0,6.8,6.8,6.8,6.8,24.0,2082.0,0.0,0.0,2082
244.0,68.0,78.0,22.0,62.0,14.0,244.0,0.8,0.8,0.8,0.8,7.0,191.0,0.0,1.0,191
98.0,21.0,46.0,3.0,44.0,0.0,114.0,30.3,26.1,36.6,31.4,15.0,3583.0,1.0,0.0,2974
331.0,100.0,44.0,61.0,107.0,0.0,312.0,1.0,1.1,1.2,1.3,2.0,395.0,1.0,0.0,328
101.0,16.0,5.0,39.0,52.0,0.0,112.0,4.0,3.6,4.0,3.6,8.0,406.0,1.0,0.0,406
192.0,9.0,102.0,0.0,10.0,77.0,198.0,9.3,9.0,11.2,10.9,8.0,2151.0,1.0,0.0,1785
60.0,39.0,4.0,0.0,14.0,10.0,39.0,7.9,7.0,7.9,7.0,8.0,471.0,0.0,0.0,471
180.0,74.0,18.0,33.0,57.0,0.0,153.0,3.9,3.8,3.9,3.8,5.0,700.0,0.0,0.0,700
118.0,43.0,71.0,7.0,0.0,0.0,38.0,4.9,4.8,5.9,5.8,2.0,698.0,1.0,0.0,579
73.0,43.0,10.0,4.0,15.0,0.0,6.0,16.6,16.8,20.0,20.3,3.0,1459.0,1.0,0.0,1211
143.0,63.0,0.0,27.0,45.0,0.0,14.0,8.0,8.4,9.6,10.2,4.0,1372.0,1.0,0.0,1139
2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,6.6,8.0,7.6,9.1,19.0,16690.0,0.0,0.0,14520
9.0,0.0,10.0,0.0,0.0,0.0,5.0,26.6,23.9,26.6,23.9,2.0,239.0,1.0,0.0,239
203.0,21.0,167.0,3.0,10.0,0.0,201.0,6.2,6.3,7.5,7.6,5.0,1520.0,1.0,0.0,1262
162.0,64.0,36.0,9.0,28.0,20.0,157.0,10.8,11.2,10.8,11.2,8.0,1754.0,1.0,0.0,1754
183.0,60.0,21.0,29.0,71.0,0.0,181.0,8.3,8.4,10.0,10.1,6.0,1824.0,1.0,0.0,1514
59.0,36.0,21.0,0.0,0.0,0.0,6.0,11.3,11.7,13.6,14.1,8.0,804.0,1.0,0.0,667
412.0,198.0,14.0,99.0,91.0,10.0,412.0,14.2,14.2,14.2,14.2,20.0,5864.0,1.0,0.0,5864
348.0,198.0,14.0,33.0,77.0,0.0,10.0,2.8,3.0,3.4,3.6,3.0,1172.0,1.0,0.0,973
2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,2.1,2.6,2.1,2.6,13.0,5333.0,0.0,0.0,5333
250.0,28.0,92.0,57.0,0.0,30.0,164.0,7.1,8.6,7.1,8.6,8.0,1775.0,0.0,0.0,1775
206.0,0.0,199.0,0.0,0.0,5.0,100.0,1.0,1.0,1.2,1.2,5.0,246.0,1.0,0.0,204
617.0,184.0,136.0,103.0,133.0,0.0,377.0,5.1,5.7,6.1,6.8,7.0,3793.0,1.0,0.0,3148
173.0,0.0,78.0,10.0,17.0,72.0,177.0,50.4,49.2,60.7,59.3,12.0,10501.0,1.0,0.0,8716
286.0,45.0,156.0,27.0,37.0,0.0,265.0,5.1,5.5,5.1,5.5,6.0,1464.0,1.0,0.0,1464
52.0,13.0,17.0,6.0,10.0,5.0,20.0,26.1,26.6,31.5,32.1,2.0,1636.0,1.0,0.0,1358
45.0,6.0,28.0,0.0,0.0,25.0,59.0,6.2,4.8,6.2,4.8,7.0,281.0,0.0,0.0,281
104.0,30.0,7.0,48.0,15.0,0.0,0.0,22.3,23.2,26.9,28.0,5.0,2796.0,1.0,0.0,2321
465.0,234.0,44.0,104.0,118.0,0.0,431.0,8.7,8.1,10.5,9.8,13.0,4884.0,1.0,0.0,4054
2145.0,862.0,63.0,491.0,518.0,300.0,2234.0,1.1,1.1,1.1,1.1,84.0,2400.0,0.0,1.0,2400
283.0,20.0,125.0,39.0,91.0,17.0,292.0,20.0,19.3,20.0,19.3,13.0,5650.0,1.0,0.0,5650
109.0,0.0,84.0,0.0,17.0,5.0,47.0,14.0,14.4,16.9,17.3,2.0,1837.0,1.0,0.0,1525
160.0,0.0,21.0,72.0,25.0,40.0,74.0,3.0,3.0,3.6,3.6,2.0,575.0,1.0,0.0,477
65.0,0.0,64.0,0.0,0.0,0.0,54.0,7.7,7.9,9.3,9.5,2.0,606.0,1.0,0.0,503
366.0,160.0,27.0,96.0,72.0,0.0,260.0,23.1,23.9,27.9,28.7,10.0,10205.0,1.0,0.0,8470
63.0,18.0,10.0,3.0,28.0,0.0,16.0,12.3,13.2,14.9,15.9,3.0,937.0,1.0,0.0,778
309.0,126.0,13.0,59.0,153.0,30.0,381.0,8.4,6.8,8.4,6.8,7.5,2597.0,0.0,1.0,2597
610.0,137.0,174.0,117.0,147.0,0.0,575.0,1.6,1.7,1.6,1.7,3.0,950.0,1.0,0.0,950
562.0,165.0,125.0,93.0,119.0,0.0,502.0,10.2,11.4,10.2,11.4,13.0,5727.0,0.0,0.0,5727
156.0,21.0,38.0,39.0,7.0,41.0,146.0,13.1,14.0,15.8,16.8,4.0,2458.0,1.0,0.0,2040
75.0,30.0,5.0,19.0,21.0,0.0,40.0,49.0,49.0,59.1,59.1,8.0,4430.0,1.0,0.0,3677
136.0,42.0,64.0,0.0,21.0,0.0,0.0,4.2,4.5,5.1,5.4,2.0,687.0,1.0,0.0,570
96.0,13.0,56.0,0.0,10.0,40.0,119.0,12.7,10.3,47.2,38.1,8.0,4530.0,0.0,0.0,1223
78.0,24.0,24.0,9.0,21.0,0.0,78.0,12.5,12.5,13.9,13.9,4.0,1084.0,1.0,0.0,976
51.0,42.0,0.0,14.0,0.0,0.0,20.0,7.6,6.9,9.1,8.3,12.0,466.0,1.0,0.0,387
1092.0,356.0,84.0,170.0,669.0,21.0,1300.0,4.0,3.4,4.9,4.1,13.0,5320.0,1.0,0.0,4416
134.0,42.0,11.0,32.0,35.0,14.0,134.0,2.1,2.1,2.6,2.6,8.0,345.0,1.0,0.0,286
75.0,24.0,9.0,0.0,36.0,0.0,0.0,4.1,4.4,4.9,5.3,5.0,367.0,1.0,0.0,305
88.0,18.0,20.0,0.0,43.0,0.0,36.0,1.5,1.6,1.8,1.9,7.0,155.0,1.0,0.0,129
3088.0,1061.0,1009.0,772.0,241.0,5.0,544.0,1.4,1.4,1.4,1.4,8.0,4266.0,1.0,0.0,4266
82.0,25.0,46.0,0.0,14.0,15.0,100.0,5.4,4.4,5.4,4.4,3.0,440.0,1.0,0.0,440
110.0,30.0,66.0,0.0,7.0,0.0,18.0,12.4,13.2,12.4,13.2,2.0,1362.0,1.0,0.0,1362
308.0,153.0,83.0,0.0,112.0,10.0,236.0,8.2,7.1,8.2,7.1,6.0,2533.0,0.0,0.0,2533
143.0,75.0,32.0,3.0,62.0,0.0,172.0,1.6,1.3,1.6,1.3,10.0,225.0,1.0,0.0,225
826.0,292.0,326.0,155.0,32.0,0.0,396.0,13.4,13.7,13.4,13.7,13.0,11045.0,1.0,0.0,11045
3460.0,484.0,1831.0,318.0,208.0,142.0,2756.0,9.5,11.0,9.5,11.0,24.0,32760.0,0.0,1.0,32760
73.0,15.0,32.0,0.0,28.0,5.0,80.0,28.1,25.7,33.9,30.9,8.0,2475.0,1.0,0.0,2054
64.0,4.0,56.0,0.0,7.0,0.0,11.0,3.9,3.8,3.9,3.8,7.0,252.0,1.0,0.0,252
497.0,122.0,28.0,113.0,273.0,10.0,454.0,4.8,4.3,4.8,4.3,8.0,2362.0,0.0,0.0,2362
288.0,201.0,0.0,36.0,76.0,0.0,99.0,8.5,7.9,10.3,9.5,5.0,2963.0,1.0,0.0,2459
494.0,134.0,62.0,140.0,91.0,67.0,494.0,17.6,17.6,17.6,17.6,21.0,8706.0,1.0,0.0,8706
130.0,60.0,65.0,0.0,0.0,0.0,14.0,5.9,6.2,5.9,6.2,6.0,770.0,1.0,0.0,770
204.0,47.0,43.0,6.0,29.0,104.0,229.0,39.8,35.4,39.8,35.4,36.0,8111.0,1.0,0.0,8111
17.0,12.0,5.0,0.0,0.0,0.0,17.0,44.8,44.8,44.8,44.8,11.0,762.0,1.0,0.0,762
60.0,10.0,25.0,0.0,31.0,5.0,71.0,2.3,1.9,2.7,2.3,1.0,164.0,1.0,0.0,136
73.0,0.0,20.0,36.0,10.0,0.0,56.0,4.9,5.4,5.9,6.5,1.0,431.0,1.0,0.0,358
169.0,32.0,14.0,25.0,28.0,70.0,169.0,2.8,2.8,3.4,3.4,6.0,580.0,1.0,0.0,481
1351.0,379.0,449.0,271.0,219.0,20.0,1173.0,2.4,2.4,2.8,2.9,8.0,3842.0,1.0,0.0,3189
2087.0,862.0,444.0,303.0,437.0,0.0,2046.0,10.8,11.0,10.8,11.0,9.0,22500.0,0.0,1.0,22500
253.0,72.0,0.0,107.0,29.0,44.0,252.0,46.3,46.3,49.8,49.8,13.0,12601.0,1.0,0.0,11719
102.0,37.0,26.0,10.0,29.0,0.0,102.0,1.8,1.8,2.4,2.4,5.0,244.0,1.0,0.0,183
115.0,49.0,39.0,0.0,15.0,0.0,53.0,12.9,14.4,15.5,17.3,5.0,1786.0,1.0,0.0,1482
288.0,18.0,186.0,21.0,15.0,60.0,300.0,4.3,4.2,4.3,4.2,11.0,1251.0,0.0,0.0,1251
199.0,104.0,7.0,77.0,0.0,0.0,0.0,4.7,5.0,5.7,6.0,8.0,1136.0,1.0,0.0,943
163.0,49.0,14.0,33.0,49.0,10.0,155.0,16.5,17.3,19.8,20.9,11.0,3234.0,1.0,0.0,2684
97.0,21.0,41.0,0.0,49.0,15.0,16.0,7.5,5.8,7.5,5.8,9.0,729.0,0.0,0.0,729
439.0,82.0,222.0,19.0,85.0,10.0,105.0,8.3,8.7,8.3,8.7,7.0,3630.0,1.0,0.0,3630
3113.0,2019.0,609.0,248.0,157.0,80.0,3113.0,10.9,10.9,13.5,13.5,24.0,42080.0,1.0,0.0,34085
153.0,35.0,7.0,57.0,24.0,20.0,143.0,18.7,20.0,21.5,23.0,3.0,3283.0,0.0,0.0,2856
670.0,346.0,97.0,122.0,79.0,0.0,146.0,8.6,8.9,10.4,10.8,6.0,6936.0,1.0,0.0,5757
129.0,19.0,93.0,3.0,10.0,30.0,0.0,4.9,4.1,4.9,4.1,15.0,631.0,0.0,0.0,631
329.0,324.0,68.0,14.0,0.0,0.0,206.0,6.6,5.4,6.6,5.4,8.0,2184.0,0.0,0.0,2184
5684.0,2221.0,454.0,820.0,1137.0,311.0,4943.0,3.7,4.3,3.7,4.3,37.0,21014.0,1.0,0.0,21014
61.0,27.0,4.0,24.0,17.0,0.0,72.0,6.8,5.8,8.2,7.0,4.0,502.0,1.0,0.0,417
267.0,27.0,133.0,51.0,34.0,89.0,70.0,10.0,8.0,10.0,8.0,9.0,2683.0,0.0,0.0,2683
218.0,78.0,16.0,56.0,77.0,0.0,227.0,25.4,24.4,30.6,29.4,4.0,6665.0,1.0,0.0,5532
919.0,458.0,236.0,56.0,58.0,76.0,884.0,5.2,5.4,6.3,6.6,6.0,5801.0,1.0,0.0,4815
66.0,27.0,12.0,6.0,14.0,0.0,28.0,3.7,4.2,4.5,5.0,2.0,296.0,1.0,0.0,246
54.0,36.0,0.0,16.0,0.0,0.0,0.0,12.7,13.2,15.3,15.9,1.0,827.0,1.0,0.0,686
245.0,88.0,105.0,27.0,79.0,0.0,299.0,1.9,1.6,3.6,2.9,13.0,870.0,1.0,0.0,470
54.0,24.0,28.0,0.0,0.0,0.0,0.0,7.3,7.6,8.8,9.2,2.0,476.0,1.0,0.0,395
151.0,40.0,54.0,15.0,21.0,0.0,111.0,7.2,8.3,8.2,9.5,3.0,1241.0,0.0,0.0,1080
103.0,45.0,4.0,27.0,29.0,0.0,105.0,13.6,13.3,13.6,13.3,7.0,1396.0,0.0,0.0,1396
300.0,95.0,82.0,27.0,76.0,0.0,138.0,9.8,10.5,9.8,10.5,10.0,2933.0,1.0,0.0,2933
249.0,126.0,4.0,98.0,21.0,0.0,58.0,18.3,18.3,18.3,18.3,9.0,4551.0,1.0,0.0,4551
224.0,156.0,21.0,0.0,29.0,10.0,6.0,13.4,13.9,16.1,16.7,4.0,3613.0,1.0,0.0,2999
1984.0,255.0,1008.0,192.0,158.0,0.0,1613.0,1.3,1.6,1.3,1.6,11.0,2540.0,0.0,0.0,2540
58.0,15.0,37.0,0.0,0.0,5.0,0.0,0.4,0.5,0.5,0.5,2.0,31.0,1.0,0.0,26
56.0,50.0,0.0,3.0,0.0,0.0,0.0,8.0,8.5,9.6,10.2,2.0,540.0,1.0,0.0,448
244.0,91.0,12.0,44.0,60.0,50.0,257.0,3.7,3.5,4.5,4.2,3.0,1092.0,1.0,0.0,906
12.0,0.0,0.0,6.0,7.0,0.0,10.0,17.6,16.2,17.6,16.2,13.0,211.0,0.0,0.0,211
1416.0,402.0,432.0,0.0,252.0,65.0,376.0,1.2,1.5,1.2,1.5,12.0,1724.0,0.0,0.0,1724
67.0,3.0,26.0,0.0,7.0,35.0,71.0,23.6,22.3,27.2,25.6,5.0,1821.0,0.0,0.0,1584
95.0,36.0,0.0,32.0,24.0,0.0,0.0,1.6,1.6,1.9,1.9,7.0,178.0,1.0,0.0,148
2376.0,638.0,233.0,639.0,580.0,131.0,2221.0,10.7,11.5,12.9,13.8,24.0,30701.0,1.0,0.0,25482
442.0,225.0,102.0,57.0,91.0,0.0,82.0,1.5,1.4,1.5,1.4,5.0,683.0,1.0,0.0,683
68.0,21.0,12.0,19.0,15.0,0.0,11.0,37.1,37.6,44.7,45.3,4.0,3037.0,1.0,0.0,2521
268.0,76.0,96.0,45.0,41.0,10.0,248.0,10.9,10.9,10.9,10.9,9.0,2933.0,0.0,0.0,2933
90.0,96.0,0.0,0.0,0.0,0.0,96.0,5.5,5.1,6.6,6.2,2.0,595.0,1.0,0.0,494
72.0,23.0,25.0,7.0,17.0,0.0,55.0,6.8,6.8,6.8,6.8,7.0,486.0,1.0,0.0,486
505.0,111.0,127.0,18.0,216.0,0.0,472.0,9.8,10.5,9.8,10.5,30.0,4955.0,1.0,0.0,4955
450.0,112.0,145.0,59.0,105.0,0.0,356.0,13.6,14.6,13.6,14.6,7.0,6138.0,1.0,0.0,6138
230.0,129.0,38.0,46.0,57.0,0.0,230.0,6.3,5.4,7.6,6.5,10.0,1748.0,1.0,0.0,1451
242.0,97.0,78.0,4.0,43.0,0.0,0.0,1.3,1.4,1.5,1.7,2.0,375.0,1.0,0.0,311
106.0,21.0,76.0,6.0,0.0,0.0,7.0,23.1,23.7,27.8,28.6,2.0,2946.0,1.0,0.0,2445
31.0,10.0,14.0,0.0,7.0,0.0,4.0,7.6,7.6,7.6,7.6,6.0,237.0,1.0,0.0,237
1186.0,422.0,306.0,109.0,168.0,230.0,1235.0,3.1,3.0,3.1,3.0,9.0,3711.0,0.0,0.0,3711
256.0,69.0,198.0,0.0,0.0,5.0,272.0,11.5,10.8,11.5,10.8,19.0,2941.0,0.0,0.0,2941
191.0,44.0,60.0,15.0,49.0,25.0,159.0,12.7,12.6,12.7,12.6,11.0,2430.0,0.0,0.0,2430
213.0,102.0,63.0,6.0,28.0,0.0,186.0,11.9,12.7,14.3,15.3,10.0,3051.0,1.0,0.0,2532
4562.0,1098.0,1278.0,498.0,1059.0,0.0,3933.0,5.8,6.7,5.8,6.7,15.0,26408.0,1.0,0.0,26408
141.0,44.0,33.0,44.0,17.0,0.0,5.0,8.8,9.0,10.6,10.9,2.0,1499.0,1.0,0.0,1244
187.0,23.0,65.0,17.0,91.0,5.0,201.0,3.0,2.8,3.6,3.4,6.0,677.0,1.0,0.0,562
128.0,45.0,0.0,68.0,0.0,15.0,128.0,25.8,25.8,56.1,56.1,10.0,7180.0,1.0,0.0,3303
194.0,70.0,16.0,0.0,45.0,47.0,46.0,2.6,2.8,3.6,3.9,12.0,703.0,1.0,0.0,499
869.0,288.0,300.0,116.0,230.0,0.0,934.0,2.4,2.2,2.4,2.2,6.0,2078.0,0.0,0.0,2078
125.0,51.0,9.0,33.0,22.0,0.0,20.0,18.6,20.2,22.4,24.4,3.0,2802.0,1.0,0.0,2326
477.0,235.0,117.0,89.0,46.0,10.0,172.0,5.7,5.5,5.7,5.5,6.0,2741.0,1.0,0.0,2741
717.0,716.0,13.0,10.0,24.0,0.0,51.0,4.9,4.6,6.0,5.6,5.0,4272.0,1.0,0.0,3546
25.0,0.0,28.0,0.0,0.0,0.0,0.0,5.6,5.0,5.6,5.0,3.0,140.0,1.0,0.0,140
73.0,9.0,61.0,3.0,0.0,0.0,73.0,19.2,19.2,19.2,19.2,8.0,1404.0,1.0,0.0,1404
100.0,61.0,0.0,0.0,0.0,42.0,28.0,9.3,9.0,11.2,10.9,12.0,1119.0,1.0,0.0,929
273.0,103.0,183.0,15.0,17.0,0.0,318.0,1.9,1.7,1.9,1.7,5.0,528.0,0.0,0.0,528
587.0,108.0,119.0,94.0,203.0,0.0,524.0,6.4,7.2,6.4,7.2,15.0,3748.0,0.0,0.0,3748
1437.0,920.0,154.0,41.0,203.0,0.0,1318.0,3.4,3.7,3.4,3.7,18.0,4900.0,0.0,1.0,4900
97.0,3.0,101.0,3.0,0.0,7.0,108.0,19.1,16.3,19.1,16.3,12.0,1853.0,0.0,0.0,1853
224.0,110.0,25.0,6.0,49.0,5.0,195.0,12.9,14.8,14.8,17.0,13.0,3322.0,0.0,0.0,2890
321.0,168.0,46.0,9.0,77.0,15.0,315.0,3.4,3.4,3.4,3.4,11.0,1076.0,0.0,1.0,1076
99.0,6.0,4.0,19.0,59.0,10.0,98.0,24.1,24.4,29.1,29.3,4.0,2876.0,1.0,0.0,2387
416.0,179.0,40.0,54.0,109.0,7.0,318.0,3.8,4.1,4.6,4.9,6.0,1911.0,1.0,0.0,1586
71.0,21.0,21.0,4.0,14.0,5.0,25.0,14.0,15.3,16.9,18.5,4.0,1201.0,1.0,0.0,997
120.0,60.0,48.0,12.0,0.0,0.0,12.0,1.8,1.8,1.8,1.8,5.0,212.0,1.0,0.0,212
213.0,72.0,43.0,3.0,84.0,30.0,132.0,6.0,5.5,6.0,5.5,12.0,1278.0,0.0,0.0,1278
1634.0,625.0,387.0,223.0,399.0,0.0,1634.0,4.3,4.3,4.3,4.3,12.0,7060.0,0.0,0.0,7060
275.0,184.0,11.0,48.0,7.0,0.0,7.0,2.6,2.8,2.6,2.8,9.0,702.0,1.0,0.0,702
458.0,202.0,66.0,75.0,115.0,0.0,458.0,2.0,2.0,2.0,2.0,16.0,903.0,1.0,0.0,903
218.0,28.0,118.0,44.0,0.0,10.0,91.0,31.0,33.8,37.4,40.8,8.0,8151.0,1.0,0.0,6765
498.0,107.0,132.0,7.0,77.0,122.0,445.0,16.5,18.5,16.5,18.5,19.0,8227.0,0.0,0.0,8227
143.0,54.0,65.0,0.0,14.0,0.0,11.0,2.3,2.5,2.8,3.0,4.0,402.0,1.0,0.0,334
722.0,163.0,0.0,202.0,237.0,20.0,622.0,5.8,6.7,5.8,6.7,9.0,4164.0,1.0,0.0,4164
236.0,27.0,192.0,12.0,37.0,0.0,268.0,29.0,25.5,29.0,25.5,15.0,6844.0,0.0,0.0,6844
239.0,39.0,70.0,18.0,62.0,55.0,244.0,6.9,6.8,6.9,6.8,10.0,1661.0,0.0,0.0,1661
1882.0,711.0,589.0,218.0,442.0,0.0,1960.0,3.2,3.1,3.2,3.1,10.0,6068.0,0.0,0.0,6068
291.0,188.0,29.0,0.0,69.0,37.0,323.0,20.8,18.8,22.4,20.2,14.0,6519.0,0.0,0.0,6063
328.0,124.0,71.0,61.0,66.0,0.0,322.0,2.0,2.1,2.0,2.1,13.0,665.0,1.0,0.0,665
264.0,126.0,7.0,50.0,84.0,0.0,267.0,2.1,2.0,2.1,2.0,6.0,544.0,1.0,0.0,544
270.0,54.0,42.0,53.0,91.0,30.0,270.0,3.3,3.3,3.3,3.3,6.0,893.0,1.0,0.0,893
32.0,0.0,7.0,12.0,0.0,10.0,29.0,11.0,12.1,11.0,12.1,2.5,352.0,1.0,0.0,352
1382.0,353.0,245.0,7.0,581.0,253.0,1439.0,2.4,2.3,2.4,2.3,8.0,3344.0,0.0,1.0,3344
98.0,45.0,5.0,19.0,28.0,0.0,94.0,4.1,4.2,5.0,5.0,1.0,487.0,1.0,0.0,404
289.0,3.0,100.0,0.0,66.0,145.0,314.0,19.8,18.3,19.8,18.3,8.0,5732.0,0.0,0.0,5732
1059.0,299.0,234.0,144.0,217.0,60.0,954.0,21.6,24.0,24.9,27.6,17.0,26345.0,0.0,0.0,22920
724.0,331.0,12.0,189.0,164.0,0.0,530.0,13.0,13.5,15.7,16.3,9.0,11336.0,1.0,0.0,9409
40.0,10.0,22.0,0.0,17.0,0.0,49.0,7.1,5.8,7.1,5.8,4.0,285.0,0.0,1.0,285
128.0,72.0,18.0,24.0,7.0,0.0,4.0,10.1,10.7,12.2,12.9,3.0,1558.0,1.0,0.0,1293
1248.0,249.0,262.0,146.0,423.0,15.0,1095.0,12.2,13.8,12.2,13.8,12.0,15165.0,0.0,1.0,15165
387.0,109.0,118.0,67.0,90.0,7.0,391.0,8.5,8.4,10.2,10.1,17.0,3960.0,1.0,0.0,3287
73.0,0.0,65.0,0.0,0.0,5.0,19.0,10.5,10.9,12.6,13.1,3.0,920.0,1.0,0.0,764
151.0,22.0,0.0,68.0,47.0,0.0,32.0,14.5,16.0,17.5,19.3,3.0,2643.0,1.0,0.0,2194
465.0,48.0,162.0,0.0,196.0,37.0,443.0,4.3,4.5,5.2,5.5,4.0,2427.0,1.0,0.0,2014
63.0,29.0,0.0,9.0,24.0,0.0,62.0,13.1,13.3,15.8,16.1,4.0,996.0,1.0,0.0,827
226.0,88.0,70.0,19.0,28.0,0.0,92.0,11.1,12.2,11.1,12.2,10.0,2508.0,1.0,0.0,2508
115.0,76.0,11.0,28.0,0.0,0.0,10.0,1.7,1.7,1.7,1.7,1.5,201.0,1.0,0.0,201
189.0,39.0,112.0,3.0,28.0,0.0,0.0,3.0,3.1,3.0,3.1,15.0,563.0,0.0,0.0,563
55.0,52.0,0.0,6.0,0.0,0.0,58.0,9.7,9.2,11.7,11.1,11.0,643.0,1.0,0.0,534
85.0,12.0,44.0,0.0,24.0,0.0,12.0,12.2,13.0,14.7,15.7,4.0,1252.0,1.0,0.0,1039
2143.0,219.0,657.0,3.0,485.0,437.0,1801.0,20.2,24.0,24.3,29.0,7.0,52172.0,1.0,0.0,43303
520.0,181.0,160.0,9.0,55.0,25.0,430.0,6.0,7.3,6.0,7.3,8.0,3133.0,0.0,0.0,3133
113.0,25.0,34.0,16.0,27.0,0.0,38.0,15.9,17.7,18.3,20.3,3.0,2070.0,0.0,0.0,1801
264.0,85.0,17.0,26.0,133.0,0.0,157.0,10.0,10.1,12.0,12.2,6.0,3180.0,1.0,0.0,2639
349.0,162.0,24.0,18.0,112.0,30.0,342.0,6.8,6.8,6.8,6.8,4.0,2360.0,0.0,0.0,2360
229.0,88.0,5.0,0.0,17.0,131.0,241.0,11.0,10.5,12.7,12.0,5.0,2897.0,0.0,0.0,2520
172.0,88.0,40.0,4.0,30.0,7.0,169.0,10.4,10.6,10.4,10.6,5.0,1788.0,0.0,1.0,1788
323.0,108.0,57.0,53.0,74.0,31.0,323.0,3.8,3.8,3.8,3.8,13.0,1238.0,1.0,0.0,1238
89.0,15.0,28.0,17.0,7.0,30.0,24.0,5.0,4.6,5.0,4.6,4.0,442.0,0.0,0.0,442
878.0,113.0,404.0,161.0,133.0,17.0,828.0,3.8,4.1,4.3,4.5,5.0,3742.0,1.0,0.0,3368
220.0,81.0,50.0,51.0,42.0,0.0,224.0,1.3,1.3,1.3,1.3,3.0,281.0,0.0,0.0,281
150.0,125.0,4.0,20.0,0.0,0.0,6.0,4.6,4.6,5.5,5.6,3.0,828.0,1.0,0.0,687
161.0,60.0,38.0,30.0,41.0,0.0,169.0,1.4,1.3,1.4,1.3,2.0,220.0,1.0,0.0,220
804.0,345.0,334.0,0.0,236.0,42.0,957.0,14.2,11.9,17.1,14.3,12.0,13720.0,1.0,0.0,11388
272.0,63.0,20.0,61.0,71.0,30.0,245.0,35.7,39.7,41.1,45.6,14.0,11172.0,0.0,0.0,9720
