Dataset                   Metric                    metric valor
datasets_2/kemerer.arff   R2 Score                  -0.210617
datasets_2/kemerer.arff   MAE                       64.6667
datasets_2/kemerer.arff   Median Absolute Error     81.96
datasets_2/kemerer.arff   RMSE                      79.9977
datasets_2/kemerer.arff   R2 Score                  -0.210617
datasets_2/kemerer.arff   MAE                       65.9778
datasets_2/kemerer.arff   Median Absolute Error     94.75
datasets_2/kemerer.arff   RMSE                      77.6838
datasets_2/kemerer.arff   R2 Score                  -0.141597
datasets_2/kemerer.arff   MAE                       65.9778
datasets_2/kemerer.arff   Median Absolute Error     94.75
datasets_2/kemerer.arff   RMSE                      77.6838
datasets_2/kemerer.arff   R2 Score                  -0.141597
datasets_2/kemerer.arff   MAE                       78.1333
datasets_2/kemerer.arff   Median Absolute Error     78.9
datasets_2/kemerer.arff   RMSE                      85.299
datasets_2/kemerer.arff   R2 Score                  -0.376383
datasets_2/kemerer.arff   MAE                       78.1333
datasets_2/kemerer.arff   Median Absolute Error     78.9
datasets_2/kemerer.arff   RMSE                      85.299
datasets_2/kemerer.arff   R2 Score                  -0.376383
datasets_2/kemerer.arff   MAE                       85.7208
datasets_2/kemerer.arff   Median Absolute Error     94.975
datasets_2/kemerer.arff   RMSE                      89.2519
datasets_2/kemerer.arff   R2 Score                  -0.506906
datasets_2/kemerer.arff   MAE                       85.7208
datasets_2/kemerer.arff   Median Absolute Error     94.975
datasets_2/kemerer.arff   RMSE                      89.2519
datasets_2/kemerer.arff   R2 Score                  -0.506906
datasets_2/kemerer.arff   MAE                       88.6222
datasets_2/kemerer.arff   Median Absolute Error     74.0111
datasets_2/kemerer.arff   RMSE                      91.2177
datasets_2/kemerer.arff   R2 Score                  -0.574019
datasets_2/kemerer.arff   MAE                       88.6222
datasets_2/kemerer.arff   Median Absolute Error     74.0111
datasets_2/kemerer.arff   RMSE                      91.2177
datasets_2/kemerer.arff   R2 Score                  -0.574019
datasets_2/cocomo81.arff  MAE                      841.385
datasets_2/cocomo81.arff  Median Absolute Error    164.333
datasets_2/cocomo81.arff  RMSE                    2224.85
datasets_2/cocomo81.arff  R2 Score                   0.449922
datasets_2/cocomo81.arff  MAE                      842.051
datasets_2/cocomo81.arff  Median Absolute Error    179.333
datasets_2/cocomo81.arff  RMSE                    2225.02
datasets_2/cocomo81.arff  R2 Score                   0.449839
datasets_2/cocomo81.arff  MAE                      885.769
datasets_2/cocomo81.arff  Median Absolute Error    151.25
datasets_2/cocomo81.arff  RMSE                    2413.43
datasets_2/cocomo81.arff  R2 Score                   0.35272
datasets_2/cocomo81.arff  MAE                      885.923
datasets_2/cocomo81.arff  Median Absolute Error    151.25
datasets_2/cocomo81.arff  RMSE                    2413.43
datasets_2/cocomo81.arff  R2 Score                   0.352721
datasets_2/cocomo81.arff  MAE                      887.585
datasets_2/cocomo81.arff  Median Absolute Error    172.6
datasets_2/cocomo81.arff  RMSE                    2489.8
datasets_2/cocomo81.arff  R2 Score                   0.311108
datasets_2/cocomo81.arff  MAE                      892.789
datasets_2/cocomo81.arff  Median Absolute Error    184.4
datasets_2/cocomo81.arff  RMSE                    2490.11
datasets_2/cocomo81.arff  R2 Score                   0.310933
datasets_2/cocomo81.arff  MAE                      914.496
datasets_2/cocomo81.arff  Median Absolute Error    175.667
datasets_2/cocomo81.arff  RMSE                    2571.7
datasets_2/cocomo81.arff  R2 Score                   0.26504
datasets_2/cocomo81.arff  MAE                      914.158
datasets_2/cocomo81.arff  Median Absolute Error    189.5
datasets_2/cocomo81.arff  RMSE                    2571.71
datasets_2/cocomo81.arff  R2 Score                   0.265033
datasets_2/cocomo81.arff  MAE                      896.03
datasets_2/cocomo81.arff  Median Absolute Error    159.143
datasets_2/cocomo81.arff  RMSE                    2574.96
datasets_2/cocomo81.arff  R2 Score                   0.263174
datasets_2/cocomo81.arff  MAE                      898.867
datasets_2/cocomo81.arff  Median Absolute Error    159.143
datasets_2/cocomo81.arff  RMSE                    2575.94
datasets_2/cocomo81.arff  R2 Score                   0.262615
datasets_2/cocomo81.arff  MAE                      912.078
datasets_2/cocomo81.arff  Median Absolute Error    163.875
datasets_2/cocomo81.arff  RMSE                    2644.38
datasets_2/cocomo81.arff  R2 Score                   0.222915
datasets_2/cocomo81.arff  MAE                      916.096
datasets_2/cocomo81.arff  Median Absolute Error    163.875
datasets_2/cocomo81.arff  RMSE                    2645.22
datasets_2/cocomo81.arff  R2 Score                   0.222416
datasets_2/cocomo81.arff  MAE                      923.632
datasets_2/cocomo81.arff  Median Absolute Error    139.667
datasets_2/cocomo81.arff  RMSE                    2686.96
datasets_2/cocomo81.arff  R2 Score                   0.197688
datasets_2/cocomo81.arff  MAE                      923.077
datasets_2/cocomo81.arff  Median Absolute Error    139.667
datasets_2/cocomo81.arff  RMSE                    2686.95
datasets_2/cocomo81.arff  R2 Score                   0.197692
datasets_2/china.arff     MAE                      327.353
datasets_2/china.arff     Median Absolute Error    111.667
datasets_2/china.arff     RMSE                     834.225
datasets_2/china.arff     R2 Score                   0.973157
datasets_2/china.arff     MAE                      307.833
datasets_2/china.arff     Median Absolute Error    114.333
datasets_2/china.arff     RMSE                     765.32
datasets_2/china.arff     R2 Score                   0.977408
datasets_2/china.arff     MAE                      322.017
datasets_2/china.arff     Median Absolute Error    106.625
datasets_2/china.arff     RMSE                     847.587
datasets_2/china.arff     R2 Score                   0.97229
datasets_2/china.arff     MAE                      311.255
datasets_2/china.arff     Median Absolute Error    111.75
datasets_2/china.arff     RMSE                     715.821
datasets_2/china.arff     R2 Score                   0.980236
datasets_2/china.arff     MAE                      306.294
datasets_2/china.arff     Median Absolute Error    135.2
datasets_2/china.arff     RMSE                     728.482
datasets_2/china.arff     R2 Score                   0.979531
datasets_2/china.arff     MAE                      318.156
datasets_2/china.arff     Median Absolute Error    128.5
datasets_2/china.arff     RMSE                     717.441
datasets_2/china.arff     R2 Score                   0.980146
datasets_2/china.arff     MAE                      298.153
datasets_2/china.arff     Median Absolute Error    110.083
datasets_2/china.arff     RMSE                     787.614
datasets_2/china.arff     R2 Score                   0.976073
datasets_2/china.arff     MAE                      310.577
datasets_2/china.arff     Median Absolute Error    125.667
datasets_2/china.arff     RMSE                     729.14
datasets_2/china.arff     R2 Score                   0.979494
datasets_2/china.arff     MAE                      310.081
datasets_2/china.arff     Median Absolute Error    104.214
datasets_2/china.arff     RMSE                     805.702
datasets_2/china.arff     R2 Score                   0.974961
datasets_2/china.arff     MAE                      318.046
datasets_2/china.arff     Median Absolute Error    124.143
datasets_2/china.arff     RMSE                     809.384
datasets_2/china.arff     R2 Score                   0.974732
datasets_2/china.arff     MAE                      306.691
datasets_2/china.arff     Median Absolute Error    109.562
datasets_2/china.arff     RMSE                     832.11
datasets_2/china.arff     R2 Score                   0.973293
datasets_2/china.arff     MAE                      322.072
datasets_2/china.arff     Median Absolute Error    106.562
datasets_2/china.arff     RMSE                     844.47
datasets_2/china.arff     R2 Score                   0.972494
datasets_2/china.arff     MAE                      324.972
datasets_2/china.arff     Median Absolute Error    113.889
datasets_2/china.arff     RMSE                     894.273
datasets_2/china.arff     R2 Score                   0.969153
datasets_2/china.arff     MAE                      317.356
datasets_2/china.arff     Median Absolute Error     94.8889
datasets_2/china.arff     RMSE                     862.608
datasets_2/china.arff     R2 Score                   0.971299
datasets_2/albrecht.arff  MAE                       12.7933
datasets_2/albrecht.arff  Median Absolute Error      7.63333
datasets_2/albrecht.arff  RMSE                      18.2509
datasets_2/albrecht.arff  R2 Score                   0.772307
datasets_2/albrecht.arff  MAE                       11.98
datasets_2/albrecht.arff  Median Absolute Error      7
datasets_2/albrecht.arff  RMSE                      17.8438
datasets_2/albrecht.arff  R2 Score                   0.782351
datasets_2/albrecht.arff  MAE                       14.82
datasets_2/albrecht.arff  Median Absolute Error      7.325
datasets_2/albrecht.arff  RMSE                      23.8387
datasets_2/albrecht.arff  R2 Score                   0.611538
datasets_2/albrecht.arff  MAE                       13.86
datasets_2/albrecht.arff  Median Absolute Error      7.175
datasets_2/albrecht.arff  RMSE                      22.9222
datasets_2/albrecht.arff  R2 Score                   0.640835
datasets_2/albrecht.arff  MAE                       15.54
datasets_2/albrecht.arff  Median Absolute Error      6.3
datasets_2/albrecht.arff  RMSE                      26.6419
datasets_2/albrecht.arff  R2 Score                   0.514811
datasets_2/albrecht.arff  MAE                       15.392
datasets_2/albrecht.arff  Median Absolute Error      6.3
datasets_2/albrecht.arff  RMSE                      26.6366
datasets_2/albrecht.arff  R2 Score                   0.515003
datasets_2/albrecht.arff  MAE                       16.2167
datasets_2/albrecht.arff  Median Absolute Error      6.13333
datasets_2/albrecht.arff  RMSE                      29.0853
datasets_2/albrecht.arff  R2 Score                   0.421731
datasets_2/albrecht.arff  MAE                       16.0467
datasets_2/albrecht.arff  Median Absolute Error      5.85
datasets_2/albrecht.arff  RMSE                      29.0354
datasets_2/albrecht.arff  R2 Score                   0.423717
datasets_2/albrecht.arff  MAE                       17.68
datasets_2/albrecht.arff  Median Absolute Error      6.55714
datasets_2/albrecht.arff  RMSE                      30.9625
datasets_2/albrecht.arff  R2 Score                   0.34468
datasets_2/albrecht.arff  MAE                       17.7714
datasets_2/albrecht.arff  Median Absolute Error      6.55714
datasets_2/albrecht.arff  RMSE                      30.9719
datasets_2/albrecht.arff  R2 Score                   0.344281
datasets_2/albrecht.arff  MAE                       17.8625
datasets_2/albrecht.arff  Median Absolute Error      5.1625
datasets_2/albrecht.arff  RMSE                      31.9696
datasets_2/albrecht.arff  R2 Score                   0.301358
datasets_2/albrecht.arff  MAE                       17.9425
datasets_2/albrecht.arff  Median Absolute Error      5.5625
datasets_2/albrecht.arff  RMSE                      31.983
datasets_2/albrecht.arff  R2 Score                   0.300771
datasets_2/albrecht.arff  MAE                       18.1667
datasets_2/albrecht.arff  Median Absolute Error      4.43333
datasets_2/albrecht.arff  RMSE                      32.8786
datasets_2/albrecht.arff  R2 Score                   0.261061
datasets_2/albrecht.arff  MAE                       18.1667
datasets_2/albrecht.arff  Median Absolute Error      4.43333
datasets_2/albrecht.arff  RMSE                      32.8786
datasets_2/albrecht.arff  R2 Score                   0.261061
datasets_2/kemerer.arff   MAE                       85.8333
datasets_2/kemerer.arff   Median Absolute Error     56.3
datasets_2/kemerer.arff   RMSE                     115.273
datasets_2/kemerer.arff   R2 Score                   0.0136091
datasets_2/kemerer.arff   MAE                       85.8333
datasets_2/kemerer.arff   Median Absolute Error     56.3
datasets_2/kemerer.arff   RMSE                     115.273
datasets_2/kemerer.arff   R2 Score                   0.0136091
datasets_2/kemerer.arff   MAE                       89.9333
datasets_2/kemerer.arff   Median Absolute Error     75.675
datasets_2/kemerer.arff   RMSE                     103.096
datasets_2/kemerer.arff   R2 Score                   0.210993
datasets_2/kemerer.arff   MAE                       94.9667
datasets_2/kemerer.arff   Median Absolute Error     75.675
datasets_2/kemerer.arff   RMSE                     105.228
datasets_2/kemerer.arff   R2 Score                   0.178019
datasets_2/kemerer.arff   MAE                       94.2933
datasets_2/kemerer.arff   Median Absolute Error    102.04
datasets_2/kemerer.arff   RMSE                      96.7658
datasets_2/kemerer.arff   R2 Score                   0.304912
datasets_2/kemerer.arff   MAE                      106.247
datasets_2/kemerer.arff   Median Absolute Error    102.04
datasets_2/kemerer.arff   RMSE                     112.115
datasets_2/kemerer.arff   R2 Score                   0.066912
datasets_2/kemerer.arff   MAE                       98.2278
datasets_2/kemerer.arff   Median Absolute Error     95.65
datasets_2/kemerer.arff   RMSE                      99.4577
datasets_2/kemerer.arff   R2 Score                   0.2657
datasets_2/kemerer.arff   MAE                       98.2278
datasets_2/kemerer.arff   Median Absolute Error     95.65
datasets_2/kemerer.arff   RMSE                      99.4577
datasets_2/kemerer.arff   R2 Score                   0.2657
datasets_2/kemerer.arff   MAE                       95.3333
datasets_2/kemerer.arff   Median Absolute Error     88.6571
datasets_2/kemerer.arff   RMSE                      98.021
datasets_2/kemerer.arff   R2 Score                   0.286763
datasets_2/kemerer.arff   MAE                       98.2095
datasets_2/kemerer.arff   Median Absolute Error     97.2857
datasets_2/kemerer.arff   RMSE                     100.712
datasets_2/kemerer.arff   R2 Score                   0.247062
datasets_2/kemerer.arff   MAE                       92.8042
datasets_2/kemerer.arff   Median Absolute Error     90.9625
datasets_2/kemerer.arff   RMSE                      94.246
datasets_2/kemerer.arff   R2 Score                   0.340641
datasets_2/kemerer.arff   MAE                       92.8042
datasets_2/kemerer.arff   Median Absolute Error     90.9625
datasets_2/kemerer.arff   RMSE                      94.246
datasets_2/kemerer.arff   R2 Score                   0.340641
datasets_2/kemerer.arff   MAE                      107.752
datasets_2/kemerer.arff   Median Absolute Error    115.644
datasets_2/kemerer.arff   RMSE                     109.131
datasets_2/kemerer.arff   R2 Score                   0.115916
datasets_2/kemerer.arff   MAE                      107.752
datasets_2/kemerer.arff   Median Absolute Error    115.644
datasets_2/kemerer.arff   RMSE                     109.131
datasets_2/kemerer.arff   R2 Score                   0.115916
datasets_2/cocomo81.arff  MAE                      663.256
datasets_2/cocomo81.arff  Median Absolute Error    130
datasets_2/cocomo81.arff  RMSE                    1607.89
datasets_2/cocomo81.arff  R2 Score                 -30.8298
datasets_2/cocomo81.arff  MAE                      688.256
datasets_2/cocomo81.arff  Median Absolute Error    231.667
datasets_2/cocomo81.arff  RMSE                    1611.95
datasets_2/cocomo81.arff  R2 Score                 -30.9909
datasets_2/cocomo81.arff  MAE                      568
datasets_2/cocomo81.arff  Median Absolute Error    191
datasets_2/cocomo81.arff  RMSE                    1279.55
datasets_2/cocomo81.arff  R2 Score                 -19.1575
datasets_2/cocomo81.arff  MAE                      571.231
datasets_2/cocomo81.arff  Median Absolute Error    191
datasets_2/cocomo81.arff  RMSE                    1280.82
datasets_2/cocomo81.arff  R2 Score                 -19.1977
datasets_2/cocomo81.arff  MAE                      533.631
datasets_2/cocomo81.arff  Median Absolute Error    212.6
datasets_2/cocomo81.arff  RMSE                    1134.44
datasets_2/cocomo81.arff  R2 Score                 -14.8449
datasets_2/cocomo81.arff  MAE                      543.492
datasets_2/cocomo81.arff  Median Absolute Error    212.6
datasets_2/cocomo81.arff  RMSE                    1138.93
datasets_2/cocomo81.arff  R2 Score                 -14.9704
datasets_2/cocomo81.arff  MAE                      442.513
datasets_2/cocomo81.arff  Median Absolute Error    155.667
datasets_2/cocomo81.arff  RMSE                     952.068
datasets_2/cocomo81.arff  R2 Score                 -10.1599
datasets_2/cocomo81.arff  MAE                      441.962
datasets_2/cocomo81.arff  Median Absolute Error    155.667
datasets_2/cocomo81.arff  RMSE                     952.059
datasets_2/cocomo81.arff  R2 Score                 -10.1597
datasets_2/cocomo81.arff  MAE                      409.758
datasets_2/cocomo81.arff  Median Absolute Error    138.857
datasets_2/cocomo81.arff  RMSE                     876.557
datasets_2/cocomo81.arff  R2 Score                  -8.45983
datasets_2/cocomo81.arff  MAE                      413.495
datasets_2/cocomo81.arff  Median Absolute Error    175
datasets_2/cocomo81.arff  RMSE                     877.252
datasets_2/cocomo81.arff  R2 Score                  -8.47484
datasets_2/cocomo81.arff  MAE                      372.183
datasets_2/cocomo81.arff  Median Absolute Error    161.875
datasets_2/cocomo81.arff  RMSE                     762.478
datasets_2/cocomo81.arff  R2 Score                  -6.15777
datasets_2/cocomo81.arff  MAE                      374.808
datasets_2/cocomo81.arff  Median Absolute Error    161.875
datasets_2/cocomo81.arff  RMSE                     763.036
datasets_2/cocomo81.arff  R2 Score                  -6.16825
datasets_2/cocomo81.arff  MAE                      342.179
datasets_2/cocomo81.arff  Median Absolute Error    115.889
datasets_2/cocomo81.arff  RMSE                     671.26
datasets_2/cocomo81.arff  R2 Score                  -4.54759
datasets_2/cocomo81.arff  MAE                      351.103
datasets_2/cocomo81.arff  Median Absolute Error    115.889
datasets_2/cocomo81.arff  RMSE                     674.563
datasets_2/cocomo81.arff  R2 Score                  -4.60232
datasets_2/china.arff     MAE                      389.363
datasets_2/china.arff     Median Absolute Error    141.333
datasets_2/china.arff     RMSE                     825.174
datasets_2/china.arff     R2 Score                   0.984535
datasets_2/china.arff     MAE                      395.977
datasets_2/china.arff     Median Absolute Error    142.833
datasets_2/china.arff     RMSE                     906.761
datasets_2/china.arff     R2 Score                   0.981326
datasets_2/china.arff     MAE                      398.897
datasets_2/china.arff     Median Absolute Error    151.375
datasets_2/china.arff     RMSE                     819.409
datasets_2/china.arff     R2 Score                   0.98475
datasets_2/china.arff     MAE                      421.845
datasets_2/china.arff     Median Absolute Error    153.875
datasets_2/china.arff     RMSE                     959.081
datasets_2/china.arff     R2 Score                   0.979108
datasets_2/china.arff     MAE                      407.776
datasets_2/china.arff     Median Absolute Error    121.9
datasets_2/china.arff     RMSE                     854.377
datasets_2/china.arff     R2 Score                   0.983421
datasets_2/china.arff     MAE                      433.408
datasets_2/china.arff     Median Absolute Error    152.5
datasets_2/china.arff     RMSE                     958.273
datasets_2/china.arff     R2 Score                   0.979144
datasets_2/china.arff     MAE                      434.678
datasets_2/china.arff     Median Absolute Error    133.083
datasets_2/china.arff     RMSE                     964.574
datasets_2/china.arff     R2 Score                   0.978868
datasets_2/china.arff     MAE                      404.997
datasets_2/china.arff     Median Absolute Error    136.167
datasets_2/china.arff     RMSE                     866.487
datasets_2/china.arff     R2 Score                   0.982948
datasets_2/china.arff     MAE                      451.36
datasets_2/china.arff     Median Absolute Error    138
datasets_2/china.arff     RMSE                    1071.55
datasets_2/china.arff     R2 Score                   0.973921
datasets_2/china.arff     MAE                      445.911
datasets_2/china.arff     Median Absolute Error    150.286
datasets_2/china.arff     RMSE                     997.198
datasets_2/china.arff     R2 Score                   0.977415
datasets_2/china.arff     MAE                      413.116
datasets_2/china.arff     Median Absolute Error    143.312
datasets_2/china.arff     RMSE                     872.397
datasets_2/china.arff     R2 Score                   0.982714
datasets_2/china.arff     MAE                      466.485
datasets_2/china.arff     Median Absolute Error    127.375
datasets_2/china.arff     RMSE                    1101.76
datasets_2/china.arff     R2 Score                   0.97243
datasets_2/china.arff     MAE                      461.458
datasets_2/china.arff     Median Absolute Error    126.056
datasets_2/china.arff     RMSE                    1072.3
datasets_2/china.arff     R2 Score                   0.973885
datasets_2/china.arff     MAE                      492.163
datasets_2/china.arff     Median Absolute Error    140.056
datasets_2/china.arff     RMSE                    1203.03
datasets_2/china.arff     R2 Score                   0.967129
datasets_2/albrecht.arff  MAE                       14.5067
datasets_2/albrecht.arff  Median Absolute Error      8.5
datasets_2/albrecht.arff  RMSE                      19.9549
datasets_2/albrecht.arff  R2 Score                   0.707009
datasets_2/albrecht.arff  MAE                       14.5067
datasets_2/albrecht.arff  Median Absolute Error      8.5
datasets_2/albrecht.arff  RMSE                      19.9549
datasets_2/albrecht.arff  R2 Score                   0.707009
datasets_2/albrecht.arff  MAE                       16.01
datasets_2/albrecht.arff  Median Absolute Error      5.75
datasets_2/albrecht.arff  RMSE                      25.1403
datasets_2/albrecht.arff  R2 Score                   0.534956
datasets_2/albrecht.arff  MAE                       16.13
datasets_2/albrecht.arff  Median Absolute Error      5.75
datasets_2/albrecht.arff  RMSE                      24.4642
datasets_2/albrecht.arff  R2 Score                   0.559633
datasets_2/albrecht.arff  MAE                       17.244
datasets_2/albrecht.arff  Median Absolute Error      5.98
datasets_2/albrecht.arff  RMSE                      27.7142
datasets_2/albrecht.arff  R2 Score                   0.434857
datasets_2/albrecht.arff  MAE                       17.428
datasets_2/albrecht.arff  Median Absolute Error      5.98
datasets_2/albrecht.arff  RMSE                      27.9454
datasets_2/albrecht.arff  R2 Score                   0.425386
datasets_2/albrecht.arff  MAE                       17.8833
datasets_2/albrecht.arff  Median Absolute Error      5.95
datasets_2/albrecht.arff  RMSE                      29.5046
datasets_2/albrecht.arff  R2 Score                   0.359478
datasets_2/albrecht.arff  MAE                       17.8833
datasets_2/albrecht.arff  Median Absolute Error      5.95
datasets_2/albrecht.arff  RMSE                      29.5046
datasets_2/albrecht.arff  R2 Score                   0.359478
datasets_2/albrecht.arff  MAE                       18.7914
datasets_2/albrecht.arff  Median Absolute Error      5.51429
datasets_2/albrecht.arff  RMSE                      31.3504
datasets_2/albrecht.arff  R2 Score                   0.27683
datasets_2/albrecht.arff  MAE                       18.8229
datasets_2/albrecht.arff  Median Absolute Error      5.67143
datasets_2/albrecht.arff  RMSE                      31.356
datasets_2/albrecht.arff  R2 Score                   0.276571
datasets_2/albrecht.arff  MAE                       19.5625
datasets_2/albrecht.arff  Median Absolute Error      4.1625
datasets_2/albrecht.arff  RMSE                      32.8269
datasets_2/albrecht.arff  R2 Score                   0.207107
datasets_2/albrecht.arff  MAE                       19.545
datasets_2/albrecht.arff  Median Absolute Error      5.325
datasets_2/albrecht.arff  RMSE                      32.851
datasets_2/albrecht.arff  R2 Score                   0.205944
datasets_2/albrecht.arff  MAE                       19.9533
datasets_2/albrecht.arff  Median Absolute Error      4.14444
datasets_2/albrecht.arff  RMSE                      33.6237
datasets_2/albrecht.arff  R2 Score                   0.168151
datasets_2/albrecht.arff  MAE                       19.8022
datasets_2/albrecht.arff  Median Absolute Error      4.14444
datasets_2/albrecht.arff  RMSE                      33.6154
datasets_2/albrecht.arff  R2 Score                   0.168561
datasets_2/kemerer.arff   MAE                       84.5667
datasets_2/kemerer.arff   Median Absolute Error     85.7667
datasets_2/kemerer.arff   RMSE                      98.6202
datasets_2/kemerer.arff   R2 Score                -186.39
datasets_2/kemerer.arff   MAE                       84.5667
datasets_2/kemerer.arff   Median Absolute Error     85.7667
datasets_2/kemerer.arff   RMSE                      98.6202
datasets_2/kemerer.arff   R2 Score                -186.39
datasets_2/kemerer.arff   MAE                       99.7083
datasets_2/kemerer.arff   Median Absolute Error    114.35
datasets_2/kemerer.arff   RMSE                     105.171
datasets_2/kemerer.arff   R2 Score                -212.112
datasets_2/kemerer.arff   MAE                       99.7083
datasets_2/kemerer.arff   Median Absolute Error    114.35
datasets_2/kemerer.arff   RMSE                     105.171
datasets_2/kemerer.arff   R2 Score                -212.112
datasets_2/kemerer.arff   MAE                       87.42
datasets_2/kemerer.arff   Median Absolute Error     90.9
datasets_2/kemerer.arff   RMSE                      98.2361
datasets_2/kemerer.arff   R2 Score                -184.933
datasets_2/kemerer.arff   MAE                       87.42
datasets_2/kemerer.arff   Median Absolute Error     90.9
datasets_2/kemerer.arff   RMSE                      98.2361
datasets_2/kemerer.arff   R2 Score                -184.933
datasets_2/kemerer.arff   MAE                       85.1778
datasets_2/kemerer.arff   Median Absolute Error    102.417
datasets_2/kemerer.arff   RMSE                      92.8892
datasets_2/kemerer.arff   R2 Score                -165.243
datasets_2/kemerer.arff   MAE                       99.1944
datasets_2/kemerer.arff   Median Absolute Error    102.417
datasets_2/kemerer.arff   RMSE                     112.096
datasets_2/kemerer.arff   R2 Score                -241.098
datasets_2/kemerer.arff   MAE                       94.7238
datasets_2/kemerer.arff   Median Absolute Error     85.6571
datasets_2/kemerer.arff   RMSE                     100.712
datasets_2/kemerer.arff   R2 Score                -194.425
datasets_2/kemerer.arff   MAE                       96.2476
datasets_2/kemerer.arff   Median Absolute Error     85.6571
datasets_2/kemerer.arff   RMSE                     102.849
datasets_2/kemerer.arff   R2 Score                -202.804
datasets_2/kemerer.arff   MAE                      102.046
datasets_2/kemerer.arff   Median Absolute Error    106.125
datasets_2/kemerer.arff   RMSE                     104.727
datasets_2/kemerer.arff   R2 Score                -210.315
datasets_2/kemerer.arff   MAE                      102.046
datasets_2/kemerer.arff   Median Absolute Error    106.125
datasets_2/kemerer.arff   RMSE                     104.727
datasets_2/kemerer.arff   R2 Score                -210.315
datasets_2/kemerer.arff   MAE                      108.178
datasets_2/kemerer.arff   Median Absolute Error     97.5667
datasets_2/kemerer.arff   RMSE                     109.893
datasets_2/kemerer.arff   R2 Score                -231.675
datasets_2/kemerer.arff   MAE                      108.178
datasets_2/kemerer.arff   Median Absolute Error     97.5667
datasets_2/kemerer.arff   RMSE                     109.893
datasets_2/kemerer.arff   R2 Score                -231.675
