size_D,duration_D,nlan,t07,t10,t11,t14,t15,app_InfServ,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_har_Mainfrm,MI_size_D_t03,MI_size_D_t14,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_telonuse_Yes,MI_size_D_ifc_TextUI,MI_size_D_t05,MI_size_D_har_Multi,MI_size_D_t01,MI_size_D_t04,MI_size_D_t06,MI_size_D_t13,MI_size_D_app_CustServ,MI_duration_D_t07,effort_D
1849,32,4,4,4,4,3,4,0,59168,7396,7396,7396,7396,1849,9245,1849,5547,5547,7396,7396,7396,1849,1849,5547,0,7396,5547,7396,5547,0,128,25910
2482,38,4,5,4,5,1,4,0,94316,12410,12410,12410,9928,7446,9928,2482,9928,2482,9928,9928,12410,2482,2482,9928,0,9928,7446,9928,7446,0,190,37286
434,40,4,4,4,4,2,3,0,17360,1736,1736,1736,1736,868,2170,0,1302,868,1736,1302,1736,0,434,1302,434,1302,1302,868,1736,434,160,15052
292,29,3,3,5,3,2,3,0,8468,876,876,1460,876,876,1168,292,1168,584,1460,876,1168,0,292,1168,0,1168,1168,584,1168,0,87,11039
2954,14,4,4,4,5,3,3,0,41356,11816,14770,11816,11816,11816,8862,0,5908,8862,11816,8862,8862,0,2954,8862,2954,11816,8862,8862,5908,2954,56,18500
304,14,1,4,4,3,4,3,0,4256,1216,912,1520,304,912,1216,0,608,1216,1216,912,1216,0,304,912,304,1216,1216,912,608,0,56,9369
353,28,1,2,4,2,3,3,0,9884,706,706,1412,353,1059,1412,0,706,1059,1412,1059,706,0,353,706,0,1412,1059,1059,1059,0,56,7184
567,16,4,4,5,5,2,4,0,9072,2268,2835,2835,2268,1134,2268,567,1134,1134,2835,2268,2268,567,567,1701,0,1134,2268,1701,1134,0,64,10447
467,13,3,3,4,3,3,3,0,6071,1401,1401,1868,1401,1401,1401,467,1868,1401,1868,1401,1401,467,467,1401,0,1868,1401,1401,934,0,39,5100
3368,45,3,4,4,4,2,4,0,151560,13472,13472,13472,10104,10104,16840,3368,10104,6736,13472,13472,13472,0,3368,10104,0,13472,13472,10104,13472,0,180,63694
253,4,2,2,3,2,2,4,0,1012,506,506,1012,506,759,1012,253,759,506,759,1012,1012,253,253,759,0,759,1012,1012,1012,253,8,1651
196,10,3,2,3,2,4,3,0,1960,392,392,392,588,784,588,0,392,784,588,588,784,196,196,588,196,196,588,784,392,0,20,1450
185,12,4,3,3,3,5,3,1,2220,555,555,555,740,740,925,185,370,925,555,555,740,0,185,555,0,555,555,740,740,0,36,1745
387,6,2,3,4,4,3,4,0,2322,1161,1548,1935,774,1548,1548,387,1161,1161,1548,1548,1548,0,387,774,0,774,774,774,1161,387,18,1798
430,28,2,4,2,3,4,3,0,12040,1720,1290,1290,860,1290,2150,430,1290,1720,860,1290,1290,0,430,1290,0,430,1290,860,1290,0,112,2957
204,6,2,3,4,2,3,3,0,1224,612,408,612,408,816,816,204,408,612,816,612,816,0,204,612,0,612,612,612,612,0,18,963
71,6,1,2,2,3,4,3,0,426,142,213,284,71,213,213,71,213,284,142,213,284,0,71,213,0,213,284,213,142,0,12,1233
840,6,3,4,4,3,4,5,1,5040,3360,2520,4200,2520,1680,4200,0,3360,3360,3360,4200,4200,0,0,4200,840,3360,2520,2520,3360,0,24,3240
1648,11,4,5,5,4,4,5,0,18128,8240,6592,8240,6592,3296,4944,0,6592,6592,8240,8240,8240,0,0,8240,1648,6592,4944,4944,4944,0,55,10000
1035,8,4,5,5,4,4,5,0,8280,5175,4140,5175,4140,2070,3105,0,4140,4140,5175,5175,5175,0,0,5175,1035,4140,3105,3105,3105,0,40,6800
548,22,1,3,3,3,3,3,0,12056,1644,1644,1644,548,1644,2192,548,2192,1644,1644,1644,2192,0,548,1644,0,1644,1096,1096,2192,548,66,3850
2054,31,3,3,4,5,3,4,0,63674,6162,10270,8216,6162,6162,8216,0,8216,6162,8216,8216,10270,2054,2054,8216,2054,8216,8216,6162,8216,2054,93,14000
302,26,2,3,3,3,4,3,0,7852,906,906,906,604,906,1208,302,604,1208,906,906,906,0,302,906,0,604,1208,906,604,0,78,5787
1172,22,3,4,2,4,3,4,0,25784,4688,4688,4688,3516,2344,2344,0,2344,3516,2344,4688,3516,1172,1172,4688,1172,4688,3516,4688,4688,1172,88,9700
253,7,1,3,3,3,4,3,1,1771,759,759,1012,253,759,759,0,759,1012,759,759,1012,0,0,506,0,759,506,759,1012,0,21,1100
227,14,2,3,5,3,3,3,0,3178,681,681,1135,454,908,681,227,454,681,1135,681,681,0,227,681,0,681,908,681,454,0,42,5578
59,6,3,2,3,3,3,3,0,354,118,177,236,177,177,177,59,177,177,177,177,236,0,59,177,0,236,177,177,177,0,12,1060
299,6,4,3,3,5,2,3,1,1794,897,1495,1196,1196,897,1196,299,1196,598,897,897,1196,299,299,1196,0,897,1196,1196,897,0,18,5279
422,15,1,3,3,4,2,4,0,6330,1266,1688,2110,422,1266,1266,422,1266,844,1266,1688,1688,0,422,1266,0,1266,1688,1266,1266,422,45,8117
1058,9,3,5,4,3,4,4,0,9522,5290,3174,4232,3174,4232,3174,0,3174,4232,4232,4232,5290,0,1058,4232,0,4232,5290,4232,2116,0,45,8710
65,9,3,4,4,3,5,3,1,585,260,195,260,195,130,260,0,130,325,260,195,260,0,65,195,0,260,195,130,260,0,36,796
390,26,3,4,4,4,4,4,0,10140,1560,1560,1950,1170,1950,1950,0,1170,1560,1560,1560,1560,0,390,780,390,1950,1170,1170,1170,390,104,11023
193,13,2,2,3,3,4,4,0,2509,386,579,579,386,772,386,193,386,772,579,772,579,0,193,772,0,772,579,579,386,0,26,1755
1526,28,4,3,3,4,3,3,1,42728,4578,6104,6104,6104,4578,4578,1526,3052,4578,4578,4578,6104,1526,1526,4578,0,6104,4578,4578,6104,0,84,5931
575,13,2,4,3,4,3,3,0,7475,2300,2300,2300,1150,1725,1150,0,1725,1725,1725,1725,2300,575,575,1725,575,1150,1725,1725,1150,575,52,4456
509,13,1,3,3,2,2,3,0,6617,1527,1018,2036,509,1527,2036,509,1527,1018,1527,1527,2036,0,509,1527,0,1018,2036,1527,2036,0,39,3600
583,12,3,2,2,2,3,3,0,6996,1166,1166,1166,1749,2332,1749,583,2332,1749,1166,1749,2332,0,583,1749,0,583,1166,1749,2915,0,24,4557
315,14,2,4,3,3,3,3,0,4410,1260,945,1260,630,945,1575,315,1575,945,945,945,1260,0,315,945,0,1260,945,945,945,315,56,8752
138,12,2,3,4,2,3,3,0,1656,414,276,552,276,552,414,138,690,414,552,414,552,0,138,414,0,414,414,414,552,138,36,3440
257,9,3,3,4,4,4,3,0,2313,771,1028,1028,771,1028,1028,0,771,1028,1028,771,1028,0,257,771,257,771,771,771,1028,0,27,1981
423,30,1,4,3,3,2,3,0,12690,1692,1269,1692,423,1269,2115,423,1269,846,1269,1269,1692,0,423,846,0,846,846,846,1692,0,120,13700
495,20,3,3,3,3,4,4,0,9900,1485,1485,2475,1485,990,1485,0,1980,1980,1485,1980,1980,0,495,1485,0,1980,1485,1485,1485,0,60,7105
622,16,4,3,3,4,4,3,0,9952,1866,2488,2488,2488,1866,2488,0,1866,2488,1866,1866,1866,622,622,1866,622,1244,2488,1866,1244,622,48,6816
204,12,2,4,5,5,2,3,1,2448,816,1020,1020,408,612,1020,204,612,408,1020,612,816,204,204,612,0,612,612,816,612,0,48,4620
616,15,4,3,4,5,5,4,0,9240,1848,3080,3080,2464,1848,3080,0,1232,3080,2464,2464,3080,616,616,1848,616,1232,1848,1232,616,616,45,7451
3634,33,3,4,5,5,5,4,0,119922,14536,18170,18170,10902,14536,10902,0,10902,18170,18170,14536,14536,0,3634,10902,3634,7268,10902,10902,14536,3634,132,39479
