AFP,Input,Output,File,Added,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_N_effort_NPDR_AFP,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Output,MI_N_effort_Resource_1,MI_AFP_PDR_AFP,Effort
71.0,31.0,28.0,7.0,31.0,296.0,21016.0,1036.0,1154.4,9176.0,976.8,2664.0,1243.2,296.0,2072.0,8288.0,296.0,248.5,246
306.0,51.0,105.0,105.0,306.0,2082.0,637092.0,14157.6,14157.6,637092.0,14157.6,0.0,14157.6,49968.0,218610.0,218610.0,0.0,2080.8,2082
244.0,68.0,78.0,62.0,244.0,191.0,46604.0,152.8,152.8,46604.0,152.8,4202.0,152.8,1337.0,11842.0,14898.0,0.0,195.2,191
98.0,21.0,46.0,44.0,114.0,3583.0,351134.0,108564.9,112506.2,408462.0,93516.3,10749.0,131137.80000000002,53745.0,157652.0,164818.0,3583.0,2969.4,2974
331.0,100.0,44.0,107.0,312.0,395.0,130745.0,395.0,513.5,123240.0,434.50000000000006,24095.0,474.0,790.0,42265.0,17380.0,395.0,331.0,328
101.0,16.0,5.0,52.0,112.0,406.0,41006.0,1624.0,1461.6,45472.0,1461.6,15834.0,1624.0,3248.0,21112.0,2030.0,406.0,404.0,406
192.0,9.0,102.0,10.0,198.0,2151.0,412992.0,20004.300000000003,23445.9,425898.0,19359.0,0.0,24091.2,17208.0,21510.0,219402.0,2151.0,1785.6,1785
60.0,39.0,4.0,14.0,39.0,471.0,28260.0,3720.9,3297.0,18369.0,3297.0,0.0,3720.9,3768.0,6594.0,1884.0,0.0,474.0,471
180.0,74.0,18.0,57.0,153.0,700.0,126000.0,2730.0,2660.0,107100.0,2660.0,23100.0,2730.0,3500.0,39900.0,12600.0,0.0,702.0,700
118.0,43.0,71.0,0.0,38.0,698.0,82364.0,3420.2000000000003,4048.4,26524.0,3350.4,4886.0,4118.2,1396.0,0.0,49558.0,698.0,578.2,579
73.0,43.0,10.0,15.0,6.0,1459.0,106507.0,24219.4,29617.7,8754.0,24511.2,5836.0,29180.0,4377.0,21885.0,14590.0,1459.0,1211.8000000000002,1211
143.0,63.0,0.0,45.0,14.0,1372.0,196196.0,10976.0,13994.4,19208.0,11524.8,37044.0,13171.2,5488.0,61740.0,0.0,1372.0,1144.0,1139
2190.0,706.0,648.0,235.0,1825.0,16690.0,36551100.0,110154.0,151879.0,30459250.0,133520.0,3938840.0,126844.0,317110.0,3922150.0,10815120.0,0.0,14454.0,14520
9.0,0.0,10.0,0.0,5.0,239.0,2151.0,6357.400000000001,5712.099999999999,1195.0,5712.099999999999,0.0,6357.400000000001,478.0,0.0,2390.0,239.0,239.4,239
203.0,21.0,167.0,10.0,201.0,1520.0,308560.0,9424.0,11552.0,305520.0,9576.0,4560.0,11400.0,7600.0,15200.0,253840.0,1520.0,1258.6,1262
162.0,64.0,36.0,28.0,157.0,1754.0,284148.0,18943.2,19644.8,275378.0,19644.8,15786.0,18943.2,14032.0,49112.0,63144.0,1754.0,1749.6,1754
183.0,60.0,21.0,71.0,181.0,1824.0,333792.0,15139.2,18422.4,330144.0,15321.6,52896.0,18240.0,10944.0,129504.0,38304.0,1824.0,1518.9,1514
59.0,36.0,21.0,0.0,6.0,804.0,47436.0,9085.2,11336.4,4824.0,9406.8,0.0,10934.4,6432.0,0.0,16884.0,804.0,666.7,667
412.0,198.0,14.0,91.0,412.0,5864.0,2415968.0,83268.8,83268.8,2415968.0,83268.8,580536.0,83268.8,117280.0,533624.0,82096.0,5864.0,5850.4,5864
348.0,198.0,14.0,77.0,10.0,1172.0,407856.0,3281.6,4219.2,11720.0,3516.0,38676.0,3984.8,3516.0,90244.0,16408.0,1172.0,974.4,973
2529.0,554.0,513.0,703.0,2056.0,5333.0,13487157.0,11199.3,13865.8,10964648.0,13865.8,351978.0,11199.3,69329.0,3749099.0,2735829.0,0.0,5310.900000000001,5333
250.0,28.0,92.0,0.0,164.0,1775.0,443750.0,12602.5,15265.0,291100.0,15265.0,101175.0,12602.5,14200.0,0.0,163300.0,0.0,1775.0,1775
206.0,0.0,199.0,0.0,100.0,246.0,50676.0,246.0,295.2,24600.0,246.0,0.0,295.2,1230.0,0.0,48954.0,246.0,206.0,204
617.0,184.0,136.0,133.0,377.0,3793.0,2340281.0,19344.3,25792.4,1429961.0,21620.1,390679.0,23137.3,26551.0,504469.0,515848.0,3793.0,3146.7,3148
173.0,0.0,78.0,17.0,177.0,10501.0,1816673.0,529250.4,622709.2999999999,1858677.0,516649.2,105010.0,637410.7000000001,126012.0,178517.0,819078.0,10501.0,8719.199999999999,8716
286.0,45.0,156.0,37.0,265.0,1464.0,418704.0,7466.4,8052.0,387960.0,8052.0,39528.0,7466.4,8784.0,54168.0,228384.0,1464.0,1458.6,1464
52.0,13.0,17.0,10.0,20.0,1636.0,85072.0,42699.600000000006,52515.600000000006,32720.0,43517.600000000006,9816.0,51534.0,3272.0,16360.0,27812.0,1636.0,1357.2,1358
45.0,6.0,28.0,0.0,59.0,281.0,12645.0,1742.2,1348.8,16579.0,1348.8,0.0,1742.2,1967.0,0.0,7868.0,0.0,279.0,281
104.0,30.0,7.0,15.0,0.0,2796.0,290784.0,62350.8,78288.0,0.0,64867.2,134208.0,75212.4,13980.0,41940.0,19572.0,2796.0,2319.2000000000003,2321
465.0,234.0,44.0,118.0,431.0,4884.0,2271060.0,42490.8,47863.2,2105004.0,39560.4,507936.0,51282.0,63492.0,576312.0,214896.0,4884.0,4045.5,4054
2145.0,862.0,63.0,518.0,2234.0,2400.0,5148000.0,2640.0,2640.0,5361600.0,2640.0,1178400.0,2640.0,201600.0,1243200.0,151200.0,0.0,2359.5,2400
283.0,20.0,125.0,91.0,292.0,5650.0,1598950.0,113000.0,109045.0,1649800.0,109045.0,220350.0,113000.0,73450.0,514150.0,706250.0,5650.0,5660.0,5650
109.0,0.0,84.0,17.0,47.0,1837.0,200233.0,25718.0,31780.1,86339.0,26452.8,0.0,31045.3,3674.0,31229.0,154308.0,1837.0,1526.0,1525
160.0,0.0,21.0,25.0,74.0,575.0,92000.0,1725.0,2070.0,42550.0,1725.0,41400.0,2070.0,1150.0,14375.0,12075.0,575.0,480.0,477
65.0,0.0,64.0,0.0,54.0,606.0,39390.0,4666.2,5757.0,32724.0,4787.400000000001,0.0,5635.8,1212.0,0.0,38784.0,606.0,500.5,503
366.0,160.0,27.0,72.0,260.0,10205.0,3735030.0,235735.5,292883.5,2653300.0,243899.5,979680.0,284719.5,102050.0,734760.0,275535.0,10205.0,8454.6,8470
63.0,18.0,10.0,28.0,16.0,937.0,59031.0,11525.1,14898.3,14992.0,12368.4,2811.0,13961.3,2811.0,26236.0,9370.0,937.0,774.9000000000001,778
309.0,126.0,13.0,153.0,381.0,2597.0,802473.0,21814.8,17659.6,989457.0,17659.6,153223.0,21814.8,19477.5,397341.0,33761.0,0.0,2595.6,2597
610.0,137.0,174.0,147.0,575.0,950.0,579500.0,1520.0,1615.0,546250.0,1615.0,111150.0,1520.0,2850.0,139650.0,165300.0,950.0,976.0,950
562.0,165.0,125.0,119.0,502.0,5727.0,3218574.0,58415.4,65287.8,2874954.0,65287.8,532611.0,58415.4,74451.0,681513.0,715875.0,0.0,5732.4,5727
156.0,21.0,38.0,7.0,146.0,2458.0,383448.0,32199.8,41294.4,358868.0,34412.0,95862.0,38836.4,9832.0,17206.0,93404.0,2458.0,2043.6,2040
75.0,30.0,5.0,21.0,40.0,4430.0,332250.0,217070.0,261813.0,177200.0,217070.0,84170.0,261813.0,35440.0,93030.0,22150.0,4430.0,3675.0,3677
136.0,42.0,64.0,21.0,0.0,687.0,93432.0,2885.4,3709.8,0.0,3091.5,0.0,3503.7,1374.0,14427.0,43968.0,687.0,571.2,570
96.0,13.0,56.0,10.0,119.0,4530.0,434880.0,57531.0,172593.0,539070.0,46659.0,0.0,213816.0,36240.0,45300.0,253680.0,0.0,1219.1999999999998,1223
78.0,24.0,24.0,21.0,78.0,1084.0,84552.0,13550.0,15067.6,84552.0,13550.0,9756.0,15067.6,4336.0,22764.0,26016.0,1084.0,975.0,976
51.0,42.0,0.0,0.0,20.0,466.0,23766.0,3541.6,3867.8,9320.0,3215.4,6524.0,4240.599999999999,5592.0,0.0,0.0,466.0,387.6,387
1092.0,356.0,84.0,669.0,1300.0,5320.0,5809440.0,21280.0,21812.0,6916000.0,18088.0,904400.0,26068.000000000004,69160.0,3559080.0,446880.0,5320.0,4368.0,4416
134.0,42.0,11.0,35.0,134.0,345.0,46230.0,724.5,897.0,46230.0,724.5,11040.0,897.0,2760.0,12075.0,3795.0,345.0,281.40000000000003,286
75.0,24.0,9.0,36.0,0.0,367.0,27525.0,1504.6999999999998,1945.1,0.0,1614.8000000000002,0.0,1798.3000000000002,1835.0,13212.0,3303.0,367.0,307.5,305
88.0,18.0,20.0,43.0,36.0,155.0,13640.0,232.5,294.5,5580.0,248.0,0.0,279.0,1085.0,6665.0,3100.0,155.0,132.0,129
3088.0,1061.0,1009.0,241.0,544.0,4266.0,13173408.0,5972.4,5972.4,2320704.0,5972.4,3293352.0,5972.4,34128.0,1028106.0,4304394.0,4266.0,4323.2,4266
82.0,25.0,46.0,14.0,100.0,440.0,36080.0,2376.0,1936.0,44000.0,1936.0,0.0,2376.0,1320.0,6160.0,20240.0,440.0,442.8,440
110.0,30.0,66.0,7.0,18.0,1362.0,149820.0,16888.8,17978.399999999998,24516.0,17978.399999999998,0.0,16888.8,2724.0,9534.0,89892.0,1362.0,1364.0,1362
308.0,153.0,83.0,112.0,236.0,2533.0,780164.0,20770.6,17984.3,597788.0,17984.3,0.0,20770.6,15198.0,283696.0,210239.0,0.0,2525.6,2533
143.0,75.0,32.0,62.0,172.0,225.0,32175.0,360.0,292.5,38700.0,292.5,675.0,360.0,2250.0,13950.0,7200.0,225.0,228.8,225
826.0,292.0,326.0,32.0,396.0,11045.0,9123170.0,148003.0,151316.5,4373820.0,151316.5,1711975.0,148003.0,143585.0,353440.0,3600670.0,11045.0,11068.4,11045
3460.0,484.0,1831.0,208.0,2756.0,32760.0,113349600.0,311220.0,360360.0,90286560.0,360360.0,10417680.0,311220.0,786240.0,6814080.0,59983560.0,0.0,32870.0,32760
73.0,15.0,32.0,28.0,80.0,2475.0,180675.0,69547.5,76477.5,198000.0,63607.5,0.0,83902.5,19800.0,69300.0,79200.0,2475.0,2051.3,2054
64.0,4.0,56.0,7.0,11.0,252.0,16128.0,982.8,957.6,2772.0,957.6,0.0,982.8,1764.0,1764.0,14112.0,252.0,249.6,252
497.0,122.0,28.0,273.0,454.0,2362.0,1173914.0,11337.6,10156.6,1072348.0,10156.6,266906.0,11337.6,18896.0,644826.0,66136.0,0.0,2385.6,2362
288.0,201.0,0.0,76.0,99.0,2963.0,853344.0,25185.5,28148.5,293337.0,23407.7,106668.0,30518.9,14815.0,225188.0,0.0,2963.0,2448.0,2459
494.0,134.0,62.0,91.0,494.0,8706.0,4300764.0,153225.6,153225.6,4300764.0,153225.6,1218840.0,153225.6,182826.0,792246.0,539772.0,8706.0,8694.400000000001,8706
130.0,60.0,65.0,0.0,14.0,770.0,100100.0,4543.0,4774.0,10780.0,4774.0,0.0,4543.0,4620.0,0.0,50050.0,770.0,767.0,770
204.0,47.0,43.0,29.0,229.0,8111.0,1654644.0,322817.8,287129.4,1857419.0,287129.4,48666.0,322817.8,291996.0,235219.0,348773.0,8111.0,8119.2,8111
17.0,12.0,5.0,0.0,17.0,762.0,12954.0,34137.6,34137.6,12954.0,34137.6,0.0,34137.6,8382.0,0.0,3810.0,762.0,761.5999999999999,762
60.0,10.0,25.0,31.0,71.0,164.0,9840.0,377.2,377.2,11644.0,311.6,0.0,442.8,164.0,5084.0,4100.0,164.0,138.0,136
73.0,0.0,20.0,10.0,56.0,431.0,31463.0,2111.9,2801.5,24136.0,2327.4,15516.0,2542.9,431.0,4310.0,8620.0,431.0,357.70000000000005,358
169.0,32.0,14.0,28.0,169.0,580.0,98020.0,1624.0,1972.0,98020.0,1624.0,14500.0,1972.0,3480.0,16240.0,8120.0,580.0,473.2,481
1351.0,379.0,449.0,219.0,1173.0,3842.0,5190542.0,9220.8,11141.8,4506666.0,9220.8,1041182.0,10757.6,30736.0,841398.0,1725058.0,3842.0,3242.4,3189
2087.0,862.0,444.0,437.0,2046.0,22500.0,46957500.0,243000.00000000003,247500.0,46035000.0,247500.0,6817500.0,243000.00000000003,202500.0,9832500.0,9990000.0,0.0,22539.6,22500
253.0,72.0,0.0,29.0,252.0,12601.0,3188053.0,583426.2999999999,627529.7999999999,3175452.0,583426.2999999999,1348307.0,627529.7999999999,163813.0,365429.0,0.0,12601.0,11713.9,11719
102.0,37.0,26.0,29.0,102.0,244.0,24888.0,439.2,585.6,24888.0,439.2,2440.0,585.6,1220.0,7076.0,6344.0,244.0,183.6,183
115.0,49.0,39.0,15.0,53.0,1786.0,205390.0,23039.4,30897.800000000003,94658.0,25718.4,0.0,27683.0,8930.0,26790.0,69654.0,1786.0,1483.5,1482
288.0,18.0,186.0,15.0,300.0,1251.0,360288.0,5379.3,5254.2,375300.0,5254.2,26271.0,5379.3,13761.0,18765.0,232686.0,0.0,1238.4,1251
199.0,104.0,7.0,0.0,0.0,1136.0,226064.0,5339.2,6816.0,0.0,5680.0,87472.0,6475.2,9088.0,0.0,7952.0,1136.0,935.3,943
163.0,49.0,14.0,49.0,155.0,3234.0,527142.0,53361.0,67590.59999999999,501270.0,55948.2,106722.0,64033.2,35574.0,158466.0,45276.0,3234.0,2689.5,2684
97.0,21.0,41.0,49.0,16.0,729.0,70713.0,5467.5,4228.2,11664.0,4228.2,0.0,5467.5,6561.0,35721.0,29889.0,0.0,727.5,729
439.0,82.0,222.0,85.0,105.0,3630.0,1593570.0,30129.000000000004,31581.0,381150.0,31581.0,68970.0,30129.000000000004,25410.0,308550.0,805860.0,3630.0,3643.7,3630
3113.0,2019.0,609.0,157.0,3113.0,42080.0,130995040.0,458672.0,568080.0,130995040.0,458672.0,10435840.0,568080.0,1009920.0,6606560.0,25626720.0,42080.0,33931.700000000004,34085
153.0,35.0,7.0,24.0,143.0,3283.0,502299.0,61392.1,75509.0,469469.0,65660.0,187131.0,70584.5,9849.0,78792.0,22981.0,0.0,2861.1,2856
670.0,346.0,97.0,79.0,146.0,6936.0,4647120.0,59649.6,74908.8,1012656.0,61730.4,846192.0,72134.40000000001,41616.0,547944.0,672792.0,6936.0,5762.0,5757
129.0,19.0,93.0,10.0,0.0,631.0,81399.0,3091.9,2587.1,0.0,2587.1,1893.0,3091.9,9465.0,6310.0,58683.0,0.0,632.1,631
329.0,324.0,68.0,0.0,206.0,2184.0,718536.0,14414.4,11793.6,449904.0,11793.6,30576.0,14414.4,17472.0,0.0,148512.0,0.0,2171.4,2184
5684.0,2221.0,454.0,1137.0,4943.0,21014.0,119443576.0,77751.8,90360.2,103872202.0,90360.2,17231480.0,77751.8,777518.0,23892918.0,9540356.0,21014.0,21030.8,21014
61.0,27.0,4.0,17.0,72.0,502.0,30622.0,3413.6,3514.0,36144.0,2911.6,12048.0,4116.4,2008.0,8534.0,2008.0,502.0,414.8,417
267.0,27.0,133.0,34.0,70.0,2683.0,716361.0,26830.0,21464.0,187810.0,21464.0,136833.0,26830.0,24147.0,91222.0,356839.0,0.0,2670.0,2683
218.0,78.0,16.0,77.0,227.0,6665.0,1452970.0,169291.0,195951.0,1512955.0,162626.0,373240.0,203949.0,26660.0,513205.0,106640.0,6665.0,5537.2,5532
919.0,458.0,236.0,58.0,884.0,5801.0,5331119.0,30165.2,38286.6,5128084.0,31325.4,324856.0,36546.3,34806.0,336458.0,1369036.0,5801.0,4778.8,4815
66.0,27.0,12.0,14.0,28.0,296.0,19536.0,1095.2,1480.0,8288.0,1243.2,1776.0,1332.0,592.0,4144.0,3552.0,296.0,244.2,246
54.0,36.0,0.0,0.0,0.0,827.0,44658.0,10502.9,13149.3,0.0,10916.4,13232.0,12653.1,827.0,0.0,0.0,827.0,685.8,686
245.0,88.0,105.0,79.0,299.0,870.0,213150.0,1653.0,2523.0,260130.0,1392.0,23490.0,3132.0,11310.0,68730.0,91350.0,870.0,465.5,470
54.0,24.0,28.0,0.0,0.0,476.0,25704.0,3474.8,4379.2,0.0,3617.6,0.0,4188.8,952.0,0.0,13328.0,476.0,394.2,395
151.0,40.0,54.0,21.0,111.0,1241.0,187391.0,8935.2,11789.5,137751.0,10300.3,18615.0,10176.2,3723.0,26061.0,67014.0,0.0,1087.2,1080
103.0,45.0,4.0,29.0,105.0,1396.0,143788.0,18985.6,18566.8,146580.0,18566.8,37692.0,18985.6,9772.0,40484.0,5584.0,0.0,1400.8,1396
300.0,95.0,82.0,76.0,138.0,2933.0,879900.0,28743.4,30796.5,404754.0,30796.5,79191.0,28743.4,29330.0,222908.0,240506.0,2933.0,2940.0,2933
249.0,126.0,4.0,21.0,58.0,4551.0,1133199.0,83283.3,83283.3,263958.0,83283.3,445998.0,83283.3,40959.0,95571.0,18204.0,4551.0,4556.7,4551
224.0,156.0,21.0,29.0,6.0,3613.0,809312.0,48414.2,60337.1,21678.0,50220.7,0.0,58169.3,14452.0,104777.0,75873.0,3613.0,3001.6,2999
1984.0,255.0,1008.0,158.0,1613.0,2540.0,5039360.0,3302.0,4064.0,4097020.0,4064.0,487680.0,3302.0,27940.0,401320.0,2560320.0,0.0,2579.2000000000003,2540
58.0,15.0,37.0,0.0,0.0,31.0,1798.0,12.4,15.5,0.0,15.5,0.0,15.5,62.0,0.0,1147.0,31.0,23.200000000000003,26
56.0,50.0,0.0,0.0,0.0,540.0,30240.0,4320.0,5508.0,0.0,4590.0,1620.0,5184.0,1080.0,0.0,0.0,540.0,448.0,448
244.0,91.0,12.0,60.0,257.0,1092.0,266448.0,4040.4,4586.400000000001,280644.0,3822.0,48048.0,4914.0,3276.0,65520.0,13104.0,1092.0,902.8,906
12.0,0.0,0.0,7.0,10.0,211.0,2532.0,3713.6,3418.2,2110.0,3418.2,1266.0,3713.6,2743.0,1477.0,0.0,0.0,211.2,211
1416.0,402.0,432.0,252.0,376.0,1724.0,2441184.0,2068.8,2586.0,648224.0,2586.0,0.0,2068.8,20688.0,434448.0,744768.0,0.0,1699.2,1724
67.0,3.0,26.0,7.0,71.0,1821.0,122007.0,42975.600000000006,46617.600000000006,129291.0,40608.3,0.0,49531.2,9105.0,12747.0,47346.0,0.0,1581.2,1584
95.0,36.0,0.0,24.0,0.0,178.0,16910.0,284.8,338.2,0.0,284.8,5696.0,338.2,1246.0,4272.0,0.0,178.0,152.0,148
2376.0,638.0,233.0,580.0,2221.0,30701.0,72945576.0,328500.69999999995,423673.8000000001,68186921.0,353061.5,19617939.0,396042.9,736824.0,17806580.0,7153333.0,30701.0,25423.2,25482
442.0,225.0,102.0,91.0,82.0,683.0,301886.0,1024.5,956.2,56006.0,956.2,38931.0,1024.5,3415.0,62153.0,69666.0,683.0,663.0,683
68.0,21.0,12.0,15.0,11.0,3037.0,206516.0,112672.7,137576.1,33407.0,114191.2,57703.0,135753.9,12148.0,45555.0,36444.0,3037.0,2522.8,2521
268.0,76.0,96.0,41.0,248.0,2933.0,786044.0,31969.7,31969.7,727384.0,31969.7,131985.0,31969.7,26397.0,120253.0,281568.0,0.0,2921.2000000000003,2933
90.0,96.0,0.0,0.0,96.0,595.0,53550.0,3272.5,3689.0,57120.0,3034.5,0.0,3927.0,1190.0,0.0,0.0,595.0,495.0,494
72.0,23.0,25.0,17.0,55.0,486.0,34992.0,3304.8,3304.8,26730.0,3304.8,3402.0,3304.8,3402.0,8262.0,12150.0,486.0,489.6,486
505.0,111.0,127.0,216.0,472.0,4955.0,2502275.0,48559.0,52027.5,2338760.0,52027.5,89190.0,48559.0,148650.0,1070280.0,629285.0,4955.0,4949.0,4955
450.0,112.0,145.0,105.0,356.0,6138.0,2762100.0,83476.8,89614.8,2185128.0,89614.8,362142.0,83476.8,42966.0,644490.0,890010.0,6138.0,6120.0,6138
230.0,129.0,38.0,57.0,230.0,1748.0,402040.0,11012.4,11362.0,402040.0,9439.2,80408.0,13284.8,17480.0,99636.0,66424.0,1748.0,1449.0,1451
242.0,97.0,78.0,43.0,0.0,375.0,90750.0,487.5,637.5,0.0,525.0,1500.0,562.5,750.0,16125.0,29250.0,375.0,314.6,311
106.0,21.0,76.0,0.0,7.0,2946.0,312276.0,68052.6,84255.6,20622.0,69820.2,17676.0,81898.8,5892.0,0.0,223896.0,2946.0,2448.6000000000004,2445
31.0,10.0,14.0,7.0,4.0,237.0,7347.0,1801.1999999999998,1801.1999999999998,948.0,1801.1999999999998,0.0,1801.1999999999998,1422.0,1659.0,3318.0,237.0,235.6,237
1186.0,422.0,306.0,168.0,1235.0,3711.0,4401246.0,11504.1,11133.0,4583085.0,11133.0,404499.0,11504.1,33399.0,623448.0,1135566.0,0.0,3676.6,3711
256.0,69.0,198.0,0.0,272.0,2941.0,752896.0,33821.5,31762.800000000003,799952.0,31762.800000000003,0.0,33821.5,55879.0,0.0,582318.0,0.0,2944.0,2941
191.0,44.0,60.0,49.0,159.0,2430.0,464130.0,30861.0,30618.0,386370.0,30618.0,36450.0,30861.0,26730.0,119070.0,145800.0,0.0,2425.7,2430
213.0,102.0,63.0,28.0,186.0,3051.0,649863.0,36306.9,46680.3,567486.0,38747.7,18306.0,43629.3,30510.0,85428.0,192213.0,3051.0,2534.7000000000003,2532
4562.0,1098.0,1278.0,1059.0,3933.0,26408.0,120473296.0,153166.4,176933.6,103862664.0,176933.6,13151184.0,153166.4,396120.0,27966072.0,33749424.0,26408.0,26459.6,26408
141.0,44.0,33.0,17.0,5.0,1499.0,211359.0,13191.2,16339.1,7495.0,13491.0,65956.0,15889.4,2998.0,25483.0,49467.0,1499.0,1240.8000000000002,1244
187.0,23.0,65.0,91.0,201.0,677.0,126599.0,2031.0,2301.8,136077.0,1895.6,11509.0,2437.2000000000003,4062.0,61607.0,44005.0,677.0,561.0,562
128.0,45.0,0.0,0.0,128.0,7180.0,919040.0,185244.0,402798.0,919040.0,185244.0,488240.0,402798.0,71800.0,0.0,0.0,7180.0,3302.4,3303
194.0,70.0,16.0,45.0,46.0,703.0,136382.0,1827.8,2741.7,32338.0,1968.4,0.0,2530.8,8436.0,31635.0,11248.0,703.0,504.4,499
869.0,288.0,300.0,230.0,934.0,2078.0,1805782.0,4987.2,4571.6,1940852.0,4571.6,241048.0,4987.2,12468.0,477940.0,623400.0,0.0,2085.6,2078
125.0,51.0,9.0,22.0,20.0,2802.0,350250.0,52117.2,68368.8,56040.0,56600.4,92466.0,62764.8,8406.0,61644.0,25218.0,2802.0,2325.0,2326
477.0,235.0,117.0,46.0,172.0,2741.0,1307457.0,15623.7,15075.5,471452.0,15075.5,243949.0,15623.7,16446.0,126086.0,320697.0,2741.0,2718.9,2741
