rely,data,turn,modp,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_turn,MI_loc_pcap,actual
0.88,1.08,1.0,1.1,390.0,319.79999999999995,421.2000000000001,390.0,390.0,331.5,390.0,390.0,702.0
1.4,1.08,0.94,0.91,42.0,34.44,45.36,65.52,62.16,54.6,39.48,36.12,605.0
1.15,1.08,0.87,0.91,23.0,23.0,24.840000000000003,23.0,24.380000000000003,23.0,20.01,23.0,230.0
0.75,0.94,1.0,1.24,13.0,11.83,12.22,15.73,13.78,16.900000000000002,13.0,13.0,82.0
0.88,1.05,0.87,1.0,15.0,15.0,15.75,15.0,15.0,12.15,13.05,17.549999999999997,55.0
0.88,0.94,1.0,1.0,60.0,49.2,56.4,63.6,60.0,42.0,60.0,51.6,47.0
1.0,1.0,0.87,0.82,15.0,13.65,15.0,15.0,15.0,17.25,13.05,15.0,12.0
1.0,1.0,1.0,0.91,6.2,5.084,6.2,6.2,6.2,7.13,6.2,4.34,8.0
1.0,0.94,0.87,1.1,3.0,2.46,2.82,3.0,3.0,3.9,2.61,3.51,8.0
0.88,0.94,0.87,0.91,5.3,4.345999999999999,4.981999999999999,5.3,5.3,5.3,4.611,3.71,6.0
0.88,1.04,1.07,0.95,45.5,45.5,47.32,48.23,45.5,48.685,48.685,42.315000000000005,45.0
1.0,1.04,1.07,1.0,28.6,28.6,29.744000000000003,34.606,28.6,30.602000000000004,30.602000000000004,28.6,83.0
0.88,1.04,1.07,1.1,30.6,30.6,31.824,37.026,32.436,32.742000000000004,32.742000000000004,30.6,87.0
0.88,1.04,1.07,1.0,35.0,35.0,36.4,37.1,35.0,37.45,37.45,35.0,106.0
0.88,1.04,1.07,1.0,73.0,73.0,75.92,77.38000000000001,73.0,78.11,78.11,62.78,126.0
0.75,0.94,0.87,1.1,23.0,18.86,21.62,23.0,23.0,29.9,20.01,16.099999999999998,36.0
0.88,0.94,1.0,1.1,464.0,422.24,436.16,464.0,464.0,394.4,464.0,542.88,1272.0
1.0,1.0,0.87,0.82,91.0,91.0,91.0,91.0,91.0,77.35,79.17,63.7,156.0
1.15,1.0,0.87,1.0,24.0,24.0,24.0,29.04,31.200000000000003,24.0,20.88,20.64,176.0
0.88,1.0,1.15,1.24,10.0,10.0,10.0,10.0,10.0,10.0,11.5,14.2,122.0
0.88,0.94,1.0,1.24,8.2,8.2,7.707999999999999,8.692,8.2,6.969999999999999,8.2,8.2,41.0
0.88,0.94,1.0,1.0,5.3,5.3,4.981999999999999,6.412999999999999,5.883,6.095,5.3,3.71,14.0
1.0,0.94,0.87,0.91,4.4,3.608,4.136,4.664000000000001,4.4,4.4,3.828,4.4,20.0
0.88,0.94,0.87,1.1,6.3,5.166,5.922,6.3,6.3,4.409999999999999,5.481,7.370999999999999,18.0
1.15,0.94,1.0,1.1,27.0,24.57,25.38,32.67,35.1,35.1,27.0,27.0,958.0
1.0,0.94,1.0,1.1,17.0,17.0,15.98,20.57,18.87,19.55,17.0,17.0,237.0
1.4,0.94,1.0,0.91,25.0,20.5,23.5,30.25,41.5,32.5,25.0,17.5,130.0
1.0,0.94,0.87,0.91,23.0,23.0,21.62,24.380000000000003,24.380000000000003,26.45,20.01,23.0,70.0
1.15,0.94,1.0,1.1,6.7,7.571,6.298,7.102,7.437000000000001,8.71,6.7,5.7620000000000005,57.0
1.0,0.94,0.87,0.82,28.0,28.0,26.32,28.0,28.0,32.2,24.36,24.08,50.0
0.88,0.94,1.0,0.91,9.1,7.461999999999999,8.553999999999998,11.011,10.101,11.83,9.1,6.369999999999999,38.0
1.0,0.94,0.87,0.82,10.0,8.2,9.4,10.0,10.0,11.5,8.7,8.6,15.0
