Transactions,Entities,PointsAdjust,Envergure,TeamExp_1,TeamExp_?,ManagerExp_2,Language_3,MI_PointsAdjust_Entities,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_Language_2,MI_PointsAdjust_Language_1,MI_PointsAdjust_ManagerExp_4,MI_PointsAdjust_ManagerExp_3,MI_Entities_Envergure,Effort
47,32,79,14,1,0,1,0,2528,1106,3713,79,0,0,0,448,1575
126,107,233,23,1,0,0,0,24931,5359,29358,233,0,0,0,2461,2926
101,45,146,15,0,0,1,0,6570,2190,14746,146,0,0,0,675,1876
78,99,177,14,1,0,0,0,17523,2478,13806,0,177,0,0,1386,2520
69,74,143,14,0,0,0,0,10582,2002,9867,0,143,0,0,1036,1603
194,97,291,35,1,0,0,0,28227,10185,56454,291,0,0,291,3395,3626
224,110,334,28,0,0,0,0,36740,9352,74816,334,0,0,0,3080,6783
323,184,507,35,0,0,0,0,93288,17745,163761,507,0,507,0,6440,11361
42,31,73,27,1,0,0,0,2263,1971,3066,73,0,0,73,837,1267
74,43,117,25,1,0,1,0,5031,2925,8658,117,0,0,0,1075,2548
101,57,158,9,0,0,0,0,9006,1422,15958,158,0,158,0,513,1155
97,42,139,6,0,0,0,1,5838,834,13483,0,0,139,0,252,546
134,77,211,13,0,0,0,0,16247,2743,28274,211,0,0,211,1001,2275
482,227,709,26,0,0,0,0,160943,18434,341738,709,0,0,0,5902,9100
213,73,286,6,0,0,1,1,20878,1716,60918,0,0,0,0,438,595
139,143,282,22,0,0,0,0,40326,6204,39198,282,0,0,0,3146,3941
473,182,655,40,0,0,0,0,119210,26200,309815,655,0,0,655,7280,13860
229,169,398,39,0,0,0,1,67262,15522,91142,0,0,398,0,6591,1400
227,73,300,34,0,0,0,0,21900,10200,68100,0,300,0,300,2482,2800
395,193,588,40,0,0,0,0,113484,23520,232260,0,588,588,0,7720,9520
469,176,645,43,0,0,0,1,113520,27735,302505,0,0,0,645,7568,5880
886,241,1127,34,0,0,0,0,271607,38318,998522,0,1127,1127,0,8194,23940
