size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,effort_D
1058,9,4,3,1,1,1,3,0,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,-870.53174,436.09457,-61.13063,8710
65,9,1,3,0,1,0,3,0,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,-79.991585,38.647793,-6.3791513,796
390,26,0,2,1,1,0,3,0,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,-1109.1372,519.4722,-79.53694,11023
193,13,4,0,1,1,0,2,0,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,-175.84048,87.29359,-13.049041,1755
1526,28,1,0,1,1,0,4,1,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,-588.2955,321.58237,-40.20479,5931
575,13,0,2,1,1,0,2,1,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,-445.20828,224.10413,-31.684776,4456
509,13,4,0,1,1,0,1,0,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,-359.3858,182.69298,-25.554222,3600
583,12,2,0,1,1,0,3,0,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,-455.4128,229.06203,-32.309998,4557
315,14,0,0,1,1,0,2,0,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,-880.4986,412.6531,-62.979355,8752
138,12,0,0,1,1,0,2,0,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,-346.13785,162.52905,-25.24701,3440
257,9,4,2,1,1,0,3,0,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,-198.06529,99.65527,-14.519858,1981
423,30,4,0,1,1,0,1,0,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,-1378.816,643.80176,-98.52414,13700
495,20,2,3,1,1,1,3,0,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,-713.09436,343.2941,-51.00428,7105
622,16,0,2,1,1,0,4,1,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,-682.84784,334.20792,-48.617203,6816
204,12,1,0,1,1,0,2,1,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,-464.53854,219.0615,-33.622444,4620
616,15,0,2,1,1,0,4,1,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,-746.68536,362.99945,-53.08059,7451
3634,33,0,2,1,1,0,3,0,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,-3953.2576,1937.9568,-276.81473,39479
