rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,actual
1.15,1.08,1.0,1.06,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.1,1.23,23.0,3.9976687,25.919405,-55.984352,230.0
0.75,0.94,1.3,1.06,1.21,1.15,1.0,1.0,0.91,1.0,1.1,1.0,1.24,1.24,1.0,13.0,0.7717682,9.709653,-21.71089,82.0
0.88,1.05,0.81,1.0,1.0,0.87,0.87,1.19,1.0,1.17,0.9,0.95,1.0,0.91,1.04,15.0,0.11067715,6.981615,-16.026276,55.0
0.88,0.94,0.7,1.0,1.06,1.0,1.0,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,60.0,-1.4004904,11.442762,-27.180462,47.0
1.0,1.0,1.15,1.0,1.0,0.87,0.87,0.71,0.91,1.0,0.9,0.95,0.82,0.91,1.0,15.0,-0.46873698,3.5272965,-8.508111,12.0
1.0,1.0,1.15,1.0,1.0,0.87,1.0,0.71,0.82,0.7,1.0,0.95,0.91,1.1,1.0,6.2,-0.2844468,2.1942854,-5.367809,8.0
1.0,0.94,1.3,1.0,1.0,1.0,0.87,0.86,0.82,1.17,1.0,1.0,1.1,1.0,1.0,3.0,-0.23207572,1.8133843,-4.549175,8.0
0.88,0.94,1.0,1.0,1.0,0.87,0.87,1.0,0.82,0.7,0.9,0.95,0.91,0.91,1.0,5.3,-0.27553746,1.9386425,-4.768874,6.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,0.86,1.0,0.93,0.9,0.95,0.95,0.95,1.04,45.5,-1.1283919,9.410529,-22.357222,45.0
1.0,1.04,1.07,1.0,1.21,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.0,1.0,1.04,28.6,0.19547263,10.796509,-24.527239,83.0
0.88,1.04,1.07,1.06,1.21,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.1,1.0,1.04,30.6,0.19862023,11.347804,-25.768005,87.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.0,0.95,1.04,35.0,0.4577078,13.569438,-30.587233,106.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,1.0,1.0,0.86,0.9,0.95,1.0,1.0,1.04,73.0,-0.76102746,18.746737,-43.003967,126.0
0.75,0.94,1.3,1.0,1.0,0.87,0.87,0.71,0.82,0.7,1.1,1.07,1.1,1.0,1.04,23.0,-0.5469221,6.0182166,-14.214378,36.0
0.88,0.94,0.85,1.0,1.0,0.87,1.0,1.19,0.91,1.17,0.9,0.95,1.1,1.0,1.04,464.0,9.628198,162.31894,-358.6418,1272.0
1.0,1.0,0.85,1.0,1.0,1.0,0.87,0.71,1.0,0.7,1.1,1.0,0.82,0.91,1.0,91.0,-0.8310348,23.135262,-52.882725,156.0
1.15,1.0,1.0,1.3,1.21,1.0,0.87,0.86,1.0,0.86,1.1,1.0,1.0,1.0,1.0,24.0,2.5974169,20.256994,-44.218773,176.0
0.88,1.0,1.0,1.0,1.0,1.0,1.15,1.19,1.0,1.42,1.0,0.95,1.24,1.1,1.04,10.0,1.9243921,13.7647505,-30.03588,122.0
0.88,0.94,0.85,1.0,1.06,1.15,1.0,1.0,1.0,1.0,1.1,1.07,1.24,1.1,1.0,8.2,0.033782154,5.1218004,-11.90039,41.0
0.88,0.94,1.15,1.11,1.21,1.3,1.0,0.71,1.0,0.7,1.1,1.07,1.0,1.1,1.08,5.3,-0.2663724,2.4912806,-6.132751,14.0
1.0,0.94,1.0,1.0,1.06,1.15,0.87,1.0,0.82,1.0,1.0,0.95,0.91,1.1,1.0,4.4,-0.19141349,2.864545,-6.9448085,20.0
0.88,0.94,0.7,1.0,1.0,0.87,0.87,0.86,0.82,1.17,0.9,0.95,1.1,1.0,1.0,6.3,-0.24796876,2.8129427,-6.8605285,18.0
1.15,0.94,1.3,1.3,1.21,1.0,1.0,0.86,0.91,1.0,1.1,1.07,1.1,1.1,1.08,27.0,22.187643,102.63292,-217.25737,958.0
1.0,0.94,1.15,1.11,1.21,1.3,1.0,1.0,1.0,1.0,1.1,1.07,1.1,1.1,1.23,17.0,4.452179,26.328896,-56.578957,237.0
1.4,0.94,1.3,1.66,1.21,1.0,1.0,0.71,0.82,0.7,0.9,0.95,0.91,1.0,1.0,25.0,1.3916506,15.450395,-34.253708,130.0
1.0,0.94,1.15,1.06,1.06,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,23.0,0.12931243,9.072246,-20.693346,70.0
1.15,0.94,1.3,1.11,1.06,1.0,1.0,0.86,1.13,0.86,1.1,1.07,1.1,1.1,1.08,6.7,0.4676706,6.731163,-15.221194,57.0
1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,0.86,0.9,1.0,0.82,1.0,1.0,28.0,-0.46035084,7.6880436,-17.900135,50.0
0.88,0.94,1.3,1.11,1.21,1.15,1.0,0.78,0.82,0.7,1.21,1.14,0.91,1.24,1.0,9.1,-0.060827106,4.9191756,-11.493474,38.0
1.0,0.94,1.15,1.0,1.0,1.0,0.87,0.71,0.82,0.86,1.0,1.0,0.82,1.0,1.0,10.0,-0.35073134,3.0142155,-7.3179264,15.0
