ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Effort
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,2,0,8.0,471,0.3269502,-0.066779815,0.34914726,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,2,0,5.0,700,0.3269502,-0.066779815,0.34914726,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,1,0,2.0,698,0.3269502,-0.066779815,0.34914726,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,1,0,3.0,1459,1.2859247,1.5343077,1.5944427,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,1,0,4.0,1372,0.6067143,0.4432366,0.7275005,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,2,0,19.0,16690,0.3269502,-0.066779815,0.34914726,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,1,0,2.0,239,0.3269502,-0.066779815,0.34914726,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5.0,1520,0.3269502,-0.066779815,0.34914726,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,1,0,8.0,1754,0.71387213,0.6185604,0.86723197,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,1,0,6.0,1824,0.38729188,0.024579942,0.40526128,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,1,0,8.0,804,0.5776624,0.39638096,0.6914985,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,1,0,20.0,5864,3.456788,4.7321167,4.0969524,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,1,0,3.0,1172,0.19709104,-0.022280764,0.12783846,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,2,0,13.0,5333,-0.5161715,-0.2981361,-5.080287,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,2,0,8.0,1775,0.3269502,-0.066779815,0.34914726,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,1,0,5.0,246,1.0548148,-1.7210404,1.2517496,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,1,0,7.0,3793,0.3269502,-0.066779815,0.34914726,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,1,0,12.0,10501,11.843377,16.213295,9.769358,8716
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,1,0,6.0,1464,0.3269502,-0.066779815,0.34914726,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,1,0,2.0,1636,1.5285782,1.8917501,1.8741666,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,2,0,7.0,281,0.3269502,-0.066779815,0.34914726,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,1,0,5.0,2796,2.3183188,3.055086,2.7845583,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,1,0,13.0,4884,1.4870902,1.8306365,1.826341,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,4,0,84.0,2400,-1.7643399,-0.20569643,-9.278887,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,1,0,13.0,5650,3.145471,4.273528,3.738075,5650
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,1,0,2.0,1837,0.72591513,0.6382644,0.8829359,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,1,0,2.0,575,0.3269502,-0.066779815,0.34914726,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,1,0,2.0,606,0.3269502,-0.066779815,0.34914726,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,1,0,10.0,10205,9.988273,14.034862,9.894825,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,1,0,3.0,937,0.6282479,0.47846848,0.75557995,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,4,0,7.5,2597,0.3269502,-0.066779815,0.34914726,2597
64,610,137,174,117,147,0,575,0,0,1.6,1.7,1.6,1.7,1,0,3.0,950,-0.0068776943,-1.1701771,-1.5028232,950
65,562,165,125,93,119,0,502,0,0,10.2,11.4,10.2,11.4,3,0,13.0,5727,1.2915863,1.5426476,1.6009696,5727
66,156,21,38,39,7,41,146,0,0,13.1,14.0,15.8,16.8,1,0,4.0,2458,1.2472359,1.4773167,1.5498435,2040
67,75,30,5,19,21,0,40,35,0,49.0,49.0,59.1,59.1,1,0,8.0,4430,4.6127925,6.4349794,5.4295616,3677
68,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,1,0,2.0,687,0.3269502,-0.066779815,0.34914726,570
69,96,13,56,0,10,40,119,0,0,12.7,10.3,47.2,38.1,2,0,8.0,4530,-120.306175,8.527255,-21.42959,1223
70,78,24,24,9,21,0,78,0,0,12.5,12.5,13.9,13.9,1,0,4.0,1084,0.4841617,0.2403636,0.57571965,976
71,51,42,0,14,0,0,20,36,0,7.6,6.9,9.1,8.3,1,0,12.0,466,0.3269502,-0.066779815,0.34914726,387
72,1092,356,84,170,669,21,1300,0,0,4.0,3.4,4.9,4.1,1,0,13.0,5320,0.3269502,-0.066779815,0.34914726,4416
73,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,1,0,8.0,345,0.3269502,-0.066779815,0.34914726,286
74,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,1,0,5.0,367,0.3269502,-0.066779815,0.34914726,305
75,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,1,0,7.0,155,0.3269502,-0.066779815,0.34914726,129
76,3088,1061,1009,772,241,5,544,2544,0,1.4,1.4,1.4,1.4,1,0,8.0,4266,-1.2818323,1.2896267,-1.4708573,4266
77,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,1,0,3.0,440,0.3269502,-0.066779815,0.34914726,440
78,110,30,66,0,7,0,18,85,0,12.4,13.2,12.4,13.2,1,0,2.0,1362,0.518797,0.30247363,0.6213072,1362
79,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,2,0,6.0,2533,0.3269502,-0.066779815,0.34914726,2533
80,143,75,32,3,62,0,172,0,0,1.6,1.3,1.6,1.3,1,0,10.0,225,0.3269502,-0.066779815,0.34914726,225
81,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,1,0,13.0,11045,7.0884805,10.081813,8.283465,11045
82,3460,484,1831,318,208,142,2756,227,0,9.5,11.0,9.5,11.0,4,0,24.0,32760,0.3269502,-0.066779815,0.34914726,32760
83,73,15,32,0,28,5,80,0,0,28.1,25.7,33.9,30.9,1,0,8.0,2475,1.9699973,2.5419874,2.383023,2054
84,64,4,56,0,7,0,11,56,0,3.9,3.8,3.9,3.8,1,0,7.0,252,0.3269502,-0.066779815,0.34914726,252
85,497,122,28,113,273,10,454,92,0,4.8,4.3,4.8,4.3,2,0,8.0,2362,0.3269502,-0.066779815,0.34914726,2362
86,288,201,0,36,76,0,99,214,0,8.5,7.9,10.3,9.5,1,0,5.0,2963,1.3744512,1.6647123,1.6964937,2459
87,494,134,62,140,91,67,494,0,0,17.6,17.6,17.6,17.6,1,0,21.0,8706,5.471289,7.6995955,6.4192123,8706
88,130,60,65,0,0,0,14,111,0,5.9,6.2,5.9,6.2,1,0,6.0,770,0.3269502,-0.066779815,0.34914726,770
89,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,1,0,36.0,8111,8.122833,11.605474,9.475837,8111
90,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,1,0,11.0,762,0.46501395,0.20515725,0.5503326,762
91,60,10,25,0,31,5,71,0,0,2.3,1.9,2.7,2.3,1,0,1.0,164,0.3269502,-0.066779815,0.34914726,136
92,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1,0,1.0,431,0.3269502,-0.066779815,0.34914726,358
93,169,32,14,25,28,70,169,0,0,2.8,2.8,3.4,3.4,1,0,6.0,580,0.3269502,-0.066779815,0.34914726,481
94,1351,379,449,271,219,20,1173,29,136,2.4,2.4,2.8,2.9,1,0,8.0,3842,-0.095831424,-1.331873,-0.9491825,3189
95,2087,862,444,303,437,0,2046,0,0,10.8,11.0,10.8,11.0,4,0,9.0,22500,6.5680313,9.31516,7.683504,22500
96,253,72,0,107,29,44,252,0,0,46.3,46.3,49.8,49.8,1,0,13.0,12601,13.909281,19.826357,14.499062,11719
97,102,37,26,10,29,0,102,0,0,1.8,1.8,2.4,2.4,1,0,5.0,244,0.3269502,-0.066779815,0.34914726,183
98,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,1,0,5.0,1786,1.1932746,1.3978288,1.4876384,1482
99,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,2,0,11.0,1251,0.3269502,-0.066779815,0.34914726,1251
100,199,104,7,77,0,0,0,188,0,4.7,5.0,5.7,6.0,1,0,8.0,1136,0.3269502,-0.066779815,0.34914726,943
101,163,49,14,33,49,10,155,0,0,16.5,17.3,19.8,20.9,1,0,11.0,3234,2.311098,3.0444486,2.7762341,2684
102,97,21,41,0,49,15,16,100,10,7.5,5.8,7.5,5.8,2,0,9.0,729,0.3269502,-0.066779815,0.34914726,729
103,439,82,222,19,85,10,105,313,0,8.3,8.7,8.3,8.7,1,0,7.0,3630,0.3269502,-0.066779815,0.34914726,3630
104,3113,2019,609,248,157,80,3113,0,0,10.9,10.9,13.5,13.5,1,0,24.0,42080,26.548958,38.748238,30.716955,34085
105,153,35,7,57,24,20,143,0,0,18.7,20.0,21.5,23.0,2,0,3.0,3283,2.4237025,3.2103214,2.906041,2856
106,670,346,97,122,79,0,146,498,0,8.6,8.9,10.4,10.8,1,0,6.0,6936,2.6749434,3.5804133,3.1956642,5757
107,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,2,0,15.0,631,0.3269502,-0.066779815,0.34914726,631
108,329,324,68,14,0,0,206,73,127,6.6,5.4,6.6,5.4,2,0,8.0,2184,1.070731,1.202427,1.332569,2184
109,5684,2221,454,820,1137,311,4943,0,0,3.7,4.3,3.7,4.3,1,0,37.0,21014,0.3269502,-0.066779815,0.34914726,21014
110,61,27,4,24,17,0,72,0,0,6.8,5.8,8.2,7.0,1,0,4.0,502,-0.072785586,0.26628324,-0.5566077,417
111,267,27,133,51,34,89,70,178,86,10.0,8.0,10.0,8.0,2,0,9.0,2683,0.3269502,-0.066779815,0.34914726,2683
112,218,78,16,56,77,0,227,0,0,25.4,24.4,30.6,29.4,1,0,4.0,6665,5.976588,8.44393,7.0017066,5532
113,919,458,236,56,58,76,884,0,0,5.2,5.4,6.3,6.6,1,0,6.0,5801,0.3269502,-0.066779815,0.34914726,4815
114,66,27,12,6,14,0,28,31,0,3.7,4.2,4.5,5.0,1,0,2.0,296,-0.053242076,0.22785595,-0.48700815,246
115,54,36,0,16,0,0,0,52,0,12.7,13.2,15.3,15.9,1,0,1.0,827,0.6463561,0.50809574,0.7791927,686
116,245,88,105,27,79,0,299,0,0,1.9,1.6,3.6,2.9,1,0,13.0,870,-0.7445367,1.0692331,0.07652837,470
117,54,24,28,0,0,0,0,52,0,7.3,7.6,8.8,9.2,1,0,2.0,476,0.3269502,-0.066779815,0.34914726,395
118,151,40,54,15,21,0,111,19,0,7.2,8.3,8.2,9.5,2,0,3.0,1241,0.3269502,-0.066779815,0.34914726,1080
119,103,45,4,27,29,0,105,0,0,13.6,13.3,13.6,13.3,2,0,7.0,1396,0.6492242,0.5127883,0.78293264,1396
120,300,95,82,27,76,0,138,142,0,9.8,10.5,9.8,10.5,1,0,10.0,2933,0.5832168,0.40521178,0.6980273,2933
121,249,126,4,98,21,0,58,191,0,18.3,18.3,18.3,18.3,1,0,9.0,4551,3.3776546,4.615547,4.005729,4551
122,224,156,21,0,29,10,6,210,0,13.4,13.9,16.1,16.7,1,0,4.0,3613,3.2372642,4.4087462,3.8438923,2999
123,1984,255,1008,192,158,0,1613,0,0,1.3,1.6,1.3,1.6,2,0,11.0,2540,3.0114326,-13.471582,-15.872478,2540
124,58,15,37,0,0,5,0,57,0,0.4,0.5,0.5,0.5,1,0,2.0,31,0.15598823,0.5602181,-0.45232245,26
125,56,50,0,3,0,0,0,53,0,8.0,8.5,9.6,10.2,1,0,2.0,540,-0.1950933,0.8713505,-1.6564485,448
126,244,91,12,44,60,50,257,0,0,3.7,3.5,4.5,4.2,1,0,3.0,1092,0.3269502,-0.066779815,0.34914726,906
127,12,0,0,6,7,0,10,3,0,17.6,16.2,17.6,16.2,2,0,13.0,211,-0.41705313,1.4543618,-2.141302,211
128,1416,402,432,0,252,65,376,775,0,1.2,1.5,1.2,1.5,2,0,12.0,1724,-0.21114635,-0.08496132,-2.2675166,1724
129,67,3,26,0,7,35,71,0,0,23.6,22.3,27.2,25.6,2,0,5.0,1821,1.3136672,1.5751736,1.6264236,1584
130,95,36,0,32,24,0,0,92,0,1.6,1.6,1.9,1.9,1,0,7.0,178,-0.48888364,1.0909021,-1.9623255,148
131,2376,638,233,639,580,131,2221,0,0,10.7,11.5,12.9,13.8,1,0,24.0,30701,12.360216,17.847385,14.360569,25482
132,442,225,102,57,91,0,82,393,0,1.5,1.4,1.5,1.4,1,0,5.0,683,0.3269502,-0.066779815,0.34914726,683
133,68,21,12,19,15,0,11,56,0,37.1,37.6,44.7,45.3,1,0,4.0,3037,2.8543744,3.8447268,3.402508,2521
134,268,76,96,45,41,10,248,20,0,10.9,10.9,10.9,10.9,2,0,9.0,2933,0.38738343,0.025168493,0.4056832,2933
135,90,96,0,0,0,0,96,0,0,5.5,5.1,6.6,6.2,1,0,2.0,595,-1.1917722,2.088523,-3.3475099,494
136,72,23,25,7,17,0,55,17,0,6.8,6.8,6.8,6.8,1,0,7.0,486,0.3269502,-0.066779815,0.34914726,486
137,505,111,127,18,216,0,472,0,0,9.8,10.5,9.8,10.5,1,0,30.0,4955,0.50192136,0.27301767,0.5992664,4955
138,450,112,145,59,105,0,356,58,7,13.6,14.6,13.6,14.6,1,0,7.0,6138,2.6825438,3.5916097,3.204426,6138
139,230,129,38,46,57,0,230,40,0,6.3,5.4,7.6,6.5,1,0,10.0,1748,0.3269502,-0.066779815,0.34914726,1451
140,242,97,78,4,43,0,0,222,0,1.3,1.4,1.5,1.7,1,0,2.0,375,0.3269502,-0.066779815,0.34914726,311
141,106,21,76,6,0,0,7,96,0,23.1,23.7,27.8,28.6,1,0,2.0,2946,2.2103877,2.8960965,2.6601384,2445
142,31,10,14,0,7,0,4,27,0,7.6,7.6,7.6,7.6,1,0,6.0,237,-0.5045529,1.1233658,-2.015794,237
143,1186,422,306,109,168,230,1235,0,0,3.1,3.0,3.1,3.0,3,0,9.0,3711,0.3269502,-0.066779815,0.34914726,3711
144,256,69,198,0,0,5,272,0,0,11.5,10.8,11.5,10.8,2,0,19.0,2941,0.3269502,-0.066779815,0.34914726,2941
145,191,44,60,15,49,25,159,34,0,12.7,12.6,12.7,12.6,2,0,11.0,2430,0.7581924,0.69107395,0.92502475,2430
146,213,102,63,6,28,0,186,13,0,11.9,12.7,14.3,15.3,1,0,10.0,3051,1.7713233,2.2493286,2.153997,2532
147,4562,1098,1278,498,1059,0,3933,0,0,5.8,6.7,5.8,6.7,1,0,15.0,26408,0.3269502,-0.066779815,0.34914726,26408
148,141,44,33,44,17,0,5,133,0,8.8,9.0,10.6,10.9,1,0,2.0,1499,0.3269502,-0.066779815,0.34914726,1244
149,187,23,65,17,91,5,201,0,0,3.0,2.8,3.6,3.4,1,0,6.0,677,0.3269502,-0.066779815,0.34914726,562
150,128,45,0,68,0,15,128,0,0,25.8,25.8,56.1,56.1,1,0,10.0,7180,-58.493423,33.614113,3.6240003,3303
151,194,70,16,0,45,47,46,132,0,2.6,2.8,3.6,3.9,1,0,12.0,703,0.3269502,-0.066779815,0.34914726,499
152,869,288,300,116,230,0,934,0,0,2.4,2.2,2.4,2.2,3,0,6.0,2078,0.291477,-0.19717589,0.22020705,2078
153,125,51,9,33,22,0,20,84,11,18.6,20.2,22.4,24.4,1,0,3.0,2802,2.4263175,3.2141738,2.909056,2326
154,477,235,117,89,46,10,172,218,107,5.7,5.5,5.7,5.5,1,0,6.0,2741,0.3269502,-0.066779815,0.34914726,2741
155,717,716,13,10,24,0,51,712,0,4.9,4.6,6.0,5.6,1,0,5.0,4272,0.92254287,2.1663654,0.8769091,3546
156,25,0,28,0,0,0,0,28,0,5.6,5.0,5.6,5.0,1,0,3.0,140,-0.65431136,1.9711169,-2.547273,140
157,73,9,61,3,0,0,73,0,0,19.2,19.2,19.2,19.2,1,0,8.0,1404,0.53998107,0.3364728,0.6472078,1404
158,100,61,0,0,0,42,28,75,0,9.3,9.0,11.2,10.9,1,0,12.0,1119,0.7396696,0.6607686,0.90087163,929
159,273,103,183,15,17,0,318,0,0,1.9,1.7,1.9,1.7,3,0,5.0,528,0.3269502,-0.066779815,0.34914726,528
160,587,108,119,94,203,0,524,0,0,6.4,7.2,6.4,7.2,3,0,15.0,3748,0.3269502,-0.066779815,0.34914726,3748
161,1437,920,154,41,203,0,1318,0,0,3.4,3.7,3.4,3.7,4,0,18.0,4900,-0.36786613,-0.18735471,-3.6319482,4900
162,97,3,101,3,0,7,108,6,0,19.1,16.3,19.1,16.3,2,0,12.0,1853,0.3956835,0.053243972,0.42864758,1853
163,224,110,25,6,49,5,195,0,0,12.9,14.8,14.8,17.0,2,0,13.0,3322,2.4421408,3.2374825,2.9272964,2890
164,321,168,46,9,77,15,315,0,0,3.4,3.4,3.4,3.4,4,0,11.0,1076,0.3269502,-0.066779815,0.34914726,1076
165,99,6,4,19,59,10,98,0,0,24.1,24.4,29.1,29.3,1,0,4.0,2876,2.2721133,2.9870224,2.7312937,2387
166,416,179,40,54,109,7,318,65,6,3.8,4.1,4.6,4.9,1,0,6.0,1911,0.3269502,-0.066779815,0.34914726,1586
167,71,21,21,4,14,5,25,40,0,14.0,15.3,16.9,18.5,1,0,4.0,1201,0.7374478,0.6571334,0.8979744,997
168,120,60,48,12,0,0,12,108,0,1.8,1.8,1.8,1.8,1,0,5.0,212,-0.32380673,0.7505261,-1.4021361,212
169,213,72,43,3,84,30,132,97,3,6.0,5.5,6.0,5.5,2,0,12.0,1278,0.3269502,-0.066779815,0.34914726,1278
170,1634,625,387,223,399,0,1634,0,0,4.3,4.3,4.3,4.3,2,0,12.0,7060,0.3269502,-0.066779815,0.34914726,7060
171,275,184,11,48,7,0,7,243,0,2.6,2.8,2.6,2.8,1,0,9.0,702,-0.39295343,0.89215356,-1.6349813,702
172,458,202,66,75,115,0,458,0,0,2.0,2.0,2.0,2.0,1,0,16.0,903,0.3269502,-0.066779815,0.34914726,903
173,218,28,118,44,0,10,91,109,0,31.0,33.8,37.4,40.8,1,0,8.0,8151,7.551906,10.6849,8.5462055,6765
174,498,107,132,7,77,122,445,0,0,16.5,18.5,16.5,18.5,3,0,19.0,8227,5.794804,8.176153,6.792151,8227
175,143,54,65,0,14,0,11,122,0,2.3,2.5,2.8,3.0,1,0,4.0,402,0.3269502,-0.066779815,0.34914726,334
176,722,163,0,202,237,20,622,0,0,5.8,6.7,5.8,6.7,1,0,9.0,4164,0.3269502,-0.066779815,0.34914726,4164
177,236,27,192,12,37,0,268,0,0,29.0,25.5,29.0,25.5,2,0,15.0,6844,4.669018,6.5178013,5.4943757,6844
178,239,39,70,18,62,55,244,0,0,6.9,6.8,6.9,6.8,2,0,10.0,1661,0.3269502,-0.066779815,0.34914726,1661
179,1882,711,589,218,442,0,1960,0,0,3.2,3.1,3.2,3.1,2,0,10.0,6068,0.3269502,-0.066779815,0.34914726,6068
180,291,188,29,0,69,37,323,0,0,20.8,18.8,22.4,20.2,2,0,14.0,6519,5.8057075,8.192213,6.804721,6063
181,328,124,71,61,66,0,322,0,0,2.0,2.1,2.0,2.1,1,0,13.0,665,0.3269502,-0.066779815,0.34914726,665
182,264,126,7,50,84,0,267,0,0,2.1,2.0,2.1,2.0,1,0,6.0,544,-0.23273398,0.5740418,-1.1054436,544
183,270,54,42,53,91,30,270,0,0,3.3,3.3,3.3,3.3,1,0,6.0,893,0.3269502,-0.066779815,0.34914726,893
184,32,0,7,12,0,10,29,0,0,11.0,12.1,11.0,12.1,1,0,2.5,352,-0.85430616,1.9093173,-3.2499268,352
185,1382,353,245,7,581,253,1439,0,0,2.4,2.3,2.4,2.3,4,0,8.0,3344,0.3269502,-0.066779815,0.34914726,3344
186,98,45,5,19,28,0,94,3,0,4.1,4.2,5.0,5.0,1,0,1.0,487,-0.66193676,1.4494338,-2.552837,404
187,289,3,100,0,66,145,314,0,0,19.8,18.3,19.8,18.3,2,0,8.0,5732,3.5957656,4.9368377,4.257161,5732
188,1059,299,234,144,217,60,954,0,0,21.6,24.0,24.9,27.6,2,0,17.0,26345,23.77812,34.297802,25.623297,22920
189,724,331,12,189,164,0,530,142,24,13.0,13.5,15.7,16.3,1,0,9.0,11336,7.6846447,10.959998,8.970706,9409
190,40,10,22,0,17,0,49,0,0,7.1,5.8,7.1,5.8,4,0,4.0,285,-0.7879927,1.7105972,-2.9829803,285
191,128,72,18,24,7,0,4,117,0,10.1,10.7,12.2,12.9,1,0,3.0,1558,0.8337607,0.81471336,1.0235642,1293
192,1248,249,262,146,423,15,1095,0,0,12.2,13.8,12.2,13.8,4,0,12.0,15165,6.047402,8.5482435,7.083339,15165
193,387,109,118,67,90,7,391,0,0,8.5,8.4,10.2,10.1,1,0,17.0,3960,0.3269502,-0.066779815,0.34914726,3287
194,73,0,65,0,0,5,19,44,7,10.5,10.9,12.6,13.1,1,0,3.0,920,0.3269502,-0.066779815,0.34914726,764
195,151,22,0,68,47,0,32,105,0,14.5,16.0,17.5,19.3,1,0,3.0,2643,1.4510361,1.777527,1.7847788,2194
196,465,48,162,0,196,37,443,0,0,4.3,4.5,5.2,5.5,1,0,4.0,2427,0.3269502,-0.066779815,0.34914726,2014
197,63,29,0,9,24,0,62,0,0,13.1,13.3,15.8,16.1,1,0,4.0,996,0.5791839,0.39879975,0.69328696,827
198,226,88,70,19,28,0,92,106,7,11.1,12.2,11.1,12.2,1,0,10.0,2508,0.95422,1.0118003,1.1806409,2508
199,115,76,11,28,0,0,10,105,0,1.7,1.7,1.7,1.7,1,0,1.5,201,-1.7531804,3.6206212,-5.697813,201
200,189,39,112,3,28,0,0,182,0,3.0,3.1,3.0,3.1,2,0,15.0,563,0.3269502,-0.066779815,0.34914726,563
201,55,52,0,6,0,0,58,0,0,9.7,9.2,11.7,11.1,1,0,11.0,643,-1.1028426,2.3229923,-3.9890368,534
202,85,12,44,0,24,0,12,68,0,12.2,13.0,14.7,15.7,1,0,4.0,1252,0.45713064,0.19066256,0.5398805,1039
