N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
700.0,8.06611,-5.90779,4.788482,-1.3629162,-27.07412,700
698.0,11.168968,-9.062426,6.6764083,-2.0252066,-38.59598,579
1459.0,20.147701,-16.845379,11.706784,-3.8115876,-69.71108,1211
1372.0,19.44707,-16.074984,11.509984,-3.561886,-67.62875,1139
16690.0,185.55551,-156.78902,108.50059,-34.3969,-650.2008,14520
239.0,3.8236344,-4.081165,2.6332455,-0.99183995,-13.530326,239
1520.0,18.267735,-15.075943,10.821373,-3.3429644,-63.49262,1262
1754.0,21.481821,-17.798666,12.698074,-3.9396007,-74.765,1754
1824.0,20.265406,-16.937496,11.784626,-3.8282988,-70.13999,1514
804.0,11.934362,-9.710808,7.123322,-2.167288,-41.28035,667
5864.0,70.399315,-59.237732,41.260967,-13.020245,-246.32742,5864
1172.0,20.623438,-17.071512,12.196863,-3.780257,-71.754486,973
5333.0,46.541603,-23.379465,23.183203,-5.8722873,-144.69229,5333
1775.0,23.450151,-19.46608,13.847382,-4.304986,-81.668274,1775
246.0,5.084413,-5.9904475,3.3435168,0.6440607,-20.97615,204
3793.0,45.890568,-38.47584,26.950327,-8.470639,-160.37085,3148
10501.0,133.98854,-122.445465,64.91088,-31.752811,-445.32153,8716
1464.0,17.0451,-14.040224,10.107477,-3.1160033,-59.204617,1464
1636.0,21.950254,-19.104195,11.873596,-4.642528,-74.43351,1358
281.0,4.294236,-3.1132743,2.6436625,-0.72902864,-14.339585,281
2796.0,38.057743,-33.075703,20.893902,-7.8521867,-130.27988,2321
4884.0,55.76845,-46.843613,32.71802,-10.304293,-195.01437,4054
2400.0,50.27775,42.10805,3.1533446,16.278429,-105.78492,2400
5650.0,70.45576,-59.285545,41.293922,-13.030718,-246.52536,5650
1837.0,24.926697,-20.988058,14.384065,-4.7625003,-86.27203,1525
575.0,9.023025,-7.24455,5.423394,-1.6268506,-31.06977,477
606.0,8.352458,-6.676499,5.031851,-1.5023727,-28.717972,503
10205.0,126.44167,-113.216995,66.0949,-27.837936,-428.5496,8470
937.0,12.915814,-10.590684,7.6382203,-2.3822596,-44.619755,778
2597.0,28.69007,-23.904926,16.906965,-5.277681,-100.04561,2597
950.0,12.482533,6.9902797,3.6054258,1.9463062,-28.736235,950
5727.0,67.55381,-56.827244,39.599472,-12.492025,-236.34772,5727
2458.0,30.477474,-26.720692,16.377157,-6.4919143,-103.48154,2040
4430.0,57.552395,-51.90345,29.44211,-13.031509,-193.43945,3677
687.0,12.179793,-9.918718,7.2666287,-2.212848,-42.141125,570
4530.0,-59.94726,-68.47105,-111.75376,48.89496,28.208202,1223
1084.0,13.51398,-11.048936,8.045659,-2.4605162,-46.820354,976
466.0,7.2368884,-5.7314754,4.3804703,-1.2952874,-24.805468,387
5320.0,44.512943,-37.8935,27.02011,-8.538782,-156.2619,4416
345.0,4.210028,-1.4373604,2.2210822,-0.48330325,-12.087955,286
367.0,6.3487806,-4.9791403,3.8619046,-1.1304264,-21.690714,305
155.0,3.5193756,-2.007453,3.460053,0.58946794,-11.24325,129
4266.0,147.60867,-71.39388,88.1875,15.11224,-443.04398,4266
440.0,6.1500373,-4.089499,3.6425686,-0.9737721,-20.098885,440
1362.0,20.529095,-16.99159,12.141779,-3.7627447,-71.423615,1362
2533.0,32.938,-27.503445,19.38733,-6.066234,-114.94388,2533
225.0,5.6256623,1.5160156,7.0249906,1.0358479,-13.888273,225
11045.0,146.2356,-123.48027,85.5417,-27.097866,-512.2988,11045
32760.0,405.40268,-343.02637,236.86923,-75.20754,-1421.2443,32760
2475.0,31.446589,-28.001488,16.376287,-6.985502,-105.80786,2054
252.0,5.6017256,-4.3462944,3.4256997,-0.9917492,-19.07066,252
2362.0,25.260954,-21.00005,14.904707,-4.641129,-88.01909,2362
2963.0,40.07526,-33.549564,23.554775,-7.3911357,-139.97551,2459
8706.0,107.52233,-90.68544,62.937057,-19.91146,-376.5245,8706
770.0,13.549028,-11.078626,8.066124,-2.4670227,-46.94327,770
8111.0,104.73501,-88.324234,61.30955,-19.394043,-366.74887,8111
762.0,11.650092,-9.491363,7.291004,-2.0285606,-39.79927,762
164.0,2.678366,-1.4054149,4.379576,0.41839916,-9.186324,136
431.0,5.779847,-4.4971843,3.5297046,-1.0248141,-19.695362,358
580.0,6.5749254,-5.097773,3.9830074,-1.1609352,-22.401302,481
3842.0,37.736633,-31.56847,22.18925,-6.9570117,-131.77353,3189
22500.0,262.99454,-222.38931,153.71715,-48.77206,-921.79346,22500
12601.0,158.92714,-137.26082,89.31633,-31.502888,-550.3895,11719
244.0,3.805113,-1.5282009,5.715098,0.295479,-12.178052,183
1786.0,23.632975,-19.815002,13.721223,-4.4701796,-81.89817,1482
1251.0,15.741023,-12.935513,9.346029,-2.8739264,-54.630993,1251
1136.0,19.22727,-15.888786,11.381646,-3.5210855,-66.85788,943
3234.0,39.266895,-34.821712,20.710087,-8.569036,-132.83493,2684
729.0,12.639182,-10.307877,7.534866,-2.2981255,-43.75228,729
3630.0,54.23613,-45.54554,31.82329,-10.019844,-189.64023,3630
42080.0,483.3118,-421.2994,267.62732,-97.97277,-1668.4681,34085
3283.0,40.681328,-35.40273,22.299707,-8.410031,-139.25552,2856
6936.0,95.37102,-80.3918,55.841927,-17.655788,-333.90768,5757
631.0,13.91138,-11.385581,8.2777,-2.5342863,-48.214104,631
2184.0,30.50684,-25.044525,17.907845,-5.552115,-105.96533,2184
21014.0,215.94936,-151.70189,120.26431,-34.560726,-719.8096,21014
502.0,6.267254,-4.866214,3.8077202,-1.1083944,-21.355145,417
2683.0,42.063828,-35.234127,24.715895,-7.7602773,-146.9498,2683
6665.0,81.22744,-73.29482,41.64361,-18.347025,-273.44434,5532
5801.0,63.209255,-53.146877,37.062695,-11.685537,-221.1106,4815
296.0,4.9223385,-4.049686,4.3777666,-0.5937782,-17.643991,246
827.0,12.505804,-10.194888,7.456985,-2.2733662,-43.284496,686
870.0,3.9832587,-9.096445,3.2635903,-0.7578512,-19.722183,470
476.0,8.263714,-6.601322,4.9800334,-1.485899,-28.406727,395
1241.0,15.576011,-12.795727,9.249679,-2.843294,-54.052265,1080
1396.0,17.566599,-14.4819975,10.41198,-3.2128103,-61.03361,1396
2933.0,39.914516,-33.413403,23.460913,-7.361296,-139.41174,2933
4551.0,63.30037,-53.22406,37.115894,-11.702454,-221.43013,4551
3613.0,49.993927,-41.95188,29.34627,-9.232353,-174.76205,2999
2540.0,37.607117,8.630749,25.39091,23.9155,-82.635345,2540
31.0,3.9495037,-7.516505,10.948607,2.979868,-15.416295,26
540.0,8.844352,-7.093192,5.319067,-1.593684,-30.44313,448
1092.0,11.496057,-9.097736,6.8311195,-2.0479035,-39.46953,906
211.0,4.7705493,-4.256762,7.805139,0.3443331,-17.48835,211
1724.0,49.606407,-22.160294,28.698719,9.189026,-140.56746,1724
1821.0,24.114883,-20.90364,13.182289,-5.02053,-82.12198,1584
178.0,5.9530635,-5.4302883,8.349419,1.6328428,-22.2556,148
30701.0,350.62787,-308.7889,190.26439,-73.27119,-1203.2098,25482
683.0,22.19358,-12.429625,13.073767,1.4333189,-66.785866,683
3037.0,40.94747,-36.28437,21.645111,-8.907291,-138.65004,2521
2933.0,36.86094,-30.826649,21.677933,-6.794456,-128.70233,2933
595.0,8.768612,-4.722508,5.8464966,-1.2453914,-27.523237,494
486.0,7.3449574,-5.396008,4.3815913,-1.2455118,-24.667953,486
4955.0,57.392303,-48.219208,33.666187,-10.60573,-200.7095,4955
6138.0,76.936485,-64.7755,45.07801,-14.2337475,-269.25443,6138
1748.0,20.755417,-17.18331,12.273927,-3.8047564,-72.217354,1451
375.0,12.847134,-8.40439,9.402282,0.7153873,-41.077637,311
2946.0,40.827644,-35.238037,22.732471,-8.241792,-140.38632,2445
237.0,5.348196,-4.4016757,6.341644,-0.084156334,-19.801857,237
3711.0,43.743294,-25.978262,23.27303,-6.1791625,-140.01973,3711
2941.0,37.808853,-31.629648,22.231419,-6.9704185,-132.02682,2941
2430.0,31.625614,-26.391687,18.621029,-5.8226113,-110.34109,2430
3051.0,37.082485,-31.685854,21.001274,-7.2898164,-128.05595,2532
26408.0,285.51035,-241.46294,166.86412,-52.951702,-1000.76044,26408
1499.0,22.748665,-18.871834,13.437783,-4.1747675,-79.20804,1244
677.0,6.7544537,-5.125041,4.0693536,-1.1743138,-22.885738,562
7180.0,-24.375109,-114.084625,-58.21202,29.002289,-96.07396,3303
703.0,11.624828,-9.832939,7.039405,-2.09382,-40.683086,499
2078.0,23.946272,-6.7886534,11.405924,-3.3557327,-68.73357,2078
2802.0,37.765156,-32.623516,20.968569,-7.659616,-129.6885,2326
2741.0,40.9891,-34.323708,24.088364,-7.5607743,-143.18053,2741
4272.0,68.44898,-57.58556,40.122166,-12.658207,-239.48726,3546
140.0,5.089371,-6.17451,10.273855,-0.1586917,-18.084703,140
1404.0,19.273682,-15.928101,11.408743,-3.5297,-67.020645,1404
1119.0,16.95986,-13.968016,10.057706,-3.1001813,-58.905666,929
528.0,9.92508,-1.1991953,8.793236,0.48478454,-28.321533,528
3748.0,41.24066,-34.5368,24.23525,-7.607473,-144.06277,3748
4900.0,59.93225,-24.28742,28.764254,-7.663605,-178.2839,4900
1853.0,25.377935,-21.099148,14.973012,-4.6628423,-88.42937,1853
3322.0,39.813858,-33.717224,22.935118,-7.605806,-138.23401,2890
1076.0,14.241184,-5.338904,6.9662995,-1.8029783,-41.76385,1076
2876.0,35.974567,-32.377808,18.357557,-8.170718,-120.57109,2387
1911.0,21.152346,-17.51956,12.505696,-3.8784392,-73.60947,1586
1201.0,16.951225,-14.169952,9.801508,-3.2401202,-58.431858,997
212.0,7.8588853,-7.3843107,11.931178,1.6890211,-30.111025,212
1278.0,18.109606,-14.94199,10.729043,-3.3136103,-62.938038,1278
7060.0,74.783356,-55.836403,42.680676,-12.633053,-253.05505,7060
702.0,15.896222,-12.274504,9.528523,-2.4125512,-53.863255,702
903.0,12.14059,4.7385287,3.52945,-1.4733899,-30.701218,903
8151.0,106.14677,-95.045815,55.430466,-23.406467,-359.51773,6765
8227.0,103.00275,-86.856804,60.298073,-19.072475,-360.6735,8227
402.0,9.410734,-8.045938,8.298487,-1.1206033,-34.142406,334
4164.0,44.03845,-36.90687,25.86887,-8.126832,-153.87512,4164
6844.0,88.1034,-74.23523,51.598366,-16.306686,-308.4188,6844
1661.0,20.299501,-16.797098,12.007719,-3.720124,-70.618385,1661
6068.0,66.740425,-37.475292,34.67651,-9.076521,-211.04443,6068
6519.0,79.92646,-67.30838,46.82385,-14.78879,-279.74084,6063
665.0,9.955792,0.5402004,5.955729,-1.4324358,-26.933714,665
544.0,8.905932,1.314758,7.952645,-1.1406753,-24.2081,544
893.0,10.78296,-5.9737706,5.8471723,-1.4657073,-33.909477,893
352.0,7.144162,-4.75075,7.34092,-0.47890908,-23.693,352
3344.0,30.845442,-15.305163,15.581146,-3.8822472,-95.01605,3344
487.0,7.532187,-4.358309,7.1067376,-0.75756747,-24.375256,404
5732.0,73.46104,-61.831383,43.048706,-13.588604,-257.06546,5732
26345.0,319.2068,-281.503,172.70721,-66.98859,-1094.3433,22920
11336.0,136.72763,-119.2744,75.37073,-27.936115,-470.79532,9409
285.0,6.6851954,-4.0250564,9.716931,0.347647,-21.899796,285
1558.0,23.253614,-19.29959,13.732622,-4.2685027,-80.97899,1293
15165.0,178.93219,-151.17825,104.63322,-33.167416,-626.9717,15165
3960.0,45.736652,-38.506237,26.667479,-8.550824,-159.49025,3287
920.0,14.312018,-11.724972,8.511633,-2.6086562,-49.619213,764
2643.0,35.805435,-30.796219,20.024948,-7.1827464,-123.169785,2194
2427.0,25.012665,-20.78972,14.759733,-4.59504,-87.1483,2014
996.0,12.891265,-10.883715,7.247206,-2.5899832,-43.868458,827
2508.0,35.18906,-29.410364,20.701725,-6.484099,-122.838745,2508
201.0,8.766412,-8.717513,16.51148,3.1320477,-32.461395,201
563.0,13.86016,-10.625366,8.325266,-2.07067,-46.847202,563
643.0,9.88131,-6.9983397,7.608317,-1.6020267,-33.181324,534
1252.0,18.469698,-15.247032,10.939298,-3.3804557,-64.20094,1039
52172.0,632.3091,-574.69135,321.36478,-143.99516,-2129.8318,43303
3133.0,36.54988,-30.563143,21.496304,-6.736711,-127.611374,3133
2070.0,28.345095,-23.645973,16.66559,-5.236154,-98.76518,1801
3180.0,39.51697,-33.338066,22.914993,-7.464338,-137.46336,2639
2360.0,26.694557,-22.142534,15.730991,-4.8959365,-92.96557,2360
2897.0,36.15851,-30.839188,20.53852,-7.0750394,-124.95094,2520
1788.0,22.42132,-18.594532,13.246648,-4.114002,-78.05998,1788
1238.0,15.819343,-9.013507,8.504659,-2.1832287,-50.10249,1238
442.0,9.354783,-7.7720246,7.1800566,-1.5365059,-33.14335,442
3742.0,40.463253,-33.878242,23.781317,-7.463159,-141.33627,3368
281.0,11.745481,-0.67181164,16.95929,6.475439,-28.500347,281
828.0,14.727432,-12.113747,8.788294,-2.6955693,-51.02062,687
220.0,10.070874,-1.8534433,16.28165,6.17856,-26.085588,220
13720.0,161.28157,-140.89261,88.72597,-33.047417,-555.17664,11388
11172.0,139.38286,-124.43721,73.34811,-30.413315,-473.42953,9720
145.0,8.938266,-5.955677,18.627052,1.9289873,-24.3026,145
140.0,9.647723,-4.919749,18.422318,4.1792784,-24.370068,140
1265.0,20.989079,-17.381252,12.410363,-3.8481324,-73.03685,1265
6316.0,80.66865,-70.616295,44.0398,-16.739115,-276.6539,5242
2791.0,37.905754,-31.711739,22.287998,-6.9884048,-132.36668,2791
894.0,11.314635,-8.394685,6.6470356,-1.9223425,-38.14346,742
704.0,12.1173525,-9.865823,7.23017,-2.2012568,-41.92213,584
893.0,12.9999,-7.450858,7.0596185,-1.803663,-41.20753,893
6794.0,90.8386,-77.325386,52.267544,-17.337353,-316.37305,5639
6666.0,87.428444,-79.151085,44.526188,-19.879372,-293.9703,5533
494.0,8.961129,-8.457871,9.426382,-0.67332035,-33.930683,410
1206.0,20.006296,-16.548717,11.836518,-3.6656973,-69.59007,1001
2552.0,35.56308,-21.789566,19.186333,-5.132789,-114.63454,2552
8740.0,125.04966,-105.533226,73.17127,-23.165089,-437.996,8740
198.0,11.369673,-9.12595,23.089195,3.0145128,-35.880615,198
2828.0,38.744488,-34.402832,20.375242,-8.488315,-130.9433,2347
984.0,12.950416,-10.951073,7.2610364,-2.6126325,-44.03934,817
300.0,8.369842,-10.779492,11.9171,-0.60621506,-33.39368,249
7762.0,100.13731,-84.42941,58.624958,-18.540565,-350.62387,7762
935.0,11.662811,-8.705216,6.8524528,-1.9897075,-39.385715,776
13130.0,150.66722,-127.23439,88.12932,-27.92052,-527.8413,13130
1890.0,23.557121,-19.730392,13.701359,-4.4423356,-81.67528,1644
13528.0,175.24356,-148.05354,102.47943,-32.482662,-614.035,13528
743.0,10.827688,-8.772651,6.4738975,-1.9612,-37.4205,617
2391.0,27.273153,-21.652033,15.924339,-4.8457294,-93.84297,2391
605.0,16.193367,-12.098182,9.628645,-1.8978355,-53.585613,605
2372.0,30.131702,-25.965157,16.741714,-6.112804,-103.32333,2064
2551.0,33.400074,-15.934935,16.649275,-4.1011415,-102.11371,2551
2010.0,28.011456,-23.472126,16.340204,-5.247805,-97.36448,1668
1817.0,28.572378,-23.805225,16.838242,-5.255837,-99.63284,1817
5103.0,65.26362,-54.887165,38.262234,-12.066898,-228.31561,5103
3417.0,46.104286,-39.074814,26.57348,-8.793014,-160.23453,2836
14698.0,172.01576,-145.31923,100.59474,-31.883492,-602.7146,14938
1049.0,17.624784,-14.531287,10.445954,-3.2236106,-61.23768,1049
1278.0,17.27574,-14.853453,9.498003,-3.5772016,-58.686993,1061
16770.0,207.67485,-190.40027,103.28199,-48.31535,-695.9136,13919
4428.0,59.662933,-53.4309,30.998611,-13.259758,-201.39487,3675
2542.0,27.12109,-18.930202,15.325836,-4.3486123,-90.137436,2542
2244.0,33.38097,-27.878689,19.645975,-6.148461,-116.49744,2244
9694.0,121.85273,-105.71972,67.83017,-24.52966,-420.6482,8046
5958.0,79.63604,-72.0651,40.566093,-18.104815,-267.71402,4945
1582.0,22.043983,-18.487192,12.771491,-4.1875668,-76.286575,1313
3214.0,46.818832,-39.262196,27.492338,-8.642962,-163.62643,3214
582.0,12.1901865,-11.4742,15.87728,0.16579264,-46.983692,483
2778.0,41.52605,-34.778564,24.40189,-7.6604486,-145.0637,2306
1634.0,53.399574,-39.356934,31.326223,-3.6116068,-176.30862,1634
720.0,11.101008,-7.119715,6.2833123,-1.6794186,-36.075485,720
1073.0,15.710312,-10.223916,8.809911,-2.3903525,-51.28532,1073
3566.0,49.04209,-41.145565,28.7905,-9.055668,-171.42383,3566
780.0,30.056879,12.71604,16.98649,22.678669,-61.165905,780
3995.0,53.635433,-45.036686,31.472544,-9.908337,-187.53348,3995
49034.0,593.83575,-502.65207,346.89508,-110.186714,-2082.113,49034
472.0,8.726031,-9.482321,11.846424,0.2715351,-35.60256,392
17219.0,215.00803,-181.7389,125.69789,-39.86423,-753.4961,17607
657.0,11.276264,-1.9433724,15.42203,0.19694489,-33.9285,591
978.0,14.792392,-12.297793,8.56545,-2.808668,-51.08898,812
680.0,10.730797,-9.099907,8.713787,-1.6017306,-38.504498,564
8549.0,92.84557,-78.25244,54.367313,-17.186981,-325.0505,8549
434.0,8.536417,-4.5962734,14.247021,1.2015822,-29.413261,391
2189.0,29.574488,-25.96826,15.833432,-6.333012,-100.27844,1817
659.0,9.701011,-7.4603486,8.992883,-1.1376581,-34.01752,540
8967.0,121.25821,-102.3214,70.95744,-22.46127,-424.6987,7443
10437.0,133.17673,-119.51224,69.3068,-29.489426,-450.8362,8663
4622.0,59.424767,-49.940956,34.85294,-10.983021,-207.8377,4622
915.0,13.783122,-5.5079217,6.798403,-1.6960876,-40.8035,915
25401.0,324.93585,-274.8611,189.88464,-60.27033,-1139.0327,25401
686.0,11.017151,-9.027607,9.55237,-1.4378073,-39.301678,569
1822.0,27.900429,-23.236006,16.445896,-5.1310983,-97.2762,1512
5053.0,58.116497,-48.83269,34.089043,-10.740166,-203.24939,5053
1939.0,25.460123,-21.16877,15.021003,-4.678102,-88.71762,1939
114.0,12.055591,-11.2820215,29.93653,2.761788,-30.993422,114
1532.0,20.691996,-17.129585,12.2368965,-3.7929823,-71.99492,1532
5690.0,70.49529,-63.418606,36.333977,-15.822241,-237.562,4723
3580.0,50.14501,-42.689297,28.703022,-9.672632,-174.00021,2971
5841.0,73.07099,-61.500965,42.82095,-13.516193,-255.69748,5841
941.0,29.530886,11.464355,39.56419,3.084571,-84.60434,941
1035.0,14.40813,-9.976593,8.257045,-2.311712,-47.727207,1035
5597.0,62.1408,-49.58156,36.047733,-11.058514,-214.22458,5597
3600.0,47.156418,-41.542614,25.27943,-10.057587,-160.4762,2988
3219.0,42.436913,-35.55018,24.93374,-7.829532,-148.25827,3219
4630.0,56.140686,-47.15894,32.93536,-10.37339,-196.31985,4630
4112.0,46.95557,-39.37803,27.572182,-8.668344,-164.10602,4112
580.0,12.061229,-8.197906,13.66521,-0.83434516,-39.86346,580
13183.0,174.3281,-150.22626,98.40626,-34.30697,-604.5753,10942
1129.0,19.237436,-15.911463,11.69862,-3.547314,-67.10038,937
3030.0,41.12124,-36.750378,21.353102,-9.157124,-138.51218,2515
2600.0,36.24272,-30.30294,21.316956,-6.6796956,-126.53412,2600
25217.0,445.33298,-376.85214,260.18445,-82.61988,-1561.2871,25217
212.0,9.84459,-10.547552,20.808357,6.4963074,-30.111435,176
411.0,9.236009,-8.470777,17.2059,1.428971,-34.067554,341
16357.0,201.39374,-170.20592,117.748505,-37.336987,-705.74835,16357
3622.0,58.43535,-49.10279,34.275215,-10.799349,-204.36765,3006
2041.0,22.242727,-15.8574295,12.706094,-3.6374452,-74.28926,1694
1134.0,18.113398,-14.549718,10.671916,-3.252117,-62.503777,1134
1429.0,17.79532,-14.903829,10.271774,-3.4095442,-61.352345,1186
1666.0,23.538532,-19.54095,13.898989,-4.3213916,-81.97826,1383
1727.0,22.38429,-16.750504,12.963472,-3.8086865,-75.712776,1727
4504.0,56.65188,-47.591976,33.23384,-10.468279,-198.11269,4504
5517.0,68.06328,-58.82586,38.016075,-13.646584,-234.813,4800
2553.0,33.69408,-28.143934,19.828808,-6.2065854,-117.59558,2553
16921.0,169.325,-136.35728,98.03764,-30.311607,-585.44885,16921
8987.0,110.662865,-98.09855,59.027042,-23.71627,-377.2056,7459
3877.0,51.893826,-43.561325,30.455622,-9.585039,-181.42535,3877
2516.0,34.428238,-29.502768,19.372982,-6.841332,-118.60843,2088
5657.0,69.4572,-61.55954,36.93644,-14.961016,-236.21402,4695
3857.0,47.910107,-41.67116,26.347702,-9.849692,-164.30713,3201
13843.0,153.23856,-132.10294,86.40164,-30.217613,-531.15717,11490
752.0,23.4046,6.956852,18.424543,10.783469,-47.33363,752
29399.0,357.5496,-302.4889,208.9278,-66.32446,-1253.4149,29399
2770.0,38.60242,-33.577824,21.162289,-7.9809794,-132.09868,2299
949.0,13.806003,-10.779178,8.139871,-2.431739,-47.238705,883
10484.0,134.66081,-121.10601,69.75943,-29.994358,-455.262,8702
3703.0,48.096264,-40.344334,28.238226,-8.880092,-168.10663,3703
849.0,12.174746,-9.636219,8.181522,-2.2342649,-42.004093,705
1434.0,22.591309,-18.738537,13.345903,-4.145558,-78.656166,1434
2952.0,40.488514,-34.390472,23.206945,-7.799854,-140.38452,2450
3500.0,41.252563,-34.546886,24.242199,-7.6096816,-144.10452,3500
2179.0,28.372778,-24.364075,15.8479805,-5.7111735,-97.38988,1896
6821.0,93.63238,-78.91895,54.826736,-17.333038,-327.80997,6821
1678.0,28.537415,-23.77561,16.817831,-5.2493463,-99.51022,1393
3137.0,44.10342,-37.260937,25.547905,-8.341155,-153.46918,2604
4088.0,51.653233,-44.332363,29.145039,-10.199789,-178.5152,3638
3234.0,42.3553,-35.48104,24.88609,-7.814384,-147.97205,3234
304.0,10.873816,-14.174742,24.257877,0.6808445,-38.3686,252
1239.0,19.708158,-16.29616,11.6624365,-3.6103523,-68.54444,1028
833.0,13.864166,-12.0795765,11.612338,-1.976311,-50.250187,691
7824.0,83.325745,-70.187996,48.808697,-15.419806,-291.66275,7824
247.0,15.592719,-10.006234,33.423904,0.3025157,-39.385822,247
3299.0,43.609947,-38.980675,22.65836,-9.701922,-146.97263,2738
1351.0,19.325537,-16.30415,11.04039,-3.7639782,-66.49856,1121
19328.0,251.97597,-225.2832,132.46967,-55.022335,-856.32587,16042
2934.0,39.973694,-33.463528,23.495462,-7.3722835,-139.6193,2435
1440.0,19.692347,-15.031467,11.471672,-3.4026563,-66.97394,1440
6416.0,83.40082,-70.251564,48.852524,-15.433741,-291.926,6416
1461.0,18.342398,-15.287685,10.685289,-3.457197,-63.446888,1213
10222.0,115.40762,-97.36525,67.54128,-21.375221,-404.1797,10222
241.0,14.062013,-13.768083,31.352081,3.4085538,-43.76043,241
1200.0,51.168995,36.565125,49.18276,29.891624,-118.092575,1200
2058.0,23.906351,-18.228067,13.878439,-4.123393,-81.29579,1708
2540.0,35.55673,-31.110485,19.241226,-7.493174,-121.12921,2108
547.0,10.207012,-10.385965,16.898224,1.347358,-40.419395,454
4086.0,47.49415,-39.834267,27.88665,-8.768316,-165.99487,4086
2442.0,34.688423,-30.547451,18.52019,-7.4499307,-117.67224,2027
293.0,14.661506,-9.197773,27.835142,1.6737165,-39.465355,293
4301.0,43.855183,-36.75162,25.761866,-8.092811,-153.23239,4301
16788.0,214.25311,-181.09935,125.257065,-39.724087,-750.84845,16788
682.0,11.712243,-10.321775,15.891541,0.3821103,-44.11047,566
2672.0,33.478607,-27.9614,19.702991,-6.16659,-116.839874,2672
1869.0,26.75496,-22.265654,15.777055,-4.9184623,-93.258835,1869
967.0,15.964229,-13.866732,12.1268835,-2.7496245,-56.98302,803
4842.0,65.987274,-59.152237,34.249275,-14.680838,-222.76863,4019
5864.0,62.2615,-52.34402,36.509304,-11.509613,-217.78665,4867
3132.0,42.985603,-36.014977,25.254116,-7.9313874,-150.18262,3132
107.0,15.208577,-15.736598,40.02732,8.604331,-40.87743,89
1357.0,18.999685,-16.28975,10.536097,-3.880461,-64.801186,1126
1538.0,35.572807,24.003553,23.101143,10.547679,-82.96972,1538
7263.0,82.62421,-69.5937,48.399067,-15.289576,-289.2023,7263
4642.0,63.495674,-56.96031,32.891914,-14.163368,-214.20215,3853
51527.0,122.853966,-691.85486,18.941574,69.82293,-1287.4594,28855
1504.0,22.70958,-18.928934,13.306693,-4.228531,-78.87976,1248
17286.0,209.59543,-183.6194,114.776924,-43.232967,-720.80853,15039
5960.0,76.332,-69.28563,38.60882,-17.476793,-256.2003,4947
2433.0,30.264498,-26.336626,16.504036,-6.3134103,-103.21121,2019
5400.0,62.89184,-52.877995,36.87736,-11.626619,-219.99738,5400
33028.0,381.9376,-323.1485,223.16791,-70.85166,-1338.9479,33028
5078.0,64.59942,-54.32451,37.874413,-11.9436,-225.98615,5078
701.0,17.039852,-13.814832,19.497505,-0.5938309,-62.293385,701
736.0,13.481585,-6.7592216,14.052076,-0.9011772,-42.74768,736
976.0,15.248503,-10.159229,8.968765,-2.3954804,-50.08826,976
