size_D,duration_D,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,effort_D
227.0,14.0,-320.49533,259.19595,991.02374,145.46942,-519.1279,1010.00525,-845.90216,-865.8707,-1564.4508,5578
59.0,6.0,-61.848763,50.397015,190.8495,27.948957,-99.90022,194.09715,-163.08961,-165.97523,-300.88977,1060
299.0,6.0,-304.2134,245.36317,938.5996,136.75832,-490.83853,956.9245,-801.8818,-818.89935,-1481.6667,5279
422.0,15.0,-466.65796,376.37427,1441.0206,210.30502,-753.9947,1469.3439,-1230.7716,-1258.1504,-2275.1296,8117
1058.0,9.0,-506.10855,403.9796,1549.8582,218.4559,-805.46027,1582.7247,-1328.6871,-1344.5544,-2447.72,8710
65.0,9.0,-47.063663,38.374744,144.64047,20.89849,-75.57672,146.97386,-123.72345,-125.15533,-228.00159,796
390.0,26.0,-632.11273,510.96527,1955.4613,287.67517,-1024.7666,1993.3292,-1668.6433,-1710.0316,-3087.4397,11023
193.0,13.0,-102.41139,82.53429,314.6039,44.78775,-163.74469,320.59802,-269.51132,-272.59775,-496.46213,1755
1526.0,28.0,-353.35983,274.2868,1070.474,142.9057,-542.87823,1098.4813,-921.6104,-915.4006,-1690.5529,5931
575.0,13.0,-259.51187,207.32635,794.53754,111.64511,-412.72787,811.24097,-681.48926,-688.54694,-1254.8491,4456
509.0,13.0,-210.27493,167.85233,643.1261,89.94755,-333.63495,656.55725,-551.8356,-556.4107,-1015.41986,3600
583.0,12.0,-265.27676,211.8214,812.0846,114.19739,-421.8668,829.1994,-696.53033,-703.93994,-1282.532,4557
315.0,14.0,-502.07608,405.78235,1552.8972,228.4297,-813.75226,1582.9049,-1325.1586,-1357.8308,-2451.6106,8752
138.0,12.0,-198.05992,160.43056,612.5174,89.984505,-320.9776,624.0025,-522.87634,-534.94696,-966.7785,3440
257.0,9.0,-116.09235,93.14984,355.3544,50.066853,-184.58272,362.4141,-304.76813,-307.39313,-560.8508,1981
423.0,30.0,-784.55005,634.2638,2428.5232,358.0471,-1273.2,2475.5593,-2071.742,-2124.8826,-3834.4504,13700
495.0,20.0,-409.764,329.77917,1262.8549,182.7595,-659.6885,1288.0587,-1079.6781,-1100.6539,-1994.1053,7105
622.0,16.0,-394.41714,316.48724,1212.3552,173.55417,-631.97644,1237.0894,-1037.7115,-1054.6062,-1914.5325,6816
204.0,12.0,-265.96808,215.11342,822.04407,120.4916,-430.48254,837.7467,-701.848,-717.8804,-1297.6193,4620
616.0,15.0,-430.6206,345.8833,1324.645,190.36948,-691.0476,1351.4929,-1133.3003,-1153.1874,-2091.781,7451
3634.0,33.0,-2279.6309,1825.1708,7005.0146,1001.6801,-3650.481,7151.3364,-5995.691,-6096.207,-11063.593,39479
