Dataset                      Metric                   Metric Value    d    n
../datasets_2/albrecht.arff  MAE                       17.57          7   16
../datasets_2/albrecht.arff  Median Absolute Error     10.5           7   16
../datasets_2/albrecht.arff  RMSE                      22.0548        7   16
../datasets_2/albrecht.arff  R2 Score                   0.617001      7   16
../datasets_2/albrecht.arff  MAE                        9.52          7   17
../datasets_2/albrecht.arff  Median Absolute Error      6.1           7   17
../datasets_2/albrecht.arff  RMSE                      11.9576        7   17
../datasets_2/albrecht.arff  R2 Score                   0.887415      7   17
../datasets_2/albrecht.arff  MAE                        7.98          7   18
../datasets_2/albrecht.arff  Median Absolute Error      5.1           7   18
../datasets_2/albrecht.arff  RMSE                      11.0681        7   18
../datasets_2/albrecht.arff  R2 Score                   0.903542      7   18
../datasets_2/albrecht.arff  MAE                        8.52          7   19
../datasets_2/albrecht.arff  Median Absolute Error      5.1           7   19
../datasets_2/albrecht.arff  RMSE                      11.6526        7   19
../datasets_2/albrecht.arff  R2 Score                   0.893084      7   19
../datasets_2/albrecht.arff  MAE                        8.52          7   20
../datasets_2/albrecht.arff  Median Absolute Error      5.1           7   20
../datasets_2/albrecht.arff  RMSE                      11.6526        7   20
../datasets_2/albrecht.arff  R2 Score                   0.893084      7   20
../datasets_2/albrecht.arff  MAE                        8.54667       8   11
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       8   11
../datasets_2/albrecht.arff  RMSE                      11.6645        8   11
../datasets_2/albrecht.arff  R2 Score                   0.892867      8   11
../datasets_2/albrecht.arff  MAE                        8.54667       8   12
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       8   12
../datasets_2/albrecht.arff  RMSE                      11.6645        8   12
../datasets_2/albrecht.arff  R2 Score                   0.892867      8   12
../datasets_2/albrecht.arff  MAE                        8.54667       8   13
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       8   13
../datasets_2/albrecht.arff  RMSE                      11.6645        8   13
../datasets_2/albrecht.arff  R2 Score                   0.892867      8   13
../datasets_2/albrecht.arff  MAE                        9.47          8   14
../datasets_2/albrecht.arff  Median Absolute Error      6.1           8   14
../datasets_2/albrecht.arff  RMSE                      11.9368        8   14
../datasets_2/albrecht.arff  R2 Score                   0.887807      8   14
../datasets_2/albrecht.arff  MAE                        8.47          8   15
../datasets_2/albrecht.arff  Median Absolute Error      4.85          8   15
../datasets_2/albrecht.arff  RMSE                      11.6313        8   15
../datasets_2/albrecht.arff  R2 Score                   0.893476      8   15
../datasets_2/albrecht.arff  MAE                        7.93          8   16
../datasets_2/albrecht.arff  Median Absolute Error      4.85          8   16
../datasets_2/albrecht.arff  RMSE                      11.0456        8   16
../datasets_2/albrecht.arff  R2 Score                   0.903934      8   16
../datasets_2/albrecht.arff  MAE                        9.94          8   17
../datasets_2/albrecht.arff  Median Absolute Error      5.1           8   17
../datasets_2/albrecht.arff  RMSE                      12.8694        8   17
../datasets_2/albrecht.arff  R2 Score                   0.86959       8   17
../datasets_2/albrecht.arff  MAE                        6.98          8   18
../datasets_2/albrecht.arff  Median Absolute Error      2.8           8   18
../datasets_2/albrecht.arff  RMSE                      10.7379        8   18
../datasets_2/albrecht.arff  R2 Score                   0.909212      8   18
../datasets_2/albrecht.arff  MAE                       26             8   19
../datasets_2/albrecht.arff  Median Absolute Error     10.5           8   19
../datasets_2/albrecht.arff  RMSE                      35.7024        8   19
../datasets_2/albrecht.arff  R2 Score                  -0.00366485    8   19
../datasets_2/albrecht.arff  MAE                       26             8   20
../datasets_2/albrecht.arff  Median Absolute Error     10.5           8   20
../datasets_2/albrecht.arff  RMSE                      35.7024        8   20
../datasets_2/albrecht.arff  R2 Score                  -0.00366485    8   20
../datasets_2/albrecht.arff  MAE                        6.79667       9   11
../datasets_2/albrecht.arff  Median Absolute Error      2.8           9   11
../datasets_2/albrecht.arff  RMSE                      10.7062        9   11
../datasets_2/albrecht.arff  R2 Score                   0.909747      9   11
../datasets_2/albrecht.arff  MAE                        9.75667       9   12
../datasets_2/albrecht.arff  Median Absolute Error      7.15          9   12
../datasets_2/albrecht.arff  RMSE                      12.0848        9   12
../datasets_2/albrecht.arff  R2 Score                   0.885007      9   12
../datasets_2/albrecht.arff  MAE                        7.74667       9   13
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       9   13
../datasets_2/albrecht.arff  RMSE                      11.0661        9   13
../datasets_2/albrecht.arff  R2 Score                   0.903576      9   13
../datasets_2/albrecht.arff  MAE                        6.93          9   14
../datasets_2/albrecht.arff  Median Absolute Error      2.8           9   14
../datasets_2/albrecht.arff  RMSE                      10.7147        9   14
../datasets_2/albrecht.arff  R2 Score                   0.909603      9   14
../datasets_2/albrecht.arff  MAE                       16.15          9   15
../datasets_2/albrecht.arff  Median Absolute Error     10.5           9   15
../datasets_2/albrecht.arff  RMSE                      21.7533        9   15
../datasets_2/albrecht.arff  R2 Score                   0.627399      9   15
../datasets_2/albrecht.arff  MAE                        6.93          9   16
../datasets_2/albrecht.arff  Median Absolute Error      2.8           9   16
../datasets_2/albrecht.arff  RMSE                      10.7147        9   16
../datasets_2/albrecht.arff  R2 Score                   0.909603      9   16
../datasets_2/albrecht.arff  MAE                       26             9   17
../datasets_2/albrecht.arff  Median Absolute Error     10.5           9   17
../datasets_2/albrecht.arff  RMSE                      35.7024        9   17
../datasets_2/albrecht.arff  R2 Score                  -0.00366485    9   17
../datasets_2/albrecht.arff  MAE                       16.08          9   18
../datasets_2/albrecht.arff  Median Absolute Error      8.2           9   18
../datasets_2/albrecht.arff  RMSE                      21.5969        9   18
../datasets_2/albrecht.arff  R2 Score                   0.632737      9   18
../datasets_2/albrecht.arff  MAE                        9.94          9   19
../datasets_2/albrecht.arff  Median Absolute Error      5.1           9   19
../datasets_2/albrecht.arff  RMSE                      12.8694        9   19
../datasets_2/albrecht.arff  R2 Score                   0.86959       9   19
../datasets_2/albrecht.arff  MAE                        9.52          9   20
../datasets_2/albrecht.arff  Median Absolute Error      6.1           9   20
../datasets_2/albrecht.arff  RMSE                      11.9576        9   20
../datasets_2/albrecht.arff  R2 Score                   0.887415      9   20
../datasets_2/albrecht.arff  MAE                        8.95667      10   11
../datasets_2/albrecht.arff  Median Absolute Error      6.5          10   11
../datasets_2/albrecht.arff  RMSE                      11.5083       10   11
../datasets_2/albrecht.arff  R2 Score                   0.895716     10   11
../datasets_2/albrecht.arff  MAE                       16.2267       10   12
../datasets_2/albrecht.arff  Median Absolute Error     10.5          10   12
../datasets_2/albrecht.arff  RMSE                      21.7711       10   12
../datasets_2/albrecht.arff  R2 Score                   0.626791     10   12
../datasets_2/albrecht.arff  MAE                       17.6467       10   13
../datasets_2/albrecht.arff  Median Absolute Error     10.5          10   13
../datasets_2/albrecht.arff  RMSE                      22.0723       10   13
../datasets_2/albrecht.arff  R2 Score                   0.616392     10   13
../datasets_2/albrecht.arff  MAE                        6.93         10   14
../datasets_2/albrecht.arff  Median Absolute Error      2.8          10   14
../datasets_2/albrecht.arff  RMSE                      10.7147       10   14
../datasets_2/albrecht.arff  R2 Score                   0.909603     10   14
../datasets_2/albrecht.arff  MAE                        9.47         10   15
../datasets_2/albrecht.arff  Median Absolute Error      6.1          10   15
../datasets_2/albrecht.arff  RMSE                      11.9368       10   15
../datasets_2/albrecht.arff  R2 Score                   0.887807     10   15
../datasets_2/albrecht.arff  MAE                       27.11         10   16
../datasets_2/albrecht.arff  Median Absolute Error     15.9          10   16
../datasets_2/albrecht.arff  RMSE                      36.1066       10   16
../datasets_2/albrecht.arff  R2 Score                  -0.026517     10   16
../datasets_2/albrecht.arff  MAE                       25            10   17
../datasets_2/albrecht.arff  Median Absolute Error     10.5          10   17
../datasets_2/albrecht.arff  RMSE                      35.6015       10   17
../datasets_2/albrecht.arff  R2 Score                   0.00200439   10   17
../datasets_2/albrecht.arff  MAE                       26            10   18
../datasets_2/albrecht.arff  Median Absolute Error     10.5          10   18
../datasets_2/albrecht.arff  RMSE                      35.7024       10   18
../datasets_2/albrecht.arff  R2 Score                  -0.00366485   10   18
../datasets_2/albrecht.arff  MAE                        8.4          10   19
../datasets_2/albrecht.arff  Median Absolute Error      5.1          10   19
../datasets_2/albrecht.arff  RMSE                      11.3361       10   19
../datasets_2/albrecht.arff  R2 Score                   0.898813     10   19
../datasets_2/albrecht.arff  MAE                        8.52         10   20
../datasets_2/albrecht.arff  Median Absolute Error      5.1          10   20
../datasets_2/albrecht.arff  RMSE                      11.6526       10   20
../datasets_2/albrecht.arff  R2 Score                   0.893084     10   20
../datasets_2/kemerer.arff   MAE                       95.45          5   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   11
../datasets_2/kemerer.arff   RMSE                     107.486         5   11
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   11
../datasets_2/kemerer.arff   MAE                       95.45          5   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   12
../datasets_2/kemerer.arff   RMSE                     107.486         5   12
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   12
../datasets_2/kemerer.arff   MAE                       95.45          5   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   13
../datasets_2/kemerer.arff   RMSE                     107.486         5   13
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   13
../datasets_2/kemerer.arff   MAE                       95.45          5   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   14
../datasets_2/kemerer.arff   RMSE                     107.486         5   14
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   14
../datasets_2/kemerer.arff   MAE                       95.45          5   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   15
../datasets_2/kemerer.arff   RMSE                     107.486         5   15
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   15
../datasets_2/kemerer.arff   MAE                       76.2833        5   16
../datasets_2/kemerer.arff   Median Absolute Error     48.8           5   16
../datasets_2/kemerer.arff   RMSE                      99.1475        5   16
../datasets_2/kemerer.arff   R2 Score                  -0.186265      5   16
../datasets_2/kemerer.arff   MAE                       95.45          5   17
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   17
../datasets_2/kemerer.arff   RMSE                     107.486         5   17
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   17
../datasets_2/kemerer.arff   MAE                       95.45          5   18
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   18
../datasets_2/kemerer.arff   RMSE                     107.486         5   18
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   18
../datasets_2/kemerer.arff   MAE                       95.45          5   19
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   19
../datasets_2/kemerer.arff   RMSE                     107.486         5   19
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   19
../datasets_2/kemerer.arff   MAE                       95.45          5   20
../datasets_2/kemerer.arff   Median Absolute Error     73.7           5   20
../datasets_2/kemerer.arff   RMSE                     107.486         5   20
../datasets_2/kemerer.arff   R2 Score                  -0.394199      5   20
../datasets_2/kemerer.arff   MAE                       97.8333        6   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   11
../datasets_2/kemerer.arff   RMSE                     111.137         6   11
../datasets_2/kemerer.arff   R2 Score                  -0.490504      6   11
../datasets_2/kemerer.arff   MAE                       93.0667        6   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   12
../datasets_2/kemerer.arff   RMSE                     103.872         6   12
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   12
../datasets_2/kemerer.arff   MAE                       93.0667        6   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   13
../datasets_2/kemerer.arff   RMSE                     103.872         6   13
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   13
../datasets_2/kemerer.arff   MAE                       93.0667        6   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   14
../datasets_2/kemerer.arff   RMSE                     103.872         6   14
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   14
../datasets_2/kemerer.arff   MAE                       93.0667        6   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   15
../datasets_2/kemerer.arff   RMSE                     103.872         6   15
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   15
../datasets_2/kemerer.arff   MAE                       93.0667        6   16
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   16
../datasets_2/kemerer.arff   RMSE                     103.872         6   16
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   16
../datasets_2/kemerer.arff   MAE                       97.8333        6   17
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   17
../datasets_2/kemerer.arff   RMSE                     111.137         6   17
../datasets_2/kemerer.arff   R2 Score                  -0.490504      6   17
../datasets_2/kemerer.arff   MAE                       97.8333        6   18
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   18
../datasets_2/kemerer.arff   RMSE                     111.137         6   18
../datasets_2/kemerer.arff   R2 Score                  -0.490504      6   18
../datasets_2/kemerer.arff   MAE                       93.0667        6   19
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   19
../datasets_2/kemerer.arff   RMSE                     103.872         6   19
../datasets_2/kemerer.arff   R2 Score                  -0.302005      6   19
../datasets_2/kemerer.arff   MAE                       97.8333        6   20
../datasets_2/kemerer.arff   Median Absolute Error     73.7           6   20
../datasets_2/kemerer.arff   RMSE                     111.137         6   20
../datasets_2/kemerer.arff   R2 Score                  -0.490504      6   20
../datasets_2/kemerer.arff   MAE                       93.0667        7   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   11
../datasets_2/kemerer.arff   RMSE                     103.872         7   11
../datasets_2/kemerer.arff   R2 Score                  -0.302005      7   11
../datasets_2/kemerer.arff   MAE                       93.0667        7   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   12
../datasets_2/kemerer.arff   RMSE                     103.872         7   12
../datasets_2/kemerer.arff   R2 Score                  -0.302005      7   12
../datasets_2/kemerer.arff   MAE                       97.8333        7   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   13
../datasets_2/kemerer.arff   RMSE                     111.137         7   13
../datasets_2/kemerer.arff   R2 Score                  -0.490504      7   13
../datasets_2/kemerer.arff   MAE                       97.8333        7   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   14
../datasets_2/kemerer.arff   RMSE                     111.137         7   14
../datasets_2/kemerer.arff   R2 Score                  -0.490504      7   14
../datasets_2/kemerer.arff   MAE                       93.0667        7   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   15
../datasets_2/kemerer.arff   RMSE                     103.872         7   15
../datasets_2/kemerer.arff   R2 Score                  -0.302005      7   15
../datasets_2/kemerer.arff   MAE                       73.9           7   16
../datasets_2/kemerer.arff   Median Absolute Error     48.8           7   16
../datasets_2/kemerer.arff   RMSE                      95.2169        7   16
../datasets_2/kemerer.arff   R2 Score                  -0.0940721     7   16
../datasets_2/kemerer.arff   MAE                       97.8333        7   17
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   17
../datasets_2/kemerer.arff   RMSE                     111.137         7   17
../datasets_2/kemerer.arff   R2 Score                  -0.490504      7   17
../datasets_2/kemerer.arff   MAE                       97.8333        7   18
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   18
../datasets_2/kemerer.arff   RMSE                     111.137         7   18
../datasets_2/kemerer.arff   R2 Score                  -0.490504      7   18
../datasets_2/kemerer.arff   MAE                       93.0667        7   19
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   19
../datasets_2/kemerer.arff   RMSE                     103.872         7   19
../datasets_2/kemerer.arff   R2 Score                  -0.302005      7   19
../datasets_2/kemerer.arff   MAE                       93.0667        7   20
../datasets_2/kemerer.arff   Median Absolute Error     73.7           7   20
../datasets_2/kemerer.arff   RMSE                     103.872         7   20
../datasets_2/kemerer.arff   R2 Score                  -0.302005      7   20
../datasets_2/kemerer.arff   MAE                       97.8333        8   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   11
../datasets_2/kemerer.arff   RMSE                     111.137         8   11
../datasets_2/kemerer.arff   R2 Score                  -0.490504      8   11
../datasets_2/kemerer.arff   MAE                       93.0667        8   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   12
../datasets_2/kemerer.arff   RMSE                     103.872         8   12
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   12
../datasets_2/kemerer.arff   MAE                       97.8333        8   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   13
../datasets_2/kemerer.arff   RMSE                     111.137         8   13
../datasets_2/kemerer.arff   R2 Score                  -0.490504      8   13
../datasets_2/kemerer.arff   MAE                       93.0667        8   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   14
../datasets_2/kemerer.arff   RMSE                     103.872         8   14
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   14
../datasets_2/kemerer.arff   MAE                       93.0667        8   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   15
../datasets_2/kemerer.arff   RMSE                     103.872         8   15
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   15
../datasets_2/kemerer.arff   MAE                       93.0667        8   16
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   16
../datasets_2/kemerer.arff   RMSE                     103.872         8   16
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   16
../datasets_2/kemerer.arff   MAE                       93.0667        8   17
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   17
../datasets_2/kemerer.arff   RMSE                     103.872         8   17
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   17
../datasets_2/kemerer.arff   MAE                       93.0667        8   18
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   18
../datasets_2/kemerer.arff   RMSE                     103.872         8   18
../datasets_2/kemerer.arff   R2 Score                  -0.302005      8   18
../datasets_2/kemerer.arff   MAE                       73.9           8   19
../datasets_2/kemerer.arff   Median Absolute Error     48.8           8   19
../datasets_2/kemerer.arff   RMSE                      95.2169        8   19
../datasets_2/kemerer.arff   R2 Score                  -0.0940721     8   19
../datasets_2/kemerer.arff   MAE                       97.8333        8   20
../datasets_2/kemerer.arff   Median Absolute Error     73.7           8   20
../datasets_2/kemerer.arff   RMSE                     111.137         8   20
../datasets_2/kemerer.arff   R2 Score                  -0.490504      8   20
../datasets_2/kemerer.arff   MAE                       97.8333        9   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   11
../datasets_2/kemerer.arff   RMSE                     111.137         9   11
../datasets_2/kemerer.arff   R2 Score                  -0.490504      9   11
../datasets_2/kemerer.arff   MAE                       93.0667        9   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   12
../datasets_2/kemerer.arff   RMSE                     103.872         9   12
../datasets_2/kemerer.arff   R2 Score                  -0.302005      9   12
../datasets_2/kemerer.arff   MAE                       97.8333        9   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   13
../datasets_2/kemerer.arff   RMSE                     111.137         9   13
../datasets_2/kemerer.arff   R2 Score                  -0.490504      9   13
../datasets_2/kemerer.arff   MAE                       97.8333        9   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   14
../datasets_2/kemerer.arff   RMSE                     111.137         9   14
../datasets_2/kemerer.arff   R2 Score                  -0.490504      9   14
../datasets_2/kemerer.arff   MAE                       93.0667        9   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   15
../datasets_2/kemerer.arff   RMSE                     103.872         9   15
../datasets_2/kemerer.arff   R2 Score                  -0.302005      9   15
../datasets_2/kemerer.arff   MAE                       97.8333        9   16
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   16
../datasets_2/kemerer.arff   RMSE                     111.137         9   16
../datasets_2/kemerer.arff   R2 Score                  -0.490504      9   16
../datasets_2/kemerer.arff   MAE                       93.0667        9   17
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   17
../datasets_2/kemerer.arff   RMSE                     103.872         9   17
../datasets_2/kemerer.arff   R2 Score                  -0.302005      9   17
../datasets_2/kemerer.arff   MAE                       93.0667        9   18
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   18
../datasets_2/kemerer.arff   RMSE                     103.872         9   18
../datasets_2/kemerer.arff   R2 Score                  -0.302005      9   18
../datasets_2/kemerer.arff   MAE                       97.8333        9   19
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   19
../datasets_2/kemerer.arff   RMSE                     111.137         9   19
../datasets_2/kemerer.arff   R2 Score                  -0.490504      9   19
../datasets_2/kemerer.arff   MAE                       93.0667        9   20
../datasets_2/kemerer.arff   Median Absolute Error     73.7           9   20
../datasets_2/kemerer.arff   RMSE                     103.872         9   20
../datasets_2/kemerer.arff   R2 Score                  -0.302005      9   20
../datasets_2/kemerer.arff   MAE                       97.8333       10   11
../datasets_2/kemerer.arff   Median Absolute Error     73.7          10   11
../datasets_2/kemerer.arff   RMSE                     111.137        10   11
../datasets_2/kemerer.arff   R2 Score                  -0.490504     10   11
../datasets_2/kemerer.arff   MAE                       93.0667       10   12
../datasets_2/kemerer.arff   Median Absolute Error     73.7          10   12
../datasets_2/kemerer.arff   RMSE                     103.872        10   12
../datasets_2/kemerer.arff   R2 Score                  -0.302005     10   12
../datasets_2/kemerer.arff   MAE                       97.8333       10   13
../datasets_2/kemerer.arff   Median Absolute Error     73.7          10   13
../datasets_2/kemerer.arff   RMSE                     111.137        10   13
../datasets_2/kemerer.arff   R2 Score                  -0.490504     10   13
../datasets_2/kemerer.arff   MAE                       93.0667       10   14
../datasets_2/kemerer.arff   Median Absolute Error     73.7          10   14
../datasets_2/kemerer.arff   RMSE                     103.872        10   14
../datasets_2/kemerer.arff   R2 Score                  -0.302005     10   14
../datasets_2/kemerer.arff   MAE                       93.0667       10   15
../datasets_2/kemerer.arff   Median Absolute Error     73.7          10   15
