AFP,Input,Output,Enquiry,File,Interface,Added,Changed,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_3,Resource_4,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_5,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
59.0,36.0,21.0,0.0,0.0,0.0,6.0,51.0,11.3,11.7,13.6,14.1,8.0,804.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,667
412.0,198.0,14.0,99.0,91.0,10.0,412.0,0.0,14.2,14.2,14.2,14.2,20.0,5864.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,5864
348.0,198.0,14.0,33.0,77.0,0.0,10.0,312.0,2.8,3.0,3.4,3.6,3.0,1172.0,1.0,0.0,0.0,3.2464745,1.5545484,-4.8332596,2.6845703,0.5695814,-1.9476918,-0.5907268,973
2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,0.0,2.1,2.6,2.1,2.6,13.0,5333.0,0.0,0.0,0.0,6.655816,11.604626,-8.858004,2.3027134,1.9652416,-5.216327,2.6512954,5333
250.0,28.0,92.0,57.0,0.0,30.0,164.0,43.0,7.1,8.6,7.1,8.6,8.0,1775.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1775
206.0,0.0,199.0,0.0,0.0,5.0,100.0,104.0,1.0,1.0,1.2,1.2,5.0,246.0,1.0,0.0,0.0,3.443317,5.032947,-5.924369,2.3022578,0.76373464,-2.2269735,0.93608266,204
617.0,184.0,136.0,103.0,133.0,0.0,377.0,179.0,5.1,5.7,6.1,6.8,7.0,3793.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3148
173.0,0.0,78.0,10.0,17.0,72.0,177.0,0.0,50.4,49.2,60.7,59.3,12.0,10501.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,8716
286.0,45.0,156.0,27.0,37.0,0.0,265.0,0.0,5.1,5.5,5.1,5.5,6.0,1464.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1464
52.0,13.0,17.0,6.0,10.0,5.0,20.0,16.0,26.1,26.6,31.5,32.1,2.0,1636.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1358
45.0,6.0,28.0,0.0,0.0,25.0,59.0,0.0,6.2,4.8,6.2,4.8,7.0,281.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,281
104.0,30.0,7.0,48.0,15.0,0.0,0.0,100.0,22.3,23.2,26.9,28.0,5.0,2796.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2321
465.0,234.0,44.0,104.0,118.0,0.0,431.0,15.0,8.7,8.1,10.5,9.8,13.0,4884.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,4054
2145.0,862.0,63.0,491.0,518.0,300.0,2234.0,0.0,1.1,1.1,1.1,1.1,84.0,2400.0,0.0,0.0,1.0,6.528112,40.677002,-48.491573,39.573544,-18.354342,-28.251781,9.628481,2400
283.0,20.0,125.0,39.0,91.0,17.0,292.0,0.0,20.0,19.3,20.0,19.3,13.0,5650.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,5650
109.0,0.0,84.0,0.0,17.0,5.0,47.0,59.0,14.0,14.4,16.9,17.3,2.0,1837.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1525
160.0,0.0,21.0,72.0,25.0,40.0,74.0,68.0,3.0,3.0,3.6,3.6,2.0,575.0,1.0,0.0,0.0,0.9774948,0.50980234,-1.2605455,0.48607078,0.1606613,-0.41520154,-0.10429097,477
65.0,0.0,64.0,0.0,0.0,0.0,54.0,10.0,7.7,7.9,9.3,9.5,2.0,606.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,503
366.0,160.0,27.0,96.0,72.0,0.0,260.0,84.0,23.1,23.9,27.9,28.7,10.0,10205.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,8470
63.0,18.0,10.0,3.0,28.0,0.0,16.0,43.0,12.3,13.2,14.9,15.9,3.0,937.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,778
309.0,126.0,13.0,59.0,153.0,30.0,381.0,0.0,8.4,6.8,8.4,6.8,7.5,2597.0,0.0,0.0,1.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2597
610.0,137.0,174.0,117.0,147.0,0.0,575.0,0.0,1.6,1.7,1.6,1.7,3.0,950.0,1.0,0.0,0.0,5.850779,10.871225,-10.925389,6.1616993,0.6063826,-4.6935782,0.08082124,950
562.0,165.0,125.0,93.0,119.0,0.0,502.0,0.0,10.2,11.4,10.2,11.4,13.0,5727.0,0.0,1.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,5727
156.0,21.0,38.0,39.0,7.0,41.0,146.0,0.0,13.1,14.0,15.8,16.8,4.0,2458.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2040
75.0,30.0,5.0,19.0,21.0,0.0,40.0,35.0,49.0,49.0,59.1,59.1,8.0,4430.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3677
136.0,42.0,64.0,0.0,21.0,0.0,0.0,127.0,4.2,4.5,5.1,5.4,2.0,687.0,1.0,0.0,0.0,0.400958,0.17264356,-0.35484427,-0.06159689,0.16421787,0.054664627,0.057504002,570
96.0,13.0,56.0,0.0,10.0,40.0,119.0,0.0,12.7,10.3,47.2,38.1,8.0,4530.0,0.0,0.0,0.0,-23.305172,26.063046,4.0560126,-22.896646,-18.428633,-3.4015613,-12.425916,1223
78.0,24.0,24.0,9.0,21.0,0.0,78.0,0.0,12.5,12.5,13.9,13.9,4.0,1084.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,976
51.0,42.0,0.0,14.0,0.0,0.0,20.0,36.0,7.6,6.9,9.1,8.3,12.0,466.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,387
1092.0,356.0,84.0,170.0,669.0,21.0,1300.0,0.0,4.0,3.4,4.9,4.1,13.0,5320.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,4416
134.0,42.0,11.0,32.0,35.0,14.0,134.0,0.0,2.1,2.1,2.6,2.6,8.0,345.0,1.0,0.0,0.0,1.7000641,1.4497904,-2.2905705,0.8969507,0.43507916,-0.74350476,-0.18446499,286
75.0,24.0,9.0,0.0,36.0,0.0,0.0,69.0,4.1,4.4,4.9,5.3,5.0,367.0,1.0,0.0,0.0,0.9780369,0.51005185,-1.2613993,0.48659608,0.16075896,-0.41556782,-0.10440721,305
88.0,18.0,20.0,0.0,43.0,0.0,36.0,45.0,1.5,1.6,1.8,1.9,7.0,155.0,1.0,0.0,0.0,2.3585558,0.9419231,-3.581137,2.0304263,0.27335197,-1.47213,-0.3390837,129
3088.0,1061.0,1009.0,772.0,241.0,5.0,544.0,2544.0,1.4,1.4,1.4,1.4,8.0,4266.0,1.0,0.0,0.0,52.73405,39.953117,-86.116264,41.501118,18.471338,-38.51967,-16.959723,4266
82.0,25.0,46.0,0.0,14.0,15.0,100.0,0.0,5.4,4.4,5.4,4.4,3.0,440.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,440
110.0,30.0,66.0,0.0,7.0,0.0,18.0,85.0,12.4,13.2,12.4,13.2,2.0,1362.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1362
308.0,153.0,83.0,0.0,112.0,10.0,236.0,122.0,8.2,7.1,8.2,7.1,6.0,2533.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2533
143.0,75.0,32.0,3.0,62.0,0.0,172.0,0.0,1.6,1.3,1.6,1.3,10.0,225.0,1.0,0.0,0.0,4.198596,4.147476,-6.1366677,3.2431524,1.2995957,-2.2184412,-1.4834117,225
826.0,292.0,326.0,155.0,32.0,0.0,396.0,139.0,13.4,13.7,13.4,13.7,13.0,11045.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,11045
3460.0,484.0,1831.0,318.0,208.0,142.0,2756.0,227.0,9.5,11.0,9.5,11.0,24.0,32760.0,0.0,0.0,1.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,32760
73.0,15.0,32.0,0.0,28.0,5.0,80.0,0.0,28.1,25.7,33.9,30.9,8.0,2475.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2054
64.0,4.0,56.0,0.0,7.0,0.0,11.0,56.0,3.9,3.8,3.9,3.8,7.0,252.0,1.0,0.0,0.0,0.89238137,0.4706121,-1.1265268,0.40360126,0.14532198,-0.35771522,-0.08604389,252
497.0,122.0,28.0,113.0,273.0,10.0,454.0,92.0,4.8,4.3,4.8,4.3,8.0,2362.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2362
288.0,201.0,0.0,36.0,76.0,0.0,99.0,214.0,8.5,7.9,10.3,9.5,5.0,2963.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2459
494.0,134.0,62.0,140.0,91.0,67.0,494.0,0.0,17.6,17.6,17.6,17.6,21.0,8706.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,8706
130.0,60.0,65.0,0.0,0.0,0.0,14.0,111.0,5.9,6.2,5.9,6.2,6.0,770.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,770
204.0,47.0,43.0,6.0,29.0,104.0,229.0,0.0,39.8,35.4,39.8,35.4,36.0,8111.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,8111
17.0,12.0,5.0,0.0,0.0,0.0,17.0,0.0,44.8,44.8,44.8,44.8,11.0,762.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,762
60.0,10.0,25.0,0.0,31.0,5.0,71.0,0.0,2.3,1.9,2.7,2.3,1.0,164.0,1.0,0.0,0.0,1.5818923,1.0538505,-2.1715448,0.8653116,0.31813383,-0.76680875,-0.23640102,136
73.0,0.0,20.0,36.0,10.0,0.0,56.0,10.0,4.9,5.4,5.9,6.5,1.0,431.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,358
169.0,32.0,14.0,25.0,28.0,70.0,169.0,0.0,2.8,2.8,3.4,3.4,6.0,580.0,1.0,0.0,0.0,0.56676066,0.3151354,-0.6220437,0.09134726,0.10694119,-0.13131008,-0.009400956,481
1351.0,379.0,449.0,271.0,219.0,20.0,1173.0,29.0,2.4,2.4,2.8,2.9,8.0,3842.0,1.0,0.0,0.0,-3.119916,5.2860427,1.8287773,-2.29531,-2.5140069,0.8468399,-0.94302803,3189
2087.0,862.0,444.0,303.0,437.0,0.0,2046.0,0.0,10.8,11.0,10.8,11.0,9.0,22500.0,0.0,0.0,1.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,22500
253.0,72.0,0.0,107.0,29.0,44.0,252.0,0.0,46.3,46.3,49.8,49.8,13.0,12601.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,11719
102.0,37.0,26.0,10.0,29.0,0.0,102.0,0.0,1.8,1.8,2.4,2.4,5.0,244.0,1.0,0.0,0.0,2.6585507,2.272666,-3.6722505,1.6574821,0.7070996,-1.2976795,-0.48785233,183
115.0,49.0,39.0,0.0,15.0,0.0,53.0,50.0,12.9,14.4,15.5,17.3,5.0,1786.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1482
288.0,18.0,186.0,21.0,15.0,60.0,300.0,0.0,4.3,4.2,4.3,4.2,11.0,1251.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1251
199.0,104.0,7.0,77.0,0.0,0.0,0.0,188.0,4.7,5.0,5.7,6.0,8.0,1136.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,943
163.0,49.0,14.0,33.0,49.0,10.0,155.0,0.0,16.5,17.3,19.8,20.9,11.0,3234.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2684
97.0,21.0,41.0,0.0,49.0,15.0,16.0,100.0,7.5,5.8,7.5,5.8,9.0,729.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,729
439.0,82.0,222.0,19.0,85.0,10.0,105.0,313.0,8.3,8.7,8.3,8.7,7.0,3630.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3630
3113.0,2019.0,609.0,248.0,157.0,80.0,3113.0,0.0,10.9,10.9,13.5,13.5,24.0,42080.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,34085
153.0,35.0,7.0,57.0,24.0,20.0,143.0,0.0,18.7,20.0,21.5,23.0,3.0,3283.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2856
670.0,346.0,97.0,122.0,79.0,0.0,146.0,498.0,8.6,8.9,10.4,10.8,6.0,6936.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,5757
129.0,19.0,93.0,3.0,10.0,30.0,0.0,155.0,4.9,4.1,4.9,4.1,15.0,631.0,0.0,0.0,0.0,0.5483264,0.3046163,-0.5949523,0.07473482,0.10760248,-0.11716623,-0.0038860962,631
329.0,324.0,68.0,14.0,0.0,0.0,206.0,73.0,6.6,5.4,6.6,5.4,8.0,2184.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2184
5684.0,2221.0,454.0,820.0,1137.0,311.0,4943.0,0.0,3.7,4.3,3.7,4.3,37.0,21014.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,21014
61.0,27.0,4.0,24.0,17.0,0.0,72.0,0.0,6.8,5.8,8.2,7.0,4.0,502.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,417
267.0,27.0,133.0,51.0,34.0,89.0,70.0,178.0,10.0,8.0,10.0,8.0,9.0,2683.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2683
218.0,78.0,16.0,56.0,77.0,0.0,227.0,0.0,25.4,24.4,30.6,29.4,4.0,6665.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,5532
919.0,458.0,236.0,56.0,58.0,76.0,884.0,0.0,5.2,5.4,6.3,6.6,6.0,5801.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,4815
66.0,27.0,12.0,6.0,14.0,0.0,28.0,31.0,3.7,4.2,4.5,5.0,2.0,296.0,1.0,0.0,0.0,1.029539,0.5337659,-1.3424942,0.5364985,0.17004083,-0.4503528,-0.11544853,246
54.0,36.0,0.0,16.0,0.0,0.0,0.0,52.0,12.7,13.2,15.3,15.9,1.0,827.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,686
245.0,88.0,105.0,27.0,79.0,0.0,299.0,0.0,1.9,1.6,3.6,2.9,13.0,870.0,1.0,0.0,0.0,2.2542574,8.026842,-4.849726,2.0813746,1.2522552,-1.5056796,-1.2071499,470
54.0,24.0,28.0,0.0,0.0,0.0,0.0,52.0,7.3,7.6,8.8,9.2,2.0,476.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,395
151.0,40.0,54.0,15.0,21.0,0.0,111.0,19.0,7.2,8.3,8.2,9.5,3.0,1241.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1080
