Transactions,Entities,PointsAdjust,Envergure,TeamExp_1,TeamExp_?,ManagerExp_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
306.0,132.0,438.0,37.0,0.0,0.0,0.0,0.0,-563.638,-674.4322,133.47028,-478.97708,560.34045,5775
304.0,78.0,382.0,39.0,0.0,0.0,0.0,0.0,-1025.7029,-1238.1133,256.33344,-880.6118,1035.246,10577
89.0,200.0,289.0,33.0,1.0,0.0,0.0,0.0,-390.07147,-466.40936,96.999756,-331.69186,391.81628,3983
86.0,230.0,316.0,33.0,0.0,0.0,0.0,0.0,-312.16562,-370.86774,76.23471,-263.63538,311.5554,3164
71.0,235.0,306.0,37.0,0.0,0.0,0.0,0.0,-348.66315,-415.47635,86.38466,-295.48096,349.5069,3542
148.0,324.0,472.0,39.0,0.0,0.0,0.0,0.0,-424.71332,-503.90875,101.781456,-358.2576,422.07806,4277
116.0,170.0,286.0,27.0,0.0,0.0,0.0,0.0,-705.3099,-850.2477,179.61911,-605.06976,714.5054,7252
175.0,277.0,452.0,37.0,0.0,0.0,0.0,0.0,-391.31955,-463.90143,92.331154,-329.601,387.42365,3948
79.0,128.0,207.0,27.0,0.0,0.0,0.0,0.0,-381.4661,-458.09586,96.27199,-325.7414,384.9702,3927
145.0,38.0,183.0,27.0,1.0,0.0,0.0,1.0,-66.918205,-75.951164,9.790605,-53.296806,60.046165,710
174.0,78.0,252.0,41.0,0.0,0.0,0.0,1.0,-235.92792,-280.02362,53.544746,-198.41809,231.5826,2429
194.0,91.0,285.0,35.0,1.0,0.0,0.0,0.0,-621.29364,-748.2089,154.46661,-531.9899,625.72345,6405
126.0,49.0,175.0,38.0,0.0,0.0,1.0,1.0,-61.218006,-69.136246,8.684508,-48.61634,54.635033,651
137.0,119.0,256.0,34.0,1.0,0.0,0.0,0.0,-887.7071,-1072.8145,225.41902,-764.2512,899.9403,9135
289.0,88.0,377.0,28.0,0.0,0.0,0.0,1.0,-140.81075,-160.43523,21.18324,-113.04987,127.08542,1435
260.0,144.0,404.0,24.0,0.0,1.0,0.0,0.0,-577.5868,-692.24396,139.56456,-491.8688,577.0428,5922
158.0,59.0,217.0,18.0,1.0,0.0,0.0,1.0,-81.08361,-92.351875,12.926312,-64.869644,73.7775,847
302.0,145.0,447.0,52.0,0.0,0.0,0.0,0.0,-784.3243,-942.5787,191.40631,-670.06177,786.2035,8050
451.0,48.0,499.0,28.0,1.0,0.0,0.0,0.0,-450.4626,-535.67,98.089645,-379.43295,438.9598,4620
661.0,132.0,793.0,23.0,0.0,0.0,0.0,1.0,-234.74873,-263.11377,24.339682,-185.67891,201.634,2352
64.0,54.0,118.0,25.0,1.0,0.0,0.0,0.0,-208.3982,-249.75589,52.176212,-177.2825,209.60884,2174
284.0,230.0,514.0,50.0,0.0,1.0,0.0,0.0,-1942.2821,-2349.0752,488.91342,-1675.8461,1967.1177,19894
182.0,126.0,308.0,35.0,0.0,0.0,0.0,0.0,-650.9032,-783.5887,162.4714,-557.25934,656.06946,6699
173.0,332.0,505.0,19.0,0.0,0.0,0.0,0.0,-1463.9835,-1767.7131,372.9818,-1259.849,1485.0431,14987
252.0,7.0,259.0,28.0,0.0,0.0,1.0,0.0,-386.09717,-462.93845,90.837944,-328.39377,383.4167,4004
131.0,180.0,311.0,51.0,0.0,0.0,0.0,0.0,-1250.6118,-1512.4913,317.1882,-1078.9539,1268.561,12824
106.0,39.0,145.0,6.0,0.0,0.0,0.0,0.0,-223.57187,-267.87982,54.936127,-190.00682,223.89679,2331
96.0,108.0,204.0,29.0,0.0,0.0,0.0,0.0,-563.6759,-679.9551,143.78607,-483.75937,571.28827,5817
116.0,72.0,188.0,18.0,0.0,0.0,0.0,0.0,-288.85324,-346.11652,70.97284,-245.7495,289.42816,2989
86.0,49.0,135.0,32.0,0.0,0.0,0.0,0.0,-301.79645,-363.02072,75.64244,-257.91687,304.1905,3136
221.0,121.0,342.0,35.0,0.0,0.0,0.0,0.0,-1406.4806,-1701.6809,353.94885,-1213.9048,1424.5063,14434
61.0,96.0,157.0,18.0,1.0,0.0,0.0,0.0,-249.68616,-299.0411,62.925087,-212.44496,251.52713,2583
132.0,89.0,221.0,5.0,1.0,0.0,0.0,0.0,-353.4249,-424.00412,87.46174,-301.17157,354.89407,3647
45.0,387.0,432.0,16.0,0.0,0.0,0.0,0.0,-808.12994,-971.40497,207.86757,-691.8193,819.8158,8232
55.0,112.0,167.0,12.0,1.0,0.0,0.0,0.0,-317.38968,-381.2123,81.055084,-271.01443,321.10184,3276
124.0,52.0,176.0,14.0,1.0,0.0,0.0,0.0,-262.3292,-314.21274,63.928608,-222.94601,262.2845,2723
120.0,126.0,246.0,15.0,0.0,0.0,0.0,0.0,-337.87775,-404.29025,83.2048,-287.19507,338.61432,3472
47.0,32.0,79.0,14.0,1.0,0.0,1.0,0.0,-149.34901,-178.98694,37.883736,-126.8984,150.53464,1575
126.0,107.0,233.0,23.0,1.0,0.0,0.0,0.0,-284.47433,-339.5737,68.77509,-241.05634,283.661,2926
101.0,45.0,146.0,15.0,0.0,0.0,1.0,0.0,-179.82805,-214.50986,43.240257,-151.99776,178.89667,1876
78.0,99.0,177.0,14.0,1.0,0.0,0.0,0.0,-243.9974,-291.699,60.69788,-207.14745,244.9111,2520
69.0,74.0,143.0,14.0,0.0,0.0,0.0,0.0,-154.09888,-183.17812,37.68756,-129.83278,153.63678,1603
194.0,97.0,291.0,35.0,1.0,0.0,0.0,0.0,-352.90897,-421.47723,83.439445,-299.14542,350.3569,3626
224.0,110.0,334.0,28.0,0.0,0.0,0.0,0.0,-658.89465,-792.85254,163.01901,-563.6631,662.6848,6783
323.0,184.0,507.0,35.0,0.0,0.0,0.0,0.0,-1106.2789,-1333.0302,275.54797,-948.22516,1115.112,11361
42.0,31.0,73.0,27.0,1.0,0.0,0.0,0.0,-119.681946,-142.91959,29.90003,-101.219955,120.01359,1267
74.0,43.0,117.0,25.0,1.0,0.0,1.0,0.0,-244.3995,-293.6479,61.28798,-208.50996,246.18846,2548
101.0,57.0,158.0,9.0,0.0,0.0,0.0,0.0,-110.4875,-129.87956,24.973772,-91.67949,107.75295,1155
97.0,42.0,139.0,6.0,0.0,0.0,0.0,1.0,-50.578526,-57.57465,8.636844,-40.213654,46.46449,546
134.0,77.0,211.0,13.0,0.0,0.0,0.0,0.0,-220.39433,-262.3276,52.094627,-185.95195,218.36157,2275
482.0,227.0,709.0,26.0,0.0,0.0,0.0,0.0,-891.89996,-1067.5118,211.24043,-758.403,886.96356,9100
213.0,73.0,286.0,6.0,0.0,0.0,1.0,1.0,-56.76565,-63.25025,3.0737638,-45.68015,45.711315,595
139.0,143.0,282.0,22.0,0.0,0.0,0.0,0.0,-384.4395,-460.02618,94.17626,-326.86502,384.9074,3941
473.0,182.0,655.0,40.0,0.0,0.0,0.0,0.0,-1350.2382,-1626.5028,332.91086,-1156.7384,1357.8625,13860
229.0,169.0,398.0,39.0,0.0,0.0,0.0,1.0,-140.1798,-158.92252,22.304802,-112.29654,127.561005,1400
227.0,73.0,300.0,34.0,0.0,0.0,0.0,0.0,-272.5739,-323.62115,60.98741,-229.28946,266.8363,2800
395.0,193.0,588.0,40.0,0.0,0.0,0.0,0.0,-929.76697,-1116.3208,225.29839,-793.5441,930.2934,9520
469.0,176.0,645.0,43.0,0.0,0.0,0.0,1.0,-578.2995,-687.3739,129.06622,-487.55264,566.4554,5880
886.0,241.0,1127.0,34.0,0.0,0.0,0.0,0.0,-2333.4722,-2812.125,573.039,-1999.9691,2345.1392,23940
