data,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,actual
1.08,42.0,36.946995,-19.08149,22.05654,18.622112,52.638546,36.080044,10.335299,-29.362732,-31.535946,4.322773,9.836202,-31.470793,605.0
1.08,23.0,13.684254,-7.0552077,8.105515,7.0013847,19.362753,13.295671,4.0548186,-10.74326,-11.748964,1.7020451,3.8472793,-11.53979,230.0
0.94,13.0,4.631714,-2.529919,2.6377423,2.3279557,6.4051304,4.5874553,1.4365969,-3.7028131,-4.05225,0.7537942,1.2874748,-3.9531288,82.0
1.05,15.0,3.4002924,-2.0399938,2.1590247,1.1148078,4.561837,3.6363134,0.62278193,-2.9455018,-2.7439766,0.4448706,0.6398602,-2.992434,55.0
0.94,60.0,7.8774137,-6.2595363,7.1059237,-2.6811895,10.361749,10.884676,-3.2835066,-9.625185,-4.453615,-0.9575828,-2.0076375,-9.453803,47.0
1.0,15.0,2.5089943,-1.949725,2.1457953,-0.98004913,3.0493858,3.1520123,-1.1699622,-3.036447,-1.2891631,-0.27153808,-0.8168072,-2.929293,12.0
1.0,6.2,1.5277718,-1.1106129,1.2542477,-0.55733097,1.7654463,1.7743039,-0.66674834,-1.8066214,-0.7237915,-0.12847613,-0.48860198,-1.6829165,8.0
0.94,3.0,1.2321763,-0.8122131,0.9858829,-0.3906853,1.3761865,1.3228828,-0.51025313,-1.3954037,-0.5733581,-0.06799254,-0.35987356,-1.2693594,8.0
0.94,5.3,1.4037659,-1.0419542,1.162219,-0.5777055,1.596688,1.6372687,-0.6828229,-1.6890986,-0.62138706,-0.14533332,-0.5036488,-1.5780127,6.0
1.04,45.5,5.979925,-4.598741,5.273971,-1.5106262,8.02345,8.161295,-2.077741,-7.101637,-3.6838155,-0.4903929,-1.1418628,-6.950595,45.0
1.04,28.6,5.2478275,-3.2952538,3.478206,1.6530755,7.1821656,5.8707404,0.95687664,-4.5458837,-4.2430024,0.6693172,1.0143542,-4.7071857,83.0
1.04,30.6,5.5121126,-3.470413,3.6655188,1.7260926,7.553339,6.189579,0.9958819,-4.7752905,-4.4518933,0.7016704,1.0603583,-4.9501514,87.0
1.04,35.0,6.5357966,-4.0556107,4.2365093,2.3386981,9.031962,7.2202435,1.4218935,-5.534443,-5.4014497,0.8992572,1.4130721,-5.8156424,106.0
1.04,73.0,9.549035,-6.711011,7.490097,1.4337873,13.492123,12.271896,0.33241946,-9.340722,-7.2735643,0.57436264,0.8556449,-9.451853,126.0
0.94,23.0,3.3837798,-2.3512788,2.6811495,-0.15318438,4.433619,4.209029,-0.5139394,-3.5810995,-2.294081,0.05648295,-0.19376805,-3.495356,36.0
0.94,464.0,78.93988,-50.637306,54.42138,29.193901,113.80423,90.75387,16.36784,-66.61984,-64.8197,8.9873295,16.014164,-72.759254,1272.0
1.0,91.0,11.73714,-8.291041,9.233484,1.8773577,16.69843,15.202955,0.5112607,-11.458182,-8.9978,0.7161772,1.1407297,-11.644451,156.0
1.0,24.0,10.314335,-5.4403834,6.1259146,5.305371,14.630508,10.201976,3.1483862,-8.161102,-8.9335165,1.3777865,2.952073,-8.794726,176.0
1.0,10.0,7.127979,-3.6443903,4.1346836,3.6889367,9.975124,6.85151,2.205757,-5.5589614,-6.124622,0.9640652,2.080251,-5.9164815,122.0
0.94,8.2,2.5274854,-1.429583,1.5384386,0.8115363,3.2786758,2.548489,0.42033094,-2.1810007,-1.9890618,0.33506966,0.42216325,-2.1693442,41.0
0.94,5.3,1.5079379,-0.9537285,1.1629142,-0.26319116,1.7640507,1.6281295,-0.41452628,-1.6228251,-0.8384664,-0.011758808,-0.28251237,-1.4640591,14.0
0.94,4.4,1.4739212,-0.8483092,1.0359424,0.078435786,1.7714696,1.4907995,-0.13477506,-1.4152957,-0.9502781,0.0875227,-0.032895327,-1.2985172,20.0
0.94,6.3,1.5769027,-0.97226244,1.1825888,-0.054454908,1.8890713,1.7141467,-0.28198013,-1.586353,-0.975447,0.030354975,-0.13175878,-1.4807293,18.0
0.94,27.0,60.4881,-31.815346,36.373096,29.870983,86.52921,60.202366,15.772907,-48.791386,-51.656715,6.9828367,14.942195,-52.30441,958.0
0.94,17.0,14.223144,-7.213668,8.369456,7.21328,20.03401,13.6061735,4.167367,-11.125404,-12.098257,1.7435709,3.9355261,-11.8597145,237.0
0.94,25.0,7.502016,-4.2077537,4.4593496,3.672416,10.5423565,7.5764656,2.2682133,-5.986421,-6.4784827,1.1002764,2.0410862,-6.4680624,130.0
0.94,23.0,4.404261,-2.7436304,2.9053783,1.3393061,5.9814053,4.878419,0.7606814,-3.8405156,-3.5431266,0.55305356,0.81958663,-3.9416118,70.0
0.94,6.7,3.2034395,-1.6826711,1.7562411,1.5643629,4.3102803,3.0410187,0.983164,-2.572854,-2.7653418,0.5444971,0.86419064,-2.644211,57.0
0.94,28.0,4.014166,-2.7672982,3.12044,0.2803929,5.4187756,4.9767184,-0.15627527,-4.0191073,-2.9121237,0.18833143,0.13147989,-3.9798112,50.0
0.94,9.1,2.4218426,-1.4205002,1.5487615,0.6366832,3.1342082,2.5224428,0.2865749,-2.1515586,-1.8482163,0.29574612,0.32764047,-2.1206598,38.0
0.94,10.0,1.9477477,-1.334726,1.5630802,-0.46083263,2.3354318,2.289929,-0.63400865,-2.1890802,-1.1047444,-0.082755,-0.41587186,-2.0544093,15.0
