nlan,t11,t13,t15,MI_size_D_duration_D,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_app,effort_D
0.55197126,0.3448729,0.8526998,0.70532644,0.15852754,0.3091702,0.20600992,0.2174063,-0.015733756,0.12565549
0.47535694,0.25356197,0.9438699,0.7518972,0.08794479,0.39361703,0.17973296,0.19084516,-0.0059001893,0.098608956
0.5706952,0.31134522,0.68222785,0.6890308,0.0705985,0.101069085,0.03676838,0.07666372,-0.105223335,0.07675946
0.8848219,0.69805604,1.1542695,0.8472079,0.40735272,0.69570506,0.49128345,0.61203694,0.31754112,0.22828767
0.48509943,0.26368514,0.70118356,0.6496119,0.057255298,0.1535305,0.067742474,0.090411246,-0.08231287,0.071171016
0.5775889,0.3177703,0.67911386,0.6856729,0.07884047,0.10656252,0.036230262,0.0805852,-0.099093035,0.07968479
0.86461264,0.6135966,1.1419146,0.8378027,0.36459118,0.6481511,0.47328916,0.5207603,0.259736,0.25725594
0.41491845,0.23507614,0.8058183,0.6630037,0.05709555,0.28755528,0.14126202,0.15706238,-0.016030438,0.07856242
0.92279404,0.71030885,1.3362498,0.89555365,0.43463638,0.74806905,0.548394,0.61029047,0.25376052,0.27849442
0.70883954,0.3386178,0.97711974,0.80279285,0.14410798,0.32413873,0.17237812,0.2069377,-0.003245879,0.13990381
0.7315478,0.4258269,0.7716819,0.7421563,0.17495658,0.23754807,0.11873466,0.20344731,-0.051366813,0.09250523
0.96943575,0.70061535,1.048924,0.8624034,0.36604738,0.5782035,0.38794947,0.51542795,0.23476242,0.22463447
0.5147448,0.21465197,0.72462505,0.7002895,0.019659026,0.11477415,0.026079789,0.054677933,-0.12814243,0.06257739
1.0559852,0.7601316,1.2684412,0.96615946,0.42523348,0.7400175,0.5054714,0.6257442,0.22774993,0.24738556
0.74068004,0.45216185,0.91762,0.7954574,0.17780454,0.275565,0.1917259,0.25684616,-0.1105459,0.15024911
0.62017375,0.35137153,0.73178303,0.702442,0.106006086,0.15642269,0.0827243,0.13373835,-0.10149394,0.094310954
0.5794476,0.329907,0.66590655,0.67991686,0.07692989,0.11790214,0.04877214,0.09284641,-0.08392501,0.078873284
0.5701284,0.3109454,0.67846906,0.68374515,0.07388976,0.10305581,0.03248946,0.07472183,-0.10188321,0.07632173
0.6889862,0.43093908,0.78272855,0.71495205,0.19668297,0.2838557,0.19441693,0.25746003,0.032223377,0.13566245
0.8321388,0.51968795,1.1018689,0.8314561,0.29395145,0.5681642,0.41325265,0.43077186,0.16088848,0.22197261
0.68270475,0.41011453,0.78794664,0.7036932,0.18176745,0.2604315,0.1617352,0.22600664,-0.019583944,0.11225164
0.6575426,0.43588215,1.4710343,1.0743934,0.13319208,0.7801435,0.372782,0.4117333,0.114443466,0.23930094
1.6589264,1.395261,2.1510737,1.4370223,0.85994697,1.5192744,1.1132551,1.2840617,0.81502604,0.54433256
0.5762203,0.36857867,1.0941867,0.84042615,0.13151142,0.50676864,0.29825515,0.29156724,0.027165756,0.13804005
1.0345365,0.7988647,1.3560126,0.9283625,0.48848212,0.84605795,0.63740885,0.7050416,0.36115652,0.30104464
0.6315394,0.35869813,0.6914037,0.69837826,0.10776467,0.14788294,0.06685191,0.119140565,-0.08329143,0.08956979
0.6420005,0.36502272,0.75132173,0.71736676,0.11263874,0.17400575,0.113742694,0.13920361,-0.103411876,0.09756853
0.6218777,0.35973275,0.70204043,0.6899068,0.11944586,0.17185265,0.09252186,0.14529824,-0.059792362,0.09393592
0.53025496,0.2885169,0.7140524,0.66661996,0.08032255,0.17460561,0.08821845,0.10948822,-0.07875821,0.06472404
0.6394406,0.36541688,0.73557156,0.7015142,0.12537795,0.21145582,0.12284449,0.16119689,-0.04650905,0.09453596
0.6284343,0.3563143,0.6949502,0.7001671,0.11202212,0.16067971,0.06874204,0.13112333,-0.07033715,0.082166776
0.7571006,0.47907847,0.92183137,0.7523101,0.25055984,0.41982728,0.314401,0.3730019,0.12209381,0.1714313
1.7706741,1.4875616,2.4126878,1.5087488,0.9441276,1.7192028,1.2582662,1.3900231,0.8341196,0.5933889
0.58819854,0.32410282,0.68175185,0.6890503,0.08596013,0.111843206,0.040064894,0.08759339,-0.09563801,0.08247493
0.51852685,0.3044724,0.70573306,0.6374115,0.078789465,0.21850166,0.12426148,0.14557813,-0.029114498,0.072338276
0.46560818,0.2780719,0.86528146,0.68782777,0.08972629,0.33749983,0.18200852,0.19602156,-0.008500658,0.10016854
0.6441443,0.41392213,0.8159637,0.72194827,0.16998172,0.28541434,0.20195241,0.23130308,-0.03723014,0.11780208
0.8009931,0.5037174,0.87678254,0.80080587,0.21835342,0.31908217,0.20876306,0.30139336,-0.026913276,0.15026636
0.6901362,0.41582268,0.70158035,0.724801,0.14987467,0.20384167,0.09940131,0.18390426,-0.031440586,0.1045357
0.3873695,0.19311827,0.7091307,0.62703943,0.008662617,0.14308302,0.051905,0.05522716,-0.07755735,0.063803956
1.053757,0.8689664,1.426305,0.97688925,0.49716917,0.9362631,0.68049175,0.77200526,0.41907609,0.29678792
0.5447714,0.28348303,0.70131135,0.6661649,0.06487764,0.13171063,0.053239882,0.08939311,-0.091296986,0.06471705
0.57222635,0.34517145,0.75411224,0.69152904,0.10402079,0.15186006,0.08742075,0.12939109,-0.097729966,0.1098896
0.5808439,0.31236356,0.7006811,0.68209916,0.082495324,0.124385096,0.052119993,0.092640325,-0.09672779,0.08032925
0.8659029,0.57631284,1.1548634,0.8187315,0.32239014,0.5808628,0.40544727,0.46117738,0.10054657,0.19994742
0.427636,0.25801545,0.8032996,0.6489366,0.069778554,0.31353587,0.15872504,0.17527258,0.014268152,0.08027547
0.58650786,0.3271138,0.6808419,0.68643963,0.08892179,0.11539141,0.038915258,0.089002326,-0.095757075,0.08254224
0.5033146,0.26655096,1.0693028,0.85077745,0.08434636,0.38752562,0.19840363,0.16730183,0.005509369,0.14018984
0.56726766,0.29765874,0.7234714,0.71064603,0.07499657,0.10006422,0.028697003,0.07391532,-0.12776135,0.1074359
0.67295295,0.39422548,0.80156094,0.7339574,0.13805346,0.20946828,0.1336805,0.1961238,-0.09443723,0.116516426
0.63781685,0.36153388,0.7494444,0.68639654,0.14062871,0.20259063,0.10756165,0.164999,-0.056571282,0.09117596
1.1866163,0.9180618,1.4558449,1.0408785,0.54554343,0.9483115,0.6998701,0.8015246,0.4131394,0.33122492
0.9399995,0.6934726,1.1142902,0.867086,0.4152769,0.64661634,0.4835079,0.57820094,0.2876829,0.26343066
0.5157981,0.25523543,0.68901676,0.67925507,0.03372923,0.07217898,-0.0013650153,0.033107564,-0.12849297,0.06531867
0.47948164,0.3015148,0.97956693,0.7547062,0.08264088,0.4353544,0.20642479,0.2221381,0.04193882,0.122907
0.91219634,0.668524,1.0008782,0.8619632,0.35498062,0.53571343,0.3519006,0.48168743,0.19744717,0.19875069
0.95954573,0.6394123,1.203296,0.95374924,0.39328822,0.5279904,0.3861864,0.49453714,0.060160644,0.30867553
0.9223559,0.673235,1.2333412,0.88846093,0.40987322,0.7335951,0.5364885,0.58638144,0.31180978,0.28203386
0.5272034,0.35552198,0.9916916,0.76045996,0.10740158,0.4867435,0.25531372,0.29984573,0.08796157,0.1459741
0.6996216,0.4247046,0.77483034,0.7358162,0.14415407,0.20433283,0.14360389,0.19149092,-0.09556322,0.115051284
0.44498688,0.26956984,0.8230728,0.66505635,0.07083288,0.3267858,0.17754361,0.19082367,0.008726329,0.076161265
0.47211722,0.2523902,0.8960442,0.7493687,0.085929126,0.33218262,0.15707992,0.15905002,-0.027973115,0.10369143
1.3550774,1.1195463,1.7104697,1.183896,0.6667038,1.1791309,0.861916,0.99127805,0.6181515,0.43670627
0.7411887,0.3969133,1.0273039,0.8583488,0.1748981,0.40387166,0.24889094,0.2510916,0.027329786,0.15733728
1.1036315,0.88297707,1.4076145,0.99742264,0.53937817,0.90580976,0.6756014,0.7681076,0.45505285,0.35587808
0.70825475,0.42147905,0.8881865,0.7515143,0.20026535,0.28793636,0.18497685,0.25567925,-0.042544633,0.15723446
0.6051388,0.34935176,0.672098,0.68000734,0.09949202,0.13322657,0.0603465,0.11225514,-0.074633926,0.08484345
0.77683145,0.51458865,0.90303594,0.73496896,0.27079597,0.41832367,0.28052473,0.367629,0.09539541,0.14243513
0.56624854,0.3004564,0.7188593,0.6715474,0.07944328,0.1530961,0.06828995,0.099301904,-0.08295829,0.07332286
0.6192732,0.35147667,0.6710414,0.70228636,0.08545921,0.14420474,0.05926068,0.11505023,-0.07432698,0.07865815
0.521836,0.3604697,0.6882668,0.6105266,0.10787089,0.27847156,0.16622262,0.18863942,0.024653694,0.10685302
0.75345653,0.48875535,0.9739918,0.75706255,0.2632489,0.46501106,0.33989805,0.37926653,0.08951232,0.17773904
0.9720299,0.69751024,1.1556551,0.91149795,0.4142223,0.6773292,0.49451968,0.5960391,0.29971534,0.27387685
0.7703231,0.49540854,0.92298687,0.7603066,0.24673492,0.3722192,0.24935968,0.32041967,0.0007059433,0.16616106
0.6110954,0.34272718,0.69586533,0.6896732,0.10439045,0.14974494,0.06986906,0.120324254,-0.07754886,0.08346989
0.52338845,0.2344397,1.0176964,0.85696894,0.076700255,0.3268515,0.15761247,0.11432041,-0.040099878,0.12002985
0.47717854,0.26472974,1.000456,0.77750856,0.08132642,0.42875993,0.19964312,0.2172442,0.016816728,0.10714018
0.51341003,0.30436844,0.7383276,0.64766186,0.08486768,0.22909342,0.1292548,0.14877787,-0.041611556,0.07834287
0.6088136,0.31689602,0.7320919,0.7270372,0.08599832,0.13633248,0.05163134,0.084935956,-0.104250655,0.08571302
0.7703991,0.5002801,0.8873157,0.7337786,0.26059878,0.39340737,0.2586995,0.34311116,0.0735181,0.13471445
0.44431508,0.23511839,0.77706265,0.6657653,0.07693183,0.22613299,0.12755272,0.123063356,-0.042737536,0.09802629
0.75924754,0.4810179,0.7463366,0.7703867,0.17632511,0.26314053,0.13513094,0.23562606,0.021764403,0.109526694
0.83868146,0.43285906,1.3054726,0.9596431,0.24396159,0.55271596,0.3326028,0.35085225,0.11845147,0.23241112
0.8421032,0.53516215,1.0799735,0.8687775,0.2419884,0.36134955,0.25444752,0.34271243,-0.09601096,0.19521362
0.6894593,0.41393578,0.79051477,0.6963081,0.18441753,0.26792696,0.16603798,0.2262432,-0.011519939,0.10692635
0.5607923,0.31181192,0.6672119,0.6738364,0.09049997,0.099739164,0.03595861,0.08256298,-0.097365916,0.09468773
0.60396737,0.32073265,0.7738439,0.7285945,0.1161149,0.19493587,0.11180107,0.13001025,-0.107861005,0.10714558
0.6268894,0.35731024,0.7302187,0.7007134,0.124994114,0.18738604,0.10334575,0.1552581,-0.058198072,0.093124524
0.8883388,0.6090608,1.029006,0.85741127,0.32089826,0.4973436,0.33597577,0.4343798,0.077243865,0.17540829
0.47713745,0.30045426,0.9021456,0.7222423,0.078799225,0.4193243,0.20579961,0.23514925,0.04939809,0.086290404
0.597014,0.32959545,0.68778086,0.6890654,0.09280321,0.12179367,0.049373865,0.096504346,-0.09490297,0.083984435
0.42934123,0.2430306,0.79767054,0.67169493,0.064697064,0.2782179,0.13477075,0.14114155,-0.02314984,0.08890094
0.52074283,0.30727178,1.1059821,0.8154249,0.109163165,0.51582843,0.27540165,0.29764876,0.056186445,0.13004889
0.6208632,0.3444327,0.6964952,0.7005054,0.09755337,0.14217032,0.050493076,0.10936333,-0.08441323,0.079052605
0.5436706,0.25650918,0.74003893,0.6926614,0.047834445,0.10739609,0.030819988,0.05538016,-0.1234401,0.07605085
0.6358215,0.3936475,0.73108435,0.69200027,0.1304542,0.22584537,0.12782867,0.17544456,-0.038398217,0.10451801
0.5540025,0.29657096,0.74557674,0.70207196,0.10191362,0.09873688,0.03094203,0.093303055,-0.11863205,0.122329056
0.49826038,0.30576694,0.6877814,0.62357074,0.07512436,0.22688018,0.13159414,0.15176313,-0.009075493,0.06913534
0.43588427,0.239058,0.8113087,0.7102776,0.06346735,0.27189326,0.1362913,0.12626539,-0.037855797,0.09016824
0.52570915,0.28538737,0.73017496,0.65910375,0.1182885,0.21613346,0.117303506,0.13336797,-0.0372345,0.09478174
1.3295082,1.0683666,1.6295233,1.1923007,0.6326362,1.0874262,0.7880122,0.9374209,0.5354509,0.38125783
0.63842386,0.3932535,1.5143874,1.1003536,0.12883262,0.7974749,0.3535038,0.41459912,0.08880356,0.23089364
0.5040398,0.3034463,0.71166676,0.62992704,0.07962694,0.22928129,0.121081725,0.15015651,-0.0197684,0.0707743
0.4278798,0.2628874,0.7890079,0.6438295,0.06893808,0.3008383,0.15498874,0.1765422,0.011136852,0.07972003
0.73315614,0.43022472,0.9134397,0.80911255,0.17332709,0.25235075,0.1933154,0.2353854,-0.12254104,0.15649348
0.50186974,0.286175,0.7080246,0.660173,0.09008148,0.20437635,0.09913774,0.12415308,-0.053077836,0.076493904
0.5544224,0.29609758,0.679254,0.67744374,0.06402031,0.09967637,0.028097298,0.065241046,-0.1051888,0.067988075
0.6151665,0.3489865,0.731884,0.7052922,0.10888484,0.15033008,0.087448,0.12995611,-0.1045498,0.10471156
0.4060176,0.22486219,0.71339506,0.62850296,0.04232714,0.20518337,0.103564635,0.102385566,-0.038343363,0.06513664
0.5926823,0.32596052,0.6952883,0.70062834,0.086784825,0.11571281,0.041756976,0.09118624,-0.101031005,0.0916184
0.43422207,0.25633416,0.65569043,0.6504613,0.018498579,0.103368975,0.030837877,0.050286565,-0.095068574,0.081661806
1.2642878,1.0495244,1.6924348,1.1148503,0.6486996,1.1508539,0.8552818,0.96665233,0.54307127,0.40829408
0.77051103,0.57179964,0.9881833,0.7676092,0.3280024,0.52917325,0.39117822,0.46608385,0.20485997,0.19375469
0.5837052,0.32148695,0.6799784,0.6874346,0.0828933,0.109890155,0.038595777,0.08474338,-0.09685322,0.08082278
0.48716164,0.28557613,1.0803121,0.8276313,0.08289313,0.5096571,0.2237992,0.24826656,0.040323965,0.126284
0.9268565,0.69509923,1.1080699,0.85307854,0.41358337,0.63400865,0.48034263,0.5639833,0.27299333,0.26404768
0.5809986,0.35518146,0.8742161,0.71110517,0.14211023,0.27358276,0.17694551,0.18532339,-0.043581273,0.12174457
0.7911292,0.48366654,0.9552796,0.81942385,0.26891318,0.42584568,0.28012383,0.33910444,0.10291496,0.19153808
0.7099825,0.41680312,0.8851213,0.7343951,0.20351781,0.35802773,0.2449945,0.29114473,0.0552291,0.13459548
0.69914407,0.42822284,0.8589196,0.75799525,0.17762269,0.2638809,0.17591538,0.23783834,-0.08142622,0.1419342
0.4981022,0.2561192,0.94747996,0.77478904,0.0840787,0.36663324,0.18153796,0.16678266,-0.018492468,0.11492701
1.0542566,0.7703408,1.4026055,0.96781117,0.46215346,0.81312644,0.5911133,0.68186784,0.22412086,0.29094622
0.42415988,0.21732572,0.9831259,0.7683263,0.04948693,0.36181685,0.16167033,0.16581337,-0.03421072,0.099241614
0.427392,0.2362759,0.6779819,0.62738484,0.032488197,0.14386998,0.058400117,0.07255532,-0.07232814,0.063143164
0.57296085,0.31719786,0.67180514,0.6792713,0.08622133,0.11205495,0.04260332,0.08530161,-0.092722744,0.08873683
0.6304287,0.35884315,0.74240947,0.7077487,0.11349361,0.17121069,0.09649761,0.14972317,-0.09598946,0.09628487
0.5820856,0.32055092,0.6795577,0.6869627,0.08165444,0.10901395,0.03799562,0.0836623,-0.09742409,0.0804085
1.464352,1.1829561,1.8682752,1.252894,0.7174199,1.2893642,0.9451833,1.0811312,0.602081,0.4376079
0.56652284,0.29770708,0.80301076,0.73486847,0.10096208,0.21293531,0.11828731,0.1152444,-0.064716294,0.11061747
1.3345988,1.0612692,1.7807477,1.1729255,0.617046,1.1801745,0.8633908,0.96628535,0.45406246,0.39379868
0.4571342,0.2626012,0.6767193,0.6337842,0.051954858,0.17056267,0.08635682,0.10633917,-0.06362898,0.06650868
0.7982278,0.5066544,0.92745,0.80681306,0.23258086,0.3539945,0.23936823,0.32246113,-0.0325111,0.15632632
1.7619371,1.4219749,2.4141846,1.480169,0.9155503,1.6940565,1.2633722,1.3962818,0.77075404,0.58629876
0.5550459,0.31425238,0.68326885,0.66107404,0.07953565,0.14080724,0.06089356,0.0978097,-0.075225025,0.0804593
0.6249173,0.35167456,0.7108805,0.6950711,0.10761054,0.17253336,0.07565073,0.13114,-0.062921345,0.08763881
1.5895103,1.3502594,2.1887376,1.3836135,0.83620226,1.5625888,1.1366571,1.2662861,0.7731003,0.5593559
0.85060096,0.5838573,0.99451447,0.7895115,0.32071215,0.51251477,0.37405547,0.44790596,0.16226853,0.19407257
0.5956704,0.36119205,0.79463935,0.6923789,0.13247058,0.24619445,0.16134185,0.18899493,-0.054784477,0.098748
1.0791885,0.86141247,1.4641604,0.97255856,0.5168888,0.95634097,0.7068594,0.7874165,0.4212085,0.32135648
0.45362702,0.23796774,0.7557048,0.65494347,0.064623915,0.21848913,0.10591529,0.12216394,-0.050774872,0.0791859
0.5568634,0.3059082,0.67744684,0.6816409,0.06980092,0.10181631,0.034409486,0.074068084,-0.10192697,0.080903016
1.1131204,0.82236964,1.3113847,1.0185657,0.46078014,0.80581164,0.57876295,0.71524364,0.3383845,0.3051437
0.59123635,0.31649393,0.70690703,0.70923007,0.0777135,0.14767295,0.06447226,0.09308042,-0.09481103,0.08107868
0.4074248,0.23123457,0.6976786,0.641723,0.03013784,0.13459845,0.05017036,0.062055882,-0.08322276,0.07072684
0.5783997,0.35420966,1.2736611,0.9313773,0.11257699,0.6317664,0.28856122,0.32142925,0.06943426,0.18668106
0.73489577,0.48253983,0.8020083,0.72887886,0.22783226,0.33958152,0.21715358,0.31387848,0.07276426,0.12764424
0.45171288,0.24993898,0.7596679,0.64794886,0.07188831,0.23651709,0.12807578,0.1406202,-0.036750726,0.06814316
0.6822189,0.41423768,0.7795182,0.70821214,0.18813287,0.2733,0.16100983,0.23111595,-0.0024675922,0.113757566
0.4608671,0.2535171,0.7854107,0.6872099,0.07806339,0.24499914,0.12757728,0.12646125,-0.041545063,0.092259906
0.57886446,0.3196479,0.73313314,0.6941505,0.09702939,0.1586614,0.079155505,0.11023106,-0.08501428,0.092521444
0.642459,0.35175365,0.72919315,0.711575,0.10968825,0.17574474,0.06933726,0.1357678,-0.076213345,0.080669895
0.6879261,0.41474575,0.8538976,0.74387276,0.19412316,0.30424705,0.20205145,0.22434902,-0.031469967,0.15532556
0.6083647,0.35223657,0.7160569,0.6793314,0.10934962,0.17310351,0.09726277,0.13952947,-0.058011636,0.09237273
0.65648115,0.388458,0.73897725,0.68617857,0.15047511,0.20975088,0.12530012,0.18139267,-0.042979524,0.10253154
0.5838417,0.32250738,0.68143034,0.6831622,0.08438159,0.11669437,0.045053914,0.08969827,-0.09383929,0.0806358
0.50439304,0.29734713,1.1395977,0.8488194,0.0843751,0.54476184,0.24752305,0.2792234,0.057569697,0.14688852
0.5936285,0.3468784,0.72747463,0.6955131,0.07892461,0.143841,0.07059372,0.10887447,-0.09870308,0.093619764
0.8718453,0.64355683,1.0663681,0.8387054,0.38765395,0.59843534,0.4409781,0.52183896,0.25350076,0.2448048
0.47541243,0.26884645,1.0665332,0.8345685,0.06937073,0.47340345,0.21061513,0.21789585,0.023927927,0.1219521
0.6240159,0.36619198,0.7744906,0.68166685,0.14892194,0.23291107,0.17059503,0.21841805,0.01611238,0.13846326
0.8677577,0.6281854,1.0788044,0.8032561,0.35938358,0.5885975,0.4212824,0.49549198,0.19716652,0.21489486
0.67144805,0.39955378,0.7186691,0.70866686,0.13898376,0.20518254,0.10580997,0.1697984,-0.041331515,0.09268619
0.5128931,0.28060162,0.74472004,0.653118,0.09078206,0.20317575,0.112894475,0.13821526,-0.03896228,0.084495835
0.4299734,0.24879,0.85532206,0.6841087,0.06622235,0.33572,0.16371815,0.18053965,0.007109754,0.086969994
0.39184943,0.18823262,0.74166954,0.6247947,0.03746334,0.17092972,0.08854577,0.10540782,-0.049905963,0.07320844
0.55484647,0.35704213,1.0493076,0.8112634,0.10689644,0.4737305,0.26940215,0.2777223,0.033532992,0.1312244
0.6561203,0.38431746,0.7120102,0.69913673,0.12586868,0.18811408,0.09633139,0.16340996,-0.044414014,0.08907561
0.66914463,0.408845,0.905197,0.72441024,0.19797519,0.39466926,0.2930993,0.32367104,0.08905232,0.1657871
0.6680909,0.3865437,0.80508053,0.72864634,0.14053242,0.20647612,0.126883,0.1889524,-0.09778212,0.11845678
1.6184636,1.3957058,2.150156,1.4007379,0.79218256,1.5391376,1.1064105,1.218938,0.72131395,0.51203024
0.66988766,0.39935082,0.77576745,0.7157555,0.14082105,0.2263011,0.14814392,0.20485386,-0.057588708,0.103499636
0.7879655,0.52891564,0.9004733,0.75803846,0.2536708,0.40770927,0.2819357,0.3570804,0.10449474,0.16424373
0.40943405,0.19587705,0.7398864,0.65299416,0.022693869,0.15339275,0.064012624,0.06005163,-0.08333849,0.069518246
0.872007,0.6441631,1.0281887,0.859036,0.37553075,0.5598727,0.39909416,0.47078627,0.21210548,0.27402586
0.60374975,0.33776528,0.7181926,0.6990377,0.09568096,0.13369857,0.06271687,0.109199375,-0.108289585,0.09233943
0.54126585,0.28950706,0.71627945,0.6739445,0.07145126,0.14381397,0.06598398,0.09157035,-0.09446801,0.07334117
0.5864479,0.3351084,0.7265161,0.69850695,0.10735515,0.16976054,0.08365536,0.11349231,-0.072214365,0.10130824
1.6254805,1.2397319,2.1553724,1.4052044,0.79698163,1.3943511,1.0214777,1.1630491,0.47709978,0.5190706
0.6809515,0.42100966,0.7543117,0.71081716,0.12492375,0.2176636,0.14456621,0.18738958,-0.05460128,0.11300811
0.5709863,0.310098,0.6865667,0.690248,0.0753799,0.09996326,0.030989543,0.074265376,-0.10681403,0.08657526
1.8684149,1.6020132,2.395695,1.5818168,0.9702807,1.7177207,1.2355396,1.4286362,0.9174049,0.62800854
0.5819854,0.31405222,0.75897646,0.69466305,0.113609284,0.1914812,0.09216161,0.12921038,-0.07023575,0.097131565
0.7207966,0.46336216,0.8778384,0.7543623,0.24039653,0.3782746,0.22708137,0.29962525,0.062227555,0.15299118
0.68358445,0.40252948,0.77630514,0.6971476,0.17211317,0.24084757,0.14092624,0.19972599,-0.03215043,0.10403049
0.4260598,0.20863263,0.7795022,0.6696289,0.043255482,0.17723715,0.0801146,0.08446916,-0.08355581,0.08910027
0.5705388,0.3101884,0.6804151,0.684227,0.073556334,0.104138136,0.033682056,0.07434529,-0.10205637,0.075921096
0.62355894,0.35301906,0.6959367,0.6948087,0.11305262,0.1535747,0.06919436,0.128028,-0.0827161,0.086390674
0.5274178,0.2965042,0.68344307,0.65653735,0.070450366,0.14573975,0.06307748,0.09771609,-0.074761644,0.076658376
1.5884246,1.3335496,2.1084754,1.3694491,0.8432225,1.4707456,1.0794914,1.2262955,0.7363691,0.5182629
0.5375431,0.27830946,0.7447141,0.71499157,0.058362108,0.15133335,0.068402536,0.06285712,-0.10177745,0.07428489
0.5774441,0.31617892,0.6797944,0.6854761,0.07922329,0.11067473,0.03966759,0.08188077,-0.098269716,0.07983649
0.6333475,0.3629197,0.71696323,0.6963963,0.12126757,0.17878473,0.0925588,0.15024585,-0.06343406,0.08893764
0.42026854,0.23671784,0.8496717,0.7111647,0.05546609,0.31258398,0.15002605,0.14561345,-0.013910063,0.09389474
0.9753976,0.77565485,1.247273,0.90114546,0.4613012,0.7790768,0.5506618,0.6596052,0.34811556,0.28276893
0.6239627,0.3438735,0.77028257,0.6998719,0.11814171,0.17936154,0.09605296,0.14382938,-0.09251203,0.09383239
0.6270298,0.35653532,0.7368327,0.71021944,0.10294728,0.1537866,0.0820478,0.13335109,-0.10647552,0.09626602
0.5692335,0.3079477,0.6843428,0.6791389,0.07446956,0.110557586,0.039477687,0.07893613,-0.09957135,0.074419394
1.0144219,0.70059884,1.1854465,0.95018345,0.39424556,0.61324227,0.41285974,0.55111766,0.12359146,0.22875947
0.71587074,0.4575889,0.8784355,0.7116831,0.23861493,0.3812952,0.26512098,0.32985935,0.08074395,0.1492809
0.9723146,0.6854974,1.182215,0.8614086,0.394509,0.6420394,0.45458803,0.5751647,0.19941755,0.22799128
0.5972388,0.3429609,0.7035064,0.69180274,0.11910426,0.16498141,0.09785788,0.13527201,-0.061233923,0.11735134
1.0985488,0.86071634,1.3843536,0.97096765,0.51154596,0.8733081,0.6502587,0.74189013,0.38985378,0.31833744
0.5598358,0.26485276,0.7319921,0.72215754,0.03852124,0.09730077,0.027002089,0.039002422,-0.12759683,0.072692245
1.308455,1.0151808,1.6382465,1.1350548,0.62116283,1.0840079,0.7943881,0.9147718,0.45199722,0.38404268
0.6623183,0.38616234,0.70641655,0.70125026,0.13771142,0.16939366,0.10390845,0.17506395,-0.060508065,0.114619434
1.0896313,0.86285716,1.414285,0.97634476,0.5322019,0.91396385,0.6846665,0.7636131,0.40607142,0.33039472
0.8136194,0.5412216,0.9147276,0.770848,0.28697604,0.4390969,0.30673584,0.38882187,0.12484511,0.18355303
0.66835266,0.39175898,0.7507847,0.7252268,0.14248614,0.22156425,0.13799895,0.19125608,-0.059019126,0.105326
0.4736108,0.29101318,0.8671839,0.69318795,0.09760846,0.3324186,0.18692268,0.20173745,-0.014346641,0.10963242
0.67813563,0.43010545,0.74932104,0.6986678,0.15494403,0.2345399,0.15025185,0.20334366,-0.016821401,0.10853961
0.8863128,0.64749706,1.1535742,0.83587325,0.36956963,0.641084,0.44678396,0.534545,0.18618484,0.21246052
0.46545973,0.26170245,0.9855544,0.74957335,0.07722566,0.42311653,0.19122237,0.22629395,0.017399468,0.09917554
0.67441314,0.4012015,0.702962,0.68838406,0.12453671,0.21754746,0.10431193,0.1652887,-0.02040763,0.08587167
0.7603106,0.47678453,0.8727309,0.7479446,0.22489265,0.35228464,0.25143054,0.32873818,0.05285838,0.14817813
