rely,time,vexp,lexp,MI_loc_aexp,MI_loc_stor,MI_loc_time,actual
0.57857126,0.44432393,1.0409861,0.7261636,0.5370219,0.28879428,0.17019477,0.28298962
0.4353274,0.26005244,0.55596346,0.40573803,0.24165292,0.15605697,0.09001615,0.1562906
0.55190504,0.35459653,0.82779944,0.5410751,0.4235892,0.18038344,0.09191034,0.2732257
0.33882293,0.13684583,0.49146098,0.2770747,0.15465298,0.113451585,0.025670394,0.10175784
0.33914167,0.16423637,0.45959422,0.2721516,0.15924545,0.12163995,0.016789906,0.10373756
0.47115177,0.26761526,0.68876195,0.44027272,0.25770015,0.17332534,0.11833393,0.16943203
0.5291759,0.36721006,0.8876127,0.46038672,0.3238035,0.21170105,0.12852204,0.23703726
0.49493343,0.35880926,0.7701923,0.4877404,0.32925028,0.19343989,0.10021611,0.24404806
0.43319723,0.18256505,0.6283642,0.3584102,0.25018668,0.11950907,0.050801784,0.16514519
0.4629358,0.32263908,0.74202186,0.5331423,0.31427887,0.18163522,0.14174294,0.2013549
0.94972295,0.57300717,1.306585,0.81546724,0.7388406,0.3210119,0.21682712,0.46572742
0.80901253,0.4277128,1.1289654,0.62313366,0.60789686,0.26748854,0.17864028,0.37596828
0.66033787,0.41684946,0.9103136,0.76199985,0.50405884,0.23522753,0.17425936,0.32746166
0.43547347,0.2663546,0.6866474,0.430457,0.33331448,0.2207803,0.07241355,0.17104755
0.49223232,0.3147449,0.8442243,0.54358554,0.38503665,0.18968418,0.09345884,0.2612656
0.32197776,0.16379228,0.4587921,0.28481865,0.15104099,0.12413937,0.01719648,0.09979777
0.3723211,0.21555814,0.5727496,0.34293404,0.20407787,0.15143716,0.056857772,0.12374571
0.50994796,0.28297657,0.5125459,0.44637868,0.30801114,0.1667458,0.094963245,0.15563375
0.37187892,0.17356962,0.5646088,0.30184066,0.18941386,0.13360132,0.047337413,0.12758024
0.46880308,0.2674061,0.7647313,0.4102743,0.29303706,0.15693432,0.09165204,0.17724101
0.33302292,0.124610856,0.4626225,0.26350558,0.15044801,0.11058304,0.01614163,0.09432736
0.32311037,0.116575375,0.43538284,0.24153435,0.15114269,0.0785485,0.005024787,0.08252413
0.5486034,0.3585026,0.92912227,0.5217241,0.34220305,0.22559361,0.1677751,0.2460508
0.4353663,0.21194965,0.67690235,0.3553196,0.25277093,0.12668835,0.067263395,0.15468301
0.31001052,0.14518714,0.45859352,0.27969146,0.15337008,0.12954965,0.0200626,0.098304
0.38138196,0.25714484,0.7446181,0.40282348,0.3057353,0.18455182,0.12490261,0.17298856
0.37628368,0.19835094,0.51457745,0.31623214,0.19408089,0.123067796,0.04192622,0.12570184
0.53595626,0.3090664,0.9286907,0.5768032,0.41160515,0.21903269,0.11363598,0.2681217
0.3986138,0.22673604,0.54019547,0.38802192,0.25677934,0.15442382,0.059627242,0.16744006
0.70099884,0.35270953,1.0238112,0.4787424,0.51336616,0.200826,0.17767072,0.27251098
0.37342024,0.15957417,0.4880767,0.26561213,0.17894952,0.10890283,0.031053782,0.118584365
0.42589366,0.2588751,0.6599868,0.4254196,0.25716603,0.17695355,0.08491131,0.1530723
0.76873463,0.4150832,0.6987761,0.69359136,0.44282833,0.21448438,0.167534,0.2979868
0.5327187,0.44748235,0.86525667,0.5731298,0.43755686,0.22885516,0.1845623,0.24872994
0.50964785,0.28462335,0.6377516,0.40672907,0.28100273,0.16700864,0.08776406,0.18924372
0.44089204,0.25019696,0.66123354,0.4067272,0.24238713,0.16409984,0.095748805,0.16078176
0.32181332,0.16723426,0.4461408,0.2808581,0.17671265,0.13294764,0.045333803,0.11611897
0.4328435,0.25545025,0.64729047,0.38674825,0.24669908,0.16038387,0.083395965,0.15788914
0.507884,0.30076885,0.6782167,0.4567528,0.3069305,0.17801239,0.12214068,0.20195952
0.71495616,0.5044503,1.1595668,0.77394974,0.6039711,0.28061917,0.22276184,0.29447174
0.33633178,0.15728787,0.458117,0.2425086,0.17537509,0.08087651,0.025116205,0.092522085
0.3806028,0.2312038,0.5886649,0.34400427,0.21001554,0.15944138,0.06538223,0.14642774
0.5976977,0.43495342,0.8852037,0.6153625,0.482077,0.25508806,0.119596876,0.30228508
0.64303666,0.4165425,0.880864,0.53535396,0.41472098,0.22766376,0.14014727,0.29455268
0.43801346,0.26610678,0.7246791,0.43024236,0.27253208,0.17297041,0.10194906,0.17695323
0.3841351,0.24765864,0.5012973,0.31574753,0.21817619,0.14710678,0.04313855,0.138177
0.5368428,0.3151836,0.84709746,0.46834022,0.31889433,0.18037045,0.11644309,0.21293102
0.46349517,0.27921185,0.8876314,0.5313025,0.34284863,0.2083649,0.13425756,0.2400477
0.769958,0.4254579,1.183859,0.6596801,0.5766874,0.31166777,0.2138963,0.3067356
0.4961,0.35874915,0.82327074,0.57137597,0.40563726,0.20776172,0.11872012,0.21930322
0.3967489,0.21331862,0.64288616,0.4138984,0.26163125,0.15065117,0.051454537,0.18560958
0.6250907,0.3165437,1.0252824,0.5784385,0.457792,0.25492463,0.16024747,0.27272475
0.34861997,0.16623455,0.43739793,0.29867253,0.21106417,0.13640279,0.0388003,0.10665822
0.39759943,0.23224738,0.6274758,0.34704065,0.23946801,0.16241166,0.066410385,0.15237293
0.34639758,0.1537795,0.45883134,0.28439242,0.14385593,0.11285928,0.033890434,0.09777884
1.0955404,0.6035851,1.8280462,1.0661371,0.94785315,0.41249466,0.32762834,0.5148418
1.1158814,0.5952185,1.7962033,0.9867866,0.88670826,0.3887037,0.35968807,0.5016447
0.3988656,0.1908199,0.6232127,0.3447231,0.23284875,0.14218631,0.058238648,0.13983274
0.80024785,0.5002212,1.2486302,0.84925365,0.69813436,0.38982788,0.19942364,0.36465436
0.58419913,0.40343183,1.1408377,0.7946483,0.5352221,0.29680696,0.17778495,0.3646712
0.3634815,0.16915923,0.5379551,0.29892576,0.18685554,0.12349801,0.03387566,0.11006886
0.4685787,0.29576617,0.7881401,0.5071002,0.3540779,0.19205263,0.103521936,0.22346395
0.36787724,0.2365214,0.59586084,0.362183,0.21564406,0.17208928,0.0563849,0.14795034
0.5263591,0.28523317,0.80279315,0.44149607,0.3272315,0.16163485,0.10331904,0.20978348
0.52385145,0.32489505,0.82725483,0.5224301,0.37635237,0.19293047,0.11234907,0.24818929
0.43318763,0.2631615,0.7675771,0.4703545,0.2903222,0.15704048,0.1269247,0.19060989
0.4672814,0.2304267,0.5372778,0.39536726,0.2140285,0.13984361,0.11164416,0.18188256
0.4166681,0.22948745,0.5457226,0.32395592,0.2249208,0.14427069,0.05252564,0.14179182
0.41584376,0.20921746,0.55131954,0.33912155,0.20700487,0.13925493,0.043044113,0.13919528
0.38428083,0.17895022,0.5352594,0.30940306,0.22679107,0.13402833,0.022651002,0.12403509
0.35891268,0.19308628,0.5367143,0.36301038,0.21310277,0.12812811,0.050637983,0.14180607
0.4364102,0.2830488,0.7660524,0.5025381,0.30137658,0.17251143,0.10663422,0.22340824
0.33277246,0.14170048,0.4678585,0.26815122,0.15561032,0.1095501,0.021986194,0.0994032
0.6619556,0.43757713,1.0917395,0.650838,0.47645503,0.27150047,0.20314416,0.32018134
0.4807461,0.2604394,0.7377505,0.40966576,0.3136344,0.16890171,0.08201961,0.18593398
0.37255976,0.17019075,0.58418846,0.32904965,0.19926636,0.12790994,0.05200745,0.12674743
0.37821907,0.18503264,0.6234069,0.38726205,0.2393909,0.12912048,0.05202219,0.16666709
0.49805164,0.2919533,0.86147976,0.4281558,0.35082003,0.17872915,0.12773114,0.1890232
0.34127766,0.12987623,0.4795044,0.2656498,0.15495504,0.107580245,0.021168672,0.09757434
0.3220872,0.12878124,0.45430326,0.27431047,0.14039047,0.10572201,0.012473077,0.08757976
0.5209899,0.31399065,0.66393864,0.5246233,0.34345058,0.2022668,0.11282461,0.22056969
0.54426384,0.30292246,0.6662488,0.38539234,0.3255207,0.13417952,0.090344064,0.20241733
0.405867,0.2361173,0.57737833,0.35681286,0.2122811,0.13957281,0.06376793,0.14558136
0.42716178,0.23303819,0.6098323,0.35184988,0.22773525,0.14125071,0.04717852,0.15859406
0.5389385,0.32402053,0.75389194,0.4297386,0.286262,0.18350837,0.15389758,0.21983245
0.93277925,0.58233726,1.4319214,1.0288259,0.869267,0.4232856,0.2718844,0.37882018
0.52295864,0.32176661,0.80185556,0.45909438,0.31800106,0.1923331,0.104151495,0.2263237
0.37256423,0.23628697,0.52338094,0.33188745,0.21367201,0.15062387,0.047857977,0.13928007
0.54230654,0.34990412,1.0674734,0.61686194,0.42218632,0.24200651,0.2005502,0.2570239
0.3630328,0.18173885,0.51207125,0.33365443,0.19167133,0.1361484,0.055992275,0.12226099
0.39123085,0.25682855,0.53105617,0.42005184,0.22709015,0.17249554,0.088040106,0.15104619
0.35139653,0.20475957,0.5221356,0.30835563,0.22340924,0.13919128,0.043367907,0.12694053
0.6454717,0.45629242,1.0281568,0.7308556,0.5308571,0.25891763,0.18962651,0.31873402
0.6509422,0.46978557,0.9398954,0.5058048,0.40598547,0.2753438,0.19635102,0.26286712
0.54922265,0.29133466,0.7951578,0.40732333,0.3643817,0.17739145,0.10177796,0.22736426
0.41294074,0.27905092,0.6672709,0.478649,0.29923838,0.18352097,0.11233013,0.15873854
0.48067158,0.28214675,0.7527567,0.42077166,0.2598756,0.16133024,0.09474888,0.19257157
0.5819029,0.35323358,0.89169693,0.5033557,0.361647,0.17341855,0.12889653,0.2399133
0.54996794,0.33203146,0.89640284,0.4931623,0.3187987,0.2004043,0.12917364,0.23464385
0.32841325,0.10861829,0.4217086,0.26437157,0.14217292,0.098039314,0.0052440576,0.08490576
0.6017225,0.3606115,0.79346657,0.4965117,0.39993984,0.19141304,0.110432915,0.26678592
0.35532525,0.13739423,0.4827046,0.27342832,0.15552077,0.09978828,0.022422396,0.102937594
0.46632347,0.2366251,0.7305087,0.4127894,0.28567943,0.15135501,0.076961406,0.19072762
0.41469428,0.21842602,0.5470943,0.3324034,0.19632776,0.13884866,0.0744206,0.14421415
0.37946048,0.20796174,0.4779798,0.34406367,0.22692566,0.15173258,0.061838947,0.12669267
0.5125597,0.29054633,0.7945257,0.45446956,0.31892112,0.16633704,0.093356974,0.20375463
0.57858443,0.36070842,0.8355443,0.56485987,0.4329716,0.22588412,0.09644655,0.26115054
0.48117283,0.3282605,0.6266024,0.46990305,0.34366617,0.19817883,0.08215513,0.16639274
0.5756485,0.38589287,0.6965643,0.55092156,0.3980167,0.23528394,0.1310164,0.24241336
0.62060547,0.36594537,0.78000426,0.5891967,0.42532203,0.23273507,0.13861287,0.21745738
0.33339545,0.15403116,0.49225897,0.3134716,0.14781833,0.124684945,0.030068174,0.10176674
0.40312365,0.20151845,0.5910282,0.31480718,0.22035843,0.1416444,0.044746682,0.1389144
0.43942115,0.23993242,0.57880574,0.44005665,0.23388807,0.14856291,0.099277936,0.15441066
0.59521323,0.36837095,0.998185,0.64707494,0.50335425,0.27659827,0.15490088,0.26624584
0.56117374,0.30895832,0.7669121,0.44280016,0.38898066,0.21902391,0.1141062,0.24190705
0.58324265,0.34622335,0.7410927,0.42366713,0.33796343,0.1944547,0.11469639,0.230419
0.37474427,0.18705413,0.6468405,0.3587709,0.22610447,0.15627313,0.0639989,0.13853072
0.61050916,0.3361855,0.8540392,0.4126785,0.3608114,0.1981328,0.1319085,0.23519024
0.31297874,0.16573516,0.4804563,0.268572,0.15198474,0.124055445,0.02717571,0.0956167
0.69535273,0.43319356,1.1373932,0.6790141,0.5372298,0.28266922,0.18026039,0.3177997
0.609251,0.44096196,0.8671876,0.645839,0.4970304,0.28598297,0.13579896,0.26587147
0.6966628,0.39819324,1.2061808,0.8182,0.6066791,0.26213098,0.17281845,0.38794285
1.0777999,0.7054448,1.5679756,1.1227208,0.9410452,0.4387372,0.2547111,0.5478586
0.6179588,0.3951402,0.9234026,0.63142943,0.47923195,0.20679384,0.10538361,0.3276109
0.4267787,0.23626968,0.6667402,0.36716133,0.23253238,0.15557417,0.079252385,0.16509768
0.5707372,0.3241046,0.8957569,0.50727147,0.39717555,0.2090214,0.123132505,0.24206424
0.44589382,0.2525166,0.6934888,0.36364585,0.25150943,0.16254896,0.07555632,0.16444431
0.37345976,0.16568676,0.53189236,0.29362595,0.20860444,0.10732727,0.040648133,0.12453061
0.671139,0.461779,1.2244673,0.82439077,0.583687,0.27251768,0.1696581,0.38692582
0.37890863,0.20424047,0.5034174,0.32348755,0.19594459,0.1313567,0.061440535,0.13103195
0.7716752,0.52941424,1.254355,0.83220506,0.6759628,0.32817632,0.20183411,0.37886155
0.3363702,0.18344624,0.53115845,0.31839553,0.1838148,0.1402803,0.04092651,0.11897096
0.38350946,0.25278458,0.7090472,0.43126866,0.2501889,0.18058908,0.097777165,0.17135818
0.39969888,0.15874098,0.6125857,0.32416362,0.22507314,0.12050274,0.058403596,0.13299866
0.54187804,0.31753007,0.9049446,0.62283516,0.45845297,0.23935175,0.12507805,0.24586982
0.5834006,0.4393188,1.1821489,0.75709176,0.5249673,0.29229257,0.23123264,0.29819956
0.3138975,0.14510596,0.5077941,0.29314384,0.17093335,0.11633277,0.039881714,0.099294245
0.4696045,0.2672698,0.8071534,0.47834885,0.33332622,0.20753056,0.122150816,0.21019177
0.547352,0.29701474,0.8765256,0.45469427,0.31988943,0.1865378,0.11687576,0.22589613
0.37461638,0.17777425,0.4836053,0.29392898,0.1774424,0.122173116,0.033692636,0.12045151
0.53235465,0.34783146,0.88278013,0.5363364,0.36997595,0.22970213,0.16336998,0.23221865
0.5464012,0.29526567,0.81885445,0.41914314,0.32135025,0.15875013,0.12324863,0.22668605
0.7644601,0.46367627,1.1114604,0.6862074,0.5953824,0.20612164,0.16489974,0.3829321
0.63691187,0.38906777,0.85167086,0.4847921,0.41832796,0.26746807,0.2062059,0.28689027
0.36281154,0.16881025,0.53979874,0.34565398,0.19636936,0.121736586,0.036712848,0.1361724
0.5266068,0.21377438,0.71012187,0.38826758,0.3343858,0.1259011,0.07594376,0.20542438
0.55452573,0.32291144,0.77707905,0.4911093,0.38379845,0.17244597,0.10417531,0.2599146
0.46864003,0.2506924,0.7239119,0.40869498,0.24172093,0.15094061,0.08291862,0.18031119
0.5565467,0.37462625,0.990286,0.6191865,0.39809552,0.21617076,0.129756,0.28995648
0.56301725,0.31429738,0.9329186,0.48603797,0.3364636,0.20684478,0.12763429,0.24340717
0.5163813,0.2883732,0.97475547,0.58961594,0.38706625,0.21991338,0.15048993,0.25811252
0.5108474,0.31945565,0.61142063,0.45509642,0.33858505,0.20058386,0.09508274,0.20647717
0.50920933,0.3005071,0.7576532,0.45023623,0.34741512,0.19403689,0.096203215,0.20886411
0.6776271,0.40315697,1.028239,0.5252781,0.40466985,0.20311949,0.17926124,0.24095792
0.458885,0.23397937,0.53843576,0.46354437,0.23118769,0.1402201,0.09207665,0.17746365
0.8592664,0.4878495,0.98178583,0.69128203,0.63260037,0.25854477,0.15562981,0.36443558
0.321855,0.13728198,0.4828122,0.29472733,0.15070267,0.119285285,0.016412124,0.08908966
0.36977354,0.17584544,0.4450228,0.30756658,0.18479265,0.12528306,0.044294715,0.11910401
0.373774,0.19315818,0.5596032,0.30916026,0.20148072,0.13243127,0.045730405,0.123971984
0.7562798,0.40915015,1.0480397,0.6262535,0.54200035,0.25870797,0.15075895,0.34258923
0.48783463,0.3002817,0.7772205,0.4322126,0.33627656,0.19879282,0.11626796,0.19982226
0.7273694,0.50556105,1.276797,0.95387936,0.70562685,0.33148357,0.22450745,0.40526748
0.41199324,0.19308096,0.5638955,0.35050753,0.24992223,0.15215665,0.031004183,0.13245139
0.48670185,0.24714074,0.68438584,0.39962515,0.33798736,0.19350041,0.05759038,0.1835416
0.61804944,0.41704792,1.10147,0.70724416,0.49711987,0.23379037,0.14304388,0.35338116
0.5203339,0.2960759,0.67930853,0.5234544,0.31629124,0.1888756,0.1475066,0.19953112
0.35815635,0.19241613,0.4587048,0.29419172,0.19085878,0.14012852,0.05317784,0.12746572
0.45042586,0.24846661,0.7006571,0.37417835,0.23912072,0.15717831,0.07603764,0.17619196
0.4453411,0.2663827,0.64147955,0.39413768,0.27669805,0.17408706,0.09616838,0.17218088
0.3997661,0.19241676,0.62784994,0.31092405,0.23850727,0.13676918,0.06349016,0.13683936
0.49068087,0.3152646,0.6724238,0.42802352,0.31550947,0.19295451,0.08133353,0.20464328
0.42121673,0.23494813,0.8097582,0.49331918,0.30003044,0.1943065,0.12992558,0.2007781
0.38703978,0.19505876,0.571351,0.35021168,0.24354602,0.16247126,0.029296562,0.12635419
0.47308847,0.25102368,0.6601467,0.37792996,0.29429442,0.13848327,0.064679585,0.17513798
0.40356934,0.20083863,0.6205407,0.34568137,0.21946017,0.13790388,0.05071021,0.14004113
0.37234372,0.21160072,0.51758546,0.3207176,0.21710482,0.13953426,0.045346126,0.12356612
0.5111232,0.3280831,0.873912,0.54692006,0.39732307,0.22236443,0.1132051,0.25466004
0.30707544,0.16268988,0.44759056,0.28697154,0.14972365,0.13561364,0.02482032,0.09718553
0.68403167,0.39582726,0.8607607,0.67205715,0.48155326,0.26231897,0.16181841,0.28186953
0.6043937,0.40853664,1.0485728,0.65667784,0.50573045,0.26968607,0.17352656,0.29414883
0.4562616,0.30516067,0.5789672,0.41862035,0.32578188,0.17105532,0.059261702,0.17251252
0.4542418,0.27499813,0.6377753,0.41636503,0.31701192,0.19738516,0.091266,0.17912239
0.5135213,0.32129937,0.930089,0.6326852,0.44731775,0.23031375,0.122548394,0.26191795
0.47165206,0.27830085,0.7137718,0.45357156,0.2553501,0.17771003,0.12100739,0.1783861
0.32436582,0.17992032,0.5314493,0.33715454,0.17262295,0.14515373,0.052483365,0.11450371
0.5287174,0.30228937,0.9588126,0.55276406,0.40357873,0.25123546,0.16392687,0.25169215
0.44034773,0.23989958,0.70444685,0.37823653,0.25312105,0.1574125,0.07507466,0.16867706
0.46494997,0.24080119,0.6942948,0.3934484,0.3062961,0.11199902,0.06872733,0.21544693
0.6191664,0.39317054,1.0877362,0.5977453,0.42283353,0.25291824,0.19023648,0.28064498
0.43253797,0.22664654,0.6421129,0.33201754,0.23837577,0.14812703,0.070832714,0.16406392
0.7603949,0.46956265,0.95701104,0.6488044,0.55165917,0.27711993,0.12759659,0.34521088
0.6727636,0.49822322,1.1999159,0.81589067,0.598504,0.3198475,0.19199315,0.3608123
0.6683048,0.3906104,0.6861535,0.5914484,0.3871386,0.21654797,0.15985861,0.25011715
0.3845328,0.20830363,0.37353808,0.28667477,0.19703265,0.15013447,0.041335166,0.11475591
0.53360325,0.330992,0.5748651,0.41281754,0.33533022,0.1826391,0.07167971,0.18968554
0.7622923,0.45594826,0.93293357,0.63490355,0.5260454,0.23669706,0.15380892,0.30710167
0.75656134,0.44794422,1.3640976,0.766114,0.5441721,0.28608274,0.23076952,0.3507451
0.43936574,0.19797263,0.7280658,0.39389813,0.26614752,0.15584962,0.0878003,0.16490296
0.7254122,0.42467728,0.8416196,0.71189964,0.47559845,0.25408357,0.16973767,0.31680086
0.30744585,0.1709998,0.46956757,0.29911217,0.16487968,0.12912886,0.026067786,0.105158865
0.60118496,0.34185147,0.81002444,0.47054306,0.3975464,0.18744452,0.11991949,0.2483819
0.32887357,0.14809646,0.4576855,0.2692655,0.15329368,0.10506646,0.012774304,0.089915276
0.71110743,0.37315696,1.1055167,0.5098424,0.47678486,0.22668666,0.19226387,0.2992304
0.49617,0.3403773,0.70443857,0.46463963,0.33608094,0.18803006,0.08548357,0.24205194
0.49758512,0.29824406,0.76291513,0.45221925,0.27747414,0.17017576,0.109305955,0.20313136
0.56669754,0.3044479,0.89336485,0.5221299,0.41806963,0.24035032,0.12422543,0.24126422
0.60895926,0.3433472,0.96345973,0.61703455,0.4897353,0.23709732,0.12074756,0.29382288
0.3292525,0.1538881,0.46745443,0.2597062,0.15506716,0.107367516,0.020943537,0.10152988
0.74150145,0.504338,1.3185649,0.8456582,0.7045176,0.3720275,0.23022261,0.3440931
0.43864357,0.20838547,0.65177655,0.4105392,0.22338553,0.13972345,0.09256966,0.16159499
0.5946369,0.2920079,0.81822926,0.47069782,0.43199694,0.21483782,0.085835524,0.24632703
0.5148469,0.30284283,0.68304795,0.4414002,0.34451675,0.2019661,0.0850941,0.19596027
0.5010439,0.2996406,0.70103693,0.38621035,0.3121558,0.1760451,0.08805802,0.20522383
0.6528726,0.35795453,1.0290493,0.53109056,0.4141219,0.2160329,0.15083104,0.27824542
0.49602354,0.30885702,0.690411,0.40468758,0.30605876,0.18758018,0.10374471,0.19840072
0.5565169,0.32254064,1.0260012,0.66297066,0.47483197,0.25420064,0.14861715,0.30171758
0.48730573,0.2938729,0.5499203,0.45407888,0.298396,0.1805772,0.097841956,0.16730615
0.4150929,0.25905892,0.7505225,0.3857118,0.29538044,0.15706831,0.111261986,0.16722724
0.6460301,0.34777075,1.1255236,0.6092435,0.4576207,0.25492775,0.17689127,0.27822715
0.4463353,0.29635572,0.5868645,0.43590817,0.26903883,0.17950374,0.079436176,0.16922991
0.68632376,0.47969076,1.362494,0.96410036,0.6840619,0.33774725,0.21491373,0.42693868
1.1327186,0.6957609,1.5210407,1.013614,0.9088331,0.33628345,0.26188454,0.55235773
0.33423513,0.18243098,0.49364886,0.3150252,0.1571242,0.13175365,0.03901854,0.11434598
0.37945047,0.1717526,0.49354684,0.29160213,0.19736454,0.122081235,0.019257654,0.11318292
0.6679098,0.3406094,0.959195,0.4845086,0.4289072,0.18988314,0.15276313,0.2503172
0.8895331,0.5887502,1.2812736,0.8570509,0.7223199,0.253932,0.18545264,0.4731785
0.45020553,0.27305678,0.80024135,0.49095547,0.3133895,0.18246222,0.10959662,0.18849763
0.727483,0.5137919,1.0228662,0.7657658,0.59925944,0.29664645,0.1507946,0.36341405
0.87570417,0.5967434,1.7221564,1.3002616,0.8736717,0.3975161,0.29943848,0.5470833
0.42075723,0.17248264,0.6218835,0.3795115,0.21528724,0.129689,0.07329714,0.14362697
0.46039072,0.26771256,0.70394826,0.3906594,0.27357036,0.16658576,0.0848599,0.17188418
0.34251493,0.15134168,0.50668114,0.26146895,0.18146788,0.10566826,0.03601955,0.09889984
0.45929953,0.27023548,0.70585656,0.4086121,0.28452072,0.15798631,0.08138028,0.17305824
0.59740543,0.32142144,1.0561377,0.60728884,0.4197951,0.23519082,0.16577604,0.2633593
0.8191783,0.49519965,1.1366601,0.8397031,0.6604482,0.35455415,0.21184713,0.34558594
0.5274377,0.3168672,0.9255897,0.56774867,0.37332276,0.21489377,0.16820437,0.23963448
0.4388532,0.26225087,0.66415876,0.4885029,0.2891078,0.1913004,0.09816482,0.19905944
0.35732013,0.15293045,0.42404488,0.28800032,0.19633406,0.11783044,0.02977696,0.103433445
0.38076848,0.17599097,0.55079037,0.31199124,0.1832933,0.1225196,0.035789713,0.12267293
1.0986317,0.66398114,1.8465108,1.2428637,1.0445765,0.4784031,0.29982457,0.5616519
0.49650523,0.2876026,0.8135369,0.46206608,0.34114194,0.20555994,0.115708046,0.21410586
0.411514,0.21380994,0.56865394,0.3230161,0.220514,0.14102034,0.048280522,0.13995641
0.426157,0.20923519,0.6413488,0.3567311,0.22631726,0.13431862,0.055080265,0.15129311
0.88774097,0.5812552,1.290503,0.9240898,0.7325371,0.25419426,0.17127082,0.48970148
0.36820686,0.15077862,0.5507227,0.3382279,0.20102271,0.1127706,0.028765433,0.13491996
0.79572093,0.6000561,1.424746,1.0140702,0.778579,0.3753414,0.2733227,0.42701143
0.388812,0.17954601,0.46824726,0.28317374,0.2091184,0.11852914,0.036304258,0.11586733
0.55009145,0.47524217,1.1663239,0.8371278,0.5526182,0.30753404,0.18652168,0.35616094
0.76760066,0.47717008,0.95653784,0.75356495,0.6173823,0.2646171,0.14937758,0.37321356
0.4193273,0.20127454,0.63445526,0.3379136,0.22507781,0.11662683,0.059507363,0.14752197
0.44871694,0.21042246,0.666869,0.34781742,0.27397138,0.12748429,0.06631698,0.15370351
0.6446921,0.3652991,0.66188353,0.45885432,0.41606128,0.20869829,0.10627744,0.23791386
0.66258025,0.40637088,1.1693459,0.7910062,0.6205539,0.32295227,0.17927825,0.3260699
0.73968166,0.449065,1.3048164,0.8110019,0.64343333,0.33745953,0.23280874,0.36209893
0.3195354,0.12701876,0.45737985,0.26712817,0.14763339,0.10238667,0.015026942,0.08996247
0.41809353,0.23733711,0.6461931,0.42349952,0.28621078,0.15654622,0.0544348,0.19865888
0.4568788,0.26318958,0.5082843,0.35648775,0.2748896,0.17722084,0.07576711,0.14365181
0.42438993,0.19928092,0.5861335,0.30799812,0.24408428,0.112615496,0.052948594,0.14431444
0.4554783,0.2179513,0.67804873,0.40898994,0.31705192,0.17617567,0.04924363,0.17865145
0.38672757,0.21794781,0.55190253,0.3262222,0.23721045,0.14405094,0.03704705,0.13436352
0.48184356,0.2858057,0.806345,0.5152602,0.36020818,0.16876054,0.106427155,0.24139021
0.40932736,0.24776247,0.5657967,0.35952923,0.23873374,0.15585937,0.066647574,0.14604904
0.6047694,0.44034684,1.070208,0.80483687,0.56379724,0.2858052,0.17395326,0.32879508
0.44400632,0.25265738,0.6655245,0.41773608,0.2663184,0.1539139,0.06751778,0.18828672
0.40223986,0.18802302,0.660976,0.3680939,0.23384799,0.1425343,0.06960952,0.14509088
